episode_id,family_id,case_id,rollout_seed,model_id,return_controller_id,regrasp_invocations,notes,dest,regrasp_confirmed,attempt1,nret,need,case_pass,hard_ok,regrasp_time,n_attempts
P1V6RG1_980102_G8_COMMANDED_RELEASE_NO_REGRASP_98110207_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980102,G8_COMMANDED_RELEASE_NO_REGRASP,98110207,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,0,"[""closed_loop_regrasp_not_started""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980102/G8_COMMANDED_RELEASE_NO_REGRASP/rollout_00,False,False,0,1,True,True,,0
P1V6RG1_980103_G1_LOSS_REGRASP_RETURN_P40_98110300_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980103,G1_LOSS_REGRASP_RETURN_P40,98110300,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,1,"[""cycles_complete=1""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980103/G1_LOSS_REGRASP_RETURN_P40/rollout_00,True,True,1,1,True,True,2.519999999999723,1
P1V6RG1_980103_G2_LOSS_REGRASP_RETURN_P80_98110301_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980103,G2_LOSS_REGRASP_RETURN_P80,98110301,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,1,"[""loop0_regrasp_failed"", ""cycles_complete=0""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980103/G2_LOSS_REGRASP_RETURN_P80/rollout_00,False,False,0,1,False,True,,1
P1V6RG1_980103_G3_THREE_REGRASP_RETURN_P40_98110302_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980103,G3_THREE_REGRASP_RETURN_P40,98110302,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,3,"[""cycles_complete=3""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980103/G3_THREE_REGRASP_RETURN_P40/rollout_00,True,True,3,3,True,True,1.7600000000005878,3
P1V6RG1_980103_G4_THREE_REGRASP_RETURN_P80_98110303_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980103,G4_THREE_REGRASP_RETURN_P80,98110303,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,1,"[""loop0_regrasp_failed"", ""cycles_complete=0""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980103/G4_THREE_REGRASP_RETURN_P80/rollout_00,False,False,0,3,False,True,,1
P1V6RG1_980103_G5_HIGH_RESIDUAL_SPEED_P40_98110304_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980103,G5_HIGH_RESIDUAL_SPEED_P40,98110304,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,1,"[""cycles_complete=1""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980103/G5_HIGH_RESIDUAL_SPEED_P40/rollout_00,True,True,1,1,True,True,2.0599999999997736,1
P1V6RG1_980103_G6_LOW_FRICTION_LONG_SLIDE_P80_98110305_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980103,G6_LOW_FRICTION_LONG_SLIDE_P80,98110305,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,1,"[""loop0_regrasp_failed"", ""cycles_complete=0""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980103/G6_LOW_FRICTION_LONG_SLIDE_P80/rollout_00,False,False,0,1,False,True,,1
P1V6RG1_980103_G7_NO_LOSS_INITIAL_GRASP_CONTROL_98110306_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980103,G7_NO_LOSS_INITIAL_GRASP_CONTROL,98110306,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,0,[],/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980103/G7_NO_LOSS_INITIAL_GRASP_CONTROL/rollout_00,False,False,1,1,True,True,,0
P1V6RG1_980103_G8_COMMANDED_RELEASE_NO_REGRASP_98110307_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980103,G8_COMMANDED_RELEASE_NO_REGRASP,98110307,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,0,"[""closed_loop_regrasp_not_started""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980103/G8_COMMANDED_RELEASE_NO_REGRASP/rollout_00,False,False,0,1,True,True,,0
P1V6RG1_980104_G1_LOSS_REGRASP_RETURN_P40_98110400_RG1_TRACK_RECENTER_SINGLE_ATTEMPT,980104,G1_LOSS_REGRASP_RETURN_P40,98110400,RG1_TRACK_RECENTER_SINGLE_ATTEMPT,RC1_OBJECT_COMPENSATED_DIRECT,1,"[""cycles_complete=1""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6rg1_data/development_v2/RG1_TRACK_RECENTER_SINGLE_ATTEMPT/F980104/G1_LOSS_REGRASP_RETURN_P40/rollout_00,True,True,1,1,True,True,2.5599999999997185,1
