timestamp,physical_gpu,visible_device,total_used_mib,total_mib,utilization_gpu_percent,train_pid_used_mib
2026-07-21 09:47:57,1,0,11248,40960,8,1778
2026-07-21 09:47:59,1,0,11248,40960,64,1778
2026-07-21 09:48:02,1,0,11248,40960,21,1778
2026-07-21 09:48:04,1,0,11248,40960,33,1778
2026-07-21 09:48:06,1,0,11248,40960,14,1778
2026-07-21 09:48:08,1,0,11248,40960,2,1778
2026-07-21 09:48:10,1,0,11248,40960,52,1778
2026-07-21 09:48:13,1,0,11248,40960,34,1778
2026-07-21 09:48:15,1,0,11248,40960,39,1778
2026-07-21 09:48:17,1,0,11248,40960,4,1778
2026-07-21 09:48:19,1,0,11248,40960,33,1778
2026-07-21 09:48:21,1,0,11248,40960,18,1778
2026-07-21 09:48:24,1,0,11248,40960,25,1778
2026-07-21 09:48:26,1,0,11248,40960,15,1778
2026-07-21 09:48:28,1,0,11248,40960,24,1778
2026-07-21 09:48:30,1,0,11248,40960,2,1778
2026-07-21 09:48:32,1,0,11248,40960,30,1778
2026-07-21 09:48:35,1,0,11248,40960,21,1778
2026-07-21 09:48:37,1,0,11248,40960,65,1778
2026-07-21 09:48:39,1,0,11248,40960,3,1778
2026-07-21 09:48:41,1,0,11248,40960,26,1778
2026-07-21 09:48:43,1,0,11248,40960,9,1778
2026-07-21 09:48:45,1,0,11248,40960,14,1778
2026-07-21 09:48:48,1,0,11248,40960,63,1778
2026-07-21 09:48:50,1,0,11248,40960,35,1778
2026-07-21 09:48:52,1,0,11248,40960,40,1778
2026-07-21 09:48:54,1,0,11248,40960,3,1778
2026-07-21 09:48:56,1,0,11248,40960,52,1778
2026-07-21 09:48:59,1,0,11248,40960,31,1778
2026-07-21 09:49:01,1,0,11248,40960,61,1778
2026-07-21 09:49:03,1,0,11248,40960,49,1778
2026-07-21 09:49:05,1,0,11248,40960,29,1778
2026-07-21 09:49:07,1,0,11248,40960,65,1778
2026-07-21 09:49:10,1,0,11248,40960,34,1778
2026-07-21 09:49:12,1,0,11248,40960,49,1778
2026-07-21 09:49:14,1,0,11248,40960,33,1778
2026-07-21 09:49:16,1,0,11248,40960,37,1778
2026-07-21 09:49:18,1,0,11248,40960,71,1778
2026-07-21 09:49:20,1,0,11248,40960,32,1778
2026-07-21 09:49:23,1,0,11248,40960,26,1778
2026-07-21 09:49:25,1,0,11248,40960,27,1778
2026-07-21 09:49:27,1,0,11248,40960,46,1778
2026-07-21 09:49:29,1,0,11248,40960,68,1778
2026-07-21 09:49:31,1,0,11248,40960,70,1778
2026-07-21 09:49:34,1,0,11248,40960,41,1778
2026-07-21 09:49:36,1,0,11248,40960,34,1778
2026-07-21 09:49:38,1,0,11248,40960,66,1778
2026-07-21 09:49:40,1,0,11248,40960,64,1778
2026-07-21 09:49:42,1,0,11248,40960,26,1778
2026-07-21 09:49:45,1,0,11248,40960,57,1778
2026-07-21 09:49:47,1,0,11248,40960,6,1778
2026-07-21 09:49:49,1,0,11248,40960,46,1778
2026-07-21 09:49:51,1,0,11248,40960,26,1778
2026-07-21 09:49:53,1,0,11248,40960,35,1778
2026-07-21 09:50:16,1,0,11248,40960,36,1778
2026-07-21 09:50:18,1,0,11248,40960,25,1778
2026-07-21 09:50:20,1,0,11248,40960,51,1778
2026-07-21 09:50:22,1,0,11248,40960,36,1778
2026-07-21 09:50:24,1,0,11248,40960,29,1778
2026-07-21 09:50:27,1,0,11248,40960,33,1778
2026-07-21 09:50:29,1,0,11248,40960,72,1778
2026-07-21 09:50:31,1,0,11248,40960,26,1778
2026-07-21 09:50:33,1,0,11248,40960,32,1778
2026-07-21 09:50:35,1,0,11248,40960,28,1778
2026-07-21 09:50:38,1,0,11248,40960,60,1778
2026-07-21 09:50:40,1,0,11248,40960,59,1778
2026-07-21 09:50:42,1,0,11248,40960,73,1778
2026-07-21 09:50:44,1,0,11248,40960,25,1778
2026-07-21 09:50:46,1,0,11248,40960,22,1778
2026-07-21 09:50:49,1,0,11248,40960,43,1778
2026-07-21 09:50:51,1,0,11248,40960,74,1778
2026-07-21 09:50:53,1,0,11248,40960,44,1778
2026-07-21 09:50:55,1,0,11248,40960,29,1778
2026-07-21 09:50:57,1,0,11248,40960,39,1778
2026-07-21 09:50:59,1,0,11248,40960,73,1778
2026-07-21 09:51:02,1,0,11248,40960,29,1778
2026-07-21 09:51:04,1,0,11248,40960,28,1778
2026-07-21 09:51:06,1,0,11248,40960,58,1778
2026-07-21 09:51:08,1,0,11248,40960,27,1778
2026-07-21 09:51:10,1,0,11248,40960,68,1778
2026-07-21 09:51:13,1,0,11248,40960,23,1778
2026-07-21 09:51:15,1,0,11248,40960,42,1778
2026-07-21 09:51:17,1,0,11248,40960,74,1778
2026-07-21 09:51:19,1,0,11248,40960,42,1778
2026-07-21 09:51:21,1,0,11248,40960,3,1778
2026-07-21 09:51:24,1,0,11248,40960,28,1778
2026-07-21 09:51:26,1,0,11248,40960,36,1778
2026-07-21 09:51:28,1,0,11248,40960,74,1778
2026-07-21 09:51:30,1,0,11248,40960,23,1778
2026-07-21 09:51:32,1,0,11248,40960,24,1778
2026-07-21 09:51:34,1,0,11248,40960,28,1778
2026-07-21 09:51:37,1,0,11248,40960,74,1778
2026-07-21 09:51:39,1,0,11248,40960,42,1778
2026-07-21 09:51:41,1,0,11248,40960,34,1778
2026-07-21 09:51:43,1,0,11248,40960,26,1778
2026-07-21 09:51:45,1,0,11248,40960,28,1778
2026-07-21 09:51:48,1,0,11248,40960,25,1778
2026-07-21 09:51:50,1,0,11248,40960,52,1778
2026-07-21 09:51:52,1,0,11248,40960,18,1778
2026-07-21 09:51:54,1,0,11248,40960,28,1778
2026-07-21 09:51:56,1,0,9788,40960,24,1778
2026-07-21 09:51:59,1,0,9495,40960,23,1778
2026-07-21 09:52:01,1,0,8997,40960,40,1280
