timestamp,index,memory_used_mib,memory_total_mib,utilization_gpu_percent
2026-07-21 02:38:00,3,24370,40960,25
2026-07-21 02:38:00,4,40260,40960,50
2026-07-21 02:38:00,5,20347,40960,0
2026-07-21 02:38:00,6,36030,40960,0
2026-07-21 02:38:00,7,33443,40960,28
2026-07-21 02:38:02,0,40228,40960,38
2026-07-21 02:38:02,1,8529,40960,32
2026-07-21 02:38:02,2,15685,40960,39
2026-07-21 02:38:02,3,24370,40960,34
2026-07-21 02:38:02,4,40260,40960,37
2026-07-21 02:38:02,5,20347,40960,0
2026-07-21 02:38:02,6,36030,40960,0
2026-07-21 02:38:02,7,33443,40960,31
2026-07-21 02:38:03,0,40228,40960,12
2026-07-21 02:38:03,1,8529,40960,4
2026-07-21 02:38:03,2,15685,40960,2
2026-07-21 02:38:03,3,24370,40960,39
2026-07-21 02:38:03,4,40260,40960,38
2026-07-21 02:38:03,5,20347,40960,0
2026-07-21 02:38:03,6,36030,40960,0
2026-07-21 02:38:03,7,33443,40960,35
2026-07-21 02:38:04,0,40228,40960,10
2026-07-21 02:38:04,1,8529,40960,3
2026-07-21 02:38:04,2,15685,40960,0
2026-07-21 02:38:04,3,24370,40960,39
2026-07-21 02:38:04,4,40260,40960,23
2026-07-21 02:38:04,5,20347,40960,0
2026-07-21 02:38:04,6,36030,40960,0
2026-07-21 02:38:04,7,33443,40960,39
2026-07-21 02:38:05,0,40228,40960,33
2026-07-21 02:38:05,1,8529,40960,39
2026-07-21 02:38:05,2,15685,40960,0
2026-07-21 02:38:05,3,24370,40960,0
2026-07-21 02:38:05,4,40260,40960,30
2026-07-21 02:38:05,5,20347,40960,0
2026-07-21 02:38:05,6,36030,40960,0
2026-07-21 02:38:05,7,33443,40960,41
2026-07-21 02:38:06,0,40068,40960,12
2026-07-21 02:38:06,1,8529,40960,5
2026-07-21 02:38:06,2,15685,40960,0
2026-07-21 02:38:06,3,24370,40960,13
2026-07-21 02:38:06,4,40260,40960,29
2026-07-21 02:38:06,5,20347,40960,0
2026-07-21 02:38:06,6,36030,40960,0
2026-07-21 02:38:06,7,33443,40960,33
2026-07-21 02:38:07,0,40068,40960,0
2026-07-21 02:38:07,1,8529,40960,39
2026-07-21 02:38:07,2,15685,40960,0
2026-07-21 02:38:07,3,24370,40960,8
2026-07-21 02:38:07,4,40260,40960,37
2026-07-21 02:38:07,5,20347,40960,0
2026-07-21 02:38:07,6,36030,40960,0
2026-07-21 02:38:07,7,33443,40960,41
2026-07-21 02:38:08,0,40068,40960,0
2026-07-21 02:38:08,1,8529,40960,31
2026-07-21 02:38:08,2,15685,40960,5
2026-07-21 02:38:08,3,24370,40960,0
2026-07-21 02:38:08,4,40260,40960,28
2026-07-21 02:38:08,5,20347,40960,0
2026-07-21 02:38:08,6,36030,40960,0
2026-07-21 02:38:08,7,33443,40960,36
2026-07-21 02:38:09,0,40068,40960,17
2026-07-21 02:38:09,1,8529,40960,3
2026-07-21 02:38:09,2,15685,40960,12
2026-07-21 02:38:09,3,24370,40960,0
2026-07-21 02:38:09,4,40260,40960,3
2026-07-21 02:38:09,5,20347,40960,0
2026-07-21 02:38:09,6,36030,40960,0
2026-07-21 02:38:09,7,33443,40960,10
2026-07-21 02:38:10,0,40068,40960,33
2026-07-21 02:38:10,1,8529,40960,8
2026-07-21 02:38:10,2,15685,40960,0
2026-07-21 02:38:10,3,24370,40960,0
2026-07-21 02:38:10,4,40260,40960,25
2026-07-21 02:38:10,5,20347,40960,0
2026-07-21 02:38:10,6,36030,40960,0
2026-07-21 02:38:10,7,33443,40960,45
2026-07-21 02:38:11,0,40068,40960,47
2026-07-21 02:38:11,1,8529,40960,27
2026-07-21 02:38:11,2,15685,40960,25
2026-07-21 02:38:11,3,24370,40960,0
2026-07-21 02:38:11,4,40260,40960,35
2026-07-21 02:38:11,5,20347,40960,0
2026-07-21 02:38:11,6,36030,40960,0
2026-07-21 02:38:11,7,33443,40960,46
2026-07-21 02:38:13,0,40132,40960,29
2026-07-21 02:38:13,1,8529,40960,39
2026-07-21 02:38:13,2,15685,40960,39
2026-07-21 02:38:13,3,24370,40960,15
2026-07-21 02:38:13,4,40260,40960,35
2026-07-21 02:38:13,5,20347,40960,0
2026-07-21 02:38:13,6,36030,40960,0
2026-07-21 02:38:13,7,33443,40960,41
2026-07-21 02:38:14,0,40132,40960,0
2026-07-21 02:38:14,1,8529,40960,0
2026-07-21 02:38:14,2,15685,40960,3
2026-07-21 02:38:14,3,24370,40960,1
2026-07-21 02:38:14,4,40260,40960,12
2026-07-21 02:38:14,5,20347,40960,0
2026-07-21 02:38:14,6,36030,40960,0
2026-07-21 02:38:14,7,33443,40960,33
