request_id,case_id,root_family_id,split,condition,requested_model,returned_model,response_id,image_count_sent,structure_valid,candidate_path,candidate_sha256
dev_F09_B_V2,F09_B,F09,dev,V2,qwen3.7-plus,qwen3.7-plus,chatcmpl-a0233237-0f4a-9b67-b275-7fb718b52909,2,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/dev/dev_F09_B_V2.json,33f5d3b132fa8f1c7c2a1d78b2f0b47b632e1e68c33a2c2e024343b356663dc7
confirm_F02_A_T,F02_A,F02,confirm,T,qwen3.7-plus,qwen3.7-plus,chatcmpl-0d40e044-7f82-9ddf-92a1-60c231320049,0,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F02_A_T.json,b8ee53dd6b558a554723e96d15b39072d1260fe8773d680ed7e295157ddcd9d3
confirm_F02_A_V1,F02_A,F02,confirm,V1,qwen3.7-plus,qwen3.7-plus,chatcmpl-bcabc946-046e-9912-b8e4-882cca1a91e5,1,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F02_A_V1.json,065c85bedf7eb95d6ce7658be320044c80fb52836f891f5ec78f61beef19e747
confirm_F02_A_V2,F02_A,F02,confirm,V2,qwen3.7-plus,qwen3.7-plus,chatcmpl-81303338-a5b6-9b67-bf29-c3e305292a3b,2,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F02_A_V2.json,8924b4034368823d14ba19fdd5a582a3432d45dd668fe83532624879c92a9842
confirm_F02_B_T,F02_B,F02,confirm,T,qwen3.7-plus,qwen3.7-plus,chatcmpl-950cc747-76b9-9391-8757-f8153d99b454,0,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F02_B_T.json,7f0d976e64c79f097bc502600171da03b995f8c2393aa6e5f250d73a948a988a
confirm_F02_B_V1,F02_B,F02,confirm,V1,qwen3.7-plus,qwen3.7-plus,chatcmpl-d61f355c-816b-9db5-a3e9-20ef6fa44746,1,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F02_B_V1.json,323a9b0d4cd147a5ff570d387b01c8d0063c690992fcafd795d1ee5d5873925e
confirm_F02_B_V2,F02_B,F02,confirm,V2,qwen3.7-plus,qwen3.7-plus,chatcmpl-9bda0908-decf-9af3-aa7c-e49aad5d123f,2,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F02_B_V2.json,1e4fa456017c96280a533691fd6fc16d5da136fb78a03184e7bf93457e13737f
confirm_F03_A_T,F03_A,F03,confirm,T,qwen3.7-plus,qwen3.7-plus,chatcmpl-c8bb5864-eb28-9bbb-91a5-be9604dc4c7c,0,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F03_A_T.json,cfac0ab404cdd5e329bc4a69a6fb5b1b5b78132535bead1b7d50813017726719
confirm_F03_A_V1,F03_A,F03,confirm,V1,qwen3.7-plus,qwen3.7-plus,chatcmpl-67567774-4e42-9814-8920-c8c84ea82c9e,1,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F03_A_V1.json,0e8800a2a04727d622c3f7cb2d67b748df8232cb46c9fab5b8124b694f269210
confirm_F03_A_V2,F03_A,F03,confirm,V2,qwen3.7-plus,qwen3.7-plus,chatcmpl-e8391d87-dcfe-901a-a779-583aaf1dcc3c,2,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F03_A_V2.json,0db527fa511702384a5556c70c77f3f5d91c1f1c73505f40764a37a27b233504
confirm_F03_B_T,F03_B,F03,confirm,T,qwen3.7-plus,qwen3.7-plus,chatcmpl-4369bfa5-df23-9951-9190-44ad2e6253cd,0,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F03_B_T.json,83aa3b8e690a0120f3811462e5921c11e4ea129a16e138a7fe5428f7623a6bb6
confirm_F03_B_V1,F03_B,F03,confirm,V1,qwen3.7-plus,qwen3.7-plus,chatcmpl-793465d5-273b-90aa-b6b5-c42923382a3d,1,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F03_B_V1.json,5fb6504592452aa98fee8373ce27d4e7f83184e4c485ea61c378c2840456b82e
confirm_F03_B_V2,F03_B,F03,confirm,V2,qwen3.7-plus,qwen3.7-plus,chatcmpl-909f3527-7f17-922c-adde-b13724a312a1,2,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F03_B_V2.json,cbf293a4e81ed47cd5cf9b15c8cbb524ca3299bd9a3944fc0456bec37aae300e
confirm_F04_A_T,F04_A,F04,confirm,T,qwen3.7-plus,qwen3.7-plus,chatcmpl-64b92b88-a5f6-9e46-9baf-1c166457722a,0,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F04_A_T.json,56cc30441d70ae1e1f37bfa1c7db776b44bf4d84067dd02e4c6514e0684c0e97
confirm_F04_A_V1,F04_A,F04,confirm,V1,qwen3.7-plus,qwen3.7-plus,chatcmpl-a769de29-0e8a-9013-8166-970aef9329d0,1,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F04_A_V1.json,674b97274d7fcf2b3722d5a17e9bb650e9307b8e3b119966039973487c11d0f6
confirm_F04_A_V2,F04_A,F04,confirm,V2,qwen3.7-plus,qwen3.7-plus,chatcmpl-d46b28d8-3a9d-9ccc-aa9b-2d02b2860c3c,2,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F04_A_V2.json,2dddad8f4b9d6172c348f2fe10450b17a56b85025eb63771410a5c610b9a8152
confirm_F04_B_T,F04_B,F04,confirm,T,qwen3.7-plus,qwen3.7-plus,chatcmpl-c3406dfd-bbd6-9ac2-abd3-7f045a0de7fd,0,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F04_B_T.json,6884809b69ff47522c9fe9aa0fcd67897cd9764028e511d23044a62ebfa1e0fd
confirm_F04_B_V1,F04_B,F04,confirm,V1,qwen3.7-plus,qwen3.7-plus,chatcmpl-c809a980-d41f-97ed-9b1e-f118f8b70529,1,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F04_B_V1.json,76f9d60af3d5afc0e2fae9f212735415971c44d9e604847998d6463ceb7f3a2c
confirm_F04_B_V2,F04_B,F04,confirm,V2,qwen3.7-plus,qwen3.7-plus,chatcmpl-865d7877-459c-9699-b4ca-66b26b2adb5b,2,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F04_B_V2.json,ddcb63680523e0dc83b2d05f344fb4ff24d212b6ffb72ba6b40ef33a3fc0df1f
confirm_F06_A_T,F06_A,F06,confirm,T,qwen3.7-plus,qwen3.7-plus,chatcmpl-32e6cc2b-76bf-9575-b8dd-a0247d53bcae,0,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F06_A_T.json,7b00778f7dbfa58850852802a8076335d06a5c9bb8f3b438c6ac658efa88f9d2
confirm_F06_A_V1,F06_A,F06,confirm,V1,qwen3.7-plus,qwen3.7-plus,chatcmpl-85caf2a8-fb01-9ab7-bd28-338e1fdd4fc0,1,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F06_A_V1.json,3b9dd9033a5eb82490e72eef5119739ecaf8826ae7b51891f7eccf746c1b0e3e
confirm_F06_A_V2,F06_A,F06,confirm,V2,qwen3.7-plus,qwen3.7-plus,chatcmpl-ef3fe357-c373-9c76-83d5-dfb6a94cc01d,2,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F06_A_V2.json,a09f4b94419a8c88db36da72c8eb31ebd50017afaaefe3de6afc9f5aaabdac8f
confirm_F06_B_T,F06_B,F06,confirm,T,qwen3.7-plus,qwen3.7-plus,chatcmpl-ae5a8127-c5f3-9dd1-8f43-d2949d495604,0,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F06_B_T.json,f37018e094b03a7b272af923d7f339af806da5374e977b2c4cf973544ef5da0a
confirm_F06_B_V1,F06_B,F06,confirm,V1,qwen3.7-plus,qwen3.7-plus,chatcmpl-20401377-ea34-96af-8f71-8bb1dddbea2e,1,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F06_B_V1.json,0446a907ca467e76b6969a1031c10c6989071ed6b899fcbf4b0511810328ec27
confirm_F06_B_V2,F06_B,F06,confirm,V2,qwen3.7-plus,qwen3.7-plus,chatcmpl-07ff67b6-14f6-9aea-8c8f-7b2405ce52fd,2,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F06_B_V2.json,98780e471f0b221a9b92b3ab45a3f43470c4f6863fe5d38da753a8de79839ebd
confirm_F07_A_T,F07_A,F07,confirm,T,qwen3.7-plus,qwen3.7-plus,chatcmpl-314d8ed4-d023-9fcc-b61d-ad281bbb8ff8,0,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F07_A_T.json,dbe159e94a76e55c3c82a908a2c4d51f298d7288bc89107d165e14fe86f997c3
confirm_F07_A_V1,F07_A,F07,confirm,V1,qwen3.7-plus,qwen3.7-plus,chatcmpl-ee4be358-6b7c-9b7f-83c9-ea22e061fb33,1,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F07_A_V1.json,3c27a9ddd838457558b215205e539b90cee9d9d5202e4532377826d181cd2031
confirm_F07_A_V2,F07_A,F07,confirm,V2,qwen3.7-plus,qwen3.7-plus,chatcmpl-9d46727d-bdc2-9e2d-9ec6-1184ceb40443,2,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F07_A_V2.json,356cf4f58f245de9a2d9abb8825521d35ee8c42fe4de6d20a2046e84f8757198
confirm_F07_B_T,F07_B,F07,confirm,T,qwen3.7-plus,qwen3.7-plus,chatcmpl-490f23ca-942e-9c29-a245-51cfcb48dee1,0,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F07_B_T.json,4734c04335919cc9be4f31ac5236bc73805c971affa1a57b5699233d6621de0c
confirm_F07_B_V1,F07_B,F07,confirm,V1,qwen3.7-plus,qwen3.7-plus,chatcmpl-81699111-0c8d-996c-a1cd-13d4c8b3b0d1,1,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F07_B_V1.json,6be8fd0888f79a5e43067520c88fbd79c75e441db4ff6896c6834cd8cfd6aa2f
confirm_F07_B_V2,F07_B,F07,confirm,V2,qwen3.7-plus,qwen3.7-plus,chatcmpl-e41f4414-560f-9065-9ff7-a7133e977c83,2,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F07_B_V2.json,356fe72555573a0d5b3128532c29d4822ab81fdddb8cc136f2fde117981c7547
confirm_F08_A_T,F08_A,F08,confirm,T,qwen3.7-plus,qwen3.7-plus,chatcmpl-c31b9f6b-0b5a-9e4e-9243-3feb35488a31,0,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F08_A_T.json,d1c906cd2c831d1226cd266bc319ad8c5b953f239908ef8358cef791304d9b23
confirm_F08_A_V1,F08_A,F08,confirm,V1,qwen3.7-plus,qwen3.7-plus,chatcmpl-37cae7a6-5c55-99f1-be45-86eedc7ada01,1,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F08_A_V1.json,aeef684afb1dfd081a038e743ae2bcc5f163e27bbd7f6e9507d9de45712e8056
confirm_F08_A_V2,F08_A,F08,confirm,V2,qwen3.7-plus,qwen3.7-plus,chatcmpl-6d808d21-be12-9117-bfc0-9e7d19feb317,2,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F08_A_V2.json,a7abff9b68b952f83bf440de802fb08ae80c471fe21113f02facb981a4039535
confirm_F08_B_T,F08_B,F08,confirm,T,qwen3.7-plus,qwen3.7-plus,chatcmpl-20b07390-f514-9355-b874-ef5d9fea3733,0,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F08_B_T.json,5fc5c9d8ea35ae8413a4b1e1e4af6f0f9e9506a133f220d6ea4cfb4950cb8c45
confirm_F08_B_V1,F08_B,F08,confirm,V1,qwen3.7-plus,qwen3.7-plus,chatcmpl-fc360e92-d157-99ad-be15-86f61dddc2f5,1,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F08_B_V1.json,2bbb699aef4ed9bef38c2178f77c78f5bae5975495a7ca149a00ab8f3bdf4a59
confirm_F08_B_V2,F08_B,F08,confirm,V2,qwen3.7-plus,qwen3.7-plus,chatcmpl-d1181a39-0a54-9da0-8ba1-1809c612bd93,2,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F08_B_V2.json,876acea391eb7ff4c776d848a221647f2707837dde4f0808e175adf198c89b24
confirm_F10_A_T,F10_A,F10,confirm,T,qwen3.7-plus,qwen3.7-plus,chatcmpl-9dcfae3b-bb54-9d21-8a36-f92761adc374,0,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F10_A_T.json,01a304682492fc85452de56ed756cbdae5093f6ed1feb629b1776c4d1b74d3f2
confirm_F10_A_V1,F10_A,F10,confirm,V1,qwen3.7-plus,qwen3.7-plus,chatcmpl-8899443e-c414-971a-8ca5-e11858a20078,1,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F10_A_V1.json,a77527e6c24dfbdced2c52a05f0ec035a3c775979eced2f39df53e5ff80c045c
confirm_F10_A_V2,F10_A,F10,confirm,V2,qwen3.7-plus,qwen3.7-plus,chatcmpl-ca95c9c9-b709-9e46-9fa5-32b5aa3896d8,2,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F10_A_V2.json,f63836107e9b685f42c116a39815c6b59c4f4c4d8bd74901c6ce6ff0632b78ff
confirm_F10_B_T,F10_B,F10,confirm,T,qwen3.7-plus,qwen3.7-plus,chatcmpl-18a0a527-bdd5-9e8b-89df-e9cd3a047c7f,0,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F10_B_T.json,38bb4d0d911aa75abceb1b13af0e6a7ead187942967619fa7696e42f55c2858a
confirm_F10_B_V1,F10_B,F10,confirm,V1,qwen3.7-plus,qwen3.7-plus,chatcmpl-b050620d-1d38-99d5-897a-95ae9b6a916e,1,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F10_B_V1.json,94d3ea09d5c89be746e4356af8f7abb550cebd24e6d2d7fe8eaa90ef26ad66d5
confirm_F10_B_V2,F10_B,F10,confirm,V2,qwen3.7-plus,qwen3.7-plus,chatcmpl-1c2f9fed-ca5a-9828-93a8-e4979cd41185,2,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F10_B_V2.json,b82d64473cd7d235b36782ff80468de8212a02b4c884946a7ba2944a348c0f02
confirm_F11_A_T,F11_A,F11,confirm,T,qwen3.7-plus,qwen3.7-plus,chatcmpl-78c02760-c198-9204-9edd-ba2e7312d169,0,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F11_A_T.json,d7bb58f7a46a6ec41f40ca1eaa8bf5b3eb2c94523f1aaa39255531a1260e88c3
confirm_F11_A_V1,F11_A,F11,confirm,V1,qwen3.7-plus,qwen3.7-plus,chatcmpl-0cecdd64-1a69-954a-8356-a53bcf4ce24c,1,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F11_A_V1.json,ab3552e297ab53c34c022ca473506d2e92303e6e68e48460834867e00497739d
confirm_F11_A_V2,F11_A,F11,confirm,V2,qwen3.7-plus,qwen3.7-plus,chatcmpl-1f80132f-195c-96b1-ae03-34a441a665c9,2,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F11_A_V2.json,399de9b06686be42a028f8ae0a455d41943246b091fe3035c4dba93b9d79aab8
confirm_F11_B_T,F11_B,F11,confirm,T,qwen3.7-plus,qwen3.7-plus,chatcmpl-6396012b-7a30-97c4-a8f3-308d8e781481,0,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F11_B_T.json,5bde82be13f340412d5730f2201a6539b24006d0acbb2b938e572ad5c2e4ef1a
confirm_F11_B_V1,F11_B,F11,confirm,V1,qwen3.7-plus,qwen3.7-plus,chatcmpl-74c0ec09-8e76-94f8-b763-3a39e70302b4,1,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F11_B_V1.json,d1d5499eba1d030fb74f4582c6dfeb334e99594a3b59a660d32acd3170536567
confirm_F11_B_V2,F11_B,F11,confirm,V2,qwen3.7-plus,qwen3.7-plus,chatcmpl-c2b2469c-84dd-911a-8c8c-8ec9c13bfaf2,2,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F11_B_V2.json,5275bb766f6042c83fe0a3e616e6cae32aa0c12f3e1d575df3a4428964904ae4
confirm_F12_A_T,F12_A,F12,confirm,T,qwen3.7-plus,qwen3.7-plus,chatcmpl-b230d800-6c9b-9509-8134-73e5856961fd,0,True,/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_coarse_l1_v1/run/candidates/confirm/confirm_F12_A_T.json,c4037a0941058d870631ece71ff811684c64200046a79d1a1a3ce275cb636498
