trace_id,variant_id,step,edge_type,reward,raw_reward,debt_before,debt_after,recovery_debt_capped,suppressed_recovery_semantic,episode_id,content_group_id,edge_type_gt
,full_locked,,,0.034685333569844566,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.020721187194188435,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.004500865936279297,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.0045925577481587725,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,1
,full_locked,,,-0.16321230928103128,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,1
,full_locked,,,0.0773667935281992,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.0743858590722084,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.025421015918254852,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.024182232717672985,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.028525282939275105,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.03490950663884481,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.03381529450416565,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.03604520857334137,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.0381140410900116,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.03684120376904806,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.0003386537233988444,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.005972752968470256,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,-0.018754223982493084,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,-0.03702878952026367,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,-0.0027643839518229165,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.004510993758837382,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,-0.025805239876111347,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,-0.1286698877811432,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.022245397170384724,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.36963343620300293,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.0885075032711029,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.02905060847600301,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.010465919971466064,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.0035649538040161133,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.005548159281412761,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.008765811721483866,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.012059484918912252,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.018572911620140076,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.022861242294311523,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
,full_locked,,,0.03247331082820892,,0.0,0.0,False,,transport_recovery__0002,837420c3bbd731ac,0
