root_family_id,horizon_ns,episode_id,can_score,visual_count
L2RAR2_R24_BOUNDARY_00_896000,100000000,L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__RECOVERY_DISABLED,True,53
L2RAR2_R24_BOUNDARY_00_896000,250000000,L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__RECOVERY_DISABLED,True,53
L2RAR2_R24_BOUNDARY_00_896000,500000000,L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__RECOVERY_DISABLED,True,53
L2RAR2_R24_BOUNDARY_00_896000,750000000,L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__RECOVERY_DISABLED,True,53
L2RAR2_R24_BOUNDARY_00_896000,1000000000,L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__RECOVERY_DISABLED,True,53
L2RAR2_R24_BOUNDARY_00_896000,100000000,L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__O_C3_CLP3_CANONICAL_TIME,False,309
L2RAR2_R24_BOUNDARY_00_896000,250000000,L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__O_C3_CLP3_CANONICAL_TIME,False,309
L2RAR2_R24_BOUNDARY_00_896000,500000000,L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__O_C3_CLP3_CANONICAL_TIME,False,309
L2RAR2_R24_BOUNDARY_00_896000,750000000,L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__O_C3_CLP3_CANONICAL_TIME,False,309
L2RAR2_R24_BOUNDARY_00_896000,1000000000,L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__O_C3_CLP3_CANONICAL_TIME,False,309
L2RAR2_R24_BOUNDARY_00_896000,100000000,L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__O_C3_RAW,False,180
L2RAR2_R24_BOUNDARY_00_896000,250000000,L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__O_C3_RAW,False,180
L2RAR2_R24_BOUNDARY_00_896000,500000000,L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__O_C3_RAW,False,180
L2RAR2_R24_BOUNDARY_00_896000,750000000,L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__O_C3_RAW,False,180
L2RAR2_R24_BOUNDARY_00_896000,1000000000,L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__O_C3_RAW,False,180
L2RAR2_R24_BOUNDARY_00_896000,100000000,L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__RECOVERY_DISABLED,True,53
L2RAR2_R24_BOUNDARY_00_896000,250000000,L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__RECOVERY_DISABLED,True,53
