episode_id,root_family_id,case_id,arm_id,reference_state,raw_duration_ns,pre_action_duration_ns,post_onset_available_ns,actual_physics_step_count,actual_visual_count,actual_visual_interval_min_ns,actual_visual_interval_median_ns,actual_visual_interval_max_ns,same_time_group_count,missing_intervals_gt_100ms,baseline_available,censor_reason,can_score_100ms,can_score_250ms,can_score_500ms,can_score_750ms,can_score_1000ms
L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_00_896000,R24C4_multisource_missing_then_loss,O_C3_RAW,LOSS,3299999999,3300000000,820000000,71,67,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,False
L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000,R24C4_multisource_missing_then_loss,RECOVERY_DISABLED,LOSS,3299999999,3300000000,820000000,71,67,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,False
L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000,R24C5_active_release_conflict,O_C3_CLP3_CANONICAL_TIME,COMMANDED_RELEASE,2599999999,2600000000,,57,53,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__O_C3_RAW,L2RAR2_R24_BOUNDARY_00_896000,R24C5_active_release_conflict,O_C3_RAW,COMMANDED_RELEASE,2599999999,2600000000,,57,53,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000,R24C5_active_release_conflict,RECOVERY_DISABLED,COMMANDED_RELEASE,2599999999,2600000000,,57,53,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000,R24C6_relocation_error,O_C3_CLP3_CANONICAL_TIME,LOSS,6599999999,2600000000,120000000,139,133,50000000,50000000.0,50000000,6,0,True,RIGHT_CENSORED,True,False,False,False,False
L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__O_C3_RAW,L2RAR2_R24_BOUNDARY_00_896000,R24C6_relocation_error,O_C3_RAW,LOSS,6549999999,2550000000,70000000,138,132,50000000,50000000,50000000,6,0,True,RIGHT_CENSORED,False,False,False,False,False
L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000,R24C6_relocation_error,RECOVERY_DISABLED,UNRESOLVED,2599999999,2600000000,,57,53,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000,R24C7_regrasp_disturbance,O_C3_CLP3_CANONICAL_TIME,UNRESOLVED,10749999999,2600000000,,229,216,50000000,50000000,50000000,13,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__O_C3_RAW,L2RAR2_R24_BOUNDARY_00_896000,R24C7_regrasp_disturbance,O_C3_RAW,UNRESOLVED,10699999999,2550000000,,228,215,50000000,50000000.0,50000000,13,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000,R24C7_regrasp_disturbance,RECOVERY_DISABLED,UNRESOLVED,2599999999,2600000000,,57,53,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000,R24C8_secondary_loss,O_C3_CLP3_CANONICAL_TIME,LOSS,15399999999,2600000000,0,327,309,50000000,50000000.0,50000000,18,0,True,RIGHT_CENSORED,False,False,False,False,False
L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_00_896000,R24C8_secondary_loss,O_C3_RAW,LOSS,8949999999,2550000000,0,191,180,50000000,50000000,50000000,11,0,True,RIGHT_CENSORED,False,False,False,False,False
L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000,R24C8_secondary_loss,RECOVERY_DISABLED,UNRESOLVED,2599999999,2600000000,,57,53,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_01_896001__R24C1_delayed_contact_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001,R24C1_delayed_contact_loss,O_C3_CLP3_CANONICAL_TIME,LOSS,9109999999,2300000000,160000000,194,101,10000000,50000000.0,3990000000,3,0,True,RIGHT_CENSORED,True,False,False,False,False
L2RAR2_R24_BOUNDARY_01_896001__R24C1_delayed_contact_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001,R24C1_delayed_contact_loss,O_C3_RAW,LOSS,9109999999,2250000000,110000000,194,101,10000000,50000000.0,3990000000,3,0,True,RIGHT_CENSORED,True,False,False,False,False
L2RAR2_R24_BOUNDARY_01_896001__R24C1_delayed_contact_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001,R24C1_delayed_contact_loss,RECOVERY_DISABLED,LOSS,2309999999,2300000000,160000000,51,48,10000000,50000000,50000000,3,0,True,RIGHT_CENSORED,True,False,False,False,False
L2RAR2_R24_BOUNDARY_01_896001__R24C2_loss_signal_missing__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001,R24C2_loss_signal_missing,O_C3_CLP3_CANONICAL_TIME,LOSS,3299999999,3300000000,1160000000,71,47,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_01_896001__R24C2_loss_signal_missing__O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001,R24C2_loss_signal_missing,O_C3_RAW,LOSS,3299999999,3300000000,1160000000,71,47,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_01_896001__R24C2_loss_signal_missing__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001,R24C2_loss_signal_missing,RECOVERY_DISABLED,LOSS,3299999999,3300000000,1160000000,71,47,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_01_896001__R24C3_partial_slip__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001,R24C3_partial_slip,O_C3_CLP3_CANONICAL_TIME,UNRESOLVED,6799999999,6800000000,,146,126,50000000,50000000,50000000,9,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_01_896001__R24C3_partial_slip__O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001,R24C3_partial_slip,O_C3_RAW,UNRESOLVED,8549999999,2150000000,,183,161,50000000,50000000.0,50000000,11,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_01_896001__R24C3_partial_slip__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001,R24C3_partial_slip,RECOVERY_DISABLED,UNRESOLVED,6799999999,6800000000,,146,126,50000000,50000000,50000000,9,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_01_896001__R24C4_multisource_missing_then_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001,R24C4_multisource_missing_then_loss,O_C3_CLP3_CANONICAL_TIME,LOSS,3299999999,3300000000,1160000000,71,47,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_01_896001__R24C4_multisource_missing_then_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001,R24C4_multisource_missing_then_loss,O_C3_RAW,LOSS,3299999999,3300000000,1160000000,71,47,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_01_896001__R24C4_multisource_missing_then_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001,R24C4_multisource_missing_then_loss,RECOVERY_DISABLED,LOSS,3299999999,3300000000,1160000000,71,47,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_01_896001__R24C5_active_release_conflict__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001,R24C5_active_release_conflict,O_C3_CLP3_CANONICAL_TIME,COMMANDED_RELEASE,2599999999,2600000000,,57,53,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_01_896001__R24C5_active_release_conflict__O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001,R24C5_active_release_conflict,O_C3_RAW,COMMANDED_RELEASE,2599999999,2600000000,,57,53,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_01_896001__R24C5_active_release_conflict__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001,R24C5_active_release_conflict,RECOVERY_DISABLED,COMMANDED_RELEASE,2599999999,2600000000,,57,53,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_01_896001__R24C6_relocation_error__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001,R24C6_relocation_error,O_C3_CLP3_CANONICAL_TIME,LOSS,6309999999,2200000000,60000000,133,48,10000000,50000000,50000000,3,0,True,RIGHT_CENSORED,False,False,False,False,False
L2RAR2_R24_BOUNDARY_01_896001__R24C6_relocation_error__O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001,R24C6_relocation_error,O_C3_RAW,LOSS,6309999999,2150000000,10000000,133,48,10000000,50000000,50000000,3,0,True,RIGHT_CENSORED,False,False,False,False,False
L2RAR2_R24_BOUNDARY_01_896001__R24C6_relocation_error__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001,R24C6_relocation_error,RECOVERY_DISABLED,LOSS,2309999999,2200000000,60000000,51,48,10000000,50000000,50000000,3,0,True,RIGHT_CENSORED,False,False,False,False,False
L2RAR2_R24_BOUNDARY_01_896001__R24C7_regrasp_disturbance__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001,R24C7_regrasp_disturbance,O_C3_CLP3_CANONICAL_TIME,LOSS,10859999999,2200000000,60000000,231,102,10000000,50000000,5690000000,3,0,True,RIGHT_CENSORED,False,False,False,False,False
L2RAR2_R24_BOUNDARY_01_896001__R24C7_regrasp_disturbance__O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001,R24C7_regrasp_disturbance,O_C3_RAW,LOSS,10859999999,2150000000,10000000,231,102,10000000,50000000,5690000000,3,0,True,RIGHT_CENSORED,False,False,False,False,False
L2RAR2_R24_BOUNDARY_01_896001__R24C7_regrasp_disturbance__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001,R24C7_regrasp_disturbance,RECOVERY_DISABLED,LOSS,2309999999,2200000000,60000000,51,48,10000000,50000000,50000000,3,0,True,RIGHT_CENSORED,False,False,False,False,False
L2RAR2_R24_BOUNDARY_01_896001__R24C8_secondary_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001,R24C8_secondary_loss,O_C3_CLP3_CANONICAL_TIME,LOSS,9109999999,2200000000,60000000,194,50,10000000,50000000,5340000000,3,0,True,RIGHT_CENSORED,False,False,False,False,False
L2RAR2_R24_BOUNDARY_01_896001__R24C8_secondary_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001,R24C8_secondary_loss,O_C3_RAW,LOSS,9109999999,2150000000,10000000,194,50,10000000,50000000,5340000000,3,0,True,RIGHT_CENSORED,False,False,False,False,False
L2RAR2_R24_BOUNDARY_01_896001__R24C8_secondary_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001,R24C8_secondary_loss,RECOVERY_DISABLED,LOSS,2309999999,2200000000,60000000,51,48,10000000,50000000,50000000,3,0,True,RIGHT_CENSORED,False,False,False,False,False
L2RAR2_R24_BOUNDARY_02_896002__R24C1_delayed_contact_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002,R24C1_delayed_contact_loss,O_C3_CLP3_CANONICAL_TIME,LOSS,9049999999,2350000000,180000000,193,103,50000000,50000000.0,3950000000,11,0,True,RIGHT_CENSORED,True,False,False,False,False
L2RAR2_R24_BOUNDARY_02_896002__R24C1_delayed_contact_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002,R24C1_delayed_contact_loss,O_C3_RAW,LOSS,9009999999,2300000000,130000000,192,107,10000000,50000000.0,4000000000,3,0,True,RIGHT_CENSORED,True,False,False,False,False
L2RAR2_R24_BOUNDARY_02_896002__R24C1_delayed_contact_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002,R24C1_delayed_contact_loss,RECOVERY_DISABLED,LOSS,2349999999,2350000000,180000000,52,48,50000000,50000000,50000000,4,0,True,RIGHT_CENSORED,True,False,False,False,False
L2RAR2_R24_BOUNDARY_02_896002__R24C2_loss_signal_missing__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002,R24C2_loss_signal_missing,O_C3_CLP3_CANONICAL_TIME,LOSS,3299999999,3300000000,1130000000,71,48,50000000,50000000,50000000,4,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_02_896002__R24C2_loss_signal_missing__O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002,R24C2_loss_signal_missing,O_C3_RAW,LOSS,3299999999,3300000000,1130000000,71,48,50000000,50000000,50000000,4,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_02_896002__R24C2_loss_signal_missing__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002,R24C2_loss_signal_missing,RECOVERY_DISABLED,LOSS,3299999999,3300000000,1130000000,71,48,50000000,50000000,50000000,4,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_02_896002__R24C3_partial_slip__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002,R24C3_partial_slip,O_C3_CLP3_CANONICAL_TIME,UNRESOLVED,6799999999,6800000000,,146,137,50000000,50000000.0,50000000,9,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_02_896002__R24C3_partial_slip__O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002,R24C3_partial_slip,O_C3_RAW,UNRESOLVED,8549999999,2150000000,,183,172,50000000,50000000,50000000,11,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_02_896002__R24C3_partial_slip__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002,R24C3_partial_slip,RECOVERY_DISABLED,UNRESOLVED,6799999999,6800000000,,146,137,50000000,50000000.0,50000000,9,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_02_896002__R24C4_multisource_missing_then_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002,R24C4_multisource_missing_then_loss,O_C3_CLP3_CANONICAL_TIME,LOSS,3299999999,3300000000,1130000000,71,48,50000000,50000000,50000000,4,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_02_896002__R24C4_multisource_missing_then_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002,R24C4_multisource_missing_then_loss,O_C3_RAW,LOSS,3299999999,3300000000,1130000000,71,48,50000000,50000000,50000000,4,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_02_896002__R24C4_multisource_missing_then_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002,R24C4_multisource_missing_then_loss,RECOVERY_DISABLED,LOSS,3299999999,3300000000,1130000000,71,48,50000000,50000000,50000000,4,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_02_896002__R24C5_active_release_conflict__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002,R24C5_active_release_conflict,O_C3_CLP3_CANONICAL_TIME,COMMANDED_RELEASE,2599999999,2600000000,,57,53,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_02_896002__R24C5_active_release_conflict__O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002,R24C5_active_release_conflict,O_C3_RAW,COMMANDED_RELEASE,2599999999,2600000000,,57,53,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_02_896002__R24C5_active_release_conflict__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002,R24C5_active_release_conflict,RECOVERY_DISABLED,COMMANDED_RELEASE,2599999999,2600000000,,57,53,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_02_896002__R24C6_relocation_error__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002,R24C6_relocation_error,O_C3_CLP3_CANONICAL_TIME,LOSS,6309999999,2250000000,80000000,133,49,10000000,50000000.0,50000000,3,0,True,RIGHT_CENSORED,False,False,False,False,False
L2RAR2_R24_BOUNDARY_02_896002__R24C6_relocation_error__O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002,R24C6_relocation_error,O_C3_RAW,LOSS,6309999999,2200000000,30000000,133,49,10000000,50000000.0,50000000,3,0,True,RIGHT_CENSORED,False,False,False,False,False
L2RAR2_R24_BOUNDARY_02_896002__R24C6_relocation_error__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002,R24C6_relocation_error,RECOVERY_DISABLED,LOSS,2309999999,2250000000,80000000,51,48,10000000,50000000,50000000,3,0,True,RIGHT_CENSORED,False,False,False,False,False
L2RAR2_R24_BOUNDARY_02_896002__R24C7_regrasp_disturbance__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002,R24C7_regrasp_disturbance,O_C3_CLP3_CANONICAL_TIME,LOSS,10759999999,2250000000,80000000,229,104,10000000,50000000,5750000000,3,0,True,RIGHT_CENSORED,False,False,False,False,False
L2RAR2_R24_BOUNDARY_02_896002__R24C7_regrasp_disturbance__O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002,R24C7_regrasp_disturbance,O_C3_RAW,LOSS,10759999999,2200000000,30000000,229,104,10000000,50000000,5750000000,3,0,True,RIGHT_CENSORED,False,False,False,False,False
L2RAR2_R24_BOUNDARY_02_896002__R24C7_regrasp_disturbance__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002,R24C7_regrasp_disturbance,RECOVERY_DISABLED,LOSS,2309999999,2250000000,80000000,51,48,10000000,50000000,50000000,3,0,True,RIGHT_CENSORED,False,False,False,False,False
L2RAR2_R24_BOUNDARY_02_896002__R24C8_secondary_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002,R24C8_secondary_loss,O_C3_CLP3_CANONICAL_TIME,LOSS,9009999999,2250000000,80000000,192,54,10000000,50000000,4850000000,3,0,True,RIGHT_CENSORED,False,False,False,False,False
L2RAR2_R24_BOUNDARY_02_896002__R24C8_secondary_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002,R24C8_secondary_loss,O_C3_RAW,LOSS,9009999999,2200000000,30000000,192,54,10000000,50000000,4850000000,3,0,True,RIGHT_CENSORED,False,False,False,False,False
L2RAR2_R24_BOUNDARY_02_896002__R24C8_secondary_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002,R24C8_secondary_loss,RECOVERY_DISABLED,LOSS,2309999999,2250000000,80000000,51,48,10000000,50000000,50000000,3,0,True,RIGHT_CENSORED,False,False,False,False,False
L2RAR2_R24_BOUNDARY_03_896003__R24C1_delayed_contact_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003,R24C1_delayed_contact_loss,O_C3_CLP3_CANONICAL_TIME,LOSS,9049999999,2650000000,230000000,193,182,50000000,50000000,50000000,11,0,True,RIGHT_CENSORED,True,False,False,False,False
L2RAR2_R24_BOUNDARY_03_896003__R24C1_delayed_contact_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003,R24C1_delayed_contact_loss,O_C3_RAW,UNRESOLVED,8999999999,2600000000,,192,181,50000000,50000000.0,50000000,11,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_03_896003__R24C1_delayed_contact_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003,R24C1_delayed_contact_loss,RECOVERY_DISABLED,LOSS,2649999999,2650000000,230000000,58,54,50000000,50000000,50000000,4,0,True,RIGHT_CENSORED,True,False,False,False,False
L2RAR2_R24_BOUNDARY_03_896003__R24C2_loss_signal_missing__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003,R24C2_loss_signal_missing,O_C3_CLP3_CANONICAL_TIME,LOSS,3299999999,3300000000,880000000,71,67,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,False
L2RAR2_R24_BOUNDARY_03_896003__R24C2_loss_signal_missing__O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003,R24C2_loss_signal_missing,O_C3_RAW,LOSS,3299999999,3300000000,880000000,71,67,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,False
L2RAR2_R24_BOUNDARY_03_896003__R24C2_loss_signal_missing__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003,R24C2_loss_signal_missing,RECOVERY_DISABLED,LOSS,3299999999,3300000000,880000000,71,67,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,False
L2RAR2_R24_BOUNDARY_03_896003__R24C3_partial_slip__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003,R24C3_partial_slip,O_C3_CLP3_CANONICAL_TIME,UNRESOLVED,6799999999,6800000000,,146,137,50000000,50000000.0,50000000,9,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_03_896003__R24C3_partial_slip__O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003,R24C3_partial_slip,O_C3_RAW,UNRESOLVED,8549999999,2150000000,,183,172,50000000,50000000,50000000,11,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_03_896003__R24C3_partial_slip__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003,R24C3_partial_slip,RECOVERY_DISABLED,UNRESOLVED,6799999999,6800000000,,146,137,50000000,50000000.0,50000000,9,0,True,,True,True,True,True,True
L2RAR2_R24_BOUNDARY_03_896003__R24C4_multisource_missing_then_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003,R24C4_multisource_missing_then_loss,O_C3_CLP3_CANONICAL_TIME,LOSS,3299999999,3300000000,880000000,71,67,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,False
L2RAR2_R24_BOUNDARY_03_896003__R24C4_multisource_missing_then_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003,R24C4_multisource_missing_then_loss,O_C3_RAW,LOSS,3299999999,3300000000,880000000,71,67,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,False
L2RAR2_R24_BOUNDARY_03_896003__R24C4_multisource_missing_then_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003,R24C4_multisource_missing_then_loss,RECOVERY_DISABLED,LOSS,3299999999,3300000000,880000000,71,67,50000000,50000000.0,50000000,4,0,True,,True,True,True,True,False
