metric,method,task_id,orientation,seed_group,mean,ci_low,ci_high,bootstrap_unit,n_units,n_episode_rows
recovery_local_positive,learned_linear_sarm,transport_recovery,recovery_chain,20260903,1.0,1.0,1.0,content_group_id,20,52
recovery_rank_error,learned_linear_sarm,transport_recovery,recovery_chain,20260903,0.0,0.0,0.0,content_group_id,20,52
recovery_delay_steps,learned_linear_sarm,transport_recovery,recovery_chain,20260903,0.0,0.0,0.0,content_group_id,20,52
cycle_net_reward,learned_linear_sarm,transport_recovery,recovery_chain,20260903,0.2818161815404892,0.28172335617244243,0.28191397428512577,content_group_id,20,52
control_monotonicity,learned_linear_sarm,transport_recovery,recovery_chain,20260904,0.9345507433742727,0.9224305106658046,0.9457013574660631,content_group_id,52,52
control_forward_sign_accuracy,learned_linear_sarm,transport_recovery,recovery_chain,20260904,1.0,1.0,1.0,content_group_id,52,52
control_terminal_progress,learned_linear_sarm,transport_recovery,recovery_chain,20260904,0.987449960066722,0.9874476182059599,0.9874522881439098,content_group_id,52,52
recovery_local_positive,learned_linear_sarm,transport_recovery,recovery_chain,20260904,1.0,1.0,1.0,content_group_id,20,52
recovery_rank_error,learned_linear_sarm,transport_recovery,recovery_chain,20260904,0.0,0.0,0.0,content_group_id,20,52
recovery_delay_steps,learned_linear_sarm,transport_recovery,recovery_chain,20260904,0.0,0.0,0.0,content_group_id,20,52
cycle_net_reward,learned_linear_sarm,transport_recovery,recovery_chain,20260904,0.2127862960100174,0.21257481053471566,0.21301903836429117,content_group_id,20,52
control_monotonicity,learned_linear_sarm,transport_recovery,recovery_chain,20260905,0.9203296703296703,0.9031957013574657,0.9371363930187457,content_group_id,52,52
control_forward_sign_accuracy,learned_linear_sarm,transport_recovery,recovery_chain,20260905,0.8076923076923074,0.7557692307692307,0.8596153846153844,content_group_id,52,52
control_terminal_progress,learned_linear_sarm,transport_recovery,recovery_chain,20260905,0.9784068705943915,0.978404192139323,0.9784096514662871,content_group_id,52,52
recovery_local_positive,learned_linear_sarm,transport_recovery,recovery_chain,20260905,1.0,1.0,1.0,content_group_id,20,52
recovery_rank_error,learned_linear_sarm,transport_recovery,recovery_chain,20260905,0.0,0.0,0.0,content_group_id,20,52
recovery_delay_steps,learned_linear_sarm,transport_recovery,recovery_chain,20260905,0.0,0.0,0.0,content_group_id,20,52
cycle_net_reward,learned_linear_sarm,transport_recovery,recovery_chain,20260905,0.15676386058330535,0.15649724408984184,0.15700450055301188,content_group_id,20,52
