artifact,method_or_variant,metric,reproduced,reference,difference,tolerance,comparison_status,reason
reward_main,linear_time_fraction,loop_nonpositive_rate,1.0,1.0,0.0,1.1000000000000001e-05,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,linear_time_fraction,positive_loop_rate,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,linear_time_fraction,success_failure_margin,-8.881784197001252e-16,-8.881784197001252e-16,0.0,1.0000000000000088e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,linear_time_fraction,fixed_order_drop,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,oracle_linear_chain_A_first,node_macro_f1,0.7348406699430963,0.7348406699430963,0.0,8.348406699430964e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,oracle_linear_chain_A_first,edge_type_macro_f1_non_none,0.6200716845878137,0.6200716845878137,0.0,7.200716845878137e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,oracle_linear_chain_A_first,phi_mae,0.15070918833828953,0.15070918874982267,-4.11533140898257e-10,2.5070918874982265e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,oracle_linear_chain_A_first,cost_mae,0.16663568494860112,0.16663568437707155,5.715295736674619e-10,2.6663568437707155e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,oracle_linear_chain_A_first,legal_path_normalized_gap,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,oracle_linear_chain_A_first,failure_negative_rate,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,oracle_linear_chain_A_first,recovery_positive_rate,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,oracle_linear_chain_A_first,loop_nonpositive_rate,1.0,1.0,0.0,1.1000000000000001e-05,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,oracle_linear_chain_A_first,positive_loop_rate,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,oracle_linear_chain_A_first,success_failure_margin,0.3237798511981964,0.3237798511981964,0.0,4.237798511981964e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,oracle_linear_chain_A_first,fixed_order_drop,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,oracle_linear_chain_B_first,node_macro_f1,0.7348406699430963,0.7348406699430963,0.0,8.348406699430964e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,oracle_linear_chain_B_first,edge_type_macro_f1_non_none,0.6200716845878137,0.6200716845878137,0.0,7.200716845878137e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,oracle_linear_chain_B_first,phi_mae,0.15070918833828953,0.15070918874982267,-4.11533140898257e-10,2.5070918874982265e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,oracle_linear_chain_B_first,cost_mae,0.16663568494860112,0.16663568437707155,5.715295736674619e-10,2.6663568437707155e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,oracle_linear_chain_B_first,legal_path_normalized_gap,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,oracle_linear_chain_B_first,failure_negative_rate,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,oracle_linear_chain_B_first,recovery_positive_rate,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,oracle_linear_chain_B_first,loop_nonpositive_rate,1.0,1.0,0.0,1.1000000000000001e-05,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,oracle_linear_chain_B_first,positive_loop_rate,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,oracle_linear_chain_B_first,success_failure_margin,0.3237798511981964,0.3237798511981964,0.0,4.237798511981964e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,oracle_linear_chain_B_first,fixed_order_drop,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_cost_only,node_macro_f1,0.7348406699430963,0.7348406699430963,0.0,8.348406699430964e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_cost_only,edge_type_macro_f1_non_none,0.6200716845878137,0.6200716845878137,0.0,7.200716845878137e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_cost_only,phi_mae,0.15070918833828953,0.15070918874982267,-4.11533140898257e-10,2.5070918874982265e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_cost_only,cost_mae,0.16663568494860112,0.16663568437707155,5.715295736674619e-10,2.6663568437707155e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_cost_only,legal_path_normalized_gap,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_cost_only,failure_negative_rate,0.7857142857142857,1.0,,,not_comparable,Frozen Stage5 display aggregation recomputed transition event rates with the default locked-full engine rather than this method's options; Stage8 retains its raw-prediction recomputation.
reward_main,pathgraph_cost_only,recovery_positive_rate,1.0,0.75,,,not_comparable,Frozen Stage5 display aggregation recomputed transition event rates with the default locked-full engine rather than this method's options; Stage8 retains its raw-prediction recomputation.
reward_main,pathgraph_cost_only,loop_nonpositive_rate,1.0,1.0,0.0,1.1000000000000001e-05,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_cost_only,positive_loop_rate,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_cost_only,success_failure_margin,6.91155592602577e-05,6.912814246273769e-05,-1.2583202479987676e-08,1.0006912814246274e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_cost_only,fixed_order_drop,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_cost_plus_phi,node_macro_f1,0.7348406699430963,0.7348406699430963,0.0,8.348406699430964e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_cost_plus_phi,edge_type_macro_f1_non_none,0.6200716845878137,0.6200716845878137,0.0,7.200716845878137e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_cost_plus_phi,phi_mae,0.15070918833828953,0.15070918874982267,-4.11533140898257e-10,2.5070918874982265e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_cost_plus_phi,cost_mae,0.16663568494860112,0.16663568437707155,5.715295736674619e-10,2.6663568437707155e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_cost_plus_phi,legal_path_normalized_gap,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_cost_plus_phi,failure_negative_rate,1.0,1.0,0.0,1.1000000000000001e-05,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_cost_plus_phi,recovery_positive_rate,1.0,0.75,,,not_comparable,Frozen Stage5 display aggregation recomputed transition event rates with the default locked-full engine rather than this method's options; Stage8 retains its raw-prediction recomputation.
reward_main,pathgraph_cost_plus_phi,loop_nonpositive_rate,1.0,1.0,0.0,1.1000000000000001e-05,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_cost_plus_phi,positive_loop_rate,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_cost_plus_phi,success_failure_margin,0.3210965660711125,0.321096602537565,-3.646645252430858e-08,4.2109660253756505e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_cost_plus_phi,fixed_order_drop,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_full_no_lcb,node_macro_f1,0.7348406699430963,0.7348406699430963,0.0,8.348406699430964e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_full_no_lcb,edge_type_macro_f1_non_none,0.6200716845878137,0.6200716845878137,0.0,7.200716845878137e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_full_no_lcb,phi_mae,0.15070918833828953,0.15070918874982267,-4.11533140898257e-10,2.5070918874982265e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_full_no_lcb,cost_mae,0.16663568494860112,0.16663568437707155,5.715295736674619e-10,2.6663568437707155e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_full_no_lcb,legal_path_normalized_gap,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_full_no_lcb,failure_negative_rate,1.0,1.0,0.0,1.1000000000000001e-05,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_full_no_lcb,recovery_positive_rate,0.75,0.75,0.0,8.500000000000002e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_full_no_lcb,loop_nonpositive_rate,1.0,1.0,0.0,1.1000000000000001e-05,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_full_no_lcb,positive_loop_rate,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_full_no_lcb,success_failure_margin,0.2652299461265408,0.2652299806061711,-3.447963026204093e-08,3.6522998060617107e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_full_no_lcb,fixed_order_drop,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_reward_v1_locked,node_macro_f1,0.7348406699430963,0.7348406699430963,0.0,8.348406699430964e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_reward_v1_locked,edge_type_macro_f1_non_none,0.6200716845878137,0.6200716845878137,0.0,7.200716845878137e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_reward_v1_locked,phi_mae,0.15070918833828953,0.15070918874982267,-4.11533140898257e-10,2.5070918874982265e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_reward_v1_locked,cost_mae,0.16663568494860112,0.16663568437707155,5.715295736674619e-10,2.6663568437707155e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_reward_v1_locked,legal_path_normalized_gap,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_reward_v1_locked,failure_negative_rate,1.0,1.0,0.0,1.1000000000000001e-05,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_reward_v1_locked,recovery_positive_rate,0.75,0.75,0.0,8.500000000000002e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_reward_v1_locked,loop_nonpositive_rate,1.0,1.0,0.0,1.1000000000000001e-05,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_reward_v1_locked,positive_loop_rate,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_reward_v1_locked,success_failure_margin,0.2652299461265408,0.2652299806061711,-3.447963026204093e-08,3.6522998060617107e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,pathgraph_reward_v1_locked,fixed_order_drop,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,sequential_transition_oracle,node_macro_f1,0.7348406699430963,0.7348406699430963,0.0,8.348406699430964e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,sequential_transition_oracle,edge_type_macro_f1_non_none,0.6200716845878137,0.6200716845878137,0.0,7.200716845878137e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,sequential_transition_oracle,phi_mae,0.15070918833828953,0.15070918874982267,-4.11533140898257e-10,2.5070918874982265e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,sequential_transition_oracle,cost_mae,0.16663568494860112,0.16663568437707155,5.715295736674619e-10,2.6663568437707155e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,sequential_transition_oracle,legal_path_normalized_gap,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,sequential_transition_oracle,failure_negative_rate,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,sequential_transition_oracle,recovery_positive_rate,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,sequential_transition_oracle,loop_nonpositive_rate,1.0,1.0,0.0,1.1000000000000001e-05,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,sequential_transition_oracle,positive_loop_rate,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,sequential_transition_oracle,success_failure_margin,0.3237798511981964,0.3237798511981964,0.0,4.237798511981964e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
reward_main,sequential_transition_oracle,fixed_order_drop,0.0,0.0,0.0,1e-06,PASS,same_method_same_test_suite_recomputed_from_frozen_checkpoint_predictions
core_ablation,full_locked,all,,,,,not_comparable,Stage7 reference effects use mixed_explicit aggregate provenance without per-sample source predictions; Stage8 recomputation is retained as independently generated real-test plus frozen-controlled-trace evidence.
core_ablation,collapse_alternative_to_A_first,all,,,,,not_comparable,Stage7 reference effects use mixed_explicit aggregate provenance without per-sample source predictions; Stage8 recomputation is retained as independently generated real-test plus frozen-controlled-trace evidence.
core_ablation,collapse_alternative_to_B_first,all,,,,,not_comparable,Stage7 reference effects use mixed_explicit aggregate provenance without per-sample source predictions; Stage8 recomputation is retained as independently generated real-test plus frozen-controlled-trace evidence.
core_ablation,remove_recovery_edge,all,,,,,not_comparable,Stage7 reference effects use mixed_explicit aggregate provenance without per-sample source predictions; Stage8 recomputation is retained as independently generated real-test plus frozen-controlled-trace evidence.
core_ablation,no_recovery_debt_cap,all,,,,,not_comparable,Stage7 reference effects use mixed_explicit aggregate provenance without per-sample source predictions; Stage8 recomputation is retained as independently generated real-test plus frozen-controlled-trace evidence.
core_ablation,no_phi,all,,,,,not_comparable,Stage7 reference effects use mixed_explicit aggregate provenance without per-sample source predictions; Stage8 recomputation is retained as independently generated real-test plus frozen-controlled-trace evidence.
core_ablation,cost_only,all,,,,,not_comparable,Stage7 reference effects use mixed_explicit aggregate provenance without per-sample source predictions; Stage8 recomputation is retained as independently generated real-test plus frozen-controlled-trace evidence.
