episode_id,content_group_id,task_id,scenario,case_type,outcome,method,orientation,seed,cumulative_reward,control_monotonicity,control_forward_sign_accuracy,control_terminal_progress,terminal_progress,alternative_legal_negative_rate,time_fraction_failure_reward,outcome_success,failure_sign_accuracy,recovery_net_reward,recovery_local_positive,recovery_rank_error,recovery_delay_steps,cycle_net_reward,n_episode_rows
transport_recovery__0016,36bf104029b650b0,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260904,0.7440046817064285,0.9915966386554622,1.0,0.9874457120895386,0.9874457120895386,,,1.0,,,,,,,1
transport_recovery__0017,7c8b4b934da89a5d,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260904,0.7440796345472336,0.9663865546218487,1.0,0.9874561429023743,0.9874561429023743,,,1.0,,,,,,,1
transport_recovery__0018,2ee86b3c50400e39,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260904,0.7438362240791321,0.9663865546218487,1.0,0.9874562621116638,0.9874562621116638,,,1.0,,,,,,,1
transport_recovery__0019,66b4fa500b5d61be,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260904,0.7442980110645294,0.9663865546218487,1.0,0.9874637126922607,0.9874637126922607,,,1.0,,,,,,,1
transport_recovery__0000,48192627e0ecdae9,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260905,0.7866002768278122,0.9747899159663865,1.0,0.9784038662910461,0.9784038662910461,,,1.0,,,,,,,1
transport_recovery__0001,4cfce12dac6f1852,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260905,0.7862249910831451,0.9663865546218487,1.0,0.9784093499183655,0.9784093499183655,,,1.0,,,,,,,1
transport_recovery__0002,837420c3bbd731ac,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260905,0.7863567620515823,0.9831932773109243,1.0,0.978420078754425,0.978420078754425,,,1.0,,,,,,,1
transport_recovery__0003,2f640d3128f9a261,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260905,0.7864609062671661,0.9915966386554622,1.0,0.9783937335014343,0.9783937335014343,,,1.0,,,,,,,1
transport_recovery__0004,ae210ba3a43c0910,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260905,0.786396399140358,0.957983193277311,1.0,0.978416919708252,0.978416919708252,,,1.0,,,,,,,1
transport_recovery__0005,66e9524f274ef99f,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260905,0.7863180488348007,0.9663865546218487,1.0,0.9784115552902222,0.9784115552902222,,,1.0,,,,,,,1
transport_recovery__0006,ea43d5392b366608,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260905,0.7861807346343994,0.9747899159663865,1.0,0.9784277677536011,0.9784277677536011,,,1.0,,,,,,,1
transport_recovery__0007,1c73f1887e153691,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260905,0.7865549325942993,0.9831932773109243,1.0,0.9784126877784729,0.9784126877784729,,,1.0,,,,,,,1
transport_recovery__0008,5693f89cc383bd64,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260905,0.786286860704422,0.9747899159663865,1.0,0.9784247875213623,0.9784247875213623,,,1.0,,,,,,,1
transport_recovery__0009,1adab7de79a087b3,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260905,0.7862434983253479,0.9663865546218487,1.0,0.9784178137779236,0.9784178137779236,,,1.0,,,,,,,1
transport_recovery__0010,f9f56194a3c4cb04,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260905,0.7866065800189972,0.9747899159663865,1.0,0.9784214496612549,0.9784214496612549,,,1.0,,,,,,,1
transport_recovery__0011,c00409929997554a,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260905,0.7863820344209671,0.9747899159663865,1.0,0.9783848524093628,0.9783848524093628,,,1.0,,,,,,,1
transport_recovery__0012,7138dc8d62bfd4ec,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260905,0.7862810045480728,0.9663865546218487,1.0,0.9784107208251953,0.9784107208251953,,,1.0,,,,,,,1
transport_recovery__0013,58fa7ac9b1b05129,transport_recovery,natural_success,canonical_chain,success,learned_linear_sarm,recovery_chain,20260905,0.7864753752946854,0.9831932773109243,1.0,0.9784107208251953,0.9784107208251953,,,1.0,,,,,,,1
