artifact_id,status,reason,n_observations,n_actions,n_transitions
transport_recovery__controlled_failure__004,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__005,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__006,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__007,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__008,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__009,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__010,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__011,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__012,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__013,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__014,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__015,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__016,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__017,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__018,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__019,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__020,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__021,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__022,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__023,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__024,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__025,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__026,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__027,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__028,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__029,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__030,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__031,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__032,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__033,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__034,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__035,canonicalized,actual_applied,7,7,6
transport_recovery__controlled_failure__036,canonicalized,actual_applied,7,7,6
