episode_id,loss_id,closure,start,end,FULL_signed
P1V5_F03_920003__R2_loss_at_40pct_recover_success,P1V5_F03_920003__R2_loss_at_40pct_recover_success:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F03_920003__R3_loss_at_80pct_recover_success,P1V5_F03_920003__R3_loss_at_80pct_recover_success:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F03_920003__R4_three_cycles_at_40pct_then_success,P1V5_F03_920003__R4_three_cycles_at_40pct_then_success:obj:45:1,APPROXIMATE_TASK_RETURN,44,126,0.17610284834452403
P1V5_F03_920003__R4_three_cycles_at_40pct_then_success,P1V5_F03_920003__R4_three_cycles_at_40pct_then_success:obj:127:2,APPROXIMATE_TASK_RETURN,126,208,0.17575073533990745
P1V5_F03_920003__R4_three_cycles_at_40pct_then_success,P1V5_F03_920003__R4_three_cycles_at_40pct_then_success:obj:209:3,NO_OBSERVED_RETURN,208,,
P1V5_F03_920003__R5_three_cycles_at_80pct_then_success,P1V5_F03_920003__R5_three_cycles_at_80pct_then_success:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F03_920003__R5_three_cycles_at_80pct_then_success,P1V5_F03_920003__R5_three_cycles_at_80pct_then_success:obj:127:2,APPROXIMATE_TASK_RETURN,126,208,0.15635378809047434
P1V5_F03_920003__R5_three_cycles_at_80pct_then_success,P1V5_F03_920003__R5_three_cycles_at_80pct_then_success:obj:209:3,NO_OBSERVED_RETURN,208,,
P1V5_F03_920003__R6_three_closed_cycles_then_stop,P1V5_F03_920003__R6_three_closed_cycles_then_stop:obj:45:1,APPROXIMATE_TASK_RETURN,44,126,0.17610284834452403
P1V5_F03_920003__R6_three_closed_cycles_then_stop,P1V5_F03_920003__R6_three_closed_cycles_then_stop:obj:127:2,APPROXIMATE_TASK_RETURN,126,208,0.17575073533990745
P1V5_F03_920003__R6_three_closed_cycles_then_stop,P1V5_F03_920003__R6_three_closed_cycles_then_stop:obj:209:3,NO_OBSERVED_RETURN,208,,
P1V5_F03_920003__R7_loss_recovery_started_not_completed_terminal,P1V5_F03_920003__R7_loss_recovery_started_not_completed_terminal:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F04_920004__D3_A_done_B_loss_recovery_then_success,P1V5_F04_920004__D3_A_done_B_loss_recovery_then_success:B:99:1,NO_OBSERVED_RETURN,98,,
P1V5_F04_920004__D4_B_done_A_loss_recovery_then_success,P1V5_F04_920004__D4_B_done_A_loss_recovery_then_success:A:99:1,NO_OBSERVED_RETURN,98,,
P1V5_F04_920004__R2_loss_at_40pct_recover_success,P1V5_F04_920004__R2_loss_at_40pct_recover_success:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F04_920004__R3_loss_at_80pct_recover_success,P1V5_F04_920004__R3_loss_at_80pct_recover_success:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F04_920004__R4_three_cycles_at_40pct_then_success,P1V5_F04_920004__R4_three_cycles_at_40pct_then_success:obj:45:1,APPROXIMATE_TASK_RETURN,44,126,0.18904639744398335
P1V5_F04_920004__R4_three_cycles_at_40pct_then_success,P1V5_F04_920004__R4_three_cycles_at_40pct_then_success:obj:127:2,APPROXIMATE_TASK_RETURN,126,208,0.18870569465189682
P1V5_F04_920004__R4_three_cycles_at_40pct_then_success,P1V5_F04_920004__R4_three_cycles_at_40pct_then_success:obj:209:3,NO_OBSERVED_RETURN,208,,
P1V5_F04_920004__R5_three_cycles_at_80pct_then_success,P1V5_F04_920004__R5_three_cycles_at_80pct_then_success:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F04_920004__R5_three_cycles_at_80pct_then_success,P1V5_F04_920004__R5_three_cycles_at_80pct_then_success:obj:127:2,APPROXIMATE_TASK_RETURN,126,208,0.16678240626941454
P1V5_F04_920004__R5_three_cycles_at_80pct_then_success,P1V5_F04_920004__R5_three_cycles_at_80pct_then_success:obj:209:3,NO_OBSERVED_RETURN,208,,
P1V5_F04_920004__R6_three_closed_cycles_then_stop,P1V5_F04_920004__R6_three_closed_cycles_then_stop:obj:45:1,APPROXIMATE_TASK_RETURN,44,126,0.18904639744398335
P1V5_F04_920004__R6_three_closed_cycles_then_stop,P1V5_F04_920004__R6_three_closed_cycles_then_stop:obj:127:2,APPROXIMATE_TASK_RETURN,126,208,0.18870569465189682
P1V5_F04_920004__R6_three_closed_cycles_then_stop,P1V5_F04_920004__R6_three_closed_cycles_then_stop:obj:209:3,NO_OBSERVED_RETURN,208,,
P1V5_F04_920004__R7_loss_recovery_started_not_completed_terminal,P1V5_F04_920004__R7_loss_recovery_started_not_completed_terminal:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F05_920005__D3_A_done_B_loss_recovery_then_success,P1V5_F05_920005__D3_A_done_B_loss_recovery_then_success:B:99:1,NO_OBSERVED_RETURN,98,,
P1V5_F05_920005__D4_B_done_A_loss_recovery_then_success,P1V5_F05_920005__D4_B_done_A_loss_recovery_then_success:A:99:1,NO_OBSERVED_RETURN,98,,
P1V5_F05_920005__R2_loss_at_40pct_recover_success,P1V5_F05_920005__R2_loss_at_40pct_recover_success:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F05_920005__R3_loss_at_80pct_recover_success,P1V5_F05_920005__R3_loss_at_80pct_recover_success:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F05_920005__R4_three_cycles_at_40pct_then_success,P1V5_F05_920005__R4_three_cycles_at_40pct_then_success:obj:45:1,APPROXIMATE_TASK_RETURN,44,126,0.17871497151578694
P1V5_F05_920005__R4_three_cycles_at_40pct_then_success,P1V5_F05_920005__R4_three_cycles_at_40pct_then_success:obj:127:2,APPROXIMATE_TASK_RETURN,126,208,0.1783651630786657
P1V5_F05_920005__R4_three_cycles_at_40pct_then_success,P1V5_F05_920005__R4_three_cycles_at_40pct_then_success:obj:209:3,NO_OBSERVED_RETURN,208,,
P1V5_F05_920005__R5_three_cycles_at_80pct_then_success,P1V5_F05_920005__R5_three_cycles_at_80pct_then_success:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F05_920005__R5_three_cycles_at_80pct_then_success,P1V5_F05_920005__R5_three_cycles_at_80pct_then_success:obj:127:2,APPROXIMATE_TASK_RETURN,126,208,0.15846346099731407
P1V5_F05_920005__R5_three_cycles_at_80pct_then_success,P1V5_F05_920005__R5_three_cycles_at_80pct_then_success:obj:209:3,NO_OBSERVED_RETURN,208,,
P1V5_F05_920005__R6_three_closed_cycles_then_stop,P1V5_F05_920005__R6_three_closed_cycles_then_stop:obj:45:1,APPROXIMATE_TASK_RETURN,44,126,0.17871497151578694
P1V5_F05_920005__R6_three_closed_cycles_then_stop,P1V5_F05_920005__R6_three_closed_cycles_then_stop:obj:127:2,APPROXIMATE_TASK_RETURN,126,208,0.1783651630786657
P1V5_F05_920005__R6_three_closed_cycles_then_stop,P1V5_F05_920005__R6_three_closed_cycles_then_stop:obj:209:3,NO_OBSERVED_RETURN,208,,
P1V5_F05_920005__R7_loss_recovery_started_not_completed_terminal,P1V5_F05_920005__R7_loss_recovery_started_not_completed_terminal:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F06_920006__D3_A_done_B_loss_recovery_then_success,P1V5_F06_920006__D3_A_done_B_loss_recovery_then_success:B:99:1,NO_OBSERVED_RETURN,98,,
P1V5_F06_920006__D4_B_done_A_loss_recovery_then_success,P1V5_F06_920006__D4_B_done_A_loss_recovery_then_success:A:99:1,NO_OBSERVED_RETURN,98,,
P1V5_F06_920006__R2_loss_at_40pct_recover_success,P1V5_F06_920006__R2_loss_at_40pct_recover_success:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F06_920006__R3_loss_at_80pct_recover_success,P1V5_F06_920006__R3_loss_at_80pct_recover_success:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F06_920006__R4_three_cycles_at_40pct_then_success,P1V5_F06_920006__R4_three_cycles_at_40pct_then_success:obj:45:1,APPROXIMATE_TASK_RETURN,44,126,0.18699128982835103
P1V5_F06_920006__R4_three_cycles_at_40pct_then_success,P1V5_F06_920006__R4_three_cycles_at_40pct_then_success:obj:127:2,APPROXIMATE_TASK_RETURN,126,208,0.18664889346866734
P1V5_F06_920006__R4_three_cycles_at_40pct_then_success,P1V5_F06_920006__R4_three_cycles_at_40pct_then_success:obj:209:3,NO_OBSERVED_RETURN,208,,
P1V5_F06_920006__R5_three_cycles_at_80pct_then_success,P1V5_F06_920006__R5_three_cycles_at_80pct_then_success:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F06_920006__R5_three_cycles_at_80pct_then_success,P1V5_F06_920006__R5_three_cycles_at_80pct_then_success:obj:127:2,APPROXIMATE_TASK_RETURN,126,208,0.34903997414355037
P1V5_F06_920006__R5_three_cycles_at_80pct_then_success,P1V5_F06_920006__R5_three_cycles_at_80pct_then_success:obj:209:3,NO_OBSERVED_RETURN,208,,
P1V5_F06_920006__R6_three_closed_cycles_then_stop,P1V5_F06_920006__R6_three_closed_cycles_then_stop:obj:45:1,APPROXIMATE_TASK_RETURN,44,126,0.18699128982835103
P1V5_F06_920006__R6_three_closed_cycles_then_stop,P1V5_F06_920006__R6_three_closed_cycles_then_stop:obj:127:2,APPROXIMATE_TASK_RETURN,126,208,0.18664889346866734
P1V5_F06_920006__R6_three_closed_cycles_then_stop,P1V5_F06_920006__R6_three_closed_cycles_then_stop:obj:209:3,NO_OBSERVED_RETURN,208,,
P1V5_F06_920006__R7_loss_recovery_started_not_completed_terminal,P1V5_F06_920006__R7_loss_recovery_started_not_completed_terminal:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F07_920007__D3_A_done_B_loss_recovery_then_success,P1V5_F07_920007__D3_A_done_B_loss_recovery_then_success:B:99:1,NO_OBSERVED_RETURN,98,,
P1V5_F07_920007__D4_B_done_A_loss_recovery_then_success,P1V5_F07_920007__D4_B_done_A_loss_recovery_then_success:A:99:1,NO_OBSERVED_RETURN,98,,
P1V5_F07_920007__R2_loss_at_40pct_recover_success,P1V5_F07_920007__R2_loss_at_40pct_recover_success:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F07_920007__R3_loss_at_80pct_recover_success,P1V5_F07_920007__R3_loss_at_80pct_recover_success:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F07_920007__R4_three_cycles_at_40pct_then_success,P1V5_F07_920007__R4_three_cycles_at_40pct_then_success:obj:45:1,APPROXIMATE_TASK_RETURN,44,126,0.14771668470289182
P1V5_F07_920007__R4_three_cycles_at_40pct_then_success,P1V5_F07_920007__R4_three_cycles_at_40pct_then_success:obj:127:2,APPROXIMATE_TASK_RETURN,126,208,0.14733984135564857
P1V5_F07_920007__R4_three_cycles_at_40pct_then_success,P1V5_F07_920007__R4_three_cycles_at_40pct_then_success:obj:209:3,NO_OBSERVED_RETURN,208,,
P1V5_F07_920007__R5_three_cycles_at_80pct_then_success,P1V5_F07_920007__R5_three_cycles_at_80pct_then_success:obj:45:1,NO_OBSERVED_RETURN,44,,
P1V5_F07_920007__R5_three_cycles_at_80pct_then_success,P1V5_F07_920007__R5_three_cycles_at_80pct_then_success:obj:127:2,APPROXIMATE_TASK_RETURN,126,208,0.13058871476793366
P1V5_F07_920007__R5_three_cycles_at_80pct_then_success,P1V5_F07_920007__R5_three_cycles_at_80pct_then_success:obj:209:3,NO_OBSERVED_RETURN,208,,
P1V5_F07_920007__R6_three_closed_cycles_then_stop,P1V5_F07_920007__R6_three_closed_cycles_then_stop:obj:45:1,APPROXIMATE_TASK_RETURN,44,126,0.14771668470289182
P1V5_F07_920007__R6_three_closed_cycles_then_stop,P1V5_F07_920007__R6_three_closed_cycles_then_stop:obj:127:2,APPROXIMATE_TASK_RETURN,126,208,0.14733984135564857
P1V5_F07_920007__R6_three_closed_cycles_then_stop,P1V5_F07_920007__R6_three_closed_cycles_then_stop:obj:209:3,NO_OBSERVED_RETURN,208,,
P1V5_F07_920007__R7_loss_recovery_started_not_completed_terminal,P1V5_F07_920007__R7_loss_recovery_started_not_completed_terminal:obj:45:1,NO_OBSERVED_RETURN,44,,
