state_hash,condition,profile,expert_action,expert_geom_rank,expert_graph_rank,reference
0036207be9a58c5ecd227efba65684fd9e28b31277ed9c5d85b2283f9daf74dc,TWO_LOSSES,BASE64,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
00105f543e59d733b889dfd30793420502c13125e1865c62687b2e4579620b61,TWO_LOSSES,BASE64,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
00d646886fc23545a71517a4a91dbdb23776f596f4ea2b58d65c2ef6243c4ee1,TWO_LOSSES,BASE64,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
00109d4c2a309dbf8e65fad297734bc3d2503b68e07e6602294e5fcc759d7ea5,A_STARTED,BASE64,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
00109d506f3700bb52d80c8882b461d66d807369357277164a98cf7a523bec63,LATE_LOSS,BASE64,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0010b953e80d066cb13d61863bbdfeb01b841c831efc1d00652e940fece556d7,B_STARTED,LONG_CHAIN128,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0011de522f80b99a3baba2bf513fe1f6842ac84b147fc5da93ee1ac6cf8ad924,FREE_ORDER,BASE64,ACQUIRE_B,8,2,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0012f5e0b0a325b4314fc513d9dcad5447973d34263342f7592262b215744b08,FREE_ORDER,BASE64,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0013382d2b487c47dcee2b84dab5ad17d637ed1b751f257dd82be20b99d6e3ab,FREE_ORDER,BASE64,PLACE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
004d8043abc22342c75f81d1b75f612076efd784635aa7eb04f0f4c81c9c6d4b,TWO_LOSSES,LONG_CHAIN128,START_RECOVERY_A,5,5,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0014c888951e79375215ab1e744593e291f1ebe768a4156fdd519571af76de48,TWO_LOSSES,LONG_CHAIN128,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0015441e854cd4980a934e34833581e5eb874543a25702c00160be1e4aeec5bb,LATE_LOSS,LONG_CHAIN128,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0149f93d5b4f8a1c99a8f892e6365a63d8d058dc12b9a05ae8c9d362bd448cf2,LATE_LOSS,LONG_CHAIN128,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
00185934bc247853e1d4ab113f684dc1f6105e62468aa0ec119363fc2c538420,LATE_LOSS,LONG_CHAIN128,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0018a6296cb5da844e384d545a2cf5b2ffc1be0a34969228d5e08a981e33b659,TWO_LOSSES,LONG_CHAIN128,ADVANCE_A,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
001a73b953631ddf20f2aee4472d202d322351ada6bf1cfaab806267744ac5dd,B_STARTED,LONG_CHAIN128,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
001b1e6014a8d65158ab472a075bafe4197331b36c8d3edea9f0e335e762981f,A_VALID_B_LOSS,BASE64,START_RECOVERY_A,5,6,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
001c504f94627177ba0c13a5af77ea14e7b02a9a19fd6afdc4e7ebe7562908ed,INVALIDATE_FIRST,LONG_CHAIN128,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
001f04dad2f370c4abac2c7cfc493b7537d84071f136cfcd507f5f86b000b2bf,TWO_LOSSES,LONG_CHAIN128,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
002091714d9dbce4d7b3ca6caf0a7e3af1db98ba81cf494530ff5d6c8bdfd756,LATE_LOSS,BASE64,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
01377e247d7ef6f2bb9e8f91cb0c93a4914dfa3532adae236f63d63d31040bae,A_VALID_B_LOSS,LONG_CHAIN128,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
0020ed27786a63acd3d84525f52e224e62975e0db296a0f8a43353f6fe160831,A_VALID_B_LOSS,LONG_CHAIN128,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
002124b6dd67a46cd499ddf197973fa596311d25e893e2ed71c0d3f39548155a,LATE_LOSS,LONG_CHAIN128,START_RECOVERY_B,11,11,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
015b43b680e00e8cb792e616cd9341bf5ac6f1d2a0afdd8db51718aba17986a9,TWO_LOSSES,LONG_CHAIN128,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
002178072928b6bd9a3015b818e4c2beeb6eea8fafd78f2a913b1afd0658150c,TWO_LOSSES,LONG_CHAIN128,ADVANCE_B,1,1,DIAGNOSTIC_CURRENT_STATE_HEURISTIC;NOT_POLICY_INPUT;NOT_TEACHER_TAKEOVER;NOT_TEST_SUCCESS_DEFINITION
