method,policy_seed,training_complete,test_episodes,repeat0_episode_specs,episodes_path,traces_path,traces_bytes
COUNT_PBRS,229,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_PBRS/seed_229/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_PBRS/seed_229/fixed_subset_traces.jsonl,55688835
COUNT_PBRS,233,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_PBRS/seed_233/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_PBRS/seed_233/fixed_subset_traces.jsonl,66033552
COUNT_PBRS,239,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_PBRS/seed_239/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_PBRS/seed_239/fixed_subset_traces.jsonl,51642031
COUNT_PBRS,241,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_PBRS/seed_241/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_PBRS/seed_241/fixed_subset_traces.jsonl,55164266
COUNT_PBRS,251,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_PBRS/seed_251/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_PBRS/seed_251/fixed_subset_traces.jsonl,63781563
COUNT_EVENTS_PBRS,211,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_EVENTS_PBRS/seed_211/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_EVENTS_PBRS/seed_211/fixed_subset_traces.jsonl,54393946
COUNT_EVENTS_PBRS,223,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_EVENTS_PBRS/seed_223/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_EVENTS_PBRS/seed_223/fixed_subset_traces.jsonl,71038992
COUNT_EVENTS_PBRS,227,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_EVENTS_PBRS/seed_227/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_EVENTS_PBRS/seed_227/fixed_subset_traces.jsonl,138364343
COUNT_EVENTS_PBRS,229,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_EVENTS_PBRS/seed_229/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_EVENTS_PBRS/seed_229/fixed_subset_traces.jsonl,53467586
COUNT_EVENTS_PBRS,233,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_EVENTS_PBRS/seed_233/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_EVENTS_PBRS/seed_233/fixed_subset_traces.jsonl,135979745
COUNT_EVENTS_PBRS,239,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_EVENTS_PBRS/seed_239/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_EVENTS_PBRS/seed_239/fixed_subset_traces.jsonl,137581062
COUNT_EVENTS_PBRS,241,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_EVENTS_PBRS/seed_241/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_EVENTS_PBRS/seed_241/fixed_subset_traces.jsonl,68134066
COUNT_EVENTS_PBRS,251,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_EVENTS_PBRS/seed_251/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/COUNT_EVENTS_PBRS/seed_251/fixed_subset_traces.jsonl,56823316
GEOM_COUNT_EVENTS_PBRS,211,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GEOM_COUNT_EVENTS_PBRS/seed_211/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GEOM_COUNT_EVENTS_PBRS/seed_211/fixed_subset_traces.jsonl,75358274
GEOM_COUNT_EVENTS_PBRS,223,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GEOM_COUNT_EVENTS_PBRS/seed_223/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GEOM_COUNT_EVENTS_PBRS/seed_223/fixed_subset_traces.jsonl,64927281
GEOM_COUNT_EVENTS_PBRS,227,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GEOM_COUNT_EVENTS_PBRS/seed_227/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GEOM_COUNT_EVENTS_PBRS/seed_227/fixed_subset_traces.jsonl,44993291
GEOM_COUNT_EVENTS_PBRS,229,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GEOM_COUNT_EVENTS_PBRS/seed_229/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GEOM_COUNT_EVENTS_PBRS/seed_229/fixed_subset_traces.jsonl,54112661
GEOM_COUNT_EVENTS_PBRS,233,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GEOM_COUNT_EVENTS_PBRS/seed_233/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GEOM_COUNT_EVENTS_PBRS/seed_233/fixed_subset_traces.jsonl,65839099
GEOM_COUNT_EVENTS_PBRS,239,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GEOM_COUNT_EVENTS_PBRS/seed_239/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GEOM_COUNT_EVENTS_PBRS/seed_239/fixed_subset_traces.jsonl,88259981
GEOM_COUNT_EVENTS_PBRS,241,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GEOM_COUNT_EVENTS_PBRS/seed_241/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GEOM_COUNT_EVENTS_PBRS/seed_241/fixed_subset_traces.jsonl,55063373
GEOM_COUNT_EVENTS_PBRS,251,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GEOM_COUNT_EVENTS_PBRS/seed_251/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GEOM_COUNT_EVENTS_PBRS/seed_251/fixed_subset_traces.jsonl,68915518
GRAPH_COST_PBRS,211,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_COST_PBRS/seed_211/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_COST_PBRS/seed_211/fixed_subset_traces.jsonl,59777268
GRAPH_COST_PBRS,223,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_COST_PBRS/seed_223/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_COST_PBRS/seed_223/fixed_subset_traces.jsonl,51340702
GRAPH_COST_PBRS,227,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_COST_PBRS/seed_227/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_COST_PBRS/seed_227/fixed_subset_traces.jsonl,72276980
GRAPH_COST_PBRS,229,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_COST_PBRS/seed_229/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_COST_PBRS/seed_229/fixed_subset_traces.jsonl,58985055
GRAPH_COST_PBRS,233,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_COST_PBRS/seed_233/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_COST_PBRS/seed_233/fixed_subset_traces.jsonl,91717903
GRAPH_COST_PBRS,239,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_COST_PBRS/seed_239/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_COST_PBRS/seed_239/fixed_subset_traces.jsonl,63313254
GRAPH_COST_PBRS,241,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_COST_PBRS/seed_241/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_COST_PBRS/seed_241/fixed_subset_traces.jsonl,53861036
GRAPH_COST_PBRS,251,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_COST_PBRS/seed_251/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_COST_PBRS/seed_251/fixed_subset_traces.jsonl,59814669
GRAPH_FULL_PBRS,211,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_FULL_PBRS/seed_211/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_FULL_PBRS/seed_211/fixed_subset_traces.jsonl,53638532
GRAPH_FULL_PBRS,223,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_FULL_PBRS/seed_223/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_FULL_PBRS/seed_223/fixed_subset_traces.jsonl,68981418
GRAPH_FULL_PBRS,227,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_FULL_PBRS/seed_227/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_FULL_PBRS/seed_227/fixed_subset_traces.jsonl,56893011
GRAPH_FULL_PBRS,229,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_FULL_PBRS/seed_229/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_FULL_PBRS/seed_229/fixed_subset_traces.jsonl,54500270
GRAPH_FULL_PBRS,233,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_FULL_PBRS/seed_233/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_FULL_PBRS/seed_233/fixed_subset_traces.jsonl,53606687
GRAPH_FULL_PBRS,239,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_FULL_PBRS/seed_239/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_FULL_PBRS/seed_239/fixed_subset_traces.jsonl,67057256
GRAPH_FULL_PBRS,241,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_FULL_PBRS/seed_241/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_FULL_PBRS/seed_241/fixed_subset_traces.jsonl,75202189
GRAPH_FULL_PBRS,251,True,2048,512,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_FULL_PBRS/seed_251/episodes.jsonl,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/test/GRAPH_FULL_PBRS/seed_251/fixed_subset_traces.jsonl,61023416
