method,policy_seed,checkpoint_step,path,exists,bytes,sha256,is_final
TASK_ONLY,251,32768,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_251/policy_32768.zip,True,546204,40576f692e5540403a2ae3836555acfc1622b78de57a95dac8fee0fe7f074329,False
TASK_ONLY,251,65536,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_251/policy_65536.zip,True,546208,0a7c797d5a1623bdb812448f7ceb72aa70d303635e0c031df200d381ffebafff,False
TASK_ONLY,251,131072,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_251/policy_131072.zip,True,546210,42573e4e5d522471471ee5144ca65b5c8705a79eaf930ebad3df9c1a26925235,False
TASK_ONLY,251,262144,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_251/policy_262144.zip,True,546212,885d3824e42985a10a3a19ad2fc4e970e06ba8c6434e0036d804f2b138d9afde,False
TASK_ONLY,251,524288,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/TASK_ONLY/seed_251/policy_524288.zip,True,546212,9db6b1e5e4b712354599f103b2938de57ef9eefe357e17f3160f09b68300af40,True
COUNT_PBRS,211,0,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_211/policy_0.zip,True,191552,e3fad0c3850afbd2444e0c311ba48b20b78512c9251babfb76904894c11875a7,False
COUNT_PBRS,211,32768,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_211/policy_32768.zip,True,546204,6110888281bbaadf3d3b0aa82e6fe68fb84ad415a584fd464535e09281f6efc5,False
COUNT_PBRS,211,65536,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_211/policy_65536.zip,True,546208,96c994d213a6f38eb4bf0c1325595bcf43f09bf33628dfa4f5604402662ffa5c,False
COUNT_PBRS,211,131072,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_211/policy_131072.zip,True,546210,0beba404f42f6c9baa5410c60aa30adbcce41f3428068a64eff2e7825b78d848,False
COUNT_PBRS,211,262144,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_211/policy_262144.zip,True,546212,19f4cd8eb18dd85d801e2b764e1461628d658a981ac8d2df0f7146c78816215f,False
COUNT_PBRS,211,524288,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_211/policy_524288.zip,True,546212,b38517ca2253a2eb5bfdad299968cacc8e092d5516242341ae4279df03e6efba,True
COUNT_PBRS,223,0,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_223/policy_0.zip,True,191552,faab9f929b56bd9961d7f8b6ca7367870364fb3de67fe4f55897e1b0f4724f52,False
COUNT_PBRS,223,32768,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_223/policy_32768.zip,True,546204,f8b0107de171c6a2d32b2d24947c2d596f11c168467673d5246100b436fa176c,False
COUNT_PBRS,223,65536,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_223/policy_65536.zip,True,546208,1fc369aa4c655dd7a68b95a662db1fa7712edbe09d7e58792d0b7f80d97c8670,False
COUNT_PBRS,223,131072,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_223/policy_131072.zip,True,546210,ce5797f0aad74f899063be3bd9139c64f1567b3bd814f3f10c702d0bdbbde5f1,False
COUNT_PBRS,223,262144,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_223/policy_262144.zip,True,546212,2a9f5793574f41129d5402ebc1f3d840bc427beedf92a2e6deb2ccc0a98eaf5f,False
COUNT_PBRS,223,524288,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_223/policy_524288.zip,True,546212,538f86f6e9acc10fdb2429b2f54ee35e05db8c9fbc3e9f83740443164e05c84e,True
COUNT_PBRS,227,0,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_227/policy_0.zip,True,191552,59e715dfc7247148eba8728b6b220fc667f1776f060b70d419c3eaeb8b68698b,False
COUNT_PBRS,227,32768,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_227/policy_32768.zip,True,546204,b618f1bf2d1fa3026f8fb0b34e0f679060d4f7b1f09c6e8789d132208981e3c0,False
COUNT_PBRS,227,65536,/home/__compress_data/xushijie/graph_pathgraph_p2b_ppo_data/run_v1/training/COUNT_PBRS/seed_227/policy_65536.zip,True,546208,74cf0b6b0fbf93600c5b0295c3af719a51205b37ebb6b1d0ce1651bacf51c5c3,False
