method,policy_seed,condition,profile,successes,episodes,success_rate
GEOM_COUNT_EVENTS_PBRS,223,B_VALID_A_LOSS,BASE64,124,128,0.96875
GEOM_COUNT_EVENTS_PBRS,223,B_VALID_A_LOSS,LONG_CHAIN128,120,128,0.9375
GEOM_COUNT_EVENTS_PBRS,223,FREE_ORDER,BASE64,112,128,0.875
GEOM_COUNT_EVENTS_PBRS,223,FREE_ORDER,LONG_CHAIN128,96,128,0.75
GEOM_COUNT_EVENTS_PBRS,223,INVALIDATE_FIRST,BASE64,100,128,0.78125
GEOM_COUNT_EVENTS_PBRS,223,INVALIDATE_FIRST,LONG_CHAIN128,64,128,0.5
GEOM_COUNT_EVENTS_PBRS,223,LATE_LOSS,BASE64,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,223,LATE_LOSS,LONG_CHAIN128,120,128,0.9375
GEOM_COUNT_EVENTS_PBRS,223,TWO_LOSSES,BASE64,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,223,TWO_LOSSES,LONG_CHAIN128,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,227,A_STARTED,BASE64,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,227,A_STARTED,LONG_CHAIN128,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,227,A_VALID_B_LOSS,BASE64,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,227,A_VALID_B_LOSS,LONG_CHAIN128,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,227,B_STARTED,BASE64,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,227,B_STARTED,LONG_CHAIN128,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,227,B_VALID_A_LOSS,BASE64,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,227,B_VALID_A_LOSS,LONG_CHAIN128,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,227,FREE_ORDER,BASE64,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,227,FREE_ORDER,LONG_CHAIN128,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,227,INVALIDATE_FIRST,BASE64,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,227,INVALIDATE_FIRST,LONG_CHAIN128,124,128,0.96875
GEOM_COUNT_EVENTS_PBRS,227,LATE_LOSS,BASE64,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,227,LATE_LOSS,LONG_CHAIN128,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,227,TWO_LOSSES,BASE64,124,128,0.96875
GEOM_COUNT_EVENTS_PBRS,227,TWO_LOSSES,LONG_CHAIN128,124,128,0.96875
GEOM_COUNT_EVENTS_PBRS,233,A_STARTED,BASE64,104,128,0.8125
GEOM_COUNT_EVENTS_PBRS,233,A_STARTED,LONG_CHAIN128,56,128,0.4375
GEOM_COUNT_EVENTS_PBRS,233,A_VALID_B_LOSS,BASE64,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,233,A_VALID_B_LOSS,LONG_CHAIN128,112,128,0.875
GEOM_COUNT_EVENTS_PBRS,233,B_STARTED,BASE64,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,233,B_STARTED,LONG_CHAIN128,120,128,0.9375
GEOM_COUNT_EVENTS_PBRS,233,B_VALID_A_LOSS,BASE64,112,128,0.875
GEOM_COUNT_EVENTS_PBRS,233,B_VALID_A_LOSS,LONG_CHAIN128,104,128,0.8125
GEOM_COUNT_EVENTS_PBRS,233,FREE_ORDER,BASE64,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,233,FREE_ORDER,LONG_CHAIN128,120,128,0.9375
GEOM_COUNT_EVENTS_PBRS,233,INVALIDATE_FIRST,BASE64,104,128,0.8125
GEOM_COUNT_EVENTS_PBRS,233,INVALIDATE_FIRST,LONG_CHAIN128,56,128,0.4375
GEOM_COUNT_EVENTS_PBRS,233,LATE_LOSS,BASE64,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,233,LATE_LOSS,LONG_CHAIN128,108,128,0.84375
GEOM_COUNT_EVENTS_PBRS,233,TWO_LOSSES,BASE64,80,128,0.625
GEOM_COUNT_EVENTS_PBRS,233,TWO_LOSSES,LONG_CHAIN128,52,128,0.40625
GEOM_COUNT_EVENTS_PBRS,239,A_STARTED,BASE64,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,239,A_STARTED,LONG_CHAIN128,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,239,A_VALID_B_LOSS,BASE64,128,128,1.0
GEOM_COUNT_EVENTS_PBRS,239,A_VALID_B_LOSS,LONG_CHAIN128,128,128,1.0
