dataset,rollout_id,case_id,reference_action,reference_resolved,temporal_outcome,accurate,primary_action,primary_action_time,primary_action_capture_order,event_onset,deadline,latency_from_physical_onset
R20,L2RAR2_R19_CONF_05_886005__T12_transport_commanded_release,T12_transport_commanded_release,none,True,CORRECT_NONE,True,,,,,,
R20,L2RAR2_R19_CONF_05_886005__T1_transport_stable_clean,T1_transport_stable_clean,none,True,CORRECT_NONE,True,,,,,,
R20,L2RAR2_R19_CONF_05_886005__T2_transport_camera_jitter,T2_transport_camera_jitter,none,True,CORRECT_NONE,True,,,,,,
R20,L2RAR2_R19_CONF_05_886005__T3_transport_single_contact_proxy_dropout,T3_transport_single_contact_proxy_dropout,none,True,CORRECT_NONE,True,,,,,,
R20,L2RAR2_R19_CONF_05_886005__T4_transport_same_time_contact_false_then_true,T4_transport_same_time_contact_false_then_true,none,True,CORRECT_NONE,True,,,,,,
R20,L2RAR2_R19_CONF_05_886005__T5_transport_weak_outcome,T5_transport_weak_outcome,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.5900000000000012,2.340000000000001,0.06000000000000005
R20,L2RAR2_R19_CONF_05_886005__T6_transport_medium_outcome,T6_transport_medium_outcome,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.5900000000000012,2.340000000000001,0.06000000000000005
R20,L2RAR2_R19_CONF_05_886005__T7_transport_strong_phase_00ms,T7_transport_strong_phase_00ms,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.5700000000000012,2.320000000000001,0.08000000000000007
R20,L2RAR2_R19_CONF_05_886005__T8_transport_strong_phase_10ms,T8_transport_strong_phase_10ms,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.5800000000000012,2.330000000000001,0.07000000000000006
R20,L2RAR2_R19_CONF_05_886005__T9_transport_strong_phase_20ms,T9_transport_strong_phase_20ms,recover_object,True,CORRECT_IN_WINDOW,True,recover_object,1.6500000000000012,37,1.5900000000000012,2.340000000000001,0.06000000000000005
