capture_order,time,phase,action,action_index,cache_object_x,cache_object_y,cache_object_z,ordinary_object_x,ordinary_object_y,ordinary_object_z,object_dx,object_dy,object_dz,object_l2,cache_gripper_x,cache_gripper_y,cache_gripper_z,ordinary_gripper_x,ordinary_gripper_y,ordinary_gripper_z,gripper_dx,gripper_dy,gripper_dz,gripper_l2,cache_relative_x,cache_relative_y,cache_relative_z,ordinary_relative_x,ordinary_relative_y,ordinary_relative_z,relative_dx,relative_dy,relative_dz,relative_l2,cache_weld_state,ordinary_weld_state,weld_state_match,geometry_pass
10,0.45000000000000023,control_tick,close_gripper,3,-0.28003248023737176,0.002457190329410839,0.557947571051854,-0.28003248023737176,0.002457190329410839,0.557947571051854,0.0,0.0,0.0,0.0,-0.2798393325060133,0.0015783719990417105,0.685496569865111,-0.2798393325060133,0.0015783719990417105,0.685496569865111,0.0,0.0,0.0,0.0,-0.0001931477313584784,0.0008788183303691285,-0.127548998813257,-0.0001931477313584784,0.0008788183303691285,-0.127548998813257,0.0,0.0,0.0,0.0,0,0,True,True
11,0.45000000000000023,action_end,close_gripper,3,-0.28003248023737176,0.002457190329410839,0.557947571051854,-0.28003248023737176,0.002457190329410839,0.557947571051854,0.0,0.0,0.0,0.0,-0.2798393325060133,0.0015783719990417105,0.685496569865111,-0.2798393325060133,0.0015783719990417105,0.685496569865111,0.0,0.0,0.0,0.0,-0.0001931477313584784,0.0008788183303691285,-0.127548998813257,-0.0001931477313584784,0.0008788183303691285,-0.127548998813257,0.0,0.0,0.0,0.0,1,1,True,True
12,0.5000000000000002,control_tick,lift,4,-0.27989032674483555,0.0016374846821366968,0.6156211068299509,-0.27989112649884856,0.001625271261448511,0.6156215941972709,-7.997540130144642e-07,-1.2213420688185744e-05,4.873673200567197e-07,1.2249276643646983e-05,-0.2798393325060133,0.0015783719990417108,0.745496569865111,-0.2798393325060133,0.0015783719990417108,0.745496569865111,0.0,0.0,0.0,0.0,-5.099423882226617e-05,5.911268309498601e-05,-0.12987546303516018,-5.179399283528063e-05,4.689926240680027e-05,-0.12987497566784012,-7.997540130144642e-07,-1.2213420688185744e-05,4.873673200567197e-07,1.2249276643646983e-05,1,1,True,False
13,0.5500000000000003,control_tick,lift,4,-0.27989032674483555,0.0016374846821366968,0.6756211068299507,-0.27989112649884856,0.001625271261448511,0.6756215941972707,-7.997540130144642e-07,-1.2213420688185744e-05,4.873673200567197e-07,1.2249276643646983e-05,-0.2798393325060133,0.0015783719990417108,0.8054965698651109,-0.2798393325060133,0.0015783719990417108,0.8054965698651109,0.0,0.0,0.0,0.0,-5.099423882226617e-05,5.911268309498601e-05,-0.12987546303516018,-5.179399283528063e-05,4.689926240680027e-05,-0.12987497566784012,-7.997540130144642e-07,-1.2213420688185744e-05,4.873673200567197e-07,1.2249276643646983e-05,1,1,True,False
14,0.6000000000000003,control_tick,lift,4,-0.2798903268109293,0.0016374854071691265,0.7356211071637648,-0.27989112696024454,0.0016252719367281696,0.7356215945404558,-8.00149315249854e-07,-1.2213470440956874e-05,4.873766910051813e-07,1.2249352439119271e-05,-0.2798393325060133,0.0015783719990417105,0.8654965698651109,-0.2798393325060133,0.0015783719990417105,0.8654965698651109,0.0,0.0,0.0,0.0,-5.099430491600776e-05,5.911340812741594e-05,-0.1298754627013461,-5.1794454231257614e-05,4.6899937686459064e-05,-0.12987497532465508,-8.00149315249854e-07,-1.2213470440956874e-05,4.873766910051813e-07,1.2249352439119271e-05,1,1,True,False
15,0.6000000000000003,action_end,lift,4,-0.2798903268109293,0.0016374854071691265,0.7356211071637648,-0.27989112696024454,0.0016252719367281696,0.7356215945404558,-8.00149315249854e-07,-1.2213470440956874e-05,4.873766910051813e-07,1.2249352439119271e-05,-0.2798393325060133,0.0015783719990417105,0.8654965698651109,-0.2798393325060133,0.0015783719990417105,0.8654965698651109,0.0,0.0,0.0,0.0,-5.099430491600776e-05,5.911340812741594e-05,-0.1298754627013461,-5.1794454231257614e-05,4.6899937686459064e-05,-0.12987497532465508,-8.00149315249854e-07,-1.2213470440956874e-05,4.873766910051813e-07,1.2249352439119271e-05,1,1,True,False
16,0.6500000000000004,control_tick,verify,5,-0.2798903268109293,0.0016374854071691265,0.7356211071637648,-0.27989112696024454,0.0016252719367281696,0.7356215945404558,-8.00149315249854e-07,-1.2213470440956874e-05,4.873766910051813e-07,1.2249352439119271e-05,-0.2798393325060133,0.0015783719990417105,0.8654965698651109,-0.2798393325060133,0.0015783719990417105,0.8654965698651109,0.0,0.0,0.0,0.0,-5.099430491600776e-05,5.911340812741594e-05,-0.1298754627013461,-5.1794454231257614e-05,4.6899937686459064e-05,-0.12987497532465508,-8.00149315249854e-07,-1.2213470440956874e-05,4.873766910051813e-07,1.2249352439119271e-05,1,1,True,False
17,0.7000000000000004,control_tick,verify,5,-0.2798903268109293,0.0016374854071691265,0.7356211071637648,-0.27989112696024454,0.0016252719367281698,0.7356215945404558,-8.00149315249854e-07,-1.2213470440956657e-05,4.873766910051813e-07,1.2249352439119055e-05,-0.2798393325060133,0.0015783719990417105,0.8654965698651109,-0.2798393325060133,0.0015783719990417105,0.8654965698651109,0.0,0.0,0.0,0.0,-5.099430491600776e-05,5.911340812741594e-05,-0.1298754627013461,-5.1794454231257614e-05,4.689993768645928e-05,-0.12987497532465508,-8.00149315249854e-07,-1.2213470440956657e-05,4.873766910051813e-07,1.2249352439119055e-05,1,1,True,False
18,0.7500000000000004,control_tick,verify,5,-0.2798903268109293,0.0016374854071691265,0.7356211071637648,-0.27989112696024454,0.0016252719367281696,0.7356215945404558,-8.00149315249854e-07,-1.2213470440956874e-05,4.873766910051813e-07,1.2249352439119271e-05,-0.2798393325060133,0.0015783719990417105,0.8654965698651109,-0.2798393325060133,0.0015783719990417105,0.8654965698651109,0.0,0.0,0.0,0.0,-5.099430491600776e-05,5.911340812741594e-05,-0.1298754627013461,-5.1794454231257614e-05,4.6899937686459064e-05,-0.12987497532465508,-8.00149315249854e-07,-1.2213470440956874e-05,4.873766910051813e-07,1.2249352439119271e-05,1,1,True,False
19,0.7500000000000004,action_end,verify,5,-0.2798903268109293,0.0016374854071691265,0.7356211071637648,-0.27989112696024454,0.0016252719367281696,0.7356215945404558,-8.00149315249854e-07,-1.2213470440956874e-05,4.873766910051813e-07,1.2249352439119271e-05,-0.2798393325060133,0.0015783719990417105,0.8654965698651109,-0.2798393325060133,0.0015783719990417105,0.8654965698651109,0.0,0.0,0.0,0.0,-5.099430491600776e-05,5.911340812741594e-05,-0.1298754627013461,-5.1794454231257614e-05,4.6899937686459064e-05,-0.12987497532465508,-8.00149315249854e-07,-1.2213470440956874e-05,4.873766910051813e-07,1.2249352439119271e-05,1,1,True,False
20,0.8000000000000005,control_tick,verify,6,-0.2798903268109293,0.0016374854071691265,0.7356211071637648,-0.27989112696024454,0.0016252719367281698,0.7356215945404558,-8.00149315249854e-07,-1.2213470440956657e-05,4.873766910051813e-07,1.2249352439119055e-05,-0.2798393325060133,0.0015783719990417105,0.8654965698651109,-0.2798393325060133,0.0015783719990417105,0.8654965698651109,0.0,0.0,0.0,0.0,-5.099430491600776e-05,5.911340812741594e-05,-0.1298754627013461,-5.1794454231257614e-05,4.689993768645928e-05,-0.12987497532465508,-8.00149315249854e-07,-1.2213470440956657e-05,4.873766910051813e-07,1.2249352439119055e-05,1,1,True,False
21,0.8500000000000005,control_tick,verify,6,-0.2798903268109293,0.0016374854071691263,0.7356211071637648,-0.27989112696024454,0.0016252719367281698,0.7356215945404558,-8.00149315249854e-07,-1.221347044095644e-05,4.873766910051813e-07,1.224935243911884e-05,-0.2798393325060133,0.0015783719990417105,0.8654965698651109,-0.2798393325060133,0.0015783719990417105,0.8654965698651109,0.0,0.0,0.0,0.0,-5.099430491600776e-05,5.911340812741572e-05,-0.1298754627013461,-5.1794454231257614e-05,4.689993768645928e-05,-0.12987497532465508,-8.00149315249854e-07,-1.221347044095644e-05,4.873766910051813e-07,1.224935243911884e-05,1,1,True,False
22,0.9000000000000006,control_tick,verify,6,-0.2798903268109293,0.0016374854071691265,0.7356211071637648,-0.27989112696024454,0.0016252719367281698,0.7356215945404558,-8.00149315249854e-07,-1.2213470440956657e-05,4.873766910051813e-07,1.2249352439119055e-05,-0.2798393325060133,0.0015783719990417105,0.8654965698651109,-0.2798393325060133,0.0015783719990417105,0.8654965698651109,0.0,0.0,0.0,0.0,-5.099430491600776e-05,5.911340812741594e-05,-0.1298754627013461,-5.1794454231257614e-05,4.689993768645928e-05,-0.12987497532465508,-8.00149315249854e-07,-1.2213470440956657e-05,4.873766910051813e-07,1.2249352439119055e-05,1,1,True,False
23,0.9000000000000006,action_end,verify,6,-0.2798903268109293,0.0016374854071691265,0.7356211071637648,-0.27989112696024454,0.0016252719367281698,0.7356215945404558,-8.00149315249854e-07,-1.2213470440956657e-05,4.873766910051813e-07,1.2249352439119055e-05,-0.2798393325060133,0.0015783719990417105,0.8654965698651109,-0.2798393325060133,0.0015783719990417105,0.8654965698651109,0.0,0.0,0.0,0.0,-5.099430491600776e-05,5.911340812741594e-05,-0.1298754627013461,-5.1794454231257614e-05,4.689993768645928e-05,-0.12987497532465508,-8.00149315249854e-07,-1.2213470440956657e-05,4.873766910051813e-07,1.2249352439119055e-05,1,1,True,False
24,0.9500000000000006,control_tick,transport_to_target,7,-0.2049287224726637,0.016808557828305978,0.7274339090058836,-0.20492930839022613,0.016811756340774923,0.7274333962099498,-5.859175624400859e-07,3.198512468945147e-06,-5.127959337158927e-07,3.291920575227912e-06,-0.20490551334123902,0.016753324653851986,0.857309498631972,-0.20490551334123902,0.016753324653851986,0.857309498631972,0.0,0.0,0.0,0.0,-2.3209131424672957e-05,5.52331744539912e-05,-0.12987558962608847,-2.3795048987113043e-05,5.843168692293635e-05,-0.1298761024220222,-5.859175624400859e-07,3.198512468945147e-06,-5.127959337158927e-07,3.291920575227912e-06,1,1,True,False
25,1.0000000000000007,control_tick,transport_to_target,7,-0.13002268841528705,0.031987389991757244,0.719246964363673,-0.13002348816930004,0.03197517657106906,0.719247451730993,-7.997540129867087e-07,-1.2213420688182708e-05,4.873673200567197e-07,1.2249276643642145e-05,-0.12997169417646476,0.03192827730866226,0.8491224273988331,-0.12997169417646476,0.03192827730866226,0.8491224273988331,0.0,0.0,0.0,0.0,-5.0994238822293925e-05,5.911268309498341e-05,-0.12987546303516018,-5.179399283528063e-05,4.68992624068007e-05,-0.12987497566784012,-7.997540129867087e-07,-1.2213420688182708e-05,4.873673200567197e-07,1.2249276643642145e-05,1,1,True,False
26,1.0500000000000007,control_tick,transport_to_target,7,-0.05508886925051278,0.04716234264656752,0.7110598931305342,-0.05508966900452577,0.047150129225879335,0.7110603804978542,-7.997540129867087e-07,-1.2213420688182708e-05,4.873673200567197e-07,1.2249276643642145e-05,-0.055037875011690496,0.047103229963472534,0.8409353561656944,-0.055037875011690496,0.047103229963472534,0.8409353561656944,0.0,0.0,0.0,0.0,-5.0994238822286986e-05,5.911268309498341e-05,-0.12987546303516018,-5.1793992835273694e-05,4.68992624068007e-05,-0.12987497566784012,-7.997540129867087e-07,-1.2213420688182708e-05,4.873673200567197e-07,1.2249276643642145e-05,1,1,True,False
27,1.1000000000000008,control_tick,transport_to_target,7,0.01991110431203835,0.06233380123375946,0.7028719053135848,0.019910482254520752,0.06233043183605569,0.7028723913765715,-6.220575175970577e-07,-3.369397703768817e-06,4.860629867486921e-07,3.4606435338602346e-06,0.019895944153083767,0.062278182618282815,0.8327482849325555,0.019895944153083767,0.062278182618282815,0.8327482849325555,0.0,0.0,0.0,0.0,1.5160158954582309e-05,5.561861547664221e-05,-0.1298763796189707,1.4538101436985251e-05,5.224921777287339e-05,-0.12987589355598395,-6.220575175970577e-07,-3.369397703768817e-06,4.860629867486921e-07,3.4606435338602346e-06,1,1,True,False
28,1.1500000000000008,control_tick,transport_to_target,7,0.09484492347681261,0.07750875388856973,0.694684834080446,0.09484430141929502,0.07750538449086596,0.6946853201434328,-6.220575175935883e-07,-3.369397703775756e-06,4.860629867486921e-07,3.4606435338663667e-06,0.09482976331785803,0.07745313527309308,0.8245612136994167,0.09482976331785803,0.07745313527309308,0.8245612136994167,0.0,0.0,0.0,0.0,1.5160158954585778e-05,5.561861547664915e-05,-0.1298763796189707,1.453810143699219e-05,5.224921777287339e-05,-0.12987589355598395,-6.220575175935883e-07,-3.369397703775756e-06,4.860629867486921e-07,3.4606435338663667e-06,1,1,True,False
29,1.2000000000000008,control_tick,transport_to_target,7,0.16977874257529882,0.09268370699304622,0.6864977629333967,0.16977812031470424,0.0926803375961974,0.686498249065976,-6.222605945793713e-07,-3.3693968488207604e-06,4.861325793026339e-07,3.460688985891245e-06,0.1697635824826323,0.09262808792790336,0.8163741424662778,0.1697635824826323,0.09262808792790336,0.8163741424662778,0.0,0.0,0.0,0.0,1.5160092666527403e-05,5.5619065142856194e-05,-0.12987637953288111,1.4537832071948031e-05,5.2249668294035434e-05,-0.1298758934003018,-6.222605945793713e-07,-3.3693968488207604e-06,4.861325793026339e-07,3.460688985891245e-06,1,1,True,False
30,1.2500000000000009,control_tick,transport_to_target,7,0.24464640740858426,0.10786215326580864,0.6783116081979788,0.24464560765457127,0.10784993984512045,0.6783120955652988,-7.997540129867087e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643649063e-05,0.24469740164740655,0.10780304058271366,0.8081870712331389,0.24469740164740655,0.10780304058271366,0.8081870712331389,0.0,0.0,0.0,0.0,-5.0994238822293925e-05,5.911268309498341e-05,-0.12987546303516018,-5.179399283528063e-05,4.689926240679376e-05,-0.12987497566784012,-7.997540129867087e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643649063e-05,1,1,True,False
31,1.300000000000001,control_tick,transport_to_target,7,0.31958022657335855,0.12303710592061891,0.6701245369648399,0.31957942681934554,0.12302489249993072,0.6701250243321599,-7.997540130144642e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643650874e-05,0.3196312208121808,0.12297799323752392,0.8,0.3196312208121808,0.12297799323752392,0.8,0.0,0.0,0.0,0.0,-5.099423882226617e-05,5.911268309498341e-05,-0.12987546303516018,-5.179399283528063e-05,4.689926240679376e-05,-0.12987497566784012,-7.997540130144642e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643650874e-05,1,1,True,False
32,1.300000000000001,action_end,transport_to_target,7,0.31958022657335855,0.12303710592061891,0.6701245369648399,0.31957942681934554,0.12302489249993072,0.6701250243321599,-7.997540130144642e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643650874e-05,0.3196312208121808,0.12297799323752392,0.8,0.3196312208121808,0.12297799323752392,0.8,0.0,0.0,0.0,0.0,-5.099423882226617e-05,5.911268309498341e-05,-0.12987546303516018,-5.179399283528063e-05,4.689926240679376e-05,-0.12987497566784012,-7.997540130144642e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643650874e-05,1,1,True,False
33,1.350000000000001,control_tick,verify,8,0.31958022657335855,0.12303710592061891,0.6701245369648399,0.31957942681934554,0.12302489249993072,0.6701250243321599,-7.997540130144642e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643650874e-05,0.3196312208121808,0.12297799323752392,0.8,0.3196312208121808,0.12297799323752392,0.8,0.0,0.0,0.0,0.0,-5.099423882226617e-05,5.911268309498341e-05,-0.12987546303516018,-5.179399283528063e-05,4.689926240679376e-05,-0.12987497566784012,-7.997540130144642e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643650874e-05,1,1,True,False
34,1.400000000000001,control_tick,verify,8,0.31958022657335855,0.12303710592061891,0.6701245369648399,0.31957942681934554,0.12302489249993072,0.6701250243321599,-7.997540130144642e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643650874e-05,0.3196312208121808,0.12297799323752392,0.8,0.3196312208121808,0.12297799323752392,0.8,0.0,0.0,0.0,0.0,-5.099423882226617e-05,5.911268309498341e-05,-0.12987546303516018,-5.179399283528063e-05,4.689926240679376e-05,-0.12987497566784012,-7.997540130144642e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643650874e-05,1,1,True,False
35,1.450000000000001,control_tick,verify,8,0.31958022657335855,0.12303710592061891,0.6701245369648399,0.31957942681934554,0.12302489249993072,0.6701250243321599,-7.997540130144642e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643650874e-05,0.3196312208121808,0.12297799323752392,0.8,0.3196312208121808,0.12297799323752392,0.8,0.0,0.0,0.0,0.0,-5.099423882226617e-05,5.911268309498341e-05,-0.12987546303516018,-5.179399283528063e-05,4.689926240679376e-05,-0.12987497566784012,-7.997540130144642e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643650874e-05,1,1,True,False
36,1.450000000000001,action_end,verify,8,0.31958022657335855,0.12303710592061891,0.6701245369648399,0.31957942681934554,0.12302489249993072,0.6701250243321599,-7.997540130144642e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643650874e-05,0.3196312208121808,0.12297799323752392,0.8,0.3196312208121808,0.12297799323752392,0.8,0.0,0.0,0.0,0.0,-5.099423882226617e-05,5.911268309498341e-05,-0.12987546303516018,-5.179399283528063e-05,4.689926240679376e-05,-0.12987497566784012,-7.997540130144642e-07,-1.2213420688189647e-05,4.873673200567197e-07,1.2249276643650874e-05,1,1,True,False
