method_id,input_tier,rollout_id,root_family_id,case_id,expected_action,selected_action,selected_time,decision_window_start,decision_window_end,outcome,shared_geometry_source,physical_label_status
O_C3,O,L2RAR2_REPAIR_00_840000:K6_long_gap_after_loss,L2RAR2_REPAIR_00_840000,K6_long_gap_after_loss,recover_object,none,,0.8,1.3,none,False,unresolved
S_G_H,S,L2RAR2_REPAIR_00_840000:K6_long_gap_after_loss,L2RAR2_REPAIR_00_840000,K6_long_gap_after_loss,recover_object,none,,0.8,1.3,none,True,unresolved
S_G_R,S,L2RAR2_REPAIR_00_840000:K6_long_gap_after_loss,L2RAR2_REPAIR_00_840000,K6_long_gap_after_loss,recover_object,none,,0.8,1.3,none,True,unresolved
S_G_HR,S,L2RAR2_REPAIR_00_840000:K6_long_gap_after_loss,L2RAR2_REPAIR_00_840000,K6_long_gap_after_loss,recover_object,none,,0.8,1.3,none,True,unresolved
O_B2,O,L2RAR2_REPAIR_00_840000:K7_commanded_release,L2RAR2_REPAIR_00_840000,K7_commanded_release,none,none,,0.6,1.1,none,False,reference_labeled
O_C3,O,L2RAR2_REPAIR_00_840000:K7_commanded_release,L2RAR2_REPAIR_00_840000,K7_commanded_release,none,none,,0.6,1.1,none,False,reference_labeled
S_G_H,S,L2RAR2_REPAIR_00_840000:K7_commanded_release,L2RAR2_REPAIR_00_840000,K7_commanded_release,none,none,,0.6,1.1,none,True,reference_labeled
S_G_R,S,L2RAR2_REPAIR_00_840000:K7_commanded_release,L2RAR2_REPAIR_00_840000,K7_commanded_release,none,none,,0.6,1.1,none,True,reference_labeled
S_G_HR,S,L2RAR2_REPAIR_00_840000:K7_commanded_release,L2RAR2_REPAIR_00_840000,K7_commanded_release,none,none,,0.6,1.1,none,True,reference_labeled
O_B2,O,L2RAR2_REPAIR_00_840000:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_00_840000,K8_acquisition_touch_then_continue,none,none,,0.5,1.0,none,False,reference_labeled
O_C3,O,L2RAR2_REPAIR_00_840000:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_00_840000,K8_acquisition_touch_then_continue,none,none,,0.5,1.0,none,False,reference_labeled
S_G_H,S,L2RAR2_REPAIR_00_840000:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_00_840000,K8_acquisition_touch_then_continue,none,none,,0.5,1.0,none,True,reference_labeled
S_G_R,S,L2RAR2_REPAIR_00_840000:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_00_840000,K8_acquisition_touch_then_continue,none,none,,0.5,1.0,none,True,reference_labeled
S_G_HR,S,L2RAR2_REPAIR_00_840000:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_00_840000,K8_acquisition_touch_then_continue,none,none,,0.5,1.0,none,True,reference_labeled
O_B2,O,L2RAR2_REPAIR_01_840001:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_01_840001,K1_hold_request_ends_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,correct,False,reference_labeled
O_C3,O,L2RAR2_REPAIR_01_840001:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_01_840001,K1_hold_request_ends_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,correct,False,reference_labeled
S_G_H,S,L2RAR2_REPAIR_01_840001:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_01_840001,K1_hold_request_ends_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,correct,True,reference_labeled
S_G_R,S,L2RAR2_REPAIR_01_840001:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_01_840001,K1_hold_request_ends_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,correct,True,reference_labeled
S_G_HR,S,L2RAR2_REPAIR_01_840001:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_01_840001,K1_hold_request_ends_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,correct,True,reference_labeled
O_B2,O,L2RAR2_REPAIR_01_840001:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_01_840001,K2_touch_request_completes_without_hold,none,retry_grasp,0.6,0.6,0.6,wrong,False,reference_labeled
O_C3,O,L2RAR2_REPAIR_01_840001:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_01_840001,K2_touch_request_completes_without_hold,none,retry_grasp,0.6,0.6,0.6,wrong,False,reference_labeled
S_G_H,S,L2RAR2_REPAIR_01_840001:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_01_840001,K2_touch_request_completes_without_hold,none,none,,0.6,0.6,none,True,reference_labeled
S_G_R,S,L2RAR2_REPAIR_01_840001:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_01_840001,K2_touch_request_completes_without_hold,none,none,,0.6,0.6,none,True,reference_labeled
S_G_HR,S,L2RAR2_REPAIR_01_840001:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_01_840001,K2_touch_request_completes_without_hold,none,none,,0.6,0.6,none,True,reference_labeled
O_B2,O,L2RAR2_REPAIR_01_840001:K3_normal_hold_pause_resume,L2RAR2_REPAIR_01_840001,K3_normal_hold_pause_resume,none,none,,0.65,1.15,none,False,reference_labeled
O_C3,O,L2RAR2_REPAIR_01_840001:K3_normal_hold_pause_resume,L2RAR2_REPAIR_01_840001,K3_normal_hold_pause_resume,none,none,,0.65,1.15,none,False,reference_labeled
S_G_H,S,L2RAR2_REPAIR_01_840001:K3_normal_hold_pause_resume,L2RAR2_REPAIR_01_840001,K3_normal_hold_pause_resume,none,none,,0.65,1.15,none,True,reference_labeled
S_G_R,S,L2RAR2_REPAIR_01_840001:K3_normal_hold_pause_resume,L2RAR2_REPAIR_01_840001,K3_normal_hold_pause_resume,none,none,,0.65,1.15,none,True,reference_labeled
S_G_HR,S,L2RAR2_REPAIR_01_840001:K3_normal_hold_pause_resume,L2RAR2_REPAIR_01_840001,K3_normal_hold_pause_resume,none,none,,0.65,1.15,none,True,reference_labeled
O_B2,O,L2RAR2_REPAIR_01_840001:K4_regular_hold_loss,L2RAR2_REPAIR_01_840001,K4_regular_hold_loss,recover_object,none,,0.85,1.35,none,False,unresolved
O_C3,O,L2RAR2_REPAIR_01_840001:K4_regular_hold_loss,L2RAR2_REPAIR_01_840001,K4_regular_hold_loss,recover_object,none,,0.85,1.35,none,False,unresolved
S_G_H,S,L2RAR2_REPAIR_01_840001:K4_regular_hold_loss,L2RAR2_REPAIR_01_840001,K4_regular_hold_loss,recover_object,none,,0.85,1.35,none,True,unresolved
S_G_R,S,L2RAR2_REPAIR_01_840001:K4_regular_hold_loss,L2RAR2_REPAIR_01_840001,K4_regular_hold_loss,recover_object,none,,0.85,1.35,none,True,unresolved
S_G_HR,S,L2RAR2_REPAIR_01_840001:K4_regular_hold_loss,L2RAR2_REPAIR_01_840001,K4_regular_hold_loss,recover_object,none,,0.85,1.35,none,True,unresolved
O_B2,O,L2RAR2_REPAIR_01_840001:K5_brief_hold_loss,L2RAR2_REPAIR_01_840001,K5_brief_hold_loss,recover_object,none,,0.7,1.2,none,False,unresolved
O_C3,O,L2RAR2_REPAIR_01_840001:K5_brief_hold_loss,L2RAR2_REPAIR_01_840001,K5_brief_hold_loss,recover_object,none,,0.7,1.2,none,False,unresolved
S_G_H,S,L2RAR2_REPAIR_01_840001:K5_brief_hold_loss,L2RAR2_REPAIR_01_840001,K5_brief_hold_loss,recover_object,none,,0.7,1.2,none,True,unresolved
S_G_R,S,L2RAR2_REPAIR_01_840001:K5_brief_hold_loss,L2RAR2_REPAIR_01_840001,K5_brief_hold_loss,recover_object,none,,0.7,1.2,none,True,unresolved
S_G_HR,S,L2RAR2_REPAIR_01_840001:K5_brief_hold_loss,L2RAR2_REPAIR_01_840001,K5_brief_hold_loss,recover_object,none,,0.7,1.2,none,True,unresolved
O_B2,O,L2RAR2_REPAIR_01_840001:K6_long_gap_after_loss,L2RAR2_REPAIR_01_840001,K6_long_gap_after_loss,recover_object,none,,0.85,1.35,none,False,unresolved
O_C3,O,L2RAR2_REPAIR_01_840001:K6_long_gap_after_loss,L2RAR2_REPAIR_01_840001,K6_long_gap_after_loss,recover_object,none,,0.85,1.35,none,False,unresolved
S_G_H,S,L2RAR2_REPAIR_01_840001:K6_long_gap_after_loss,L2RAR2_REPAIR_01_840001,K6_long_gap_after_loss,recover_object,none,,0.85,1.35,none,True,unresolved
S_G_R,S,L2RAR2_REPAIR_01_840001:K6_long_gap_after_loss,L2RAR2_REPAIR_01_840001,K6_long_gap_after_loss,recover_object,none,,0.85,1.35,none,True,unresolved
S_G_HR,S,L2RAR2_REPAIR_01_840001:K6_long_gap_after_loss,L2RAR2_REPAIR_01_840001,K6_long_gap_after_loss,recover_object,none,,0.85,1.35,none,True,unresolved
O_B2,O,L2RAR2_REPAIR_01_840001:K7_commanded_release,L2RAR2_REPAIR_01_840001,K7_commanded_release,none,none,,0.65,1.15,none,False,reference_labeled
O_C3,O,L2RAR2_REPAIR_01_840001:K7_commanded_release,L2RAR2_REPAIR_01_840001,K7_commanded_release,none,none,,0.65,1.15,none,False,reference_labeled
S_G_H,S,L2RAR2_REPAIR_01_840001:K7_commanded_release,L2RAR2_REPAIR_01_840001,K7_commanded_release,none,none,,0.65,1.15,none,True,reference_labeled
S_G_R,S,L2RAR2_REPAIR_01_840001:K7_commanded_release,L2RAR2_REPAIR_01_840001,K7_commanded_release,none,none,,0.65,1.15,none,True,reference_labeled
S_G_HR,S,L2RAR2_REPAIR_01_840001:K7_commanded_release,L2RAR2_REPAIR_01_840001,K7_commanded_release,none,none,,0.65,1.15,none,True,reference_labeled
O_B2,O,L2RAR2_REPAIR_01_840001:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_01_840001,K8_acquisition_touch_then_continue,none,none,,0.6,1.1,none,False,reference_labeled
O_C3,O,L2RAR2_REPAIR_01_840001:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_01_840001,K8_acquisition_touch_then_continue,none,none,,0.6,1.1,none,False,reference_labeled
S_G_H,S,L2RAR2_REPAIR_01_840001:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_01_840001,K8_acquisition_touch_then_continue,none,none,,0.6,1.1,none,True,reference_labeled
S_G_R,S,L2RAR2_REPAIR_01_840001:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_01_840001,K8_acquisition_touch_then_continue,none,none,,0.6,1.1,none,True,reference_labeled
S_G_HR,S,L2RAR2_REPAIR_01_840001:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_01_840001,K8_acquisition_touch_then_continue,none,none,,0.6,1.1,none,True,reference_labeled
O_B2,O,L2RAR2_REPAIR_02_840002:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_02_840002,K1_hold_request_ends_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,correct,False,reference_labeled
O_C3,O,L2RAR2_REPAIR_02_840002:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_02_840002,K1_hold_request_ends_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,correct,False,reference_labeled
S_G_H,S,L2RAR2_REPAIR_02_840002:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_02_840002,K1_hold_request_ends_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,correct,True,reference_labeled
S_G_R,S,L2RAR2_REPAIR_02_840002:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_02_840002,K1_hold_request_ends_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,correct,True,reference_labeled
S_G_HR,S,L2RAR2_REPAIR_02_840002:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_02_840002,K1_hold_request_ends_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,correct,True,reference_labeled
O_B2,O,L2RAR2_REPAIR_02_840002:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_02_840002,K2_touch_request_completes_without_hold,none,retry_grasp,0.7,0.7,0.7,wrong,False,reference_labeled
O_C3,O,L2RAR2_REPAIR_02_840002:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_02_840002,K2_touch_request_completes_without_hold,none,retry_grasp,0.7,0.7,0.7,wrong,False,reference_labeled
S_G_H,S,L2RAR2_REPAIR_02_840002:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_02_840002,K2_touch_request_completes_without_hold,none,none,,0.7,0.7,none,True,reference_labeled
S_G_R,S,L2RAR2_REPAIR_02_840002:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_02_840002,K2_touch_request_completes_without_hold,none,none,,0.7,0.7,none,True,reference_labeled
S_G_HR,S,L2RAR2_REPAIR_02_840002:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_02_840002,K2_touch_request_completes_without_hold,none,none,,0.7,0.7,none,True,reference_labeled
O_B2,O,L2RAR2_REPAIR_02_840002:K3_normal_hold_pause_resume,L2RAR2_REPAIR_02_840002,K3_normal_hold_pause_resume,none,none,,0.7,1.2,none,False,reference_labeled
O_C3,O,L2RAR2_REPAIR_02_840002:K3_normal_hold_pause_resume,L2RAR2_REPAIR_02_840002,K3_normal_hold_pause_resume,none,none,,0.7,1.2,none,False,reference_labeled
S_G_H,S,L2RAR2_REPAIR_02_840002:K3_normal_hold_pause_resume,L2RAR2_REPAIR_02_840002,K3_normal_hold_pause_resume,none,none,,0.7,1.2,none,True,reference_labeled
S_G_R,S,L2RAR2_REPAIR_02_840002:K3_normal_hold_pause_resume,L2RAR2_REPAIR_02_840002,K3_normal_hold_pause_resume,none,none,,0.7,1.2,none,True,reference_labeled
S_G_HR,S,L2RAR2_REPAIR_02_840002:K3_normal_hold_pause_resume,L2RAR2_REPAIR_02_840002,K3_normal_hold_pause_resume,none,none,,0.7,1.2,none,True,reference_labeled
O_B2,O,L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,L2RAR2_REPAIR_02_840002,K4_regular_hold_loss,recover_object,none,,0.9,1.4,none,False,unresolved
O_C3,O,L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,L2RAR2_REPAIR_02_840002,K4_regular_hold_loss,recover_object,none,,0.9,1.4,none,False,unresolved
S_G_H,S,L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,L2RAR2_REPAIR_02_840002,K4_regular_hold_loss,recover_object,none,,0.9,1.4,none,True,unresolved
S_G_R,S,L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,L2RAR2_REPAIR_02_840002,K4_regular_hold_loss,recover_object,none,,0.9,1.4,none,True,unresolved
S_G_HR,S,L2RAR2_REPAIR_02_840002:K4_regular_hold_loss,L2RAR2_REPAIR_02_840002,K4_regular_hold_loss,recover_object,none,,0.9,1.4,none,True,unresolved
O_B2,O,L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,L2RAR2_REPAIR_02_840002,K5_brief_hold_loss,recover_object,none,,0.75,1.25,none,False,unresolved
O_C3,O,L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,L2RAR2_REPAIR_02_840002,K5_brief_hold_loss,recover_object,none,,0.75,1.25,none,False,unresolved
S_G_H,S,L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,L2RAR2_REPAIR_02_840002,K5_brief_hold_loss,recover_object,none,,0.75,1.25,none,True,unresolved
S_G_R,S,L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,L2RAR2_REPAIR_02_840002,K5_brief_hold_loss,recover_object,none,,0.75,1.25,none,True,unresolved
S_G_HR,S,L2RAR2_REPAIR_02_840002:K5_brief_hold_loss,L2RAR2_REPAIR_02_840002,K5_brief_hold_loss,recover_object,none,,0.75,1.25,none,True,unresolved
O_B2,O,L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,L2RAR2_REPAIR_02_840002,K6_long_gap_after_loss,recover_object,none,,0.9,1.4,none,False,unresolved
O_C3,O,L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,L2RAR2_REPAIR_02_840002,K6_long_gap_after_loss,recover_object,none,,0.9,1.4,none,False,unresolved
S_G_H,S,L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,L2RAR2_REPAIR_02_840002,K6_long_gap_after_loss,recover_object,none,,0.9,1.4,none,True,unresolved
S_G_R,S,L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,L2RAR2_REPAIR_02_840002,K6_long_gap_after_loss,recover_object,none,,0.9,1.4,none,True,unresolved
S_G_HR,S,L2RAR2_REPAIR_02_840002:K6_long_gap_after_loss,L2RAR2_REPAIR_02_840002,K6_long_gap_after_loss,recover_object,none,,0.9,1.4,none,True,unresolved
O_B2,O,L2RAR2_REPAIR_02_840002:K7_commanded_release,L2RAR2_REPAIR_02_840002,K7_commanded_release,none,none,,0.7,1.2,none,False,reference_labeled
O_C3,O,L2RAR2_REPAIR_02_840002:K7_commanded_release,L2RAR2_REPAIR_02_840002,K7_commanded_release,none,none,,0.7,1.2,none,False,reference_labeled
S_G_H,S,L2RAR2_REPAIR_02_840002:K7_commanded_release,L2RAR2_REPAIR_02_840002,K7_commanded_release,none,none,,0.7,1.2,none,True,reference_labeled
S_G_R,S,L2RAR2_REPAIR_02_840002:K7_commanded_release,L2RAR2_REPAIR_02_840002,K7_commanded_release,none,none,,0.7,1.2,none,True,reference_labeled
S_G_HR,S,L2RAR2_REPAIR_02_840002:K7_commanded_release,L2RAR2_REPAIR_02_840002,K7_commanded_release,none,none,,0.7,1.2,none,True,reference_labeled
O_B2,O,L2RAR2_REPAIR_02_840002:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_02_840002,K8_acquisition_touch_then_continue,none,none,,0.7,1.2,none,False,reference_labeled
O_C3,O,L2RAR2_REPAIR_02_840002:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_02_840002,K8_acquisition_touch_then_continue,none,none,,0.7,1.2,none,False,reference_labeled
S_G_H,S,L2RAR2_REPAIR_02_840002:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_02_840002,K8_acquisition_touch_then_continue,none,none,,0.7,1.2,none,True,reference_labeled
S_G_R,S,L2RAR2_REPAIR_02_840002:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_02_840002,K8_acquisition_touch_then_continue,none,none,,0.7,1.2,none,True,reference_labeled
S_G_HR,S,L2RAR2_REPAIR_02_840002:K8_acquisition_touch_then_continue,L2RAR2_REPAIR_02_840002,K8_acquisition_touch_then_continue,none,none,,0.7,1.2,none,True,reference_labeled
O_B2,O,L2RAR2_REPAIR_03_840003:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_03_840003,K1_hold_request_ends_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,correct,False,reference_labeled
O_C3,O,L2RAR2_REPAIR_03_840003:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_03_840003,K1_hold_request_ends_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,correct,False,reference_labeled
S_G_H,S,L2RAR2_REPAIR_03_840003:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_03_840003,K1_hold_request_ends_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,correct,True,reference_labeled
S_G_R,S,L2RAR2_REPAIR_03_840003:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_03_840003,K1_hold_request_ends_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,correct,True,reference_labeled
S_G_HR,S,L2RAR2_REPAIR_03_840003:K1_hold_request_ends_without_hold,L2RAR2_REPAIR_03_840003,K1_hold_request_ends_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,correct,True,reference_labeled
O_B2,O,L2RAR2_REPAIR_03_840003:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_03_840003,K2_touch_request_completes_without_hold,none,retry_grasp,0.8,0.8,0.8,wrong,False,reference_labeled
O_C3,O,L2RAR2_REPAIR_03_840003:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_03_840003,K2_touch_request_completes_without_hold,none,retry_grasp,0.8,0.8,0.8,wrong,False,reference_labeled
S_G_H,S,L2RAR2_REPAIR_03_840003:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_03_840003,K2_touch_request_completes_without_hold,none,none,,0.8,0.8,none,True,reference_labeled
S_G_R,S,L2RAR2_REPAIR_03_840003:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_03_840003,K2_touch_request_completes_without_hold,none,none,,0.8,0.8,none,True,reference_labeled
S_G_HR,S,L2RAR2_REPAIR_03_840003:K2_touch_request_completes_without_hold,L2RAR2_REPAIR_03_840003,K2_touch_request_completes_without_hold,none,none,,0.8,0.8,none,True,reference_labeled
O_B2,O,L2RAR2_REPAIR_03_840003:K3_normal_hold_pause_resume,L2RAR2_REPAIR_03_840003,K3_normal_hold_pause_resume,none,none,,0.65,1.15,none,False,reference_labeled
O_C3,O,L2RAR2_REPAIR_03_840003:K3_normal_hold_pause_resume,L2RAR2_REPAIR_03_840003,K3_normal_hold_pause_resume,none,none,,0.65,1.15,none,False,reference_labeled
S_G_H,S,L2RAR2_REPAIR_03_840003:K3_normal_hold_pause_resume,L2RAR2_REPAIR_03_840003,K3_normal_hold_pause_resume,none,none,,0.65,1.15,none,True,reference_labeled
S_G_R,S,L2RAR2_REPAIR_03_840003:K3_normal_hold_pause_resume,L2RAR2_REPAIR_03_840003,K3_normal_hold_pause_resume,none,none,,0.65,1.15,none,True,reference_labeled
S_G_HR,S,L2RAR2_REPAIR_03_840003:K3_normal_hold_pause_resume,L2RAR2_REPAIR_03_840003,K3_normal_hold_pause_resume,none,none,,0.65,1.15,none,True,reference_labeled
O_B2,O,L2RAR2_REPAIR_03_840003:K4_regular_hold_loss,L2RAR2_REPAIR_03_840003,K4_regular_hold_loss,recover_object,none,,0.85,1.35,none,False,unresolved
O_C3,O,L2RAR2_REPAIR_03_840003:K4_regular_hold_loss,L2RAR2_REPAIR_03_840003,K4_regular_hold_loss,recover_object,none,,0.85,1.35,none,False,unresolved
S_G_H,S,L2RAR2_REPAIR_03_840003:K4_regular_hold_loss,L2RAR2_REPAIR_03_840003,K4_regular_hold_loss,recover_object,none,,0.85,1.35,none,True,unresolved
S_G_R,S,L2RAR2_REPAIR_03_840003:K4_regular_hold_loss,L2RAR2_REPAIR_03_840003,K4_regular_hold_loss,recover_object,none,,0.85,1.35,none,True,unresolved
S_G_HR,S,L2RAR2_REPAIR_03_840003:K4_regular_hold_loss,L2RAR2_REPAIR_03_840003,K4_regular_hold_loss,recover_object,none,,0.85,1.35,none,True,unresolved
