episode_id,evidence_end_ns,evidence_end_capture_order,first_proposal_ns,first_proposal_capture_order,first_proposal_attempt_id,first_recovery_command_ns,first_recovery_command_capture_order,recovery_physics_start_ns,recovery_control_executed,release_intent_ns,attempt_change_ns,observation_boundary_ns,observation_boundary_capture_order,observation_boundary_reason,last_candidate_observation_ns
L2RAR2_R25_FACTORIAL_00_898000__R25C5_secondary_loss_rearm__F1_S0_FUSION_ONLY,2550000000,55,2550000000,54,1,2600000000,56,2600000000,True,8350000000,2600000000,2600000000,56,RECOVERY_CONTROL_STARTED,8950000000
L2RAR2_R25_FACTORIAL_00_898000__R25C5_secondary_loss_rearm__F1_S1_FUSION_SUPERVISOR,2550000000,55,2550000000,54,1,2600000000,56,2600000000,True,8350000000,2600000000,2600000000,56,RECOVERY_CONTROL_STARTED,21750000000
L2RAR2_R25_FACTORIAL_00_898000__R25C6_partial_slip_control__F0_S0_CLP3_BASELINE,7150000000,150,,,,,,,False,7200000000,,7200000000,151,RELEASE_STARTED,7800000000
L2RAR2_R25_FACTORIAL_00_898000__R25C6_partial_slip_control__F0_S1_SUPERVISOR_ONLY,7150000000,150,,,,,,,False,7200000000,,7200000000,151,RELEASE_STARTED,7800000000
L2RAR2_R25_FACTORIAL_00_898000__R25C6_partial_slip_control__F1_S0_FUSION_ONLY,7150000000,150,,,,,,,False,7200000000,,7200000000,151,RELEASE_STARTED,7800000000
L2RAR2_R25_FACTORIAL_00_898000__R25C6_partial_slip_control__F1_S1_FUSION_SUPERVISOR,7150000000,150,,,,,,,False,7200000000,,7200000000,151,RELEASE_STARTED,7800000000
L2RAR2_R25_FACTORIAL_00_898000__R25C7_commanded_release_control__F0_S0_CLP3_BASELINE,2100000000,45,,,,,,,False,2150000000,,2150000000,46,RELEASE_STARTED,2600000000
L2RAR2_R25_FACTORIAL_00_898000__R25C7_commanded_release_control__F0_S1_SUPERVISOR_ONLY,2100000000,45,,,,,,,False,2150000000,,2150000000,46,RELEASE_STARTED,2600000000
L2RAR2_R25_FACTORIAL_00_898000__R25C7_commanded_release_control__F1_S0_FUSION_ONLY,2100000000,45,,,,,,,False,2150000000,,2150000000,46,RELEASE_STARTED,2600000000
L2RAR2_R25_FACTORIAL_00_898000__R25C7_commanded_release_control__F1_S1_FUSION_SUPERVISOR,2100000000,45,,,,,,,False,2150000000,,2150000000,46,RELEASE_STARTED,2600000000
L2RAR2_R25_FACTORIAL_01_898001__R25C1_contact_absence_edge_missing__F0_S0_CLP3_BASELINE,3800000000,80,,,,,,,False,,,,,RAW_OBSERVATION_ENDED,3800000000
