episode_id,paired_condition_id,root_family_id,arm_id
L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_00_896000::R24C4_multisource_missing_then_loss,L2RAR2_R24_BOUNDARY_00_896000,O_C3_RAW
L2RAR2_R24_BOUNDARY_00_896000__R24C4_multisource_missing_then_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000::R24C4_multisource_missing_then_loss,L2RAR2_R24_BOUNDARY_00_896000,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000::R24C5_active_release_conflict,L2RAR2_R24_BOUNDARY_00_896000,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__O_C3_RAW,L2RAR2_R24_BOUNDARY_00_896000::R24C5_active_release_conflict,L2RAR2_R24_BOUNDARY_00_896000,O_C3_RAW
L2RAR2_R24_BOUNDARY_00_896000__R24C5_active_release_conflict__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000::R24C5_active_release_conflict,L2RAR2_R24_BOUNDARY_00_896000,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000::R24C6_relocation_error,L2RAR2_R24_BOUNDARY_00_896000,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__O_C3_RAW,L2RAR2_R24_BOUNDARY_00_896000::R24C6_relocation_error,L2RAR2_R24_BOUNDARY_00_896000,O_C3_RAW
L2RAR2_R24_BOUNDARY_00_896000__R24C6_relocation_error__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000::R24C6_relocation_error,L2RAR2_R24_BOUNDARY_00_896000,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000::R24C7_regrasp_disturbance,L2RAR2_R24_BOUNDARY_00_896000,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__O_C3_RAW,L2RAR2_R24_BOUNDARY_00_896000::R24C7_regrasp_disturbance,L2RAR2_R24_BOUNDARY_00_896000,O_C3_RAW
L2RAR2_R24_BOUNDARY_00_896000__R24C7_regrasp_disturbance__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000::R24C7_regrasp_disturbance,L2RAR2_R24_BOUNDARY_00_896000,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_00_896000::R24C8_secondary_loss,L2RAR2_R24_BOUNDARY_00_896000,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_00_896000::R24C8_secondary_loss,L2RAR2_R24_BOUNDARY_00_896000,O_C3_RAW
L2RAR2_R24_BOUNDARY_00_896000__R24C8_secondary_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_00_896000::R24C8_secondary_loss,L2RAR2_R24_BOUNDARY_00_896000,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_01_896001__R24C1_delayed_contact_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001::R24C1_delayed_contact_loss,L2RAR2_R24_BOUNDARY_01_896001,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_01_896001__R24C1_delayed_contact_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001::R24C1_delayed_contact_loss,L2RAR2_R24_BOUNDARY_01_896001,O_C3_RAW
L2RAR2_R24_BOUNDARY_01_896001__R24C1_delayed_contact_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001::R24C1_delayed_contact_loss,L2RAR2_R24_BOUNDARY_01_896001,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_01_896001__R24C2_loss_signal_missing__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001::R24C2_loss_signal_missing,L2RAR2_R24_BOUNDARY_01_896001,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_01_896001__R24C2_loss_signal_missing__O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001::R24C2_loss_signal_missing,L2RAR2_R24_BOUNDARY_01_896001,O_C3_RAW
L2RAR2_R24_BOUNDARY_01_896001__R24C2_loss_signal_missing__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001::R24C2_loss_signal_missing,L2RAR2_R24_BOUNDARY_01_896001,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_01_896001__R24C3_partial_slip__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001::R24C3_partial_slip,L2RAR2_R24_BOUNDARY_01_896001,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_01_896001__R24C3_partial_slip__O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001::R24C3_partial_slip,L2RAR2_R24_BOUNDARY_01_896001,O_C3_RAW
L2RAR2_R24_BOUNDARY_01_896001__R24C3_partial_slip__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001::R24C3_partial_slip,L2RAR2_R24_BOUNDARY_01_896001,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_01_896001__R24C4_multisource_missing_then_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001::R24C4_multisource_missing_then_loss,L2RAR2_R24_BOUNDARY_01_896001,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_01_896001__R24C4_multisource_missing_then_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001::R24C4_multisource_missing_then_loss,L2RAR2_R24_BOUNDARY_01_896001,O_C3_RAW
L2RAR2_R24_BOUNDARY_01_896001__R24C4_multisource_missing_then_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001::R24C4_multisource_missing_then_loss,L2RAR2_R24_BOUNDARY_01_896001,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_01_896001__R24C5_active_release_conflict__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001::R24C5_active_release_conflict,L2RAR2_R24_BOUNDARY_01_896001,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_01_896001__R24C5_active_release_conflict__O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001::R24C5_active_release_conflict,L2RAR2_R24_BOUNDARY_01_896001,O_C3_RAW
L2RAR2_R24_BOUNDARY_01_896001__R24C5_active_release_conflict__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001::R24C5_active_release_conflict,L2RAR2_R24_BOUNDARY_01_896001,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_01_896001__R24C6_relocation_error__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001::R24C6_relocation_error,L2RAR2_R24_BOUNDARY_01_896001,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_01_896001__R24C6_relocation_error__O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001::R24C6_relocation_error,L2RAR2_R24_BOUNDARY_01_896001,O_C3_RAW
L2RAR2_R24_BOUNDARY_01_896001__R24C6_relocation_error__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001::R24C6_relocation_error,L2RAR2_R24_BOUNDARY_01_896001,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_01_896001__R24C7_regrasp_disturbance__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001::R24C7_regrasp_disturbance,L2RAR2_R24_BOUNDARY_01_896001,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_01_896001__R24C7_regrasp_disturbance__O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001::R24C7_regrasp_disturbance,L2RAR2_R24_BOUNDARY_01_896001,O_C3_RAW
L2RAR2_R24_BOUNDARY_01_896001__R24C7_regrasp_disturbance__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001::R24C7_regrasp_disturbance,L2RAR2_R24_BOUNDARY_01_896001,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_01_896001__R24C8_secondary_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001::R24C8_secondary_loss,L2RAR2_R24_BOUNDARY_01_896001,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_01_896001__R24C8_secondary_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001::R24C8_secondary_loss,L2RAR2_R24_BOUNDARY_01_896001,O_C3_RAW
L2RAR2_R24_BOUNDARY_01_896001__R24C8_secondary_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001::R24C8_secondary_loss,L2RAR2_R24_BOUNDARY_01_896001,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_02_896002__R24C1_delayed_contact_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002::R24C1_delayed_contact_loss,L2RAR2_R24_BOUNDARY_02_896002,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_02_896002__R24C1_delayed_contact_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002::R24C1_delayed_contact_loss,L2RAR2_R24_BOUNDARY_02_896002,O_C3_RAW
L2RAR2_R24_BOUNDARY_02_896002__R24C1_delayed_contact_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002::R24C1_delayed_contact_loss,L2RAR2_R24_BOUNDARY_02_896002,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_02_896002__R24C2_loss_signal_missing__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002::R24C2_loss_signal_missing,L2RAR2_R24_BOUNDARY_02_896002,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_02_896002__R24C2_loss_signal_missing__O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002::R24C2_loss_signal_missing,L2RAR2_R24_BOUNDARY_02_896002,O_C3_RAW
L2RAR2_R24_BOUNDARY_02_896002__R24C2_loss_signal_missing__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002::R24C2_loss_signal_missing,L2RAR2_R24_BOUNDARY_02_896002,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_02_896002__R24C3_partial_slip__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002::R24C3_partial_slip,L2RAR2_R24_BOUNDARY_02_896002,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_02_896002__R24C3_partial_slip__O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002::R24C3_partial_slip,L2RAR2_R24_BOUNDARY_02_896002,O_C3_RAW
L2RAR2_R24_BOUNDARY_02_896002__R24C3_partial_slip__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002::R24C3_partial_slip,L2RAR2_R24_BOUNDARY_02_896002,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_02_896002__R24C4_multisource_missing_then_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002::R24C4_multisource_missing_then_loss,L2RAR2_R24_BOUNDARY_02_896002,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_02_896002__R24C4_multisource_missing_then_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002::R24C4_multisource_missing_then_loss,L2RAR2_R24_BOUNDARY_02_896002,O_C3_RAW
L2RAR2_R24_BOUNDARY_02_896002__R24C4_multisource_missing_then_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002::R24C4_multisource_missing_then_loss,L2RAR2_R24_BOUNDARY_02_896002,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_02_896002__R24C5_active_release_conflict__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002::R24C5_active_release_conflict,L2RAR2_R24_BOUNDARY_02_896002,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_02_896002__R24C5_active_release_conflict__O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002::R24C5_active_release_conflict,L2RAR2_R24_BOUNDARY_02_896002,O_C3_RAW
L2RAR2_R24_BOUNDARY_02_896002__R24C5_active_release_conflict__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002::R24C5_active_release_conflict,L2RAR2_R24_BOUNDARY_02_896002,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_02_896002__R24C6_relocation_error__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002::R24C6_relocation_error,L2RAR2_R24_BOUNDARY_02_896002,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_02_896002__R24C6_relocation_error__O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002::R24C6_relocation_error,L2RAR2_R24_BOUNDARY_02_896002,O_C3_RAW
L2RAR2_R24_BOUNDARY_02_896002__R24C6_relocation_error__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002::R24C6_relocation_error,L2RAR2_R24_BOUNDARY_02_896002,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_02_896002__R24C7_regrasp_disturbance__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002::R24C7_regrasp_disturbance,L2RAR2_R24_BOUNDARY_02_896002,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_02_896002__R24C7_regrasp_disturbance__O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002::R24C7_regrasp_disturbance,L2RAR2_R24_BOUNDARY_02_896002,O_C3_RAW
L2RAR2_R24_BOUNDARY_02_896002__R24C7_regrasp_disturbance__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002::R24C7_regrasp_disturbance,L2RAR2_R24_BOUNDARY_02_896002,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_02_896002__R24C8_secondary_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002::R24C8_secondary_loss,L2RAR2_R24_BOUNDARY_02_896002,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_02_896002__R24C8_secondary_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002::R24C8_secondary_loss,L2RAR2_R24_BOUNDARY_02_896002,O_C3_RAW
L2RAR2_R24_BOUNDARY_02_896002__R24C8_secondary_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002::R24C8_secondary_loss,L2RAR2_R24_BOUNDARY_02_896002,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_03_896003__R24C1_delayed_contact_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003::R24C1_delayed_contact_loss,L2RAR2_R24_BOUNDARY_03_896003,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_03_896003__R24C1_delayed_contact_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003::R24C1_delayed_contact_loss,L2RAR2_R24_BOUNDARY_03_896003,O_C3_RAW
L2RAR2_R24_BOUNDARY_03_896003__R24C1_delayed_contact_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003::R24C1_delayed_contact_loss,L2RAR2_R24_BOUNDARY_03_896003,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_03_896003__R24C2_loss_signal_missing__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003::R24C2_loss_signal_missing,L2RAR2_R24_BOUNDARY_03_896003,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_03_896003__R24C2_loss_signal_missing__O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003::R24C2_loss_signal_missing,L2RAR2_R24_BOUNDARY_03_896003,O_C3_RAW
L2RAR2_R24_BOUNDARY_03_896003__R24C2_loss_signal_missing__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003::R24C2_loss_signal_missing,L2RAR2_R24_BOUNDARY_03_896003,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_03_896003__R24C3_partial_slip__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003::R24C3_partial_slip,L2RAR2_R24_BOUNDARY_03_896003,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_03_896003__R24C3_partial_slip__O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003::R24C3_partial_slip,L2RAR2_R24_BOUNDARY_03_896003,O_C3_RAW
L2RAR2_R24_BOUNDARY_03_896003__R24C3_partial_slip__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003::R24C3_partial_slip,L2RAR2_R24_BOUNDARY_03_896003,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_03_896003__R24C4_multisource_missing_then_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003::R24C4_multisource_missing_then_loss,L2RAR2_R24_BOUNDARY_03_896003,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_03_896003__R24C4_multisource_missing_then_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003::R24C4_multisource_missing_then_loss,L2RAR2_R24_BOUNDARY_03_896003,O_C3_RAW
L2RAR2_R24_BOUNDARY_03_896003__R24C4_multisource_missing_then_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003::R24C4_multisource_missing_then_loss,L2RAR2_R24_BOUNDARY_03_896003,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_03_896003__R24C5_active_release_conflict__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003::R24C5_active_release_conflict,L2RAR2_R24_BOUNDARY_03_896003,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_03_896003__R24C5_active_release_conflict__O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003::R24C5_active_release_conflict,L2RAR2_R24_BOUNDARY_03_896003,O_C3_RAW
L2RAR2_R24_BOUNDARY_03_896003__R24C5_active_release_conflict__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003::R24C5_active_release_conflict,L2RAR2_R24_BOUNDARY_03_896003,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_03_896003__R24C6_relocation_error__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003::R24C6_relocation_error,L2RAR2_R24_BOUNDARY_03_896003,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_03_896003__R24C6_relocation_error__O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003::R24C6_relocation_error,L2RAR2_R24_BOUNDARY_03_896003,O_C3_RAW
L2RAR2_R24_BOUNDARY_03_896003__R24C6_relocation_error__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003::R24C6_relocation_error,L2RAR2_R24_BOUNDARY_03_896003,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_03_896003__R24C7_regrasp_disturbance__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003::R24C7_regrasp_disturbance,L2RAR2_R24_BOUNDARY_03_896003,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_03_896003__R24C7_regrasp_disturbance__O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003::R24C7_regrasp_disturbance,L2RAR2_R24_BOUNDARY_03_896003,O_C3_RAW
L2RAR2_R24_BOUNDARY_03_896003__R24C7_regrasp_disturbance__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003::R24C7_regrasp_disturbance,L2RAR2_R24_BOUNDARY_03_896003,RECOVERY_DISABLED
L2RAR2_R24_BOUNDARY_03_896003__R24C8_secondary_loss__O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_03_896003::R24C8_secondary_loss,L2RAR2_R24_BOUNDARY_03_896003,O_C3_CLP3_CANONICAL_TIME
L2RAR2_R24_BOUNDARY_03_896003__R24C8_secondary_loss__O_C3_RAW,L2RAR2_R24_BOUNDARY_03_896003::R24C8_secondary_loss,L2RAR2_R24_BOUNDARY_03_896003,O_C3_RAW
L2RAR2_R24_BOUNDARY_03_896003__R24C8_secondary_loss__RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_03_896003::R24C8_secondary_loss,L2RAR2_R24_BOUNDARY_03_896003,RECOVERY_DISABLED
L2RAR2_R25_FACTORIAL_00_898000__R25C1_contact_absence_edge_missing__F0_S0_CLP3_BASELINE,L2RAR2_R25_FACTORIAL_00_898000::R25C1_contact_absence_edge_missing,L2RAR2_R25_FACTORIAL_00_898000,F0_S0_CLP3_BASELINE
L2RAR2_R25_FACTORIAL_00_898000__R25C1_contact_absence_edge_missing__F0_S1_SUPERVISOR_ONLY,L2RAR2_R25_FACTORIAL_00_898000::R25C1_contact_absence_edge_missing,L2RAR2_R25_FACTORIAL_00_898000,F0_S1_SUPERVISOR_ONLY
L2RAR2_R25_FACTORIAL_00_898000__R25C1_contact_absence_edge_missing__F1_S0_FUSION_ONLY,L2RAR2_R25_FACTORIAL_00_898000::R25C1_contact_absence_edge_missing,L2RAR2_R25_FACTORIAL_00_898000,F1_S0_FUSION_ONLY
L2RAR2_R25_FACTORIAL_00_898000__R25C1_contact_absence_edge_missing__F1_S1_FUSION_SUPERVISOR,L2RAR2_R25_FACTORIAL_00_898000::R25C1_contact_absence_edge_missing,L2RAR2_R25_FACTORIAL_00_898000,F1_S1_FUSION_SUPERVISOR
L2RAR2_R25_FACTORIAL_00_898000__R25C2_rgb_detach_contact_masked__F0_S0_CLP3_BASELINE,L2RAR2_R25_FACTORIAL_00_898000::R25C2_rgb_detach_contact_masked,L2RAR2_R25_FACTORIAL_00_898000,F0_S0_CLP3_BASELINE
L2RAR2_R25_FACTORIAL_00_898000__R25C2_rgb_detach_contact_masked__F0_S1_SUPERVISOR_ONLY,L2RAR2_R25_FACTORIAL_00_898000::R25C2_rgb_detach_contact_masked,L2RAR2_R25_FACTORIAL_00_898000,F0_S1_SUPERVISOR_ONLY
L2RAR2_R25_FACTORIAL_00_898000__R25C2_rgb_detach_contact_masked__F1_S0_FUSION_ONLY,L2RAR2_R25_FACTORIAL_00_898000::R25C2_rgb_detach_contact_masked,L2RAR2_R25_FACTORIAL_00_898000,F1_S0_FUSION_ONLY
L2RAR2_R25_FACTORIAL_00_898000__R25C2_rgb_detach_contact_masked__F1_S1_FUSION_SUPERVISOR,L2RAR2_R25_FACTORIAL_00_898000::R25C2_rgb_detach_contact_masked,L2RAR2_R25_FACTORIAL_00_898000,F1_S1_FUSION_SUPERVISOR
L2RAR2_R25_FACTORIAL_00_898000__R25C3_transient_relocation_error__F0_S0_CLP3_BASELINE,L2RAR2_R25_FACTORIAL_00_898000::R25C3_transient_relocation_error,L2RAR2_R25_FACTORIAL_00_898000,F0_S0_CLP3_BASELINE
L2RAR2_R25_FACTORIAL_00_898000__R25C3_transient_relocation_error__F0_S1_SUPERVISOR_ONLY,L2RAR2_R25_FACTORIAL_00_898000::R25C3_transient_relocation_error,L2RAR2_R25_FACTORIAL_00_898000,F0_S1_SUPERVISOR_ONLY
L2RAR2_R25_FACTORIAL_00_898000__R25C3_transient_relocation_error__F1_S0_FUSION_ONLY,L2RAR2_R25_FACTORIAL_00_898000::R25C3_transient_relocation_error,L2RAR2_R25_FACTORIAL_00_898000,F1_S0_FUSION_ONLY
L2RAR2_R25_FACTORIAL_00_898000__R25C3_transient_relocation_error__F1_S1_FUSION_SUPERVISOR,L2RAR2_R25_FACTORIAL_00_898000::R25C3_transient_relocation_error,L2RAR2_R25_FACTORIAL_00_898000,F1_S1_FUSION_SUPERVISOR
L2RAR2_R25_FACTORIAL_00_898000__R25C4_goal_verification_retry__F0_S0_CLP3_BASELINE,L2RAR2_R25_FACTORIAL_00_898000::R25C4_goal_verification_retry,L2RAR2_R25_FACTORIAL_00_898000,F0_S0_CLP3_BASELINE
L2RAR2_R25_FACTORIAL_00_898000__R25C4_goal_verification_retry__F0_S1_SUPERVISOR_ONLY,L2RAR2_R25_FACTORIAL_00_898000::R25C4_goal_verification_retry,L2RAR2_R25_FACTORIAL_00_898000,F0_S1_SUPERVISOR_ONLY
