budget,repeat,num_success,num_failure,spearman,kendall,top_jaccard
10,19,6,4,0.2392999077665953,0.1648123909249564,0.16923076923076924
25,0,17,8,0.5373132177392185,0.3808459001715999,0.288135593220339
25,1,16,9,0.44827638824837923,0.32078970331588136,0.26666666666666666
25,2,21,4,0.4655074193635896,0.32155322862129143,0.16923076923076924
25,3,18,7,0.49741780375986766,0.3542757417102967,0.22580645161290322
25,4,19,6,0.6149780945663675,0.4494982547993019,0.38181818181818183
25,5,19,6,0.3514177495049237,0.2468368237347295,0.22580645161290322
25,6,17,8,0.6857180641835988,0.518542757417103,0.4339622641509434
25,7,16,9,0.5116936358950711,0.3574389179755672,0.20634920634920634
25,8,15,10,0.5787968287985243,0.42332024432809773,0.26666666666666666
25,9,18,7,0.4600293654884302,0.3306064572425829,0.1875
25,10,19,6,0.3735113799745002,0.25959860383944156,0.20634920634920634
25,11,20,5,0.4810005968043839,0.33638743455497383,0.22580645161290322
25,12,17,8,0.47202140357540084,0.34664048865619546,0.3333333333333333
25,13,15,10,0.7026812115128992,0.5243237347294939,0.4074074074074074
25,14,19,6,0.5873758918156419,0.4360820244328098,0.3333333333333333
25,15,16,9,0.576506252882294,0.41710296684118675,0.3103448275862069
25,16,19,6,0.6685565472153651,0.48734729493891804,0.3103448275862069
25,17,17,8,0.645128584217237,0.4710951134380454,0.3333333333333333
25,18,21,4,0.455458386457966,0.3292975567190227,0.22580645161290322
25,19,17,8,0.6944887149716519,0.5093804537521816,0.26666666666666666
50,0,34,16,0.6996768439899086,0.524432809773124,0.35714285714285715
50,1,35,15,0.8290341941784446,0.6546684118673648,0.52
50,2,33,17,0.8034122968830537,0.6234729493891799,0.4074074074074074
50,3,37,13,0.8292969915633562,0.6411431064572426,0.38181818181818183
50,4,35,15,0.8192699997287254,0.6518324607329843,0.49019607843137253
50,5,35,15,0.7722275723625317,0.5909685863874345,0.38181818181818183
50,6,34,16,0.8781027046089576,0.7025523560209425,0.5510204081632653
50,7,35,15,0.6988714971651793,0.5205061082024434,0.4074074074074074
50,8,31,19,0.7992719664704447,0.6110383944153578,0.46153846153846156
50,9,35,15,0.7299680574017309,0.5405759162303665,0.4074074074074074
50,10,37,13,0.8071948837587827,0.6199825479930192,0.49019607843137253
50,11,36,14,0.7898061742126252,0.6110383944153578,0.49019607843137253
50,12,36,14,0.8420706399370643,0.6594677137870855,0.49019607843137253
50,13,33,17,0.8447393049941677,0.6708115183246074,0.5510204081632653
50,14,37,13,0.61907773377099,0.4535340314136126,0.38181818181818183
50,15,38,12,0.7367329707294579,0.5487565445026178,0.288135593220339
50,16,37,13,0.7985022244527034,0.6135471204188482,0.4074074074074074
50,17,34,16,0.7880700160052085,0.6031849912739966,0.49019607843137253
50,18,36,14,0.7350035943900388,0.5521378708551483,0.38181818181818183
50,19,38,12,0.5409014458942573,0.39626963350785344,0.288135593220339
100,0,71,29,1.0,1.0,1.0
100,1,71,29,1.0,1.0,1.0
100,2,71,29,1.0,1.0,1.0
100,3,71,29,1.0,1.0,1.0
100,4,71,29,1.0,1.0,1.0
100,5,71,29,1.0,1.0,1.0
100,6,71,29,1.0,1.0,1.0
100,7,71,29,1.0,1.0,1.0
100,8,71,29,1.0,1.0,1.0
100,9,71,29,1.0,1.0,1.0
100,10,71,29,1.0,1.0,1.0
100,11,71,29,1.0,1.0,1.0
100,12,71,29,1.0,1.0,1.0
100,13,71,29,1.0,1.0,1.0
100,14,71,29,1.0,1.0,1.0
100,15,71,29,1.0,1.0,1.0
100,16,71,29,1.0,1.0,1.0
100,17,71,29,1.0,1.0,1.0
100,18,71,29,1.0,1.0,1.0
100,19,71,29,1.0,1.0,1.0
