job_id	setting	history_dropout	feature_noise_std_fraction	event_boundary_jitter_steps	seed	task_id	status	provenance
feature_noise_0.02__s20260906__transport_recovery	feature_noise_0.02	0	0.02	0	20260906	transport_recovery	PASS	derived_counterfactual_perturbation
feature_noise_0.02__s20260906__transport_dual_order	feature_noise_0.02	0	0.02	0	20260906	transport_dual_order	PASS	derived_counterfactual_perturbation
feature_noise_0.02__s20260907__transport_recovery	feature_noise_0.02	0	0.02	0	20260907	transport_recovery	PASS	derived_counterfactual_perturbation
feature_noise_0.02__s20260907__transport_dual_order	feature_noise_0.02	0	0.02	0	20260907	transport_dual_order	PASS	derived_counterfactual_perturbation
feature_noise_0.02__s20260908__transport_recovery	feature_noise_0.02	0	0.02	0	20260908	transport_recovery	PASS	derived_counterfactual_perturbation
feature_noise_0.02__s20260908__transport_dual_order	feature_noise_0.02	0	0.02	0	20260908	transport_dual_order	PASS	derived_counterfactual_perturbation
feature_noise_0.05__s20260906__transport_recovery	feature_noise_0.05	0	0.05	0	20260906	transport_recovery	PASS	derived_counterfactual_perturbation
feature_noise_0.05__s20260906__transport_dual_order	feature_noise_0.05	0	0.05	0	20260906	transport_dual_order	PASS	derived_counterfactual_perturbation
feature_noise_0.05__s20260907__transport_recovery	feature_noise_0.05	0	0.05	0	20260907	transport_recovery	PASS	derived_counterfactual_perturbation
feature_noise_0.05__s20260907__transport_dual_order	feature_noise_0.05	0	0.05	0	20260907	transport_dual_order	PASS	derived_counterfactual_perturbation
feature_noise_0.05__s20260908__transport_recovery	feature_noise_0.05	0	0.05	0	20260908	transport_recovery	PASS	derived_counterfactual_perturbation
feature_noise_0.05__s20260908__transport_dual_order	feature_noise_0.05	0	0.05	0	20260908	transport_dual_order	PASS	derived_counterfactual_perturbation
feature_noise_0.10__s20260906__transport_recovery	feature_noise_0.10	0	0.1	0	20260906	transport_recovery	PASS	derived_counterfactual_perturbation
feature_noise_0.10__s20260906__transport_dual_order	feature_noise_0.10	0	0.1	0	20260906	transport_dual_order	PASS	derived_counterfactual_perturbation
feature_noise_0.10__s20260907__transport_recovery	feature_noise_0.10	0	0.1	0	20260907	transport_recovery	PASS	derived_counterfactual_perturbation
feature_noise_0.10__s20260907__transport_dual_order	feature_noise_0.10	0	0.1	0	20260907	transport_dual_order	PASS	derived_counterfactual_perturbation
feature_noise_0.10__s20260908__transport_recovery	feature_noise_0.10	0	0.1	0	20260908	transport_recovery	PASS	derived_counterfactual_perturbation
feature_noise_0.10__s20260908__transport_dual_order	feature_noise_0.10	0	0.1	0	20260908	transport_dual_order	PASS	derived_counterfactual_perturbation
boundary_jitter_2__s20260906__transport_recovery	boundary_jitter_2	0	0	2	20260906	transport_recovery	PASS	derived_counterfactual_perturbation
boundary_jitter_2__s20260906__transport_dual_order	boundary_jitter_2	0	0	2	20260906	transport_dual_order	PASS	derived_counterfactual_perturbation
boundary_jitter_2__s20260907__transport_recovery	boundary_jitter_2	0	0	2	20260907	transport_recovery	PASS	derived_counterfactual_perturbation
boundary_jitter_2__s20260907__transport_dual_order	boundary_jitter_2	0	0	2	20260907	transport_dual_order	PASS	derived_counterfactual_perturbation
boundary_jitter_2__s20260908__transport_recovery	boundary_jitter_2	0	0	2	20260908	transport_recovery	PASS	derived_counterfactual_perturbation
boundary_jitter_2__s20260908__transport_dual_order	boundary_jitter_2	0	0	2	20260908	transport_dual_order	PASS	derived_counterfactual_perturbation
boundary_jitter_5__s20260906__transport_recovery	boundary_jitter_5	0	0	5	20260906	transport_recovery	PASS	derived_counterfactual_perturbation
boundary_jitter_5__s20260906__transport_dual_order	boundary_jitter_5	0	0	5	20260906	transport_dual_order	PASS	derived_counterfactual_perturbation
boundary_jitter_5__s20260907__transport_recovery	boundary_jitter_5	0	0	5	20260907	transport_recovery	PASS	derived_counterfactual_perturbation
boundary_jitter_5__s20260907__transport_dual_order	boundary_jitter_5	0	0	5	20260907	transport_dual_order	PASS	derived_counterfactual_perturbation
boundary_jitter_5__s20260908__transport_recovery	boundary_jitter_5	0	0	5	20260908	transport_recovery	PASS	derived_counterfactual_perturbation
boundary_jitter_5__s20260908__transport_dual_order	boundary_jitter_5	0	0	5	20260908	transport_dual_order	PASS	derived_counterfactual_perturbation
boundary_jitter_10__s20260906__transport_recovery	boundary_jitter_10	0	0	10	20260906	transport_recovery	PASS	derived_counterfactual_perturbation
boundary_jitter_10__s20260906__transport_dual_order	boundary_jitter_10	0	0	10	20260906	transport_dual_order	PASS	derived_counterfactual_perturbation
boundary_jitter_10__s20260907__transport_recovery	boundary_jitter_10	0	0	10	20260907	transport_recovery	PASS	derived_counterfactual_perturbation
boundary_jitter_10__s20260907__transport_dual_order	boundary_jitter_10	0	0	10	20260907	transport_dual_order	PASS	derived_counterfactual_perturbation
boundary_jitter_10__s20260908__transport_recovery	boundary_jitter_10	0	0	10	20260908	transport_recovery	PASS	derived_counterfactual_perturbation
boundary_jitter_10__s20260908__transport_dual_order	boundary_jitter_10	0	0	10	20260908	transport_dual_order	PASS	derived_counterfactual_perturbation
