episode_id,task,SPARSE_TERMINAL_signed,SPARSE_TERMINAL_pos,LINEAR_A_FIRST_R1_signed,LINEAR_A_FIRST_R1_pos,LINEAR_B_FIRST_R1_signed,LINEAR_B_FIRST_R1_pos,UNORDERED_VALID_COUNT_signed,UNORDERED_VALID_COUNT_pos,VALID_COUNT_PLUS_MATCHED_EVENTS_V1_signed,VALID_COUNT_PLUS_MATCHED_EVENTS_V1_pos,GRAPH_COST_ONLY_signed,GRAPH_COST_ONLY_pos,FULL_FROZEN_signed,FULL_FROZEN_pos,V6_CAP_POTENTIAL_signed,V6_CAP_POTENTIAL_pos,A_minus_B,v6_minus_count,v6_minus_event
P1V5_F05_920005__R8_commanded_release,recovery,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.0,0.16666666666666663,,0.0,0.0
P1V5_F06_920006__D1_A_then_B_clean_success,dual_order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,1.2483853060872936,0.0,-0.25,-0.25
P1V5_F06_920006__D2_B_then_A_clean_success,dual_order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,1.2483853265505402,0.0,-0.25,-0.25
P1V5_F06_920006__D3_A_done_B_loss_recovery_then_success,dual_order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.75,1.0,0.75,1.0,0.75,1.5722356178244763,0.0,-0.25,-0.25
P1V5_F06_920006__D4_B_done_A_loss_recovery_then_success,dual_order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.75,1.0,0.75,1.0,0.75,1.5722338787943313,0.0,-0.25,-0.25
P1V5_F06_920006__D5_completed_subgoal_invalidated_restored,dual_order,1.0,1.0,1.0,1.3333333333333335,1.0,1.0,1.0,1.5,1.0,1.5,0.75,1.0,0.75,1.0,0.75,1.9780794735018874,0.0,-0.25,-0.25
P1V5_F06_920006__D6_repeat_completed_subgoal_then_terminal_failure,dual_order,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.5,1.0,0.5,1.0,0.25,0.5,0.25,0.5,0.3333333333333333,1.0825259128388836,0.3333333333333333,-0.16666666666666669,-0.16666666666666669
P1V5_F06_920006__R1_clean_transport_success,recovery,1.0,1.0,,,,,1.0,1.0,1.0,1.0,0.6666666666666666,0.8333333333333333,1.137842661666666,1.3045093283333324,0.6666666666666666,0.9983851135249204,,-0.33333333333333337,-0.33333333333333337
P1V5_F06_920006__R2_loss_at_40pct_recover_success,recovery,1.0,1.0,,,,,1.0,1.0,1.0,2.0,0.6666666666666667,1.3333333333333335,0.9427770133310753,1.609443679997742,0.6666666666666666,1.5631162972282067,,-0.33333333333333337,-0.33333333333333337
P1V5_F06_920006__R3_loss_at_80pct_recover_success,recovery,1.0,1.0,,,,,1.0,1.0,1.0,2.0,0.6666666666666667,1.3333333333333335,1.1070440770641012,1.773710743730768,0.6666666666666666,1.6285132186251545,,-0.33333333333333337,-0.33333333333333337
P1V5_F06_920006__R4_three_cycles_at_40pct_then_success,recovery,1.0,1.0,,,,,1.0,1.0,1.0,4.0,0.6666666666666667,3.0,1.5666806452665463,3.91896914773793,0.6666666666666665,3.4920362298604495,,-0.3333333333333335,-0.3333333333333335
P1V5_F06_920006__R5_three_cycles_at_80pct_then_success,recovery,1.0,1.0,,,,,1.0,1.0,1.0,4.0,0.6666666666666667,3.0,1.8891283633358136,4.261554126978035,0.6666666666666665,3.8272677509566644,,-0.3333333333333335,-0.3333333333333335
P1V5_F06_920006__R6_three_closed_cycles_then_stop,recovery,0.0,0.0,,,,,0.0,0.0,0.0,3.0,0.3333333333333334,2.5,0.924328879809943,3.10995071561466,0.395985321484558,2.8890293392719237,,0.395985321484558,0.395985321484558
P1V5_F06_920006__R7_loss_recovery_started_not_completed_terminal,recovery,0.0,0.0,,,,,0.0,0.0,-1.0,0.0,-0.16666666666666669,0.3333333333333333,0.027685971909087836,0.5276859719090878,-0.16666666666666674,0.3981168077885411,,-0.16666666666666674,0.8333333333333333
P1V5_F06_920006__R8_commanded_release,recovery,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.0,0.16666666666666663,,0.0,0.0
P1V5_F07_920007__D1_A_then_B_clean_success,dual_order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,1.2483853485510736,0.0,-0.25,-0.25
P1V5_F07_920007__D2_B_then_A_clean_success,dual_order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,1.2483852540861882,0.0,-0.25,-0.25
P1V5_F07_920007__D3_A_done_B_loss_recovery_then_success,dual_order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.75,1.0,0.75,1.0,0.75,1.5722730464847965,0.0,-0.25,-0.25
P1V5_F07_920007__D4_B_done_A_loss_recovery_then_success,dual_order,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.75,1.0,0.75,1.0,0.75,1.572413341489694,0.0,-0.25,-0.25
P1V5_F07_920007__D5_completed_subgoal_invalidated_restored,dual_order,1.0,1.0,1.0,1.3333333333333335,1.0,1.0,1.0,1.5,1.0,1.5,0.75,1.0,0.75,1.0,0.75,1.9793702195801746,0.0,-0.25,-0.25
P1V5_F07_920007__D6_repeat_completed_subgoal_then_terminal_failure,dual_order,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.5,1.0,0.5,1.0,0.25,0.5,0.25,0.5,0.3333333333333333,1.082525900431831,0.3333333333333333,-0.16666666666666669,-0.16666666666666669
P1V5_F07_920007__R1_clean_transport_success,recovery,1.0,1.0,,,,,1.0,1.0,1.0,1.0,0.6666666666666666,0.8333333333333333,1.137842661666666,1.3045093283333327,0.6666666666666666,0.9983851182958658,,-0.33333333333333337,-0.33333333333333337
P1V5_F07_920007__R2_loss_at_40pct_recover_success,recovery,1.0,1.0,,,,,1.0,1.0,1.0,2.0,0.6666666666666667,1.3333333333333335,0.8993291257466316,1.5659957924132981,0.6666666666666665,1.5640022717876296,,-0.3333333333333335,-0.3333333333333335
P1V5_F07_920007__R3_loss_at_80pct_recover_success,recovery,1.0,1.0,,,,,1.0,1.0,1.0,2.0,0.6666666666666667,1.3333333333333335,1.0824163738408767,1.7490830405075433,0.6666666666666666,1.6290154198139646,,-0.33333333333333337,-0.33333333333333337
P1V5_F07_920007__R4_three_cycles_at_40pct_then_success,recovery,1.0,1.0,,,,,1.0,1.0,1.0,4.0,0.6666666666666667,3.0,1.4328769654604006,3.825584695339613,0.6666666666666665,3.518454221262904,,-0.3333333333333335,-0.3333333333333335
P1V5_F07_920007__R5_three_cycles_at_80pct_then_success,recovery,3.0,3.0,,,,,1.0,3.0,1.0,6.0,0.6666666666666667,3.3333333333333335,1.7333684327195857,4.477746725097003,0.6666666666666665,3.9154097335246725,,-0.3333333333333335,-0.3333333333333335
P1V5_F07_920007__R6_three_closed_cycles_then_stop,recovery,0.0,0.0,,,,,0.0,0.0,0.0,3.0,0.3333333333333334,2.5,0.8095996383086487,3.035640701521195,0.4024057687370383,2.9218055708487927,,0.4024057687370383,0.4024057687370383
P1V5_F07_920007__R7_loss_recovery_started_not_completed_terminal,recovery,0.0,0.0,,,,,0.0,0.0,-1.0,0.0,-0.16666666666666669,0.3333333333333333,0.0276858250472522,0.5276858250472523,-0.1666666666666668,0.39811680942497535,,-0.1666666666666668,0.8333333333333333
P1V5_F07_920007__R8_commanded_release,recovery,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.16666666666666663,0.0,0.16666666666666663,,0.0,0.0
