episode_id,method,signed_return,positive_weight_sum,n,nonzero_pos
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,LINEAR_A_FIRST_R1,1.0,1.3333333333333335,259,3
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,LINEAR_B_FIRST_R1,1.0,1.0,259,1
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,UNORDERED_R1,1.0,1.3333333333333335,259,3
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,SPARSE_TERMINAL,1.0,1.0,259,1
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,UNORDERED_VALID_COUNT,1.0,1.5,259,3
P1V5_F00_920000__D5_completed_subgoal_invalidated_restored,VALID_COUNT_PLUS_MATCHED_EVENTS_V1,1.0,1.5,259,3
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,FULL_FROZEN,0.25,0.5,139,2
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,GRAPH_COST_PHI,0.25,0.5,139,2
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,GRAPH_COST_DEBT,0.25,0.5,139,2
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,GRAPH_COST_ONLY,0.25,0.5,139,2
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,OLD_GLOBAL_PHI_DIAGNOSTIC,0.25,0.5,139,2
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,PAIRED_EVENT_BALANCED,0.0,0.0,139,0
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,V6_CAP_COST_ONLY,0.3333333333333333,0.9166666666666665,139,5
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,V6_CAP_WITHIN_PHI_ABLATION,0.34653239243149203,0.9298657257648252,139,21
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,V6_CAP_POTENTIAL,0.3333333333333333,1.0825258861172655,139,21
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,LINEAR_A_FIRST_R1,0.3333333333333333,0.6666666666666666,139,2
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,LINEAR_B_FIRST_R1,0.0,0.0,139,0
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,UNORDERED_R1,0.3333333333333333,0.6666666666666666,139,2
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,SPARSE_TERMINAL,0.0,0.0,139,0
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,UNORDERED_VALID_COUNT,0.5,1.0,139,2
P1V5_F00_920000__D6_repeat_completed_subgoal_then_terminal_failure,VALID_COUNT_PLUS_MATCHED_EVENTS_V1,0.5,1.0,139,2
P1V5_F00_920000__R1_clean_transport_success,FULL_FROZEN,1.1378426616666664,1.3045093283333329,67,11
P1V5_F00_920000__R1_clean_transport_success,GRAPH_COST_PHI,1.1378426616666664,1.3045093283333329,67,11
P1V5_F00_920000__R1_clean_transport_success,GRAPH_COST_DEBT,0.6666666666666666,0.8333333333333333,67,3
P1V5_F00_920000__R1_clean_transport_success,GRAPH_COST_ONLY,0.6666666666666666,0.8333333333333333,67,3
P1V5_F00_920000__R1_clean_transport_success,OLD_GLOBAL_PHI_DIAGNOSTIC,0.6666666666666665,1.3045093283333329,67,11
P1V5_F00_920000__R1_clean_transport_success,PAIRED_EVENT_BALANCED,0.0,0.0,67,0
P1V5_F00_920000__R1_clean_transport_success,V6_CAP_COST_ONLY,0.6666666666666666,0.8333333333333333,67,3
P1V5_F00_920000__R1_clean_transport_success,V6_CAP_WITHIN_PHI_ABLATION,0.693064746773512,0.8597314134401788,67,11
P1V5_F00_920000__R1_clean_transport_success,V6_CAP_POTENTIAL,0.6666666666666666,0.9983851078979732,67,11
P1V5_F00_920000__R1_clean_transport_success,SPARSE_TERMINAL,1.0,1.0,67,1
P1V5_F00_920000__R1_clean_transport_success,UNORDERED_VALID_COUNT,1.0,1.0,67,1
P1V5_F00_920000__R1_clean_transport_success,VALID_COUNT_PLUS_MATCHED_EVENTS_V1,1.0,1.0,67,1
P1V5_F00_920000__R2_loss_at_40pct_recover_success,FULL_FROZEN,0.9479106096535448,1.6145772763202113,117,24
P1V5_F00_920000__R2_loss_at_40pct_recover_success,GRAPH_COST_PHI,0.9479106096535448,1.6145772763202113,117,24
P1V5_F00_920000__R2_loss_at_40pct_recover_success,GRAPH_COST_DEBT,0.6666666666666667,1.3333333333333335,117,5
P1V5_F00_920000__R2_loss_at_40pct_recover_success,GRAPH_COST_ONLY,0.6666666666666667,1.3333333333333335,117,5
P1V5_F00_920000__R2_loss_at_40pct_recover_success,OLD_GLOBAL_PHI_DIAGNOSTIC,0.6666666666666667,2.0223706145615217,117,24
P1V5_F00_920000__R2_loss_at_40pct_recover_success,PAIRED_EVENT_BALANCED,0.0,1.0,117,1
P1V5_F00_920000__R2_loss_at_40pct_recover_success,V6_CAP_COST_ONLY,0.6666666666666667,1.3333333333333335,117,5
P1V5_F00_920000__R2_loss_at_40pct_recover_success,V6_CAP_WITHIN_PHI_ABLATION,0.7604140764717624,1.4270807431384291,117,23
P1V5_F00_920000__R2_loss_at_40pct_recover_success,V6_CAP_POTENTIAL,0.6666666666666667,1.5630116151261553,117,23
P1V5_F00_920000__R2_loss_at_40pct_recover_success,SPARSE_TERMINAL,1.0,1.0,117,1
P1V5_F00_920000__R2_loss_at_40pct_recover_success,UNORDERED_VALID_COUNT,1.0,1.0,117,1
P1V5_F00_920000__R2_loss_at_40pct_recover_success,VALID_COUNT_PLUS_MATCHED_EVENTS_V1,1.0,2.0,117,2
P1V5_F00_920000__R3_loss_at_80pct_recover_success,FULL_FROZEN,1.1118045063557156,1.7784711730223823,117,24
P1V5_F00_920000__R3_loss_at_80pct_recover_success,GRAPH_COST_PHI,1.1118045063557156,1.7784711730223823,117,24
P1V5_F00_920000__R3_loss_at_80pct_recover_success,GRAPH_COST_DEBT,0.6666666666666667,1.3333333333333335,117,5
P1V5_F00_920000__R3_loss_at_80pct_recover_success,GRAPH_COST_ONLY,0.6666666666666667,1.3333333333333335,117,5
P1V5_F00_920000__R3_loss_at_80pct_recover_success,OLD_GLOBAL_PHI_DIAGNOSTIC,0.6666666666666665,2.21858266441272,117,24
P1V5_F00_920000__R3_loss_at_80pct_recover_success,PAIRED_EVENT_BALANCED,0.0,1.0,117,1
P1V5_F00_920000__R3_loss_at_80pct_recover_success,V6_CAP_COST_ONLY,0.6666666666666667,1.3333333333333335,117,5
P1V5_F00_920000__R3_loss_at_80pct_recover_success,V6_CAP_WITHIN_PHI_ABLATION,0.8150458033132848,1.4817124699799515,117,23
P1V5_F00_920000__R3_loss_at_80pct_recover_success,V6_CAP_POTENTIAL,0.6666666666666667,1.628416144069446,117,23
P1V5_F00_920000__R3_loss_at_80pct_recover_success,SPARSE_TERMINAL,1.0,1.0,117,1
P1V5_F00_920000__R3_loss_at_80pct_recover_success,UNORDERED_VALID_COUNT,1.0,1.0,117,1
P1V5_F00_920000__R3_loss_at_80pct_recover_success,VALID_COUNT_PLUS_MATCHED_EVENTS_V1,1.0,2.0,117,2
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,FULL_FROZEN,1.580944200290208,3.9330236971147774,289,66
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,GRAPH_COST_PHI,1.580944200290208,3.9330236971147774,289,66
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,GRAPH_COST_DEBT,0.6666666666666667,3.0,289,13
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,GRAPH_COST_ONLY,0.6666666666666667,3.0,289,13
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,OLD_GLOBAL_PHI_DIAGNOSTIC,0.6666666666666667,4.1384292914851075,289,64
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,PAIRED_EVENT_BALANCED,0.0,3.0,289,3
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,V6_CAP_COST_ONLY,0.6666666666666667,3.0,289,13
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,V6_CAP_WITHIN_PHI_ABLATION,0.9714269262547904,3.3110090296996844,289,65
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,V6_CAP_POTENTIAL,0.6666666666666669,3.49058355124936,289,65
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,SPARSE_TERMINAL,1.0,1.0,289,1
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,UNORDERED_VALID_COUNT,1.0,1.0,289,1
P1V5_F00_920000__R4_three_cycles_at_40pct_then_success,VALID_COUNT_PLUS_MATCHED_EVENTS_V1,1.0,4.0,289,4
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,FULL_FROZEN,1.8652369850406134,4.582246019716995,289,66
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,GRAPH_COST_PHI,1.8652369850406134,4.582246019716995,289,66
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,GRAPH_COST_DEBT,0.6666666666666667,3.3333333333333335,289,13
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,GRAPH_COST_ONLY,0.6666666666666667,3.3333333333333335,289,13
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,OLD_GLOBAL_PHI_DIAGNOSTIC,0.6666666666666667,5.15641928383892,289,64
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,PAIRED_EVENT_BALANCED,0.0,3.0,289,3
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,V6_CAP_COST_ONLY,0.6666666666666667,3.3333333333333335,289,13
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,V6_CAP_WITHIN_PHI_ABLATION,1.0661919301507174,3.749639517602128,289,65
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,V6_CAP_POTENTIAL,0.6666666666666667,3.9062184424239823,289,65
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,SPARSE_TERMINAL,3.0,3.0,289,3
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,UNORDERED_VALID_COUNT,1.0,3.0,289,3
P1V5_F00_920000__R5_three_cycles_at_80pct_then_success,VALID_COUNT_PLUS_MATCHED_EVENTS_V1,1.0,6.0,289,6
P1V5_F00_920000__R6_three_closed_cycles_then_stop,FULL_FROZEN,0.9365547271944277,3.1219675573523302,255,52
P1V5_F00_920000__R6_three_closed_cycles_then_stop,GRAPH_COST_PHI,0.9365547271944277,3.1219675573523302,255,52
P1V5_F00_920000__R6_three_closed_cycles_then_stop,GRAPH_COST_DEBT,0.3333333333333334,2.5,255,12
P1V5_F00_920000__R6_three_closed_cycles_then_stop,GRAPH_COST_ONLY,0.3333333333333334,2.5,255,12
P1V5_F00_920000__R6_three_closed_cycles_then_stop,OLD_GLOBAL_PHI_DIAGNOSTIC,0.5192339153935261,3.327373151722661,255,50
P1V5_F00_920000__R6_three_closed_cycles_then_stop,PAIRED_EVENT_BALANCED,0.0,3.0,255,3
P1V5_F00_920000__R6_three_closed_cycles_then_stop,V6_CAP_COST_ONLY,0.3333333333333335,2.5,255,12
P1V5_F00_920000__R6_three_closed_cycles_then_stop,V6_CAP_WITHIN_PHI_ABLATION,0.5344074008068039,2.707322837585031,255,51
P1V5_F00_920000__R6_three_closed_cycles_then_stop,V6_CAP_POTENTIAL,0.39529937387997066,2.886897359134707,255,51
P1V5_F00_920000__R6_three_closed_cycles_then_stop,SPARSE_TERMINAL,0.0,0.0,255,0
P1V5_F00_920000__R6_three_closed_cycles_then_stop,UNORDERED_VALID_COUNT,0.0,0.0,255,0
P1V5_F00_920000__R6_three_closed_cycles_then_stop,VALID_COUNT_PLUS_MATCHED_EVENTS_V1,0.0,3.0,255,3
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,FULL_FROZEN,0.02768614512065315,0.5276861451206531,57,13
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,GRAPH_COST_PHI,0.02768614512065315,0.5276861451206531,57,13
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,GRAPH_COST_DEBT,-0.16666666666666669,0.3333333333333333,57,2
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,GRAPH_COST_ONLY,-0.16666666666666669,0.3333333333333333,57,2
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,OLD_GLOBAL_PHI_DIAGNOSTIC,-0.16666666666666674,0.5276861451206531,57,13
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,PAIRED_EVENT_BALANCED,-1.0,0.0,57,0
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,V6_CAP_COST_ONLY,-0.16666666666666669,0.3333333333333333,57,2
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,V6_CAP_WITHIN_PHI_ABLATION,-0.10188319414150186,0.3981168058584981,57,12
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,V6_CAP_POTENTIAL,-0.16666666666666669,0.3981168058584981,57,12
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,SPARSE_TERMINAL,0.0,0.0,57,0
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,UNORDERED_VALID_COUNT,0.0,0.0,57,0
P1V5_F00_920000__R7_loss_recovery_started_not_completed_terminal,VALID_COUNT_PLUS_MATCHED_EVENTS_V1,-1.0,0.0,57,0
P1V5_F00_920000__R8_commanded_release,FULL_FROZEN,0.16666666666666663,0.16666666666666663,41,1
P1V5_F00_920000__R8_commanded_release,GRAPH_COST_PHI,0.16666666666666663,0.16666666666666663,41,1
P1V5_F00_920000__R8_commanded_release,GRAPH_COST_DEBT,0.16666666666666663,0.16666666666666663,41,1
P1V5_F00_920000__R8_commanded_release,GRAPH_COST_ONLY,0.16666666666666663,0.16666666666666663,41,1
P1V5_F00_920000__R8_commanded_release,OLD_GLOBAL_PHI_DIAGNOSTIC,0.16666666666666663,0.16666666666666663,41,1
P1V5_F00_920000__R8_commanded_release,PAIRED_EVENT_BALANCED,0.0,0.0,41,0
P1V5_F00_920000__R8_commanded_release,V6_CAP_COST_ONLY,0.0,0.16666666666666663,41,1
P1V5_F00_920000__R8_commanded_release,V6_CAP_WITHIN_PHI_ABLATION,0.0,0.16666666666666663,41,1
P1V5_F00_920000__R8_commanded_release,V6_CAP_POTENTIAL,0.0,0.16666666666666663,41,1
P1V5_F00_920000__R8_commanded_release,SPARSE_TERMINAL,0.0,0.0,41,0
P1V5_F00_920000__R8_commanded_release,UNORDERED_VALID_COUNT,0.0,0.0,41,0
P1V5_F00_920000__R8_commanded_release,VALID_COUNT_PLUS_MATCHED_EVENTS_V1,0.0,0.0,41,0
P1V5_F01_920001__D1_A_then_B_clean_success,FULL_FROZEN,0.75,0.75,131,2
P1V5_F01_920001__D1_A_then_B_clean_success,GRAPH_COST_PHI,0.75,0.75,131,2
P1V5_F01_920001__D1_A_then_B_clean_success,GRAPH_COST_DEBT,0.75,0.75,131,2
P1V5_F01_920001__D1_A_then_B_clean_success,GRAPH_COST_ONLY,0.75,0.75,131,2
P1V5_F01_920001__D1_A_then_B_clean_success,OLD_GLOBAL_PHI_DIAGNOSTIC,0.75,0.75,131,2
P1V5_F01_920001__D1_A_then_B_clean_success,PAIRED_EVENT_BALANCED,0.0,0.0,131,0
P1V5_F01_920001__D1_A_then_B_clean_success,V6_CAP_COST_ONLY,0.75,1.0833333333333333,131,6
P1V5_F01_920001__D1_A_then_B_clean_success,V6_CAP_WITHIN_PHI_ABLATION,0.7763952748076924,1.1097286081410258,131,22
P1V5_F01_920001__D1_A_then_B_clean_success,V6_CAP_POTENTIAL,0.75,1.2483852795110386,131,22
P1V5_F01_920001__D1_A_then_B_clean_success,LINEAR_A_FIRST_R1,1.0,1.0,131,2
P1V5_F01_920001__D1_A_then_B_clean_success,LINEAR_B_FIRST_R1,1.0,1.0,131,1
P1V5_F01_920001__D1_A_then_B_clean_success,UNORDERED_R1,1.0,1.0,131,2
P1V5_F01_920001__D1_A_then_B_clean_success,SPARSE_TERMINAL,1.0,1.0,131,1
P1V5_F01_920001__D1_A_then_B_clean_success,UNORDERED_VALID_COUNT,1.0,1.0,131,2
P1V5_F01_920001__D1_A_then_B_clean_success,VALID_COUNT_PLUS_MATCHED_EVENTS_V1,1.0,1.0,131,2
P1V5_F01_920001__D2_B_then_A_clean_success,FULL_FROZEN,0.75,0.75,131,2
P1V5_F01_920001__D2_B_then_A_clean_success,GRAPH_COST_PHI,0.75,0.75,131,2
P1V5_F01_920001__D2_B_then_A_clean_success,GRAPH_COST_DEBT,0.75,0.75,131,2
P1V5_F01_920001__D2_B_then_A_clean_success,GRAPH_COST_ONLY,0.75,0.75,131,2
P1V5_F01_920001__D2_B_then_A_clean_success,OLD_GLOBAL_PHI_DIAGNOSTIC,0.75,0.75,131,2
P1V5_F01_920001__D2_B_then_A_clean_success,PAIRED_EVENT_BALANCED,0.0,0.0,131,0
P1V5_F01_920001__D2_B_then_A_clean_success,V6_CAP_COST_ONLY,0.75,1.0833333333333333,131,6
P1V5_F01_920001__D2_B_then_A_clean_success,V6_CAP_WITHIN_PHI_ABLATION,0.7763945122159948,1.109727845549328,131,22
P1V5_F01_920001__D2_B_then_A_clean_success,V6_CAP_POTENTIAL,0.75,1.2483853261622837,131,22
P1V5_F01_920001__D2_B_then_A_clean_success,LINEAR_A_FIRST_R1,1.0,1.0,131,1
P1V5_F01_920001__D2_B_then_A_clean_success,LINEAR_B_FIRST_R1,1.0,1.0,131,2
P1V5_F01_920001__D2_B_then_A_clean_success,UNORDERED_R1,1.0,1.0,131,2
P1V5_F01_920001__D2_B_then_A_clean_success,SPARSE_TERMINAL,1.0,1.0,131,1
P1V5_F01_920001__D2_B_then_A_clean_success,UNORDERED_VALID_COUNT,1.0,1.0,131,2
P1V5_F01_920001__D2_B_then_A_clean_success,VALID_COUNT_PLUS_MATCHED_EVENTS_V1,1.0,1.0,131,2
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,FULL_FROZEN,0.75,1.0,171,3
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,GRAPH_COST_PHI,0.75,1.0,171,3
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,GRAPH_COST_DEBT,0.75,1.0,171,3
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,GRAPH_COST_ONLY,0.75,1.0,171,3
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,OLD_GLOBAL_PHI_DIAGNOSTIC,0.75,1.0,171,3
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,PAIRED_EVENT_BALANCED,0.0,1.0,171,1
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,V6_CAP_COST_ONLY,0.75,1.3333333333333333,171,8
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,V6_CAP_WITHIN_PHI_ABLATION,0.7749121074441669,1.3582454407775002,171,25
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,V6_CAP_POTENTIAL,0.75,1.5722639434263366,171,25
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,LINEAR_A_FIRST_R1,1.0,1.0,171,2
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,LINEAR_B_FIRST_R1,1.0,1.0,171,1
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,UNORDERED_R1,1.0,1.0,171,2
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,SPARSE_TERMINAL,1.0,1.0,171,1
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,UNORDERED_VALID_COUNT,1.0,1.0,171,2
P1V5_F01_920001__D3_A_done_B_loss_recovery_then_success,VALID_COUNT_PLUS_MATCHED_EVENTS_V1,1.0,1.5,171,3
