rollouts,families,branch_accuracy,state_readiness_accuracy,transition_precondition_precision,transition_effect_precision,goal_precision,goal_recall,false_ready_rate,unnecessary_manipulation_rate,failure_denominator,failure_recall,recovery_denominator,recovery_recall,unknown_rate,ambiguous_edge_rate,graph_completion_coverage,second_view_query_rate,graph_id,root_family_id,selection_score
4,1,0.0,0.25,0.0,0.25,,0.0,,,0,,0,,0.09151193633952254,0.0,0.55,0.0,G0_coarse_direct,L2C_06_01_220799,0.1260610079575597
4,1,0.0,0.25,0.0,0.25,,0.0,,,0,,0,,0.04376657824933687,0.0,0.55,0.0,G0_coarse_direct,L2C_06_02_220799,0.1320291777188329
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0,,0,,0.246684350132626,0.0,0.55,0.0,G0_coarse_direct,L2C_07_00_220799,0.2964088961436442
4,1,0.0,0.0,0.0,0.0,,0.0,,,0,,0,,0.246684350132626,0.0,0.55,0.0,G0_coarse_direct,L2C_07_01_220799,0.10666445623342176
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0,,0,,0.1830238726790451,0.0,0.55,0.0,G0_coarse_direct,L2C_07_02_220799,0.30130585594776577
4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0,,0,,0.023872679045092837,0.0,0.92,0.0,G1_predicate_bound,L2C_00_00_220799,0.6781636400734544
4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0,,0,,0.08488063660477453,0.0,0.92,0.0,G1_predicate_bound,L2C_00_01_220799,0.6734707202611712
4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0,,0,,0.07427055702917772,0.0,0.92,0.0,G1_predicate_bound,L2C_00_02_220799,0.6742868802285248
4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,,0,,0.04433497536945813,0.0,0.92,0.0,G1_predicate_bound,L2C_01_00_220799,0.6282617874736101
4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,,0,,0.04433497536945813,0.0,0.92,0.0,G1_predicate_bound,L2C_01_01_220799,0.6282617874736101
4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,,0,,0.04433497536945813,0.0,0.92,0.0,G1_predicate_bound,L2C_01_02_220799,0.6282617874736101
4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0,,0,,0.08753315649867374,0.0,0.92,0.0,G1_predicate_bound,L2C_02_00_220799,0.6732666802693328
4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0,,0,,0.08753315649867374,0.0,0.92,0.0,G1_predicate_bound,L2C_02_01_220799,0.6732666802693328
4,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0,,0,,0.08753315649867374,0.0,0.92,0.0,G1_predicate_bound,L2C_02_02_220799,0.6732666802693328
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,4,0.0,4,0.0,0.0812807881773399,0.0,0.68,0.0,G1_predicate_bound,L2C_03_00_220799,0.2251957479906663
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,4,0.0,4,0.0,0.022167487684729065,0.0,0.68,0.0,G1_predicate_bound,L2C_03_01_220799,0.22830697433238267
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,4,0.0,4,0.0,0.0812807881773399,0.0,0.68,0.0,G1_predicate_bound,L2C_03_02_220799,0.2251957479906663
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,4,0.0,4,0.0,0.07112068965517242,0.0,0.68,0.0,G1_predicate_bound,L2C_04_00_220799,0.2257304900181488
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,4,0.0,4,0.0,0.032327586206896554,0.0,0.68,0.0,G1_predicate_bound,L2C_04_01_220799,0.22777223230490015
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,4,0.0,4,0.0,0.07112068965517242,0.0,0.68,0.0,G1_predicate_bound,L2C_04_02_220799,0.2257304900181488
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0,,0,,0.059113300492610835,0.0,0.68,0.0,G1_predicate_bound,L2C_05_00_220799,0.3308374384236453
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0,,0,,0.0812807881773399,0.0,0.68,0.0,G1_predicate_bound,L2C_05_01_220799,0.32913224706328154
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0,,0,,0.059113300492610835,0.0,0.68,0.0,G1_predicate_bound,L2C_05_02_220799,0.3308374384236453
4,1,0.0,0.25,0.0,0.25,,0.0,,,0,,0,,0.09151193633952254,0.0,0.68,0.0,G1_predicate_bound,L2C_06_00_220799,0.15856100795755967
4,1,0.0,0.25,0.0,0.25,,0.0,,,0,,0,,0.09151193633952254,0.0,0.68,0.0,G1_predicate_bound,L2C_06_01_220799,0.15856100795755967
4,1,0.0,0.25,0.0,0.25,,0.0,,,0,,0,,0.04376657824933687,0.0,0.68,0.0,G1_predicate_bound,L2C_06_02_220799,0.1645291777188329
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0,,0,,0.246684350132626,0.0,0.68,0.0,G1_predicate_bound,L2C_07_00_220799,0.31640889614364415
4,1,0.0,0.0,0.0,0.0,,0.0,,,0,,0,,0.246684350132626,0.0,0.68,0.0,G1_predicate_bound,L2C_07_01_220799,0.13916445623342175
4,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0,,0,,0.1830238726790451,0.0,0.68,0.0,G1_predicate_bound,L2C_07_02_220799,0.32130585594776573
