job_id	draw	policy_seed	method	size_bytes	sha256	policy_state_dict_sha256	external_path
B_s347_GEOM	B	347	GEOM_COUNT_EVENTS_PBRS_V1	3139718	f522541d18a45a7335cca847f44fe16e9e7eb8f36f03647f637b291e284d93d8	915e6b32927e2322de238f5595788768f82ca542030ac54fbc78f0699a576b21	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/B_s347_GEOM/checkpoints/policy_524288.zip
B_s347_GRAPH1	B	347	PATHGRAPH_MODEL_FULL_PBRS_V1	3146892	459a3cee1ccfbe115dfb578767db2a8ab30712e51ce72802c86d4001ae64837f	96391a4caf2758ce6bbc914e5304b62cf76d3ce51af3a34d4aad2063ecc172a1	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/B_s347_GRAPH1/checkpoints/policy_524288.zip
B_s347_RW2	B	347	PATHGRAPH_REMAINING_WORK_PBRS_V2	12515027	f899763a728fd2c20530637c8627d1726539696d801acb3ef98fdf253952f025	6df52951d9efa562554802ac9e14c91bce331fcf14b322e937022ec1ea6e951c	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/B_s347_RW2/checkpoints/policy_524288.zip
B_s347_TASK	B	347	TASK_ONLY_ZERO_V1	3141617	523a058ba173e72a1c290e7d488fb82f2e0c000bf037edbde6d782cfc0b8a7c0	64fb97cad1e34ea47e1c90743f122bc0254b84aa71b9a307dc5ef7c36522448d	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/B_s347_TASK/checkpoints/policy_524288.zip
B_s359_FLAT	B	359	FLAT_CONTRACT_PBRS_V1	3139877	18450c0f964d01944095047dd6a48ea997ee0791594c9cc321b48408d4c8acd9	85f8a6a56fffb3a20520df231d0d885878e1434fa635504f222139959e627859	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/B_s359_FLAT/checkpoints/policy_524288.zip
B_s359_GEOM	B	359	GEOM_COUNT_EVENTS_PBRS_V1	3139935	b4b17165da4afff2de0b4b795c48335dbcad7b6b5effdf81679343e9ba537227	df59db405bfbe14daf607a91b19ccdab150e812d7a5a640620c56e33601c8fd9	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/B_s359_GEOM/checkpoints/policy_524288.zip
B_s359_GRAPH1	B	359	PATHGRAPH_MODEL_FULL_PBRS_V1	3146805	d1b58985e2f72a97d11d083d9e0a8b194e796c645fb15b6928f42dbcdc4f527f	74dd248d8a6b3cc3274cb43678a48fa7a0367666e1908b292facdbf490035ec4	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/B_s359_GRAPH1/checkpoints/policy_524288.zip
B_s359_RW2	B	359	PATHGRAPH_REMAINING_WORK_PBRS_V2	12702775	74ccf09f78a23a8dda4de7b147563297b15b80b07ba7e438bda5aba409e1f0d0	2080ab4a81426cd43be9e8138356bde3855022377cdc76f213320fdf972c26b2	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/B_s359_RW2/checkpoints/policy_524288.zip
B_s359_TASK	B	359	TASK_ONLY_ZERO_V1	3139000	857d40cbf46f87f261c99f6f8f77918561e14265569e5395c32fe516de1cc565	92d646e59d2f7d87d4f89e2e897696cf0d50dc05d8816ca56df0650216177ba4	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/B_s359_TASK/checkpoints/policy_524288.zip
C_s317_FLAT	C	317	FLAT_CONTRACT_PBRS_V1	3146975	f1c15698b7ff48cd57ee1c17db74774c449d7479f5a8dca03d42813f89abde26	a5c6242b0fb9f3ecca36c0b38dd3c522fccf78fe7f30a13dd130432cf63e613f	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/C_s317_FLAT/checkpoints/policy_524288.zip
C_s317_GEOM	C	317	GEOM_COUNT_EVENTS_PBRS_V1	3142073	a488acece3ac29440651aa4e6be3b08147555944e39109ebbda75270ac6c8af8	71e4577a320dd52ebdb05bf1d17f19e79e448bc69ea4a523719c560328b19e4c	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/C_s317_GEOM/checkpoints/policy_524288.zip
C_s317_GRAPH1	C	317	PATHGRAPH_MODEL_FULL_PBRS_V1	3139783	23ea8167038090ec4cafc32af689ef489c0c8dc798d672d1b600b6ef96d5c26c	ee11d3bd25bb8a730c2620c44235d53d8d9507763ef4e607beadd3b5b8d18fea	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/C_s317_GRAPH1/checkpoints/policy_524288.zip
C_s317_RW2	C	317	PATHGRAPH_REMAINING_WORK_PBRS_V2	12495104	83342e4098f8edbac51120bf506210f7120d1aafe2d3ebcf7dd736469f3300ff	c4c22f7af41b5e311e6ef28f6149939e6ae039607c4bcaaa3cea83003206e3b8	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/C_s317_RW2/checkpoints/policy_524288.zip
C_s317_TASK	C	317	TASK_ONLY_ZERO_V1	3139204	66e3a013bf0707eec5ebc4bbaa5ca62c3396d3a5248807fa2a1536b851c1aa48	9ac656325c010df951c2a6f1dd2ddbd1deadb0e32a3c74efc7e9330175b93f4f	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/C_s317_TASK/checkpoints/policy_524288.zip
C_s331_FLAT	C	331	FLAT_CONTRACT_PBRS_V1	3140248	ae4c23aa01cbd0384b8abd0dc7786a245eae3b7a2180397013daa5bda3ba2116	ff5e19cc8825f60c19811ab3c136e3464e2c7d5eac34e94dd397082eaef4e7ef	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/C_s331_FLAT/checkpoints/policy_524288.zip
C_s331_GEOM	C	331	GEOM_COUNT_EVENTS_PBRS_V1	3139749	b656ca60a7b4305f3b8af18ae391a1595354b1cf2eea8536dcd70dc866591194	5a295eee602f5b9d67a9954a411b59421326d2871a551177574f02234b24e8dd	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/C_s331_GEOM/checkpoints/policy_524288.zip
C_s331_GRAPH1	C	331	PATHGRAPH_MODEL_FULL_PBRS_V1	3139940	a7690c21d4edf2a82dcd4e8309a11bbb657b275478f9e20af1d1a02f531a3639	88019121d7d67e693677ea4ecd57b50ac8ec5dfb1f5818fdc3e9e3509045cfa0	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/C_s331_GRAPH1/checkpoints/policy_524288.zip
C_s331_RW2	C	331	PATHGRAPH_REMAINING_WORK_PBRS_V2	12795972	28d0f9306fc50ed350f011c4697dff9a1f6233b585f529b4202eb4d2bab4b3e8	2b4d08f0404a272ff94ee240d24faa3926e3c21bf0f884753c48a7003181deaf	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/C_s331_RW2/checkpoints/policy_524288.zip
C_s331_TASK	C	331	TASK_ONLY_ZERO_V1	3139177	97c07b9ebe95d71233f73ae379d9d7ef63a010050de53c489592276be8a0b0c0	21f0a13edd6567c939e046843c8b0282f8769d412050fb3ee723832768550b92	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/C_s331_TASK/checkpoints/policy_524288.zip
C_s347_FLAT	C	347	FLAT_CONTRACT_PBRS_V1	3140008	e0fe42d63709842c03c213ec10d5a0f421b41b5a965ff1469d5a876bfff9e39f	da5b8c9bbfb6cf4751ea85b5ba46ca9e494874252529ab07486101f05d7569d9	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/C_s347_FLAT/checkpoints/policy_524288.zip
C_s347_GEOM	C	347	GEOM_COUNT_EVENTS_PBRS_V1	3142358	36514e7fedb407a678e50a32c889505019e0c3117223d5c393ef2341acfc0d9c	5109e87a54c26a936ae42417574fa840af1c3b2eecc47a8e7bbd0fbbbbb64408	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/C_s347_GEOM/checkpoints/policy_524288.zip
C_s347_GRAPH1	C	347	PATHGRAPH_MODEL_FULL_PBRS_V1	3142564	e966acd14784bb2f22bda35457c330a942cb34e9d682b1d45d95ecbbc5e12cea	b58d19af2623dea68abfa10aa1224553b10bee964d3b113ce2320907ccf866a5	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/C_s347_GRAPH1/checkpoints/policy_524288.zip
C_s347_RW2	C	347	PATHGRAPH_REMAINING_WORK_PBRS_V2	12559835	9d1f7f582d47a2e53d3cd92ff625d07a544bac78d4643205834b804c792508ac	b7497cb5c9f7431703a8bf31ddf54804db7e5622854d59da3b74beb46b40040e	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/C_s347_RW2/checkpoints/policy_524288.zip
C_s347_TASK	C	347	TASK_ONLY_ZERO_V1	3141817	33fdaf38ba52a4c46e55d124a0b3ba88ce7793d6e9b27f6078a4d0686a4d6fa8	f9c9848a2dcd294817b9081c8b9c688447cb07ee85f582e037f52cf28159d691	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/C_s347_TASK/checkpoints/policy_524288.zip
C_s359_FLAT	C	359	FLAT_CONTRACT_PBRS_V1	3139654	939f9432bc50ed9db2a97e491a6f1eefc061a37eb8e06a6f6fd526a157a2f734	8d8fcf54489762607cdd7c154702af42d5822c00546605ab66794ebe48b2bb6f	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/C_s359_FLAT/checkpoints/policy_524288.zip
C_s359_GEOM	C	359	GEOM_COUNT_EVENTS_PBRS_V1	3142053	e2c45ad69563a97803dbfeeca1f685aff1b7626be2412b0bfe71a04552a9bb67	af61902e5e2c42709a4388570905bb79a6f57fdf591f01690ad6311f992f4cbb	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/C_s359_GEOM/checkpoints/policy_524288.zip
C_s359_GRAPH1	C	359	PATHGRAPH_MODEL_FULL_PBRS_V1	3139861	2e099d80dcd544ab3227cb305492efd4ffecf827b91f9dbc6f15e1e225c8ff04	ecba8de5e2d558a17fd51492a2d83ea51f88ab4ba2c2cf2500462f97cf9f764c	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/C_s359_GRAPH1/checkpoints/policy_524288.zip
C_s359_RW2	C	359	PATHGRAPH_REMAINING_WORK_PBRS_V2	12539649	fa50d2d3e39bf7d25bc4095786ae70e16331a119f9602a01dd856af24a61dd76	45df72b747450306af5e264c03d31e40fe4a6ae01712256770757166f13b6a31	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/C_s359_RW2/checkpoints/policy_524288.zip
C_s359_TASK	C	359	TASK_ONLY_ZERO_V1	3138913	b775c31e2c3b3af621b59c3955ed6fad149dea9edc855eea7c70628e9b183a5b	c63482b193df9bda8ea9227190a8a5db048aa7c25299cb581adce6a48e06bc93	/home/__compress_data/xushijie/graph_pathgraph_p2c_rl_data/run_v1/campaign_v1_attempt_03/training/C_s359_TASK/checkpoints/policy_524288.zip
