method,rollout_id,primary_action,primary_action_time,primary_action_capture_order,reason_code,temporal_outcome,historical_primary_action,historical_primary_action_time,historical_primary_action_capture_order,historical_reason_code,historical_temporal_outcome,matches
O_C3_RAW,L2RAR2_RGB_CONF_04_882004__C11_transport_strong_loss,recover_object,1.5500000000000012,36,historical_hold_established_then_observed_non_release_contact_loss,EARLY_ACTION,recover_object,1.5500000000000012,36,historical_hold_established_then_observed_non_release_contact_loss,EARLY_ACTION,True
O_B2_RAW,L2RAR2_RGB_CONF_04_882004__C12_commanded_release,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_C3_RAW,L2RAR2_RGB_CONF_04_882004__C12_commanded_release,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_B2_RAW,L2RAR2_RGB_CONF_04_882004__C1_hold_request_ends_without_hold,retry_grasp,0.3000000000000001,8,hold_request_normally_ended_without_hold,CORRECT_IN_WINDOW,retry_grasp,0.3000000000000001,8,hold_request_normally_ended_without_hold,CORRECT_IN_WINDOW,True
O_C3_RAW,L2RAR2_RGB_CONF_04_882004__C1_hold_request_ends_without_hold,retry_grasp,0.3000000000000001,8,hold_request_normally_ended_without_hold,CORRECT_IN_WINDOW,retry_grasp,0.3000000000000001,8,hold_request_normally_ended_without_hold,CORRECT_IN_WINDOW,True
O_B2_RAW,L2RAR2_RGB_CONF_04_882004__C2_touch_request_completes_without_hold,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_C3_RAW,L2RAR2_RGB_CONF_04_882004__C2_touch_request_completes_without_hold,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_B2_RAW,L2RAR2_RGB_CONF_04_882004__C3_stable_hold_clean,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_C3_RAW,L2RAR2_RGB_CONF_04_882004__C3_stable_hold_clean,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_B2_RAW,L2RAR2_RGB_CONF_04_882004__C4_stable_hold_camera_jitter,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
O_C3_RAW,L2RAR2_RGB_CONF_04_882004__C4_stable_hold_camera_jitter,,,,,CORRECT_NONE,,,,,CORRECT_NONE,True
