method,action_group,n,weight_sum,mean_weight,ess,share_of_total_weight,mean_minus_bc
V6_CAP_POTENTIAL,wait,4748,2671.4255278110504,0.5626422762870789,4748.000000000013,0.05259539942926151,-0.43735772371292114
V6_WEIGHT_SHUFFLED,acquire_A,2059,2075.4843294620514,1.0080059880825893,1440.2111569693311,0.04086242890772,0.008005988082589344
V6_WEIGHT_SHUFFLED,acquire_B,2230,2235.453881919384,1.002445686959365,1565.7784018615027,0.044011932072786926,0.002445686959364979
V6_WEIGHT_SHUFFLED,advance_A,16363,16298.579158067703,0.9960630176659355,11466.212795997482,0.32088873073592905,-0.003936982334064476
V6_WEIGHT_SHUFFLED,advance_B,16700,16715.62984597683,1.0009359189207683,11663.428956784996,0.32909968364156694,0.000935918920768275
V6_WEIGHT_SHUFFLED,gripper_reopen,673,660.6616733670235,0.9816666766226203,473.7971468542997,0.013007200428736812,-0.018333323377379696
V6_WEIGHT_SHUFFLED,place_A,2081,2111.1551943421364,1.0144907228938667,1463.0019122109943,0.04156472193857953,0.014490722893866659
V6_WEIGHT_SHUFFLED,place_B,2141,2076.6902445554733,0.9699627485079277,1502.3072154604267,0.04088617113457,-0.03003725149207226
V6_WEIGHT_SHUFFLED,recovery_prepare,1864,1863.8014721274376,0.9998934936305995,1297.246812529826,0.036694786885069476,-0.00010650636940046088
V6_WEIGHT_SHUFFLED,regrasp,1933,1978.1660752892494,1.0233657916654162,1349.1590505934723,0.03894641336083786,0.02336579166541619
V6_WEIGHT_SHUFFLED,wait,4748,4776.378493487835,1.0059769362864017,3326.907572582542,0.09403801505795856,0.005976936286401724
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,acquire_A,2059,1492.3048859238625,0.7247716784477234,2059.000000000002,0.029380707314613768,-0.2752283215522766
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,acquire_B,2230,1616.2408429384232,0.7247716784477234,2230.0000000000023,0.03182077577056275,-0.2752283215522766
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,advance_A,16363,11859.438974440098,0.7247716784477234,16363.000000000002,0.23349029324381984,-0.2752283215522766
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,advance_B,16700,12103.68703007698,0.7247716784477234,16699.999999999996,0.2382990831248421,-0.2752283215522766
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,gripper_reopen,673,548.6521618366241,0.81523352427433,486.8725524267724,0.010801940499224763,-0.18476647572566995
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,place_A,2081,6630.936191439629,3.1864181602304797,1881.4583588062624,0.13055079916994072,2.1864181602304797
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,place_B,2141,6868.661305963993,3.2081556777038736,1945.8268285188144,0.1352311644740115,2.2081556777038736
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,recovery_prepare,1864,1350.9744086265564,0.7247716784477234,1864.0000000000005,0.02659817311046142,-0.2752283215522766
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,regrasp,1933,4879.887782514095,2.524515148739832,1475.0687818702356,0.09607591318542477,1.524515148739832
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,wait,4748,3441.2159292697906,0.7247716784477234,4748.000000000015,0.06775114051956589,-0.2752283215522766
V6_CAP_COST_ONLY,acquire_A,2059,2620.0992141366005,1.272510545962409,1865.2044262707943,0.051584879786907394,0.2725105459624091
V6_CAP_COST_ONLY,acquire_B,2230,2793.7988933324814,1.252824615844162,2006.998327302896,0.0550047033653426,0.25282461584416205
V6_CAP_COST_ONLY,advance_A,16363,12873.912311792374,0.7867696823194019,14211.643841078469,0.2534633861984638,-0.21323031768059808
V6_CAP_COST_ONLY,advance_B,16700,13327.744207561016,0.7980685154228153,14418.14593249254,0.2623984920373487,-0.20193148457718468
V6_CAP_COST_ONLY,gripper_reopen,673,493.66113924980164,0.7335232381126324,521.0259549930397,0.009719269555241015,-0.2664767618873676
V6_CAP_COST_ONLY,place_A,2081,5442.221391320229,2.615195286554651,1854.148287921878,0.1071472159261346,1.615195286554651
V6_CAP_COST_ONLY,place_B,2141,5443.991583168507,2.542733107505141,1916.227769159328,0.10718206771083058,1.542733107505141
