case_id,reference_event_type,observation_quality,raw_hold_seen_before_event,status
L2RA_D_02_00_430000_r01_event_01,touch_without_stable_hold,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_02_00_430000_r02_event_01,touch_without_stable_hold,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_02_00_430000_r03_event_01,touch_without_stable_hold,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_02_01_430000_r00_event_01,touch_without_stable_hold,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_02_01_430000_r01_event_01,touch_without_stable_hold,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_02_01_430000_r02_event_01,touch_without_stable_hold,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_02_01_430000_r03_event_01,touch_without_stable_hold,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_03_00_430000_r00_event_01,release_expected,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_03_00_430000_r01_event_01,release_expected,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_03_00_430000_r02_event_01,release_expected,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_03_00_430000_r03_event_01,release_expected,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_03_01_430000_r00_event_01,release_expected,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_03_01_430000_r01_event_01,release_expected,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_03_01_430000_r02_event_01,release_expected,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_03_01_430000_r03_event_01,release_expected,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_04_00_430000_r00_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_04_00_430000_r01_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_04_00_430000_r02_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_04_00_430000_r03_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_04_01_430000_r00_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_04_01_430000_r01_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_04_01_430000_r02_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_04_01_430000_r03_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_05_00_430000_r00_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_05_00_430000_r01_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_05_00_430000_r02_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_05_00_430000_r03_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_05_01_430000_r00_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_05_01_430000_r01_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_05_01_430000_r02_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_05_01_430000_r03_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_00_02_430000_r00_event_01,missed_grasp_retry_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,False,TRACE_ONLY
L2RA_D_00_02_430000_r01_event_01,missed_grasp_retry_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,False,TRACE_ONLY
L2RA_D_00_02_430000_r02_event_01,missed_grasp_retry_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,False,TRACE_ONLY
L2RA_D_00_02_430000_r03_event_01,missed_grasp_retry_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,False,TRACE_ONLY
L2RA_D_00_03_430000_r00_event_01,missed_grasp_retry_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,False,TRACE_ONLY
L2RA_D_00_03_430000_r01_event_01,missed_grasp_retry_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,False,TRACE_ONLY
L2RA_D_00_03_430000_r02_event_01,missed_grasp_retry_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,False,TRACE_ONLY
L2RA_D_00_03_430000_r03_event_01,missed_grasp_retry_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,False,TRACE_ONLY
L2RA_D_01_02_430000_r00_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_01_02_430000_r01_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_01_02_430000_r02_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_01_02_430000_r03_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_01_03_430000_r00_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_01_03_430000_r01_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_01_03_430000_r02_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_01_03_430000_r03_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_02_02_430000_r00_event_01,touch_without_stable_hold,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_02_02_430000_r01_event_01,touch_without_stable_hold,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_02_02_430000_r02_event_01,touch_without_stable_hold,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_02_02_430000_r03_event_01,touch_without_stable_hold,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_02_03_430000_r00_event_01,touch_without_stable_hold,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,False,TRACE_ONLY
L2RA_D_02_03_430000_r01_event_01,touch_without_stable_hold,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,False,TRACE_ONLY
L2RA_D_02_03_430000_r02_event_01,touch_without_stable_hold,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,False,TRACE_ONLY
L2RA_D_02_03_430000_r03_event_01,touch_without_stable_hold,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,False,TRACE_ONLY
L2RA_D_03_02_430000_r00_event_01,release_expected,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_03_02_430000_r01_event_01,release_expected,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_03_02_430000_r02_event_01,release_expected,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_03_02_430000_r03_event_01,release_expected,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_03_03_430000_r00_event_01,release_expected,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_03_03_430000_r01_event_01,release_expected,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_03_03_430000_r02_event_01,release_expected,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_03_03_430000_r03_event_01,release_expected,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_04_02_430000_r00_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_04_02_430000_r01_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_04_02_430000_r02_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_04_02_430000_r03_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_04_03_430000_r00_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_04_03_430000_r01_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_04_03_430000_r02_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_04_03_430000_r03_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_05_02_430000_r00_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_05_02_430000_r01_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_05_02_430000_r02_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_05_02_430000_r03_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_05_03_430000_r00_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_05_03_430000_r01_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_05_03_430000_r02_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
L2RA_D_05_03_430000_r03_event_01,held_object_loss_recovery_required,RECOMPUTED_FROM_FROZEN_OBSERVATIONS,True,TRACE_ONLY
