episode_id,family,case_id,truth,score,physical_loss_onset_ns,evidence_end_ns,first_evidence_ns,observation_ns,capture_order,baseline_ready,baseline_prefix_index,visual_available,window_valid,window_reason,window_span_ns,window_points,amplitude,radial_gain,path_length,outward_efficiency,radial_speed_per_s,theta_motion,radial_gain_threshold,outward_efficiency_threshold,blockers,gate_pass
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,1300000000,29,True,19,True,True,VALID,500000000,11,0.35523517898445156,0.1780559064312149,0.5751615878385398,0.30957544835417455,0.3561118128624298,0.35,0.175,0.65,MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,1350000000,30,True,19,True,True,VALID,500000000,11,0.25844825592021986,0.11091209020319304,0.7890575247257998,0.14056274318115827,0.22182418040638607,0.35,0.175,0.65,AMPLITUDE_BELOW_THRESHOLD|RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,1400000000,31,True,19,True,True,VALID,500000000,11,0.1687490417038113,0.020301932203808354,0.8616150191778434,0.023562648923158905,0.04060386440761671,0.35,0.175,0.65,AMPLITUDE_BELOW_THRESHOLD|RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,1450000000,32,True,19,True,True,VALID,500000000,11,0.24035269262058362,0.09095374457311262,0.9322631915568476,0.09756230364648741,0.18190748914622523,0.35,0.175,0.65,AMPLITUDE_BELOW_THRESHOLD|RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,1500000000,33,True,19,True,True,VALID,500000000,11,0.23666685214397515,0.08726790409650415,0.9468447299282726,0.09216706957128551,0.1745358081930083,0.35,0.175,0.65,AMPLITUDE_BELOW_THRESHOLD|RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,1550000000,34,True,19,True,True,VALID,500000000,11,0.24612122247730736,0.09672227442983636,0.9865953733875209,0.09803641598048038,0.19344454885967272,0.35,0.175,0.65,AMPLITUDE_BELOW_THRESHOLD|RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,1600000000,35,True,19,True,True,VALID,500000000,11,0.2961646241447675,0.14676567609729652,1.1945748021015639,0.12286018074305435,0.29353135219459303,0.35,0.175,0.65,AMPLITUDE_BELOW_THRESHOLD|RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,1650000000,36,True,19,True,True,VALID,500000000,11,0.3419064969696118,0.15192809814025912,1.2366411443954932,0.122855445032541,0.30385619628051824,0.35,0.175,0.65,AMPLITUDE_BELOW_THRESHOLD|RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,1700000000,37,True,19,True,True,VALID,500000000,11,0.3558285763206214,0.1869279821141881,1.320806369783741,0.1415256515947862,0.3738559642283762,0.35,0.175,0.65,MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,1750000000,38,True,19,True,True,VALID,500000000,11,0.357226917998875,0.14916777598180173,1.2798918117063982,0.1165471757983402,0.29833555196360345,0.35,0.175,0.65,RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,1800000000,39,True,19,True,True,VALID,500000000,11,0.3272218401271316,-0.028013338857319936,1.0967740980122849,0.0,-0.05602667771463987,0.35,0.175,0.65,AMPLITUDE_BELOW_THRESHOLD|RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,1850000000,40,True,19,True,True,VALID,500000000,11,0.37784693941476855,0.11939868349454869,0.963104577907065,0.12397270891808602,0.23879736698909737,0.35,0.175,0.65,RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,1900000000,41,True,19,True,True,VALID,500000000,11,0.44719880924671934,0.27844976754290807,0.9429108859009065,0.29530867837723873,0.5568995350858161,0.35,0.175,0.65,MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,1950000000,42,True,19,True,True,VALID,500000000,11,0.4282350203563289,0.18788232773574526,0.8899317010352553,0.21111994045968047,0.3757646554714905,0.35,0.175,0.65,MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,2000000000,43,True,19,True,True,VALID,500000000,11,0.4036650867290124,0.16699823458503726,0.9315648382927357,0.17926635669406793,0.33399646917007453,0.35,0.175,0.65,RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
L2RAR2_R27_SHADOW_00_902000__R27S4_fast_detachment__R27_SHADOW_ONLY,L2RAR2_R27_SHADOW_00_902000,R27S4_fast_detachment,LOSS,MISSED,2450000000,3800000000,,2050000000,44,True,19,True,True,VALID,500000000,11,0.3944376191979779,0.1483163967206705,0.9293245004190903,0.15959591795307818,0.296632793441341,0.35,0.175,0.65,RADIAL_GROWTH_BELOW_THRESHOLD|MOTION_EFFICIENCY_BELOW_THRESHOLD,False
