method,seed,steps,device,checkpoint_hash,initial_state_sha256,trained
UNORDERED_VALID_COUNT,17,5000,cuda:0,ab220ba7ebb24b64ddd430bca4d3a756113e1afbb48624faa505e5b3720e7332,3c7c000fb8bae66e55ff4d37ef08510724a27abf29c13e51eb2341d60cba552c,True
UNORDERED_VALID_COUNT,29,5000,cuda:0,bf546cf47a4f99b69c6d0f1bd7da50f84ac6702f343dafbbd2f799e2a426e0ab,e236eb2209ab862526dccf53b029d9a5aa623f3515f129235807d1768daa795b,True
UNORDERED_VALID_COUNT,43,5000,cuda:0,2d8d66fe5591fc53a33801a1cd047a2afe3ff56d18570ab56ef078ea5f5a54a4,84ba73317e7dad5772af8e34a134dc9855112934d55b29e66ba9168f68dbc971,True
UNORDERED_VALID_COUNT,71,5000,cuda:0,4d9d311a02f0985dc7262292d372c0407df8ad62479f5a8344184b63ad3945df,ce89f9e4f43dbf09adc2651366356f1619637d6c9d0db493c5ac389342a00756,True
V6_CAP_COST_ONLY,101,5000,cuda:0,11cee58a11252b4e59acc2fecfe86e056503fe34db3839fc996da624b7c3672c,03d7dd24da71bd63dfb7b4d5aaf0352227c60098461f0cdb151c749f470b0582,True
V6_CAP_COST_ONLY,17,5000,cuda:0,54af3777380fb3bb936088ef56b8b0b20350702370ce783e47d49b1e1b76cde7,3c7c000fb8bae66e55ff4d37ef08510724a27abf29c13e51eb2341d60cba552c,True
V6_CAP_COST_ONLY,29,5000,cuda:0,73352714f246b251058e383765feb1614ac3b20267958d07db42c331b11d17cc,e236eb2209ab862526dccf53b029d9a5aa623f3515f129235807d1768daa795b,True
V6_CAP_COST_ONLY,43,5000,cuda:0,357326685cef3f3aa2e00ab3c941f4ae5e02a00b32ec048da05e8e56b599701d,84ba73317e7dad5772af8e34a134dc9855112934d55b29e66ba9168f68dbc971,True
V6_CAP_COST_ONLY,71,5000,cuda:0,663d52c47a3f716e8aa6440728e7e2a3dd2e6e7e0a929d2b8101537dadfe4496,ce89f9e4f43dbf09adc2651366356f1619637d6c9d0db493c5ac389342a00756,True
V6_CAP_POTENTIAL,101,5000,cuda:0,bae7a501d36429c739c170203d44246a3c86c8cd1fec1dc79047baf3ceb7b97f,03d7dd24da71bd63dfb7b4d5aaf0352227c60098461f0cdb151c749f470b0582,True
V6_CAP_POTENTIAL,17,5000,cuda:0,06ff7628ed1a54a21128688b87a9dbe0932571dddaf59cc991bd1325e6f10268,3c7c000fb8bae66e55ff4d37ef08510724a27abf29c13e51eb2341d60cba552c,True
V6_CAP_POTENTIAL,29,5000,cuda:0,c5dec6dd8b4e489de03ee5bad3c8ce630a2c1778c4e9fa7492b1db586f82bb42,e236eb2209ab862526dccf53b029d9a5aa623f3515f129235807d1768daa795b,True
V6_CAP_POTENTIAL,43,5000,cuda:0,e1a9bf9d67a42d463cff1dbef41208d959617e44d2b77c2c10e11982a63f8e7c,84ba73317e7dad5772af8e34a134dc9855112934d55b29e66ba9168f68dbc971,True
V6_CAP_POTENTIAL,71,5000,cuda:0,03e206bab76d333641a24e9236cffe47445e32acd89733bdeb3e42955e7bf6a7,ce89f9e4f43dbf09adc2651366356f1619637d6c9d0db493c5ac389342a00756,True
V6_WEIGHT_SHUFFLED,101,5000,cuda:0,8111637ed76c7f3560a604b16db89b4d39e7e8f92535a1912d30c4af7fc82c0a,03d7dd24da71bd63dfb7b4d5aaf0352227c60098461f0cdb151c749f470b0582,True
V6_WEIGHT_SHUFFLED,17,5000,cuda:0,31dc195fa622e820c8ac76db0cd16a5d527c646ae59922336240a0fc20e52616,3c7c000fb8bae66e55ff4d37ef08510724a27abf29c13e51eb2341d60cba552c,True
V6_WEIGHT_SHUFFLED,29,5000,cuda:0,adc96ff5d19d5c7b5cad8239eef65b8388573e8343b03725633673a19f20b21b,e236eb2209ab862526dccf53b029d9a5aa623f3515f129235807d1768daa795b,True
V6_WEIGHT_SHUFFLED,43,5000,cuda:0,b1abe51ed4ec0d36cb8438873eab3cbc48872b9a7596ff9a0320645730fa28e6,84ba73317e7dad5772af8e34a134dc9855112934d55b29e66ba9168f68dbc971,True
V6_WEIGHT_SHUFFLED,71,5000,cuda:0,f523a52df1003ae2fc96fb0b49f7a3145bd7c2364fa52cbbfec35560e7efd270,ce89f9e4f43dbf09adc2651366356f1619637d6c9d0db493c5ac389342a00756,True
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,101,5000,cuda:0,52c3dd6a25a18c5cd79bde1aba1c668ff01309b52446616a827651259192e10b,03d7dd24da71bd63dfb7b4d5aaf0352227c60098461f0cdb151c749f470b0582,True
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,17,5000,cuda:0,b08237cb1f0992ca1bd4753d6dcc8a739ec2199082b016f3f683cddef2522609,3c7c000fb8bae66e55ff4d37ef08510724a27abf29c13e51eb2341d60cba552c,True
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,29,5000,cuda:0,1c3f2d243ede372a3902e3c0a1ac78acdb5797eec174ff3631a457d11a596f62,e236eb2209ab862526dccf53b029d9a5aa623f3515f129235807d1768daa795b,True
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,43,5000,cuda:0,20606331f0bd2ae6720177951070f0f1f3411ed04ce827a47b980fb793caeddc,84ba73317e7dad5772af8e34a134dc9855112934d55b29e66ba9168f68dbc971,True
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,71,5000,cuda:0,90cfdaea476f784292c7c2514751c48e6c9ab2e7d04aff572f0de890cf73ab3d,ce89f9e4f43dbf09adc2651366356f1619637d6c9d0db493c5ac389342a00756,True
