method,action,rows,mean_weight,weight_sum,rows_with_exogenous_loss_after
LINEAR_B_FIRST_R1,WAIT,4748,0.8704215884208679,4132.76171875,0
LINEAR_B_FIRST_R1,ACQUIRE_A,2059,0.8704214692115784,1792.19775390625,0
LINEAR_B_FIRST_R1,ADVANCE_A,16363,0.8704215288162231,14242.70703125,476
LINEAR_B_FIRST_R1,PLACE_A,2081,2.0270800590515137,4218.353515625,0
LINEAR_B_FIRST_R1,START_RECOVERY_A,815,0.8704214692115784,709.3934936523438,0
LINEAR_B_FIRST_R1,REGRASP_A,849,0.8704215288162231,738.9878540039062,0
LINEAR_B_FIRST_R1,RELEASE_A,336,0.8980539441108704,301.7461242675781,0
LINEAR_B_FIRST_R1,ACQUIRE_B,2230,0.8704214692115784,1941.0399169921875,0
LINEAR_B_FIRST_R1,ADVANCE_B,16700,0.8704215288162231,14536.0390625,724
LINEAR_B_FIRST_R1,PLACE_B,2141,2.8023428916931152,5999.81591796875,0
LINEAR_B_FIRST_R1,START_RECOVERY_B,1049,0.8704214692115784,913.0721435546875,0
LINEAR_B_FIRST_R1,REGRASP_B,1084,0.8704215288162231,943.5369262695312,0
LINEAR_B_FIRST_R1,RELEASE_B,337,0.9565165042877197,322.3460693359375,0
UNORDERED_VALID_COUNT,WAIT,4748,0.7780637145042419,3694.24658203125,0
UNORDERED_VALID_COUNT,ACQUIRE_A,2059,0.7780637145042419,1602.033203125,0
UNORDERED_VALID_COUNT,ADVANCE_A,16363,0.7780637145042419,12731.45703125,476
UNORDERED_VALID_COUNT,PLACE_A,2081,3.420713424682617,7118.5048828125,0
UNORDERED_VALID_COUNT,START_RECOVERY_A,815,0.7780636548995972,634.1218872070312,0
UNORDERED_VALID_COUNT,REGRASP_A,849,0.7780636548995972,660.5760498046875,0
UNORDERED_VALID_COUNT,RELEASE_A,336,0.8521650433540344,286.32745361328125,0
UNORDERED_VALID_COUNT,ACQUIRE_B,2230,0.7780637741088867,1735.0821533203125,0
UNORDERED_VALID_COUNT,ADVANCE_B,16700,0.7780637145042419,12993.6640625,724
UNORDERED_VALID_COUNT,PLACE_B,2141,3.44404935836792,7373.70947265625,0
UNORDERED_VALID_COUNT,START_RECOVERY_B,1049,0.7780637145042419,816.1888427734375,0
UNORDERED_VALID_COUNT,REGRASP_B,1084,0.7780636548995972,843.4210205078125,0
UNORDERED_VALID_COUNT,RELEASE_B,337,0.8981209397315979,302.666748046875,0
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,WAIT,4748,0.7247716188430786,3441.215576171875,0
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,ACQUIRE_A,2059,0.7247715592384338,1492.3046875,0
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,ADVANCE_A,16363,0.7247715592384338,11859.4375,476
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,PLACE_A,2081,3.1864185333251953,6630.93701171875,0
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,START_RECOVERY_A,815,0.7247715592384338,590.6888427734375,0
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,REGRASP_A,849,2.350172519683838,1995.2965087890625,0
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,RELEASE_A,336,0.7937974333763123,266.7159423828125,0
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,ACQUIRE_B,2230,0.7247716188430786,1616.24072265625,0
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,ADVANCE_B,16700,0.7247716188430786,12103.685546875,724
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,PLACE_B,2141,3.208156108856201,6868.662109375,0
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,START_RECOVERY_B,1049,0.7247716188430786,760.285400390625,0
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,REGRASP_B,1084,2.661062002182007,2884.59130859375,0
VALID_COUNT_PLUS_MATCHED_EVENTS_V1,RELEASE_B,337,0.8366057872772217,281.9361572265625,0
V6_CAP_COST_ONLY,WAIT,4748,0.6638204455375671,3151.8193359375,0
V6_CAP_COST_ONLY,ACQUIRE_A,2059,1.2725105285644531,2620.09912109375,0
V6_CAP_COST_ONLY,ADVANCE_A,16363,0.7867696285247803,12873.9111328125,476
V6_CAP_COST_ONLY,PLACE_A,2081,2.6151955127716064,5442.2216796875,0
V6_CAP_COST_ONLY,START_RECOVERY_A,815,0.6638204455375671,541.013671875,0
V6_CAP_COST_ONLY,REGRASP_A,849,1.6562931537628174,1406.19287109375,0
V6_CAP_COST_ONLY,RELEASE_A,336,0.7191388010978699,241.63063049316406,0
V6_CAP_COST_ONLY,ACQUIRE_B,2230,1.2528245449066162,2793.798828125,0
V6_CAP_COST_ONLY,ADVANCE_B,16700,0.7980684041976929,13327.7421875,724
V6_CAP_COST_ONLY,PLACE_B,2141,2.5427331924438477,5443.99169921875,0
V6_CAP_COST_ONLY,START_RECOVERY_B,1049,0.6638204455375671,696.34765625,0
V6_CAP_COST_ONLY,REGRASP_B,1084,1.8461230993270874,2001.1973876953125,0
V6_CAP_COST_ONLY,RELEASE_B,337,0.7478649616241455,252.03048706054688,0
V6_CAP_POTENTIAL,WAIT,4748,0.5626422762870789,2671.425537109375,0
V6_CAP_POTENTIAL,ACQUIRE_A,2059,1.3358665704727173,2750.54931640625,0
V6_CAP_POTENTIAL,ADVANCE_A,16363,0.8524262309074402,13948.25,476
V6_CAP_POTENTIAL,PLACE_A,2081,2.0884716510772705,4346.109375,0
V6_CAP_POTENTIAL,START_RECOVERY_A,815,0.5626422166824341,458.55340576171875,0
V6_CAP_POTENTIAL,REGRASP_A,849,1.8233888149261475,1548.05712890625,0
V6_CAP_POTENTIAL,RELEASE_A,336,0.6061491966247559,203.66612243652344,0
V6_CAP_POTENTIAL,ACQUIRE_B,2230,1.3108593225479126,2923.21630859375,0
V6_CAP_POTENTIAL,ADVANCE_B,16700,0.8768254518508911,14642.9853515625,724
V6_CAP_POTENTIAL,PLACE_B,2141,1.989713430404663,4259.9765625,0
V6_CAP_POTENTIAL,START_RECOVERY_B,1049,0.5626422762870789,590.2117309570312,0
V6_CAP_POTENTIAL,REGRASP_B,1084,2.064531087875366,2237.95166015625,0
V6_CAP_POTENTIAL,RELEASE_B,337,0.6262585520744324,211.04913330078125,0
V6_WEIGHT_SHUFFLED,WAIT,4748,1.005976915359497,4776.37841796875,0
V6_WEIGHT_SHUFFLED,ACQUIRE_A,2059,1.008005976676941,2075.484375,0
V6_WEIGHT_SHUFFLED,ADVANCE_A,16363,0.9960629940032959,16298.5791015625,476
V6_WEIGHT_SHUFFLED,PLACE_A,2081,1.0144907236099243,2111.1552734375,0
V6_WEIGHT_SHUFFLED,START_RECOVERY_A,815,0.979066014289856,797.9387817382812,0
V6_WEIGHT_SHUFFLED,REGRASP_A,849,1.010977029800415,858.3194580078125,0
V6_WEIGHT_SHUFFLED,RELEASE_A,336,1.016908884048462,341.6813659667969,0
V6_WEIGHT_SHUFFLED,ACQUIRE_B,2230,1.0024456977844238,2235.453857421875,0
V6_WEIGHT_SHUFFLED,ADVANCE_B,16700,1.0009360313415527,16715.630859375,724
V6_WEIGHT_SHUFFLED,PLACE_B,2141,0.9699627161026001,2076.690185546875,0
V6_WEIGHT_SHUFFLED,START_RECOVERY_B,1049,1.0160750150680542,1065.8626708984375,0
V6_WEIGHT_SHUFFLED,REGRASP_B,1084,1.0330688953399658,1119.8466796875,0
V6_WEIGHT_SHUFFLED,RELEASE_B,337,0.9465290307998657,318.98028564453125,0
