budget,proportion,delete_k,matrix_column,original_demo_index,deletion_frequency
10,0.2,38,27,42,0.102
10,0.2,38,28,44,0.234
10,0.2,38,29,45,0.003
10,0.2,38,30,47,0.139
10,0.2,38,31,48,0.037
10,0.2,38,32,50,0.37
10,0.2,38,33,52,0.145
10,0.2,38,34,53,0.136
10,0.2,38,35,55,0.273
10,0.2,38,36,57,0.147
10,0.2,38,37,60,0.205
10,0.2,38,38,62,0.176
10,0.2,38,39,64,0.407
10,0.2,38,40,65,0.234
10,0.2,38,41,66,0.082
10,0.2,38,42,67,0.092
10,0.2,38,43,68,0.097
10,0.2,38,44,70,0.11
10,0.2,38,45,71,0.298
10,0.2,38,46,72,0.134
10,0.2,38,47,74,0.119
10,0.2,38,48,75,0.518
10,0.2,38,49,80,0.056
10,0.2,38,50,81,0.117
10,0.2,38,51,82,0.211
10,0.2,38,52,83,0.47
10,0.2,38,53,85,0.325
10,0.2,38,54,86,0.241
10,0.2,38,55,87,0.133
10,0.2,38,56,90,0.421
10,0.2,38,57,93,0.629
10,0.2,38,58,94,0.465
10,0.2,38,59,97,0.235
10,0.2,38,60,98,0.12
10,0.2,38,61,100,0.306
10,0.2,38,62,104,0.047
10,0.2,38,63,105,0.363
10,0.2,38,64,106,0.111
10,0.2,38,65,110,0.53
10,0.2,38,66,113,0.291
10,0.2,38,67,114,0.073
10,0.2,38,68,117,0.01
10,0.2,38,69,119,0.066
10,0.2,38,70,120,0.432
10,0.2,38,71,121,0.236
10,0.2,38,72,124,0.226
10,0.2,38,73,125,0.026
10,0.2,38,74,126,0.377
10,0.2,38,75,127,0.275
10,0.2,38,76,131,0.012
10,0.2,38,77,132,0.128
10,0.2,38,78,133,0.108
10,0.2,38,79,134,0.063
10,0.2,38,80,135,0.156
10,0.2,38,81,136,0.491
10,0.2,38,82,138,0.268
10,0.2,38,83,139,0.022
10,0.2,38,84,140,0.228
10,0.2,38,85,141,0.116
10,0.2,38,86,142,0.14
10,0.2,38,87,145,0.424
10,0.2,38,88,146,0.085
10,0.2,38,89,150,0.177
10,0.2,38,90,151,0.139
10,0.2,38,91,152,0.056
10,0.2,38,92,156,0.166
10,0.2,38,93,159,0.056
10,0.2,38,94,160,0.016
10,0.2,38,95,161,0.008
10,0.2,38,96,163,0.093
10,0.2,38,97,164,0.086
10,0.2,38,98,166,0.267
10,0.2,38,99,168,0.273
10,0.2,38,100,171,0.115
10,0.2,38,101,172,0.042
10,0.2,38,102,173,0.126
10,0.2,38,103,174,0.155
10,0.2,38,104,175,0.057
10,0.2,38,105,176,0.07
10,0.2,38,106,178,0.074
10,0.2,38,107,179,0.324
10,0.2,38,108,180,0.235
10,0.2,38,109,181,0.03
10,0.2,38,110,183,0.223
10,0.2,38,111,185,0.092
10,0.2,38,112,186,0.107
10,0.2,38,113,187,0.065
10,0.2,38,114,188,0.393
10,0.2,38,115,190,0.087
10,0.2,38,116,191,0.501
10,0.2,38,117,194,0.335
10,0.2,38,118,196,0.009
10,0.2,38,119,197,0.506
10,0.2,38,120,198,0.236
10,0.2,38,121,200,0.141
10,0.2,38,122,201,0.525
10,0.2,38,123,202,0.065
10,0.2,38,124,203,0.088
10,0.2,38,125,204,0.323
10,0.2,38,126,205,0.135
10,0.2,38,127,206,0.082
10,0.2,38,128,208,0.196
10,0.2,38,129,209,0.312
10,0.2,38,130,210,0.205
10,0.2,38,131,211,0.113
10,0.2,38,132,213,0.028
10,0.2,38,133,215,0.147
10,0.2,38,134,216,0.264
10,0.2,38,135,217,0.159
10,0.2,38,136,218,0.179
10,0.2,38,137,219,0.031
10,0.2,38,138,220,0.352
10,0.2,38,139,221,0.419
10,0.2,38,140,222,0.239
10,0.2,38,141,223,0.201
10,0.2,38,142,224,0.51
10,0.2,38,143,225,0.409
10,0.2,38,144,227,0.104
10,0.2,38,145,228,0.175
10,0.2,38,146,230,0.617
10,0.2,38,147,234,0.411
10,0.2,38,148,235,0.322
10,0.2,38,149,236,0.509
10,0.2,38,150,237,0.318
10,0.2,38,151,239,0.326
10,0.2,38,152,242,0.283
10,0.2,38,153,243,0.415
10,0.2,38,154,244,0.286
10,0.2,38,155,247,0.632
10,0.2,38,156,250,0.282
10,0.2,38,157,253,0.249
10,0.2,38,158,254,0.126
10,0.2,38,159,255,0.13
10,0.2,38,160,256,0.339
10,0.2,38,161,257,0.274
10,0.2,38,162,258,0.294
10,0.2,38,163,259,0.266
10,0.2,38,164,260,0.098
10,0.2,38,165,261,0.494
10,0.2,38,166,262,0.276
10,0.2,38,167,263,0.258
10,0.2,38,168,265,0.258
10,0.2,38,169,268,0.081
10,0.2,38,170,269,0.372
10,0.2,38,171,270,0.109
10,0.2,38,172,271,0.499
10,0.2,38,173,272,0.184
10,0.2,38,174,273,0.204
10,0.2,38,175,274,0.155
10,0.2,38,176,275,0.169
10,0.2,38,177,276,0.2
10,0.2,38,178,278,0.104
10,0.2,38,179,279,0.136
10,0.2,38,180,280,0.213
10,0.2,38,181,286,0.074
10,0.2,38,182,287,0.044
10,0.2,38,183,289,0.399
10,0.2,38,184,290,0.409
10,0.2,38,185,291,0.139
10,0.2,38,186,292,0.142
10,0.2,38,187,294,0.138
10,0.2,38,188,296,0.016
10,0.2,38,189,297,0.056
10,0.2,38,190,298,0.072
10,0.2,38,191,299,0.285
10,0.3,58,0,0,0.173
10,0.3,58,1,1,0.185
10,0.3,58,2,3,0.133
10,0.3,58,3,5,0.424
10,0.3,58,4,6,0.202
10,0.3,58,5,7,0.4
10,0.3,58,6,11,0.289
10,0.3,58,7,13,0.079
10,0.3,58,8,15,0.155
10,0.3,58,9,16,0.122
10,0.3,58,10,18,0.317
10,0.3,58,11,19,0.113
10,0.3,58,12,20,0.153
10,0.3,58,13,21,0.306
10,0.3,58,14,27,0.138
10,0.3,58,15,28,0.357
10,0.3,58,16,30,0.11
10,0.3,58,17,31,0.158
10,0.3,58,18,32,0.124
10,0.3,58,19,33,0.449
10,0.3,58,20,34,0.258
10,0.3,58,21,35,0.299
10,0.3,58,22,36,0.249
10,0.3,58,23,37,0.278
10,0.3,58,24,38,0.153
10,0.3,58,25,39,0.217
10,0.3,58,26,41,0.395
10,0.3,58,27,42,0.189
10,0.3,58,28,44,0.405
10,0.3,58,29,45,0.05
10,0.3,58,30,47,0.3
10,0.3,58,31,48,0.163
10,0.3,58,32,50,0.491
10,0.3,58,33,52,0.254
10,0.3,58,34,53,0.255
10,0.3,58,35,55,0.352
10,0.3,58,36,57,0.264
10,0.3,58,37,60,0.307
10,0.3,58,38,62,0.249
10,0.3,58,39,64,0.458
10,0.3,58,40,65,0.38
10,0.3,58,41,66,0.185
10,0.3,58,42,67,0.162
10,0.3,58,43,68,0.182
10,0.3,58,44,70,0.18
10,0.3,58,45,71,0.412
10,0.3,58,46,72,0.262
10,0.3,58,47,74,0.269
10,0.3,58,48,75,0.639
10,0.3,58,49,80,0.123
10,0.3,58,50,81,0.217
10,0.3,58,51,82,0.294
10,0.3,58,52,83,0.592
10,0.3,58,53,85,0.468
10,0.3,58,54,86,0.324
10,0.3,58,55,87,0.181
10,0.3,58,56,90,0.479
10,0.3,58,57,93,0.737
10,0.3,58,58,94,0.536
10,0.3,58,59,97,0.382
10,0.3,58,60,98,0.251
10,0.3,58,61,100,0.439
10,0.3,58,62,104,0.112
10,0.3,58,63,105,0.481
10,0.3,58,64,106,0.262
10,0.3,58,65,110,0.681
10,0.3,58,66,113,0.402
10,0.3,58,67,114,0.181
10,0.3,58,68,117,0.028
10,0.3,58,69,119,0.149
10,0.3,58,70,120,0.607
10,0.3,58,71,121,0.294
10,0.3,58,72,124,0.35
10,0.3,58,73,125,0.079
10,0.3,58,74,126,0.477
10,0.3,58,75,127,0.488
10,0.3,58,76,131,0.038
10,0.3,58,77,132,0.275
10,0.3,58,78,133,0.224
10,0.3,58,79,134,0.13
10,0.3,58,80,135,0.259
10,0.3,58,81,136,0.602
10,0.3,58,82,138,0.367
10,0.3,58,83,139,0.097
10,0.3,58,84,140,0.37
10,0.3,58,85,141,0.215
10,0.3,58,86,142,0.206
