boundary_source,closed_full_input_cycle_residual,episode_id,partition_residual,root_family_id,segment_return_sum,split,whole_return_phi_last_minus_phi_first
best_budget,not_measured,formal_u2_family_104_r01,0.0,u2_family_104,0.6572467684745789,test,0.6572467684745789
gold,not_measured,formal_u2_family_104_r02,0.0,u2_family_104,0.6571903079748154,test,0.6571903079748154
best_causal,not_measured,formal_u2_family_104_r02,0.0,u2_family_104,0.6571903079748154,test,0.6571903079748154
best_rule,not_measured,formal_u2_family_104_r02,0.0,u2_family_104,0.6571903079748154,test,0.6571903079748154
uniform,not_measured,formal_u2_family_104_r02,0.0,u2_family_104,0.6571903079748154,test,0.6571903079748154
best_budget,not_measured,formal_u2_family_104_r02,0.0,u2_family_104,0.6571903079748154,test,0.6571903079748154
gold,not_measured,formal_u2_family_104_r03,0.0,u2_family_104,0.6567031294107437,test,0.6567031294107437
best_causal,not_measured,formal_u2_family_104_r03,0.0,u2_family_104,0.6567031294107437,test,0.6567031294107437
best_rule,not_measured,formal_u2_family_104_r03,0.0,u2_family_104,0.6567031294107437,test,0.6567031294107437
uniform,not_measured,formal_u2_family_104_r03,0.0,u2_family_104,0.6567031294107437,test,0.6567031294107437
best_budget,not_measured,formal_u2_family_104_r03,0.0,u2_family_104,0.6567031294107437,test,0.6567031294107437
gold,not_measured,formal_u2_family_104_r04,0.0,u2_family_104,0.6549381613731384,test,0.6549381613731384
best_causal,not_measured,formal_u2_family_104_r04,0.0,u2_family_104,0.6549381613731384,test,0.6549381613731384
best_rule,not_measured,formal_u2_family_104_r04,0.0,u2_family_104,0.6549381613731384,test,0.6549381613731384
uniform,not_measured,formal_u2_family_104_r04,0.0,u2_family_104,0.6549381613731384,test,0.6549381613731384
best_budget,not_measured,formal_u2_family_104_r04,0.0,u2_family_104,0.6549381613731384,test,0.6549381613731384
gold,not_measured,formal_u2_family_104_r05,0.0,u2_family_104,0.6537427306175232,test,0.6537427306175232
best_causal,not_measured,formal_u2_family_104_r05,0.0,u2_family_104,0.6537427306175232,test,0.6537427306175232
best_rule,not_measured,formal_u2_family_104_r05,0.0,u2_family_104,0.6537427306175232,test,0.6537427306175232
uniform,not_measured,formal_u2_family_104_r05,0.0,u2_family_104,0.6537427306175232,test,0.6537427306175232
best_budget,not_measured,formal_u2_family_104_r05,0.0,u2_family_104,0.6537427306175232,test,0.6537427306175232
gold,not_measured,formal_u2_family_105_r00,0.0,u2_family_105,0.6559093445539474,test,0.6559093445539474
