rollout_id,case_id,fault_type,target_capture_order,source_capture_order,source_contact,injected_contact,source_time,next_later_source_time,duplicate_capture_order,same_jpeg_sha256,reference_unchanged
L2RAR2_R19_CONF_04_886004__T11_transport_strong_phase_40ms_rgb_dropout,T11_transport_strong_phase_40ms_rgb_dropout,,,,,,,,,,True
L2RAR2_R19_CONF_04_886004__T12_transport_commanded_release,T12_transport_commanded_release,,,,,,,,,,True
L2RAR2_R19_CONF_04_886004__T1_transport_stable_clean,T1_transport_stable_clean,,,,,,,,,,True
L2RAR2_R19_CONF_04_886004__T2_transport_camera_jitter,T2_transport_camera_jitter,,,,,,,,,,True
L2RAR2_R19_CONF_04_886004__T3_transport_single_contact_proxy_dropout,T3_transport_single_contact_proxy_dropout,T3_SINGLE_FALSE,29,29,True,False,1.300000000000001,1.350000000000001,,,True
L2RAR2_R19_CONF_04_886004__T4_transport_same_time_contact_false_then_true,T4_transport_same_time_contact_false_then_true,T4_SAME_TIME_FALSE_TRUE,29,29,True,"[False, True]",1.300000000000001,,30,0d89713006288845f33c76c96f099f6b2327319e4dbed717a7ef467164638aa7,True
L2RAR2_R19_CONF_04_886004__T5_transport_weak_outcome,T5_transport_weak_outcome,,,,,,,,,,True
L2RAR2_R19_CONF_04_886004__T6_transport_medium_outcome,T6_transport_medium_outcome,,,,,,,,,,True
L2RAR2_R19_CONF_04_886004__T7_transport_strong_phase_00ms,T7_transport_strong_phase_00ms,,,,,,,,,,True
L2RAR2_R19_CONF_04_886004__T8_transport_strong_phase_10ms,T8_transport_strong_phase_10ms,,,,,,,,,,True
L2RAR2_R19_CONF_04_886004__T9_transport_strong_phase_20ms,T9_transport_strong_phase_20ms,,,,,,,,,,True
L2RAR2_R19_CONF_05_886005__T10_transport_strong_phase_30ms,T10_transport_strong_phase_30ms,,,,,,,,,,True
L2RAR2_R19_CONF_05_886005__T11_transport_strong_phase_40ms_rgb_dropout,T11_transport_strong_phase_40ms_rgb_dropout,,,,,,,,,,True
L2RAR2_R19_CONF_05_886005__T12_transport_commanded_release,T12_transport_commanded_release,,,,,,,,,,True
L2RAR2_R19_CONF_05_886005__T1_transport_stable_clean,T1_transport_stable_clean,,,,,,,,,,True
L2RAR2_R19_CONF_05_886005__T2_transport_camera_jitter,T2_transport_camera_jitter,,,,,,,,,,True
L2RAR2_R19_CONF_05_886005__T3_transport_single_contact_proxy_dropout,T3_transport_single_contact_proxy_dropout,T3_SINGLE_FALSE,29,29,True,False,1.300000000000001,1.350000000000001,,,True
L2RAR2_R19_CONF_05_886005__T4_transport_same_time_contact_false_then_true,T4_transport_same_time_contact_false_then_true,T4_SAME_TIME_FALSE_TRUE,29,29,True,"[False, True]",1.300000000000001,,30,2d71ed8b4a12cb0957e3805aa8ec114f54466845169e72329850e9161a1fea0b,True
L2RAR2_R19_CONF_05_886005__T5_transport_weak_outcome,T5_transport_weak_outcome,,,,,,,,,,True
L2RAR2_R19_CONF_05_886005__T6_transport_medium_outcome,T6_transport_medium_outcome,,,,,,,,,,True
L2RAR2_R19_CONF_05_886005__T7_transport_strong_phase_00ms,T7_transport_strong_phase_00ms,,,,,,,,,,True
L2RAR2_R19_CONF_05_886005__T8_transport_strong_phase_10ms,T8_transport_strong_phase_10ms,,,,,,,,,,True
L2RAR2_R19_CONF_05_886005__T9_transport_strong_phase_20ms,T9_transport_strong_phase_20ms,,,,,,,,,,True
