rollout_id,source_capture_order,candidate_capture_order,time,synthetic_duplicate,fault_role,jpeg_sha256
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,54,54,2.4499999999999917,False,,f0b4a434f9add1c2e678e2d93a8b5d62863db000617b8b26e08fd1573e6b129e
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,55,55,2.4999999999999907,False,,e5080205904139a709cc79e972d0e57929302fc1736b2af44a8edd5eff028f7c
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,56,56,2.5499999999999896,False,,14802a6f1664df3770272f52666616bcba10a3335fec487cce66633ebc42d37b
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,57,57,2.5999999999999885,False,,5326d934b90a4cb5cae296d8c6a252b8aee54b839a13a2c4569374568990d58f
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,58,58,2.6499999999999875,False,,15a580912dc6b94600642c0e7feb3ab031b3d5e3e66f19459426b53cf3c14c43
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,59,59,2.6999999999999864,False,,1cff873acf9ff23c0b4fa32670a9669ae9992649b9974cc883b8bb352e97c478
L2RAR2_R19_CONF_00_886000__T10_transport_strong_phase_30ms,60,60,2.7299999999999858,False,,db815f7bbcc0d170e9f91efe0ef6f037db1516aa58036cde0d485c4670c5c530
L2RAR2_R19_CONF_00_886000__T11_transport_strong_phase_40ms_rgb_dropout,0,0,0.0,False,,7918a22fe92176eb0171514aed2e662215a5e72f6b5422f8eef2207e164d1bdc
L2RAR2_R19_CONF_00_886000__T11_transport_strong_phase_40ms_rgb_dropout,1,1,0.05,False,,7be63c050b2307c99ffc20c3f1da4c97b992d9183536b3bf851c0deb1555c30d
L2RAR2_R19_CONF_00_886000__T11_transport_strong_phase_40ms_rgb_dropout,2,2,0.09999999999999999,False,,b58a1530bf6c8cc981a19e130b0815e6e9f63c2f502204a5b9b7c7f4410844c4
