episode_id,family_id,case_id,loss,rehold,n_states,n_ckpt,eef_error_m,object_error_m,attachment_shift_m,taxonomy,pose_writes,returns,notes,raw
P1V6_931104_C4_THREE_RETURNS_P40_93310403,931104,C4_THREE_RETURNS_P40,True,True,412,2,0.17999999999999994,0.393597876481384,0.5019822146059225,F3_EEF_TARGET_NOT_REACHED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 230}, {""ckpt"": ""A_loop1"", ""returned_move_ok"": true, ""end_index"": 411}]","[""regrasp_failed"", ""regrasp_failed"", ""loop_1_not_held_after""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/confirmation_v1/F931104/C4_THREE_RETURNS_P40/rollout_00
P1V6_931105_C2_LOSS_RETURN_P40_93310501,931105,C2_LOSS_RETURN_P40,True,True,223,1,0.0,0.03229309277700423,0.03229309277700423,F4_EEF_REACHED_OBJECT_NOT_RETURNED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 222}]","[""regrasp_failed""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/confirmation_v1/F931105/C2_LOSS_RETURN_P40/rollout_00
P1V6_931105_C3_LOSS_RETURN_P80_93310502,931105,C3_LOSS_RETURN_P80,True,True,266,1,0.0,0.0322567939292478,0.0322567939292478,F4_EEF_REACHED_OBJECT_NOT_RETURNED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 265}]",[],/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/confirmation_v1/F931105/C3_LOSS_RETURN_P80/rollout_00
P1V6_931105_C4_THREE_RETURNS_P40_93310503,931105,C4_THREE_RETURNS_P40,True,True,392,2,0.17999999999999994,0.2497217229341293,0.3993981640794671,F3_EEF_TARGET_NOT_REACHED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 222}, {""ckpt"": ""A_loop1"", ""returned_move_ok"": true, ""end_index"": 391}]","[""regrasp_failed"", ""regrasp_failed"", ""loop_1_not_held_after""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/confirmation_v1/F931105/C4_THREE_RETURNS_P40/rollout_00
P1V6_931106_C2_LOSS_RETURN_P40_93310601,931106,C2_LOSS_RETURN_P40,True,True,246,1,0.0,0.034304244371354924,0.034304244371354924,F4_EEF_REACHED_OBJECT_NOT_RETURNED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 245}]","[""regrasp_failed""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/confirmation_v1/F931106/C2_LOSS_RETURN_P40/rollout_00
P1V6_931106_C3_LOSS_RETURN_P80_93310602,931106,C3_LOSS_RETURN_P80,True,True,294,1,0.0,0.02155583853446953,0.02155583853446953,F4_EEF_REACHED_OBJECT_NOT_RETURNED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 293}]",[],/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/confirmation_v1/F931106/C3_LOSS_RETURN_P80/rollout_00
P1V6_931106_C4_THREE_RETURNS_P40_93310603,931106,C4_THREE_RETURNS_P40,True,True,439,2,0.17999999999999994,0.5573702213898976,0.638436628789745,F3_EEF_TARGET_NOT_REACHED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 245}, {""ckpt"": ""A_loop1"", ""returned_move_ok"": true, ""end_index"": 438}]","[""regrasp_failed"", ""regrasp_failed"", ""loop_1_not_held_after""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/confirmation_v1/F931106/C4_THREE_RETURNS_P40/rollout_00
P1V6_931107_C2_LOSS_RETURN_P40_93310701,931107,C2_LOSS_RETURN_P40,True,True,235,1,0.0,0.034991964282853116,0.034991964282853116,F4_EEF_REACHED_OBJECT_NOT_RETURNED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 234}]","[""regrasp_failed""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/confirmation_v1/F931107/C2_LOSS_RETURN_P40/rollout_00
P1V6_931107_C3_LOSS_RETURN_P80_93310702,931107,C3_LOSS_RETURN_P80,True,True,293,1,0.0,0.034945494685032115,0.034945494685032115,F4_EEF_REACHED_OBJECT_NOT_RETURNED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 292}]","[""regrasp_failed""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/confirmation_v1/F931107/C3_LOSS_RETURN_P80/rollout_00
P1V6_931107_C4_THREE_RETURNS_P40_93310703,931107,C4_THREE_RETURNS_P40,True,True,416,2,0.17999999999999994,0.3637734412727009,0.47863403837947405,F3_EEF_TARGET_NOT_REACHED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 234}, {""ckpt"": ""A_loop1"", ""returned_move_ok"": true, ""end_index"": 415}]","[""regrasp_failed"", ""regrasp_failed"", ""loop_1_not_held_after""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/confirmation_v1/F931107/C4_THREE_RETURNS_P40/rollout_00
P1V6_930100_C2_LOSS_RETURN_P40_93210001,930100,C2_LOSS_RETURN_P40,True,True,218,1,0.0,0.03233363873865773,0.03233363873865773,F4_EEF_REACHED_OBJECT_NOT_RETURNED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 217}]",[],/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/engineering_v4/F930100/C2_LOSS_RETURN_P40/rollout_00
P1V6_930100_C3_LOSS_RETURN_P80_93210002,930100,C3_LOSS_RETURN_P80,True,True,267,1,0.0,0.03216203802022554,0.03216203802022554,F4_EEF_REACHED_OBJECT_NOT_RETURNED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 266}]",[],/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/engineering_v4/F930100/C3_LOSS_RETURN_P80/rollout_00
P1V6_930100_C4_THREE_RETURNS_P40_93210003,930100,C4_THREE_RETURNS_P40,True,True,380,2,0.17999999999999994,0.19053150467653562,0.3652184079578823,F3_EEF_TARGET_NOT_REACHED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 217}, {""ckpt"": ""A_loop1"", ""returned_move_ok"": true, ""end_index"": 379}]","[""regrasp_failed"", ""loop_1_not_held_after""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/engineering_v4/F930100/C4_THREE_RETURNS_P40/rollout_00
P1V6_930101_C2_LOSS_RETURN_P40_93210101,930101,C2_LOSS_RETURN_P40,True,True,221,1,0.0,0.033731157065342916,0.033731157065342916,F4_EEF_REACHED_OBJECT_NOT_RETURNED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 220}]",[],/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/engineering_v4/F930101/C2_LOSS_RETURN_P40/rollout_00
P1V6_930101_C3_LOSS_RETURN_P80_93210102,930101,C3_LOSS_RETURN_P80,True,True,273,1,0.0,0.034012365226841285,0.034012365226841285,F4_EEF_REACHED_OBJECT_NOT_RETURNED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 272}]","[""regrasp_failed""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/engineering_v4/F930101/C3_LOSS_RETURN_P80/rollout_00
P1V6_930101_C4_THREE_RETURNS_P40_93210103,930101,C4_THREE_RETURNS_P40,True,True,387,2,0.17999999999999994,0.19570392096233935,0.36785358645718225,F3_EEF_TARGET_NOT_REACHED,0,"[{""ckpt"": ""A_loop0"", ""returned_move_ok"": true, ""end_index"": 220}, {""ckpt"": ""A_loop1"", ""returned_move_ok"": true, ""end_index"": 386}]","[""regrasp_failed"", ""loop_1_not_held_after""]",/home/__compress_data/xushijie/graph_pathgraph_p1_v6_three_issue_data/engineering_v4/F930101/C4_THREE_RETURNS_P40/rollout_00
