episode,seed,success,decision_points,first_timestep,last_timestep,episode_file,video_file,episode_sha256,video_sha256,obs_shape,action_shape
42,100042,True,63,0,496,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0042_succ.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0042_succ.mp4,0a39be561a6d4930c0e6cc98eaebda30b9ebe0b9f02d7ebab2434e5aec2ec720,c425494ae287668e1a7d65b43ffc3fb5588b2660a5f6e8b3a1708cefb8c6c23c,"(2, 59)","(16, 20)"
43,100043,True,67,0,528,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0043_succ.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0043_succ.mp4,ca7206e1f89a3b769a57e38a7d84a4716d9e1e384039cd22b274ceb6ce0598a7,f6f988022264dc2593e511ff891a9b93e2601cee0a1eb209aaab0a9e84d9d423,"(2, 59)","(16, 20)"
44,100044,True,84,0,664,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0044_succ.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0044_succ.mp4,6f2af5b9ab563d36a9081bec74f4e5b668b20755a17b0650a3be8bb89e7b0b18,6103aa7762eca10e3459cf51e2366c892f0d89028e3b639745a7bcb87b411a70,"(2, 59)","(16, 20)"
45,100045,True,56,0,440,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0045_succ.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0045_succ.mp4,d7e7ebffb3f5c57a0efdae3022bd94279ce4f8fd6b6955f809e7a9d15e640b4d,5f933a84bc52a32b5819ff34cdeb2ff5a668f66d74d5f35e2dbfe55d849646fd,"(2, 59)","(16, 20)"
46,100046,False,88,0,696,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0046_fail.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0046_fail.mp4,9c7dccaab0fdfef915e49a6b2e6665498fb6e1a952f14d847cf056b8da877a74,5781ddcc5d0bcf5c8644c917bb4e2a287464789f2e30f27424298b7a59202d50,"(2, 59)","(16, 20)"
47,100047,False,88,0,696,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0047_fail.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0047_fail.mp4,b8dce545657a2d31a517c52c0756724519650d421f2ba1d523ac52e1ef24ee33,3524491418e85285bf1499159e3f366ab5216444c5278438e27c2353941cc1c6,"(2, 59)","(16, 20)"
48,100048,True,57,0,448,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0048_succ.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0048_succ.mp4,866b043f9f7df70724c69ec69b22ab5379e153053aa0612664bcf0d9ed2b290c,04e0ee5afed5ca28ceaf924d3be2af339c11a68f7fcde18853e18d17801b9d6c,"(2, 59)","(16, 20)"
49,100049,True,55,0,432,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0049_succ.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0049_succ.mp4,b0dbec9eba558991db005a1e6b68525c1b04589c10b6940ba2ad1c25061bc4b1,4eff5993b1c865db93777c31c548e95080b17e18ebbfc0278734d407c89f4231,"(2, 59)","(16, 20)"
50,100050,True,78,0,616,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0050_succ.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0050_succ.mp4,e0dc1253016b8d47227e07b1192c40e0d1790a662af41dd7a480d6bf7516e3a2,15c208ac9f8dc8cac87f6916b4c2097afa6d59169e2cf7eca6be64df824b05dc,"(2, 59)","(16, 20)"
51,100051,True,61,0,480,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/episodes/ep0051_succ.pkl,/home/__compress_data/xushijie/CUPID/repo/data/outputs/eval_save_episodes/20260722_cupid_transport_stage3_rollout100/20260722_cupid_transport_stage3_train_diffusion_unet_lowdim_transport_mh_0/latest/media/ep0051_succ.mp4,e4b8a44f8e472984d75830b206d7452ec4b08915d26d8800e998b30dde3a1637,ceae57991ccfcd537156f76b802018b121456469bbe66dd8195533bec912099a,"(2, 59)","(16, 20)"
