case_id,split,seed,target_x,target_y,interferer_x,interferer_y,dx,dy,abs_dx,abs_dy,aabb_overlap_x,aabb_overlap_y,aabb_overlap,classification,source_sha256
T_C_train_48,train,3148,-0.218226366743678,-0.11589401664442867,-0.18553197704580807,-0.09652711492309454,0.03269438969786995,0.019366901721334123,0.03269438969786995,0.019366901721334123,0.007305610302130054,0.020633098278665878,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_49,train,3149,-0.13723279161912175,-0.13895101873717366,-0.10779500572080569,-0.11492152100199608,0.029437785898316055,0.024029497735177582,0.029437785898316055,0.024029497735177582,0.010562214101683946,0.01597050226482242,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_50,train,3150,-0.1783267118985225,-0.16573186514274035,-0.1486161394105528,-0.1420404767824712,0.02971057248796971,0.023691388360269156,0.02971057248796971,0.023691388360269156,0.01028942751203029,0.016308611639730845,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_51,train,3151,-0.07117422422102002,-0.0864985597457412,-0.041820767630309466,-0.06236612128260052,0.02935345659071055,0.02413243846314067,0.02935345659071055,0.02413243846314067,0.010646543409289451,0.01586756153685933,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_52,train,3152,-0.12130689634350048,-0.08461141854636547,-0.08987024387877857,-0.06326342375031276,0.03143665246472191,0.02134799479605272,0.03143665246472191,0.02134799479605272,0.008563347535278092,0.018652005203947282,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_53,train,3153,-0.17352372894409487,-0.04932165303271288,-0.13925188194542082,-0.03290701007895128,0.034271846998674055,0.016414642953761598,0.034271846998674055,0.016414642953761598,0.005728153001325946,0.023585357046238403,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_54,train,3154,-0.04495180377300573,-0.05684412100514025,-0.015077919179498033,-0.03335899764387634,0.029873884593507694,0.023485123361263904,0.029873884593507694,0.023485123361263904,0.010126115406492307,0.016514876638736097,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_55,train,3155,-0.20817263052748283,-0.16408513545427794,-0.17750760090606713,-0.14164285485898867,0.030665029621415707,0.02244228059528927,0.030665029621415707,0.02244228059528927,0.009334970378584294,0.01755771940471073,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_56,train,3156,-0.08951038833361566,-0.15425567918008543,-0.06287583211690445,-0.12715216621333425,0.026634556216711208,0.027103512966751175,0.026634556216711208,0.027103512966751175,0.013365443783288793,0.012896487033248825,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_57,train,3157,-0.16144455913835956,-0.029772467422579385,-0.12664521012648566,-0.014507956020317259,0.0347993490118739,0.015264511402262126,0.0347993490118739,0.015264511402262126,0.005200650988126103,0.024735488597737873,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
