episode_id,n_states,case_id,family_id,first_target,last_target,target_unchanged
P1V6_931101_C6_PARTIAL_APPROACH_NO_REGRASP_93310105,182,C6_PARTIAL_APPROACH_NO_REGRASP,931101,"[0.3176127774670092, 0.09882329682793584]","[0.3176127774670092, 0.09882329682793584]",True
P1V6_931101_C7_NO_LOSS_OUT_AND_BACK_93310106,157,C7_NO_LOSS_OUT_AND_BACK,931101,"[0.3176127774670092, 0.09882329682793584]","[0.3176127774670092, 0.09882329682793584]",True
P1V6_931101_C8_COMMANDED_RELEASE_93310107,280,C8_COMMANDED_RELEASE,931101,"[0.3176127774670092, 0.09882329682793584]","[0.3176127774670092, 0.09882329682793584]",True
P1V6_931102_C1_NORMAL_93310200,280,C1_NORMAL,931102,"[0.287605950715949, 0.07402469106166339]","[0.287605950715949, 0.07402469106166339]",True
P1V6_931102_C2_LOSS_RETURN_P40_93310201,235,C2_LOSS_RETURN_P40,931102,"[0.287605950715949, 0.07402469106166339]","[0.287605950715949, 0.07402469106166339]",True
P1V6_931102_C3_LOSS_RETURN_P80_93310202,284,C3_LOSS_RETURN_P80,931102,"[0.287605950715949, 0.07402469106166339]","[0.287605950715949, 0.07402469106166339]",True
P1V6_931102_C4_THREE_RETURNS_P40_93310203,418,C4_THREE_RETURNS_P40,931102,"[0.287605950715949, 0.07402469106166339]","[0.287605950715949, 0.07402469106166339]",True
P1V6_931102_C5_RECOVERY_COMMAND_NO_MOTION_93310204,159,C5_RECOVERY_COMMAND_NO_MOTION,931102,"[0.287605950715949, 0.07402469106166339]","[0.287605950715949, 0.07402469106166339]",True
P1V6_931102_C6_PARTIAL_APPROACH_NO_REGRASP_93310205,180,C6_PARTIAL_APPROACH_NO_REGRASP,931102,"[0.287605950715949, 0.07402469106166339]","[0.287605950715949, 0.07402469106166339]",True
P1V6_931102_C7_NO_LOSS_OUT_AND_BACK_93310206,155,C7_NO_LOSS_OUT_AND_BACK,931102,"[0.287605950715949, 0.07402469106166339]","[0.287605950715949, 0.07402469106166339]",True
P1V6_931102_C8_COMMANDED_RELEASE_93310207,280,C8_COMMANDED_RELEASE,931102,"[0.287605950715949, 0.07402469106166339]","[0.287605950715949, 0.07402469106166339]",True
P1V6_931103_C1_NORMAL_93310300,291,C1_NORMAL,931103,"[0.3793543091213297, 0.05729754553518658]","[0.3793543091213297, 0.05729754553518658]",True
P1V6_931103_C2_LOSS_RETURN_P40_93310301,258,C2_LOSS_RETURN_P40,931103,"[0.3793543091213297, 0.05729754553518658]","[0.3793543091213297, 0.05729754553518658]",True
P1V6_931103_C3_LOSS_RETURN_P80_93310302,312,C3_LOSS_RETURN_P80,931103,"[0.3793543091213297, 0.05729754553518658]","[0.3793543091213297, 0.05729754553518658]",True
P1V6_931103_C4_THREE_RETURNS_P40_93310303,258,C4_THREE_RETURNS_P40,931103,"[0.3793543091213297, 0.05729754553518658]","[0.3793543091213297, 0.05729754553518658]",True
P1V6_931103_C5_RECOVERY_COMMAND_NO_MOTION_93310304,164,C5_RECOVERY_COMMAND_NO_MOTION,931103,"[0.3793543091213297, 0.05729754553518658]","[0.3793543091213297, 0.05729754553518658]",True
P1V6_931103_C6_PARTIAL_APPROACH_NO_REGRASP_93310305,184,C6_PARTIAL_APPROACH_NO_REGRASP,931103,"[0.3793543091213297, 0.05729754553518658]","[0.3793543091213297, 0.05729754553518658]",True
P1V6_931103_C7_NO_LOSS_OUT_AND_BACK_93310306,165,C7_NO_LOSS_OUT_AND_BACK,931103,"[0.3793543091213297, 0.05729754553518658]","[0.3793543091213297, 0.05729754553518658]",True
P1V6_931103_C8_COMMANDED_RELEASE_93310307,291,C8_COMMANDED_RELEASE,931103,"[0.3793543091213297, 0.05729754553518658]","[0.3793543091213297, 0.05729754553518658]",True
P1V6_931104_C1_NORMAL_93310400,271,C1_NORMAL,931104,"[0.27719463831929797, 0.09592830931857876]","[0.27719463831929797, 0.09592830931857876]",True
P1V6_931104_C2_LOSS_RETURN_P40_93310401,231,C2_LOSS_RETURN_P40,931104,"[0.27719463831929797, 0.09592830931857876]","[0.27719463831929797, 0.09592830931857876]",True
P1V6_931104_C3_LOSS_RETURN_P80_93310402,264,C3_LOSS_RETURN_P80,931104,"[0.27719463831929797, 0.09592830931857876]","[0.27719463831929797, 0.09592830931857876]",True
P1V6_931104_C4_THREE_RETURNS_P40_93310403,412,C4_THREE_RETURNS_P40,931104,"[0.27719463831929797, 0.09592830931857876]","[0.27719463831929797, 0.09592830931857876]",True
P1V6_931104_C5_RECOVERY_COMMAND_NO_MOTION_93310404,156,C5_RECOVERY_COMMAND_NO_MOTION,931104,"[0.27719463831929797, 0.09592830931857876]","[0.27719463831929797, 0.09592830931857876]",True
P1V6_931104_C6_PARTIAL_APPROACH_NO_REGRASP_93310405,183,C6_PARTIAL_APPROACH_NO_REGRASP,931104,"[0.27719463831929797, 0.09592830931857876]","[0.27719463831929797, 0.09592830931857876]",True
P1V6_931104_C7_NO_LOSS_OUT_AND_BACK_93310406,149,C7_NO_LOSS_OUT_AND_BACK,931104,"[0.27719463831929797, 0.09592830931857876]","[0.27719463831929797, 0.09592830931857876]",True
P1V6_931104_C8_COMMANDED_RELEASE_93310407,271,C8_COMMANDED_RELEASE,931104,"[0.27719463831929797, 0.09592830931857876]","[0.27719463831929797, 0.09592830931857876]",True
P1V6_931105_C1_NORMAL_93310500,281,C1_NORMAL,931105,"[0.31979762348154706, 0.1333484379642249]","[0.31979762348154706, 0.1333484379642249]",True
P1V6_931105_C2_LOSS_RETURN_P40_93310501,223,C2_LOSS_RETURN_P40,931105,"[0.31979762348154706, 0.1333484379642249]","[0.31979762348154706, 0.1333484379642249]",True
P1V6_931105_C3_LOSS_RETURN_P80_93310502,266,C3_LOSS_RETURN_P80,931105,"[0.31979762348154706, 0.1333484379642249]","[0.31979762348154706, 0.1333484379642249]",True
P1V6_931105_C4_THREE_RETURNS_P40_93310503,392,C4_THREE_RETURNS_P40,931105,"[0.31979762348154706, 0.1333484379642249]","[0.31979762348154706, 0.1333484379642249]",True
P1V6_931105_C5_RECOVERY_COMMAND_NO_MOTION_93310504,160,C5_RECOVERY_COMMAND_NO_MOTION,931105,"[0.31979762348154706, 0.1333484379642249]","[0.31979762348154706, 0.1333484379642249]",True
P1V6_931105_C6_PARTIAL_APPROACH_NO_REGRASP_93310505,182,C6_PARTIAL_APPROACH_NO_REGRASP,931105,"[0.31979762348154706, 0.1333484379642249]","[0.31979762348154706, 0.1333484379642249]",True
P1V6_931105_C7_NO_LOSS_OUT_AND_BACK_93310506,157,C7_NO_LOSS_OUT_AND_BACK,931105,"[0.31979762348154706, 0.1333484379642249]","[0.31979762348154706, 0.1333484379642249]",True
P1V6_931105_C8_COMMANDED_RELEASE_93310507,281,C8_COMMANDED_RELEASE,931105,"[0.31979762348154706, 0.1333484379642249]","[0.31979762348154706, 0.1333484379642249]",True
P1V6_931106_C1_NORMAL_93310600,282,C1_NORMAL,931106,"[0.3067014686980058, 0.13147223764110078]","[0.3067014686980058, 0.13147223764110078]",True
P1V6_931106_C2_LOSS_RETURN_P40_93310601,246,C2_LOSS_RETURN_P40,931106,"[0.3067014686980058, 0.13147223764110078]","[0.3067014686980058, 0.13147223764110078]",True
P1V6_931106_C3_LOSS_RETURN_P80_93310602,294,C3_LOSS_RETURN_P80,931106,"[0.3067014686980058, 0.13147223764110078]","[0.3067014686980058, 0.13147223764110078]",True
P1V6_931106_C4_THREE_RETURNS_P40_93310603,439,C4_THREE_RETURNS_P40,931106,"[0.3067014686980058, 0.13147223764110078]","[0.3067014686980058, 0.13147223764110078]",True
P1V6_931106_C5_RECOVERY_COMMAND_NO_MOTION_93310604,160,C5_RECOVERY_COMMAND_NO_MOTION,931106,"[0.3067014686980058, 0.13147223764110078]","[0.3067014686980058, 0.13147223764110078]",True
P1V6_931106_C6_PARTIAL_APPROACH_NO_REGRASP_93310605,177,C6_PARTIAL_APPROACH_NO_REGRASP,931106,"[0.3067014686980058, 0.13147223764110078]","[0.3067014686980058, 0.13147223764110078]",True
P1V6_931106_C7_NO_LOSS_OUT_AND_BACK_93310606,157,C7_NO_LOSS_OUT_AND_BACK,931106,"[0.3067014686980058, 0.13147223764110078]","[0.3067014686980058, 0.13147223764110078]",True
P1V6_931106_C8_COMMANDED_RELEASE_93310607,282,C8_COMMANDED_RELEASE,931106,"[0.3067014686980058, 0.13147223764110078]","[0.3067014686980058, 0.13147223764110078]",True
P1V6_931107_C1_NORMAL_93310700,291,C1_NORMAL,931107,"[0.34274130470893965, 0.1138843752750502]","[0.34274130470893965, 0.1138843752750502]",True
P1V6_931107_C2_LOSS_RETURN_P40_93310701,235,C2_LOSS_RETURN_P40,931107,"[0.34274130470893965, 0.1138843752750502]","[0.34274130470893965, 0.1138843752750502]",True
P1V6_931107_C3_LOSS_RETURN_P80_93310702,293,C3_LOSS_RETURN_P80,931107,"[0.34274130470893965, 0.1138843752750502]","[0.34274130470893965, 0.1138843752750502]",True
P1V6_931107_C4_THREE_RETURNS_P40_93310703,416,C4_THREE_RETURNS_P40,931107,"[0.34274130470893965, 0.1138843752750502]","[0.34274130470893965, 0.1138843752750502]",True
P1V6_931107_C5_RECOVERY_COMMAND_NO_MOTION_93310704,164,C5_RECOVERY_COMMAND_NO_MOTION,931107,"[0.34274130470893965, 0.1138843752750502]","[0.34274130470893965, 0.1138843752750502]",True
P1V6_931107_C6_PARTIAL_APPROACH_NO_REGRASP_93310705,181,C6_PARTIAL_APPROACH_NO_REGRASP,931107,"[0.34274130470893965, 0.1138843752750502]","[0.34274130470893965, 0.1138843752750502]",True
P1V6_931107_C7_NO_LOSS_OUT_AND_BACK_93310706,165,C7_NO_LOSS_OUT_AND_BACK,931107,"[0.34274130470893965, 0.1138843752750502]","[0.34274130470893965, 0.1138843752750502]",True
P1V6_931107_C8_COMMANDED_RELEASE_93310707,291,C8_COMMANDED_RELEASE,931107,"[0.34274130470893965, 0.1138843752750502]","[0.34274130470893965, 0.1138843752750502]",True
