episode_id,object_id,loss_id,interval_kind,start,end,onset,restoration,closure_status,confirmation_passed,case_id,family_id
P1V6_931102_C5_RECOVERY_COMMAND_NO_MOTION_93310204,obj,L1,LOSS_LOCAL,121,,122,,NO_OBSERVED_RETURN,False,C5_RECOVERY_COMMAND_NO_MOTION,931102
P1V6_931102_C6_PARTIAL_APPROACH_NO_REGRASP_93310205,obj,L1,LOSS_LOCAL,121,,122,,NO_OBSERVED_RETURN,False,C6_PARTIAL_APPROACH_NO_REGRASP,931102
P1V6_931103_C2_LOSS_RETURN_P40_93310301,obj,L1,LOSS_LOCAL,126,,127,,NO_OBSERVED_RETURN,False,C2_LOSS_RETURN_P40,931103
P1V6_931103_C3_LOSS_RETURN_P80_93310302,obj,L1,LOSS_LOCAL,159,,160,,NO_OBSERVED_RETURN,False,C3_LOSS_RETURN_P80,931103
P1V6_931103_C4_THREE_RETURNS_P40_93310303,obj,L1,LOSS_LOCAL,126,,127,,NO_OBSERVED_RETURN,False,C4_THREE_RETURNS_P40,931103
P1V6_931103_C5_RECOVERY_COMMAND_NO_MOTION_93310304,obj,L1,LOSS_LOCAL,126,,127,,NO_OBSERVED_RETURN,False,C5_RECOVERY_COMMAND_NO_MOTION,931103
P1V6_931103_C6_PARTIAL_APPROACH_NO_REGRASP_93310305,obj,L1,LOSS_LOCAL,126,,127,,NO_OBSERVED_RETURN,False,C6_PARTIAL_APPROACH_NO_REGRASP,931103
P1V6_931104_C2_LOSS_RETURN_P40_93310401,obj,L1,LOSS_LOCAL,118,,119,194,NO_OBSERVED_RETURN,False,C2_LOSS_RETURN_P40,931104
P1V6_931104_C3_LOSS_RETURN_P80_93310402,obj,L1,LOSS_LOCAL,143,,144,219,NO_OBSERVED_RETURN,False,C3_LOSS_RETURN_P80,931104
P1V6_931104_C4_THREE_RETURNS_P40_93310403,obj,L1,LOSS_LOCAL,118,,119,194,NO_OBSERVED_RETURN,False,C4_THREE_RETURNS_P40,931104
P1V6_931104_C4_THREE_RETURNS_P40_93310403,obj,L2,LOSS_LOCAL,292,,293,,NO_OBSERVED_RETURN,False,C4_THREE_RETURNS_P40,931104
P1V6_931104_C5_RECOVERY_COMMAND_NO_MOTION_93310404,obj,L1,LOSS_LOCAL,118,,119,,NO_OBSERVED_RETURN,False,C5_RECOVERY_COMMAND_NO_MOTION,931104
P1V6_931104_C6_PARTIAL_APPROACH_NO_REGRASP_93310405,obj,L1,LOSS_LOCAL,118,,119,,NO_OBSERVED_RETURN,False,C6_PARTIAL_APPROACH_NO_REGRASP,931104
P1V6_931105_C2_LOSS_RETURN_P40_93310501,obj,L1,LOSS_LOCAL,122,,123,193,NO_OBSERVED_RETURN,False,C2_LOSS_RETURN_P40,931105
P1V6_931105_C3_LOSS_RETURN_P80_93310502,obj,L1,LOSS_LOCAL,151,,152,209,NO_OBSERVED_RETURN,False,C3_LOSS_RETURN_P80,931105
P1V6_931105_C4_THREE_RETURNS_P40_93310503,obj,L1,LOSS_LOCAL,122,,123,193,NO_OBSERVED_RETURN,False,C4_THREE_RETURNS_P40,931105
P1V6_931105_C4_THREE_RETURNS_P40_93310503,obj,L2,LOSS_LOCAL,288,,289,,NO_OBSERVED_RETURN,False,C4_THREE_RETURNS_P40,931105
P1V6_931105_C5_RECOVERY_COMMAND_NO_MOTION_93310504,obj,L1,LOSS_LOCAL,122,,123,,NO_OBSERVED_RETURN,False,C5_RECOVERY_COMMAND_NO_MOTION,931105
P1V6_931105_C6_PARTIAL_APPROACH_NO_REGRASP_93310505,obj,L1,LOSS_LOCAL,122,,123,,NO_OBSERVED_RETURN,False,C6_PARTIAL_APPROACH_NO_REGRASP,931105
P1V6_931106_C2_LOSS_RETURN_P40_93310601,obj,L1,LOSS_LOCAL,122,,123,189,NO_OBSERVED_RETURN,False,C2_LOSS_RETURN_P40,931106
P1V6_931106_C3_LOSS_RETURN_P80_93310602,obj,L1,LOSS_LOCAL,152,,153,201,NO_OBSERVED_RETURN,False,C3_LOSS_RETURN_P80,931106
P1V6_931106_C4_THREE_RETURNS_P40_93310603,obj,L1,LOSS_LOCAL,122,,123,189,NO_OBSERVED_RETURN,False,C4_THREE_RETURNS_P40,931106
P1V6_931106_C4_THREE_RETURNS_P40_93310603,obj,L2,LOSS_LOCAL,311,,312,,NO_OBSERVED_RETURN,False,C4_THREE_RETURNS_P40,931106
P1V6_931106_C5_RECOVERY_COMMAND_NO_MOTION_93310604,obj,L1,LOSS_LOCAL,122,,123,,NO_OBSERVED_RETURN,False,C5_RECOVERY_COMMAND_NO_MOTION,931106
P1V6_931106_C6_PARTIAL_APPROACH_NO_REGRASP_93310605,obj,L1,LOSS_LOCAL,122,,123,,NO_OBSERVED_RETURN,False,C6_PARTIAL_APPROACH_NO_REGRASP,931106
P1V6_931107_C2_LOSS_RETURN_P40_93310701,obj,L1,LOSS_LOCAL,126,,127,192,NO_OBSERVED_RETURN,False,C2_LOSS_RETURN_P40,931107
P1V6_931107_C3_LOSS_RETURN_P80_93310702,obj,L1,LOSS_LOCAL,158,,159,224,NO_OBSERVED_RETURN,False,C3_LOSS_RETURN_P80,931107
P1V6_931107_C4_THREE_RETURNS_P40_93310703,obj,L1,LOSS_LOCAL,126,,127,192,NO_OBSERVED_RETURN,False,C4_THREE_RETURNS_P40,931107
P1V6_931107_C4_THREE_RETURNS_P40_93310703,obj,L2,LOSS_LOCAL,304,,305,,NO_OBSERVED_RETURN,False,C4_THREE_RETURNS_P40,931107
P1V6_931107_C5_RECOVERY_COMMAND_NO_MOTION_93310704,obj,L1,LOSS_LOCAL,126,,127,,NO_OBSERVED_RETURN,False,C5_RECOVERY_COMMAND_NO_MOTION,931107
P1V6_931107_C6_PARTIAL_APPROACH_NO_REGRASP_93310705,obj,L1,LOSS_LOCAL,126,,127,,NO_OBSERVED_RETURN,False,C6_PARTIAL_APPROACH_NO_REGRASP,931107
