rollout_id,capture_order,time,phase,action,physics_step_index,capture_kind,action_end,camera_jitter_deg,frame_missing,frame_missing_reason,dropout_requested_offset_s,dropout_actual_offset_s,raw_rgb_sha256,jpeg_sha256,jpeg_path,physical_time_ns
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,25,1.1000000000000008,pre_hold,hold,110,periodic,False,0.0,False,,,,a4aa8ef48b7367a99c19c99254182ed183d9bd2693d2893652e092eab1f099bb,599f5024b2a42476414d88e13ec2510d00d48b5430a56c419aa8180d2aed9de4,online_raw/rgb/front/000025.jpg,1100000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,26,1.1500000000000008,transport_pre_event,transport_to_target,115,periodic,False,0.0,False,,,,e4bae816f165552db8802c257c089c1198b3b473d014493cdba738f066611f28,7694dc0a661344ddffe314e7c7facbb346b596d444fa93899b9ed29a218aabec,online_raw/rgb/front/000026.jpg,1150000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,27,1.2000000000000008,transport_pre_event,transport_to_target,120,periodic,False,0.0,False,,,,f079459b96829b7e41cd3169a9cd7ff08ab8a458c45011abd778242b152395ee,7fa5c6d6544399797025a77052e7e52be28aeb62a1730872eab8254f2aa6f796,online_raw/rgb/front/000027.jpg,1200000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,28,1.2500000000000009,transport_pre_event,transport_to_target,125,periodic,False,0.0,False,,,,d480ac508b1d7141116e2d62c5f63a9aa06fab25b5746c1c8d94b61855e5e496,b62cd234e656718e44eeec173ffacb0b302bd333f3064d1863bcc0bfe07d41b0,online_raw/rgb/front/000028.jpg,1250000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,29,1.300000000000001,transport_pre_event,transport_to_target,130,periodic,False,0.0,False,,,,c827ccb96f57d66c674b9c2ac4797fe488a54b27692f71ef5443663d4f80ed22,c47f040f64be2286d8599614bd2163a09d62028acc888bfda471c6b27fca02a6,online_raw/rgb/front/000029.jpg,1300000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,30,1.350000000000001,force_pulse_started,intervention,135,periodic,False,0.0,False,,,,81d6621f663a55dfe47dfc7c4320b415d571ee5a5cb5630b6ff96491a2cd6118,68d094bd82756aa4b493870c41d4b66df389f1e6dd09150bba3148fced5cc541,online_raw/rgb/front/000030.jpg,1350000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,31,1.400000000000001,force_pulse,intervention,140,periodic,False,0.0,False,,,,15fa728a4d6bfa6735a25b9c6bbb9ffa1e307d2e86bbd5978cb17af60c22f5e4,45b339617669a77e1ddf75ec049156f6901522c647b0ccda9ccbb87ef1f48555,online_raw/rgb/front/000031.jpg,1400000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,32,1.450000000000001,force_pulse,intervention,145,periodic,False,0.0,True,T11_SUCCESSOR_PERIODIC_RGB_DROPOUT,0.1,0.1100000000000001,,,,1450000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,33,1.500000000000001,force_pulse,intervention,150,periodic,False,0.0,True,T11_SUCCESSOR_PERIODIC_RGB_DROPOUT,0.15,0.16000000000000014,,,,1500000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,34,1.5400000000000011,force_pulse_ended,intervention,154,action_end,True,0.0,False,,,,9039a9b8dfed75cde56c314b4cf5a22997207958cfebeb8874a6032ecb34e235,cf13a0101451801f709faf2d00cca0dec291e9b2a3581b7a25755123a246633e,online_raw/rgb/front/000034.jpg,1540000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,35,1.5500000000000012,transport_post_event,transport_to_target,155,periodic,False,0.0,True,T11_SUCCESSOR_PERIODIC_RGB_DROPOUT,0.2,0.2100000000000002,,,,1550000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,36,1.6000000000000012,transport_post_event,transport_to_target,160,periodic,False,0.0,False,,,,76728d1766bbf6572330e3598b16d39366b375e8979d50040156b8a5878cbf33,047728c8b614dc90bf871b726ff8a58cce980eaf62583a1a674723b33699e6a0,online_raw/rgb/front/000036.jpg,1600000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,37,1.6500000000000012,transport_post_event,transport_to_target,165,periodic,False,0.0,False,,,,c99e220e59264bce3fe946fdcb8936b2a8aa7c014a8a0b3e9ab7372fe4648cdf,02ee73b9dcc748a4c2d6076225d65711d1a395821052f2129af6ebdaea8bdcb7,online_raw/rgb/front/000037.jpg,1650000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,38,1.7000000000000013,transport_post_event,transport_to_target,170,periodic,False,0.0,False,,,,3af76326a3704032b61d463d098102ebb8f4ec382a6f923f215e3fc07126eb31,ee86d74a5bc1ac80d83479b4ef136f39f7340bb1d6a10873ba2c247d7c9bcdef,online_raw/rgb/front/000038.jpg,1700000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,39,1.7400000000000013,transport_post_event,transport_to_target,174,action_end,True,0.0,False,,,,b877c9a84de677c010d2aeddbd50aebb97ecdb7c9b8a28d9bdf304a5d87e1bb6,e21cc4083b8584299dc5a9aa5aeb8a9990a7e55267cbf83d5376460b92181b53,online_raw/rgb/front/000039.jpg,1740000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,40,1.7500000000000013,observation,observe,175,periodic,False,0.0,False,,,,86d94c178126982862561607ad1f94593eee15fc16a95f08ddd5c8197ce76141,3056dd718b22258170d04d6e148f57d172ba070aca8cffdb941f1ec5fc0be51e,online_raw/rgb/front/000040.jpg,1750000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,41,1.8000000000000014,observation,observe,180,periodic,False,0.0,False,,,,b17476bdb0ad34cc9249877e7512c6a27dc72f48a132d6bf4f4d935de3e978b3,0d4b117493e931daf9087ed995a79217a95f54866d86153c265adcd97dfeeb61,online_raw/rgb/front/000041.jpg,1800000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,42,1.8500000000000014,observation,observe,185,periodic,False,0.0,False,,,,8107151676222afa97f203bd2cc1ab6d7c1fc96ee136c72e854860fec28345b3,63e9155dccf5167a82ad3a86172864f24dc7fb02e8eb86bbd8ffc1e54d8bc54e,online_raw/rgb/front/000042.jpg,1850000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,43,1.9000000000000015,observation,observe,190,periodic,False,0.0,False,,,,7fb9110855e6769d49bd6de4b32fe715f148ede8d91d419a225d03441d3fe1b1,e3cb1aef0cd48a0f0db911deb180f0b07437d9ed2b54297b634e1b498191196a,online_raw/rgb/front/000043.jpg,1900000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,44,1.9500000000000015,observation,observe,195,periodic,False,0.0,False,,,,059bedab1ada52d03b09616cadc5a78539e2c49c99fc41f45fa1c2fb75c9633b,0c63e7e2602c34581641fba5e8d2e78a642d6f3444d7bd507fc77a39cd87edd5,online_raw/rgb/front/000044.jpg,1950000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,45,2.0000000000000013,observation,observe,200,periodic,False,0.0,False,,,,56404433ffc70ed9811505ed0afaf7064ab8b3b8fae1fe7f3504271fb0a8ef0f,5143d793b6b48e2789eef45dfe2310d01884e02fc6c705d4f3107a45a7a0a365,online_raw/rgb/front/000045.jpg,2000000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,46,2.0500000000000003,observation,observe,205,periodic,False,0.0,False,,,,b87c3a3bdf8a87885133e3e25479b6d0aa2554301f3f2bd03fca45988376c6cd,f74ddd71395c184f1391286b4016dd2be6ddbd36def80c22074f508321974446,online_raw/rgb/front/000046.jpg,2050000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,47,2.099999999999999,observation,observe,210,periodic,False,0.0,False,,,,16c825ebc272fd05b4d14c1bf6256220035ec2c625cb21ec4773abc5b3eb242d,ba2dcc807677dc4968f62e095f4409dbf78ab6a734c4bb48faeadfeefd265b33,online_raw/rgb/front/000047.jpg,2100000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,48,2.149999999999998,observation,observe,215,periodic,False,0.0,False,,,,acd166b507fd9398fff91d3d354e1715f478e85ba485ce7b16471e19e5d971e2,f232b1ceafc0fa70a4a38537a46b3105b6db938afba1831deeb43e0d53cad7ad,online_raw/rgb/front/000048.jpg,2150000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,49,2.199999999999997,observation,observe,220,periodic,False,0.0,False,,,,08abf35268553429f35ed64390d9f02d5011489b9d34cecebd04a2b8c701f110,63f5ea74ce061db6e93341224ccf5ec64270573fac3375aa0f891d1fcac26418,online_raw/rgb/front/000049.jpg,2200000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,50,2.249999999999996,observation,observe,225,periodic,False,0.0,False,,,,79db3a8185b493161b426d5d8f008aabe71b2eb87b50e387a3915e6f9f5c69d7,e4ffc60f1b95267afe094b4add99d93500f49b27ebed76472f7b937cca1c1a6e,online_raw/rgb/front/000050.jpg,2250000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,51,2.299999999999995,observation,observe,230,periodic,False,0.0,False,,,,ce58c4bcfa182f5579a28de452f1f397532759270d7c2d1f091e9bb17bb53e47,48c48bac3288d3da23feaa0a2cf607f008a6575019166b1125ca5fc64da4a00c,online_raw/rgb/front/000051.jpg,2300000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,52,2.349999999999994,observation,observe,235,periodic,False,0.0,False,,,,cbc3ab9afde7bd2770b4e2b3305b12a7b325f46d66027c036b878edf239d3abe,b717cb899352eda2f0b6fb277268f79156151101528a1a4efe53917b7ad313be,online_raw/rgb/front/000052.jpg,2350000000
L2RAR2_R22_CANON_00_890000__T11_transport_strong_phase_40ms_rgb_dropout,53,2.399999999999993,observation,observe,240,periodic,False,0.0,False,,,,36508b00a3a3feaa73491866089370ef2d2f29aa24deb91c182792036282eb90,5f010bb2ea1782592c2c4b2484602838aa800e24ad1e4c644627ee067ce4f5f0,online_raw/rgb/front/000053.jpg,2400000000
