episode_id,n_steps,path,rollout_seed,root_family_id,scenario_for_analysis_only,success,terminal_reason
u4b_u4r1_confirm_008_9110080,27,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_008_9110080.json,9110080,u4r1_confirm_008,slip_recovery,True,stable_success
u4b_u4r1_confirm_008_9110081,29,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_008_9110081.json,9110081,u4r1_confirm_008,slip_recovery,True,stable_success
u4b_u4r1_confirm_008_9110082,27,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_008_9110082.json,9110082,u4r1_confirm_008,slip_recovery,True,stable_success
u4b_u4r1_confirm_008_9110083,25,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_008_9110083.json,9110083,u4r1_confirm_008,slip_recovery,True,stable_success
u4b_u4r1_confirm_009_9110090,25,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_009_9110090.json,9110090,u4r1_confirm_009,obstacle_detour,True,stable_success
u4b_u4r1_confirm_009_9110091,26,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_009_9110091.json,9110091,u4r1_confirm_009,obstacle_detour,True,stable_success
u4b_u4r1_confirm_009_9110092,24,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_009_9110092.json,9110092,u4r1_confirm_009,obstacle_detour,True,stable_success
u4b_u4r1_confirm_009_9110093,27,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_009_9110093.json,9110093,u4r1_confirm_009,obstacle_detour,True,stable_success
u4b_u4r1_confirm_010_9110100,8,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_010_9110100.json,9110100,u4r1_confirm_010,terminal_collision,False,terminal_collision
u4b_u4r1_confirm_010_9110101,8,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_010_9110101.json,9110101,u4r1_confirm_010,terminal_collision,False,terminal_collision
u4b_u4r1_confirm_010_9110102,8,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_010_9110102.json,9110102,u4r1_confirm_010,terminal_collision,False,terminal_collision
u4b_u4r1_confirm_010_9110103,8,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_010_9110103.json,9110103,u4r1_confirm_010,terminal_collision,False,terminal_collision
u4b_u4r1_confirm_011_9110110,31,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_011_9110110.json,9110110,u4r1_confirm_011,stagnation,True,stable_success
u4b_u4r1_confirm_011_9110111,30,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_011_9110111.json,9110111,u4r1_confirm_011,stagnation,True,stable_success
u4b_u4r1_confirm_011_9110112,29,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_011_9110112.json,9110112,u4r1_confirm_011,stagnation,True,stable_success
u4b_u4r1_confirm_011_9110113,28,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_011_9110113.json,9110113,u4r1_confirm_011,stagnation,True,stable_success
u4b_u4r1_confirm_012_9110120,27,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_012_9110120.json,9110120,u4r1_confirm_012,nominal_success,True,stable_success
u4b_u4r1_confirm_012_9110121,31,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_012_9110121.json,9110121,u4r1_confirm_012,nominal_success,True,stable_success
u4b_u4r1_confirm_012_9110122,25,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_012_9110122.json,9110122,u4r1_confirm_012,nominal_success,True,stable_success
u4b_u4r1_confirm_012_9110123,22,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_012_9110123.json,9110123,u4r1_confirm_012,nominal_success,True,stable_success
u4b_u4r1_confirm_013_9110130,27,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_013_9110130.json,9110130,u4r1_confirm_013,grazing_contact,True,stable_success
u4b_u4r1_confirm_013_9110131,28,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_013_9110131.json,9110131,u4r1_confirm_013,grazing_contact,True,stable_success
u4b_u4r1_confirm_013_9110132,26,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_013_9110132.json,9110132,u4r1_confirm_013,grazing_contact,True,stable_success
u4b_u4r1_confirm_013_9110133,26,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_013_9110133.json,9110133,u4r1_confirm_013,grazing_contact,True,stable_success
u4b_u4r1_confirm_014_9110140,31,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_014_9110140.json,9110140,u4r1_confirm_014,slip_recovery,True,stable_success
u4b_u4r1_confirm_014_9110141,26,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_014_9110141.json,9110141,u4r1_confirm_014,slip_recovery,True,stable_success
u4b_u4r1_confirm_014_9110142,29,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_014_9110142.json,9110142,u4r1_confirm_014,slip_recovery,True,stable_success
u4b_u4r1_confirm_014_9110143,29,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_014_9110143.json,9110143,u4r1_confirm_014,slip_recovery,True,stable_success
u4b_u4r1_confirm_015_9110150,25,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_015_9110150.json,9110150,u4r1_confirm_015,obstacle_detour,True,stable_success
u4b_u4r1_confirm_015_9110151,26,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_015_9110151.json,9110151,u4r1_confirm_015,obstacle_detour,True,stable_success
u4b_u4r1_confirm_015_9110152,27,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_015_9110152.json,9110152,u4r1_confirm_015,obstacle_detour,True,stable_success
u4b_u4r1_confirm_015_9110153,26,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_015_9110153.json,9110153,u4r1_confirm_015,obstacle_detour,True,stable_success
u4b_u4r1_confirm_016_9110160,7,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_016_9110160.json,9110160,u4r1_confirm_016,terminal_collision,False,terminal_collision
u4b_u4r1_confirm_016_9110161,7,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_016_9110161.json,9110161,u4r1_confirm_016,terminal_collision,False,terminal_collision
u4b_u4r1_confirm_016_9110162,7,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_016_9110162.json,9110162,u4r1_confirm_016,terminal_collision,False,terminal_collision
u4b_u4r1_confirm_016_9110163,7,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_016_9110163.json,9110163,u4r1_confirm_016,terminal_collision,False,terminal_collision
u4b_u4r1_confirm_017_9110170,34,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_017_9110170.json,9110170,u4r1_confirm_017,stagnation,True,stable_success
u4b_u4r1_confirm_017_9110171,34,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_017_9110171.json,9110171,u4r1_confirm_017,stagnation,True,stable_success
u4b_u4r1_confirm_017_9110172,32,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_017_9110172.json,9110172,u4r1_confirm_017,stagnation,True,stable_success
u4b_u4r1_confirm_017_9110173,28,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_017_9110173.json,9110173,u4r1_confirm_017,stagnation,True,stable_success
u4b_u4r1_confirm_018_9110180,23,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_018_9110180.json,9110180,u4r1_confirm_018,nominal_success,True,stable_success
u4b_u4r1_confirm_018_9110181,26,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_018_9110181.json,9110181,u4r1_confirm_018,nominal_success,True,stable_success
u4b_u4r1_confirm_018_9110182,26,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_018_9110182.json,9110182,u4r1_confirm_018,nominal_success,True,stable_success
u4b_u4r1_confirm_018_9110183,24,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_018_9110183.json,9110183,u4r1_confirm_018,nominal_success,True,stable_success
u4b_u4r1_confirm_019_9110190,23,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_019_9110190.json,9110190,u4r1_confirm_019,grazing_contact,True,stable_success
u4b_u4r1_confirm_019_9110191,25,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_019_9110191.json,9110191,u4r1_confirm_019,grazing_contact,True,stable_success
u4b_u4r1_confirm_019_9110192,26,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_019_9110192.json,9110192,u4r1_confirm_019,grazing_contact,True,stable_success
u4b_u4r1_confirm_019_9110193,25,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_019_9110193.json,9110193,u4r1_confirm_019,grazing_contact,True,stable_success
u4b_u4r1_confirm_020_9110200,27,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_020_9110200.json,9110200,u4r1_confirm_020,slip_recovery,True,stable_success
u4b_u4r1_confirm_020_9110201,26,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_020_9110201.json,9110201,u4r1_confirm_020,slip_recovery,True,stable_success
u4b_u4r1_confirm_020_9110202,25,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_020_9110202.json,9110202,u4r1_confirm_020,slip_recovery,True,stable_success
u4b_u4r1_confirm_020_9110203,26,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_020_9110203.json,9110203,u4r1_confirm_020,slip_recovery,True,stable_success
u4b_u4r1_confirm_021_9110210,25,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_021_9110210.json,9110210,u4r1_confirm_021,obstacle_detour,True,stable_success
u4b_u4r1_confirm_021_9110211,24,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_021_9110211.json,9110211,u4r1_confirm_021,obstacle_detour,True,stable_success
u4b_u4r1_confirm_021_9110212,25,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_021_9110212.json,9110212,u4r1_confirm_021,obstacle_detour,True,stable_success
u4b_u4r1_confirm_021_9110213,23,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_021_9110213.json,9110213,u4r1_confirm_021,obstacle_detour,True,stable_success
u4b_u4r1_confirm_022_9110220,8,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_022_9110220.json,9110220,u4r1_confirm_022,terminal_collision,False,terminal_collision
u4b_u4r1_confirm_022_9110221,8,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_022_9110221.json,9110221,u4r1_confirm_022,terminal_collision,False,terminal_collision
u4b_u4r1_confirm_022_9110222,8,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_022_9110222.json,9110222,u4r1_confirm_022,terminal_collision,False,terminal_collision
u4b_u4r1_confirm_022_9110223,7,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_022_9110223.json,9110223,u4r1_confirm_022,terminal_collision,False,terminal_collision
u4b_u4r1_confirm_023_9110230,30,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_023_9110230.json,9110230,u4r1_confirm_023,stagnation,True,stable_success
u4b_u4r1_confirm_023_9110231,33,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_023_9110231.json,9110231,u4r1_confirm_023,stagnation,True,stable_success
u4b_u4r1_confirm_023_9110232,30,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_023_9110232.json,9110232,u4r1_confirm_023,stagnation,True,stable_success
u4b_u4r1_confirm_023_9110233,32,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_023_9110233.json,9110233,u4r1_confirm_023,stagnation,True,stable_success
u4b_u4r1_confirm_024_9110240,28,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_024_9110240.json,9110240,u4r1_confirm_024,nominal_success,True,stable_success
u4b_u4r1_confirm_024_9110241,25,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_024_9110241.json,9110241,u4r1_confirm_024,nominal_success,True,stable_success
u4b_u4r1_confirm_024_9110242,26,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_024_9110242.json,9110242,u4r1_confirm_024,nominal_success,True,stable_success
u4b_u4r1_confirm_024_9110243,28,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_024_9110243.json,9110243,u4r1_confirm_024,nominal_success,True,stable_success
u4b_u4r1_confirm_025_9110250,28,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_025_9110250.json,9110250,u4r1_confirm_025,grazing_contact,True,stable_success
u4b_u4r1_confirm_025_9110251,24,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_025_9110251.json,9110251,u4r1_confirm_025,grazing_contact,True,stable_success
u4b_u4r1_confirm_025_9110252,29,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_025_9110252.json,9110252,u4r1_confirm_025,grazing_contact,True,stable_success
u4b_u4r1_confirm_025_9110253,48,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_025_9110253.json,9110253,u4r1_confirm_025,grazing_contact,False,horizon
u4b_u4r1_confirm_026_9110260,27,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_026_9110260.json,9110260,u4r1_confirm_026,slip_recovery,True,stable_success
u4b_u4r1_confirm_026_9110261,27,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_026_9110261.json,9110261,u4r1_confirm_026,slip_recovery,True,stable_success
u4b_u4r1_confirm_026_9110262,21,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_026_9110262.json,9110262,u4r1_confirm_026,slip_recovery,True,stable_success
u4b_u4r1_confirm_026_9110263,30,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_026_9110263.json,9110263,u4r1_confirm_026,slip_recovery,True,stable_success
u4b_u4r1_confirm_027_9110270,27,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_027_9110270.json,9110270,u4r1_confirm_027,obstacle_detour,True,stable_success
u4b_u4r1_confirm_027_9110271,27,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_027_9110271.json,9110271,u4r1_confirm_027,obstacle_detour,True,stable_success
u4b_u4r1_confirm_027_9110272,24,artifacts/pathgraph_sarm/upgrade_v2/u4_conditional_semantics_v1/fresh_confirmation_v1/rollouts/u4b_u4r1_confirm_027_9110272.json,9110272,u4r1_confirm_027,obstacle_detour,True,stable_success
