rollout_id,status,rows,errors,output_sha256
L2RAR2_RGB_CONF_01_882001__C10_brief_hold_strong_loss,PASS,44,0,5bc692c9550df8948325aaabefbae5bb3825b5a9c9d1e503b75e4ecc916597c0
L2RAR2_RGB_CONF_01_882001__C11_transport_strong_loss,PASS,62,0,549dedeb681e1fbe7ccff65c73886a98e7ca75264c7b098aaa9124bfb13e4368
L2RAR2_RGB_CONF_01_882001__C12_commanded_release,PASS,58,0,f4cb8fc178ac02bc57db9a5a5ab57db70d13ac8357285908aa7a27c7795c8052
L2RAR2_RGB_CONF_01_882001__C1_hold_request_ends_without_hold,PASS,24,0,3a21f0224211ae93537eeecff49cfb0e07913c942569e4e9d19c5ca5f8b7642d
L2RAR2_RGB_CONF_01_882001__C2_touch_request_completes_without_hold,PASS,21,0,9e5188ab06f339e657eec797361da01b8f3af448c4bc07c924988d983abc4f22
L2RAR2_RGB_CONF_01_882001__C3_stable_hold_clean,PASS,47,0,46ee80fae44b3885ff216a3d500fe8b0a1f8a1c89ec25e3f6ae10e8fc40428b0
L2RAR2_RGB_CONF_01_882001__C4_stable_hold_camera_jitter,PASS,47,0,22d11a75c263fe2496279411f9557c5be989be558cd15a237a9235b5c3e1a9e5
L2RAR2_RGB_CONF_01_882001__C5_weld_off_no_force_outcome_control,PASS,47,0,f5019043a5e075af3ccd940af8c7bd00d0d4a2d170bb4a9ea0d762761f8972a1
L2RAR2_RGB_CONF_01_882001__C6_weak_intervention_outcome,PASS,52,0,734f6c5bc2c1b5e3c20866bb036c65fa71f470586d2fc2c7b5d64354c53c6cf0
L2RAR2_RGB_CONF_01_882001__C7_medium_intervention_outcome,PASS,52,0,b0134686add9fcbdc19b82d8380836408d8716d23c619301df32984e407cbefd
L2RAR2_RGB_CONF_01_882001__C8_strong_loss_clean,PASS,52,0,8927796e8fbf00cdad19ab96c6aa85120fb17c59fb843323050ea5b75816a627
L2RAR2_RGB_CONF_01_882001__C9_strong_loss_frame_dropout,PASS,52,0,5c3417c22e1fc189b8653d525d4d837a1c7dd03d44004494b006877045db3b0a
L2RAR2_RGB_CONF_02_882002__C10_brief_hold_strong_loss,PASS,44,0,e11d6f0dc2b1977be0a6c9eb8d6aed688ca464c45bde22f51170dc4f4ef53969
L2RAR2_RGB_CONF_02_882002__C11_transport_strong_loss,PASS,62,0,44e54f8404aaa1892b463947ff14ab669d3a7e9644006f518aea39599e0fd5b1
L2RAR2_RGB_CONF_02_882002__C12_commanded_release,PASS,58,0,d1661aea706fb5d7b921261e59fd5a0eaba35e4fa0a0e3a1eb1dd3c56511c80c
L2RAR2_RGB_CONF_02_882002__C1_hold_request_ends_without_hold,PASS,24,0,9517189e4f6a2cbc63256cf3b34e69eb66f0d54bf7e5610fb5626f6cf091251a
L2RAR2_RGB_CONF_02_882002__C2_touch_request_completes_without_hold,PASS,21,0,0a1a60fce07a64bc44813a5c675874bd213e5f09b4bdc9cd874fd1a5a04626ab
L2RAR2_RGB_CONF_02_882002__C3_stable_hold_clean,PASS,47,0,38dffe8d1a30f7a9e0af62bfc0a601ef040b156e8339eed8e81cdcd11e88fce0
L2RAR2_RGB_CONF_02_882002__C4_stable_hold_camera_jitter,PASS,47,0,b8a811ff7b1ecac2547e0c7e48f922bfcc6a05eb11432390fcf0296df77e461c
L2RAR2_RGB_CONF_02_882002__C5_weld_off_no_force_outcome_control,PASS,47,0,1ba5073ff0ababc78c7db5181ff5ad430e32ad28d49c1ffd004b49a56fcc1992
L2RAR2_RGB_CONF_02_882002__C6_weak_intervention_outcome,PASS,52,0,58c3b0f2b1318f33a0d8ac9a8874dfcd02c3e3a2eaef56fc92c6e761f4291eb3
L2RAR2_RGB_CONF_02_882002__C7_medium_intervention_outcome,PASS,52,0,df3cc0a528e48e6866ac87b002792065fba4ea920f898b566a7cb9f2ddb2b40d
L2RAR2_RGB_CONF_02_882002__C8_strong_loss_clean,PASS,52,0,a5a1f7990fd41999506a64ceb30a39cc7b1c621523825c759759b4c49cd633fd
L2RAR2_RGB_CONF_02_882002__C9_strong_loss_frame_dropout,PASS,52,0,dbaf61e1bd253e5c41c1f847bf99eca7d277ce6b233521614c4644d2bdfcdc55
L2RAR2_RGB_CONF_03_882003__C10_brief_hold_strong_loss,PASS,44,0,e2c4e67dc412ff0653a2990b40bb219636f5937d9286e734770be007c30bc100
L2RAR2_RGB_CONF_03_882003__C11_transport_strong_loss,PASS,62,0,4264d3577ea9be93149be394160e760972774ffc9fb83e1bbeec41d0009daef7
L2RAR2_RGB_CONF_03_882003__C12_commanded_release,PASS,58,0,11f6f9165d95c0fe1963f3dc31c4d4c1d3849fef61ed7b38d8d54143a67c580f
L2RAR2_RGB_CONF_03_882003__C1_hold_request_ends_without_hold,PASS,24,0,b3d50a9e5244eb82fc3709beea49a34914bf48eb4ee1260d4b3bcb50c2916d0d
L2RAR2_RGB_CONF_03_882003__C2_touch_request_completes_without_hold,PASS,21,0,dd1565a0708b3f7863668df90579bbed24b02d40d41a86a454fbb0ef3be5d7d9
L2RAR2_RGB_CONF_03_882003__C3_stable_hold_clean,PASS,47,0,b39c2f3c0f1bd5f733b48f70308f6a91962505c4731ab009f5a52ebc86de3484
L2RAR2_RGB_CONF_03_882003__C4_stable_hold_camera_jitter,PASS,47,0,d23734379b71326565ec09ed386435d5fafefa326af0f37a25179be1f222e8fb
L2RAR2_RGB_CONF_03_882003__C5_weld_off_no_force_outcome_control,PASS,47,0,791e8e98f3298cf77e3a6ad2dc49a5becc875e858e96edbd598bfe4cfff4d8c9
L2RAR2_RGB_CONF_03_882003__C6_weak_intervention_outcome,PASS,52,0,785dc92b1d4b7c0877813dda9eb0bcd2948d7ba00e6d72c574a0ab27158644e6
L2RAR2_RGB_CONF_03_882003__C7_medium_intervention_outcome,PASS,52,0,09f3831b8d7e5eef5268cfc19a10ad6d9233a0859fe6c0184078dc844ee34584
L2RAR2_RGB_CONF_03_882003__C8_strong_loss_clean,PASS,52,0,7d62766d0206128bf618c3bd5a5c4cda8dcbc462429c7e2fe7d9babedeae86e9
L2RAR2_RGB_CONF_03_882003__C9_strong_loss_frame_dropout,PASS,52,0,5acbf1eff307704ba0ef73e2356d1de1109cf38efb97eb09ef42e1e034c20942
L2RAR2_RGB_CONF_04_882004__C10_brief_hold_strong_loss,PASS,44,0,ba28f148437a815f640e259bda2fc57589652ec51775d8f830f8bbb268dfa580
L2RAR2_RGB_CONF_04_882004__C11_transport_strong_loss,PASS,62,0,c3e4aae278a7df4ff62739bf4980743471c9b185a1696ddf4d92a695301997bd
L2RAR2_RGB_CONF_04_882004__C12_commanded_release,PASS,58,0,00b8afa27b7cfd6bf2b00ef0d3a510c4e57bbe119d7da1c4131c106ee5d6f96c
L2RAR2_RGB_CONF_04_882004__C1_hold_request_ends_without_hold,PASS,24,0,355840ea65d71e870252446b054c0cb2b0109577a730911f0f49b0534c3e3a33
L2RAR2_RGB_CONF_04_882004__C2_touch_request_completes_without_hold,PASS,21,0,2fc10dd0056462f5482c14e26fae1115f2d794447056d8204f10dd3d43acc29e
L2RAR2_RGB_CONF_04_882004__C3_stable_hold_clean,PASS,47,0,dbeeb167d1dbcae1c8bc5afaddcfba380576d49162107000659b696efa4ccf9e
L2RAR2_RGB_CONF_04_882004__C4_stable_hold_camera_jitter,PASS,47,0,9446d4624d923b4acc28cf8d6ef02eb6fdbf6c703f8df58a497ec92fa84db1a4
L2RAR2_RGB_CONF_04_882004__C5_weld_off_no_force_outcome_control,PASS,47,0,7d5a733b8c2c9a0333a98a288e7f6e5b78f44b2f47c1106054cffab5347680a7
L2RAR2_RGB_CONF_04_882004__C6_weak_intervention_outcome,PASS,52,0,e14d27bb5ed22824a1bebb8aa8cd1ff721d4f44c954698595923ee16361c3568
L2RAR2_RGB_CONF_04_882004__C7_medium_intervention_outcome,PASS,52,0,9dc86c89d1d09806b59cde9ef33c934d2a1095ff08cb067f51b4a8fca151ff8d
L2RAR2_RGB_CONF_04_882004__C8_strong_loss_clean,PASS,52,0,1583c1c2cd4d104f8a56b2510da569de5c6bc20caa6351187fa5e9dc98152f39
L2RAR2_RGB_CONF_04_882004__C9_strong_loss_frame_dropout,PASS,52,0,a2856046c92b5dff8c95751135ada542b20c4d4e94667ee5c7e20bf16ddb26b4
L2RAR2_RGB_CONF_05_882005__C10_brief_hold_strong_loss,PASS,44,0,10b2dacdfc004bf27cc9c5298e97509140c56fcbe5815098df061efb7d97bb80
L2RAR2_RGB_CONF_05_882005__C11_transport_strong_loss,PASS,62,0,20e2f3b32caf4154fd964df1a2c192f707927fc512024654a5c77a46fbc443bd
L2RAR2_RGB_CONF_05_882005__C12_commanded_release,PASS,58,0,98ee7341c83de08ff960a438ad673df5653cbd3b11937a8a3b3ddc740ed986f8
L2RAR2_RGB_CONF_05_882005__C1_hold_request_ends_without_hold,PASS,24,0,99f9207d18330e42f36c901d386a6a3cbc0f0f8def3237bed6f51581b76cc0e3
L2RAR2_RGB_CONF_05_882005__C2_touch_request_completes_without_hold,PASS,21,0,84e3a989312f98f40d29ee498af092e9dbcd2ff2e6646bfc8dda89e8ee8dbe27
L2RAR2_RGB_CONF_05_882005__C3_stable_hold_clean,PASS,47,0,f3029e61a6c81137cec747c134bc6338910278a2ae8e63ec82e74fb29aace52a
L2RAR2_RGB_CONF_05_882005__C4_stable_hold_camera_jitter,PASS,47,0,8e6b7962a12066eba6e72ab7ef24ca0cad44cd62788fd533d6cbe66dbe807c55
L2RAR2_RGB_CONF_05_882005__C5_weld_off_no_force_outcome_control,PASS,47,0,16244b552b593bb41d389257f20ee90bbba7835221152bf91988716c6ae2976e
L2RAR2_RGB_CONF_05_882005__C6_weak_intervention_outcome,PASS,52,0,45cda5786d55b38707354395c4b04fa10e7a786863a105082d150e40fb26f51a
L2RAR2_RGB_CONF_05_882005__C7_medium_intervention_outcome,PASS,52,0,2dbbf174ba0918a1319c013cc6171d4c521511987b8dace0417940342fbc087b
L2RAR2_RGB_CONF_05_882005__C8_strong_loss_clean,PASS,52,0,30ac00645af0a054f22995c364ebb4cb8611e898932221911314930c9c0157f4
L2RAR2_RGB_CONF_05_882005__C9_strong_loss_frame_dropout,PASS,52,0,2676c81674e2a096f31ea951d16d0dbe8d3bde8e1ff9882fcbb6b5b8f0b484c1
