rollout_id,capture_order,time,phase,action,physics_step_index,action_end,camera_jitter_deg,frame_missing,frame_missing_reason,raw_rgb_sha256,jpeg_sha256,jpeg_path
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,26,1.1000000000000008,observation,observe,110,False,0.0,False,,24979d225a8fbef1aa145378a6e83593c35136748e5821837bfa8984b7b3cf3f,c91e1084869905b346e0c3f0868175c45be64b7827d58fdd7afb9b70659a1772,online_raw/rgb/front/000026.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,27,1.1500000000000008,observation,observe,115,False,0.0,False,,24979d225a8fbef1aa145378a6e83593c35136748e5821837bfa8984b7b3cf3f,c91e1084869905b346e0c3f0868175c45be64b7827d58fdd7afb9b70659a1772,online_raw/rgb/front/000027.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,28,1.2000000000000008,observation,observe,120,False,0.0,False,,24979d225a8fbef1aa145378a6e83593c35136748e5821837bfa8984b7b3cf3f,c91e1084869905b346e0c3f0868175c45be64b7827d58fdd7afb9b70659a1772,online_raw/rgb/front/000028.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,29,1.2500000000000009,observation,observe,125,False,0.0,False,,24979d225a8fbef1aa145378a6e83593c35136748e5821837bfa8984b7b3cf3f,c91e1084869905b346e0c3f0868175c45be64b7827d58fdd7afb9b70659a1772,online_raw/rgb/front/000029.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,30,1.300000000000001,observation,observe,130,False,0.0,False,,24979d225a8fbef1aa145378a6e83593c35136748e5821837bfa8984b7b3cf3f,c91e1084869905b346e0c3f0868175c45be64b7827d58fdd7afb9b70659a1772,online_raw/rgb/front/000030.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,31,1.350000000000001,observation,observe,135,False,0.0,False,,24979d225a8fbef1aa145378a6e83593c35136748e5821837bfa8984b7b3cf3f,c91e1084869905b346e0c3f0868175c45be64b7827d58fdd7afb9b70659a1772,online_raw/rgb/front/000031.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,32,1.400000000000001,observation,observe,140,False,0.0,False,,24979d225a8fbef1aa145378a6e83593c35136748e5821837bfa8984b7b3cf3f,c91e1084869905b346e0c3f0868175c45be64b7827d58fdd7afb9b70659a1772,online_raw/rgb/front/000032.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,33,1.450000000000001,observation,observe,145,False,0.0,False,,24979d225a8fbef1aa145378a6e83593c35136748e5821837bfa8984b7b3cf3f,c91e1084869905b346e0c3f0868175c45be64b7827d58fdd7afb9b70659a1772,online_raw/rgb/front/000033.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,34,1.500000000000001,observation,observe,150,False,0.0,False,,24979d225a8fbef1aa145378a6e83593c35136748e5821837bfa8984b7b3cf3f,c91e1084869905b346e0c3f0868175c45be64b7827d58fdd7afb9b70659a1772,online_raw/rgb/front/000034.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,35,1.5500000000000012,observation,observe,155,False,0.0,False,,24979d225a8fbef1aa145378a6e83593c35136748e5821837bfa8984b7b3cf3f,c91e1084869905b346e0c3f0868175c45be64b7827d58fdd7afb9b70659a1772,online_raw/rgb/front/000035.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,36,1.6000000000000012,observation,observe,160,False,0.0,False,,24979d225a8fbef1aa145378a6e83593c35136748e5821837bfa8984b7b3cf3f,c91e1084869905b346e0c3f0868175c45be64b7827d58fdd7afb9b70659a1772,online_raw/rgb/front/000036.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,37,1.6500000000000012,observation,observe,165,False,0.0,False,,24979d225a8fbef1aa145378a6e83593c35136748e5821837bfa8984b7b3cf3f,c91e1084869905b346e0c3f0868175c45be64b7827d58fdd7afb9b70659a1772,online_raw/rgb/front/000037.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,38,1.7000000000000013,observation,observe,170,False,0.0,False,,24979d225a8fbef1aa145378a6e83593c35136748e5821837bfa8984b7b3cf3f,c91e1084869905b346e0c3f0868175c45be64b7827d58fdd7afb9b70659a1772,online_raw/rgb/front/000038.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,39,1.7500000000000013,observation,observe,175,False,0.0,False,,24979d225a8fbef1aa145378a6e83593c35136748e5821837bfa8984b7b3cf3f,c91e1084869905b346e0c3f0868175c45be64b7827d58fdd7afb9b70659a1772,online_raw/rgb/front/000039.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,40,1.8000000000000014,observation,observe,180,False,0.0,False,,24979d225a8fbef1aa145378a6e83593c35136748e5821837bfa8984b7b3cf3f,c91e1084869905b346e0c3f0868175c45be64b7827d58fdd7afb9b70659a1772,online_raw/rgb/front/000040.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,41,1.8500000000000014,observation,observe,185,False,0.0,False,,24979d225a8fbef1aa145378a6e83593c35136748e5821837bfa8984b7b3cf3f,c91e1084869905b346e0c3f0868175c45be64b7827d58fdd7afb9b70659a1772,online_raw/rgb/front/000041.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,42,1.9000000000000015,observation,observe,190,False,0.0,False,,24979d225a8fbef1aa145378a6e83593c35136748e5821837bfa8984b7b3cf3f,c91e1084869905b346e0c3f0868175c45be64b7827d58fdd7afb9b70659a1772,online_raw/rgb/front/000042.jpg
L2RAR2_RGB_CONF_00_882000__C10_brief_hold_strong_loss,43,1.9000000000000015,observation,observe,190,True,0.0,False,,24979d225a8fbef1aa145378a6e83593c35136748e5821837bfa8984b7b3cf3f,c91e1084869905b346e0c3f0868175c45be64b7827d58fdd7afb9b70659a1772,online_raw/rgb/front/000043.jpg
L2RAR2_RGB_CONF_00_882000__C11_transport_strong_loss,0,0.0,initial,,0,True,0.0,False,,738d6b5bb2db829a82a9256c54bc2c1250223c8d01d72790f9d828c5781c0f4c,03e689bb4d5780037586783d108a3a146a22b4b423dc22188d90474bdd78080d,online_raw/rgb/front/000000.jpg
L2RAR2_RGB_CONF_00_882000__C11_transport_strong_loss,1,0.05,approach_object,approach_object,5,False,0.0,False,,584ced592460ba34b283d178bfe2641692ee86b33202f1f10636a0978a69ccfc,4b3c4511a1cf1b4e11be67425f0a156bc1c4b6d199ebd559d30e403b03eea022,online_raw/rgb/front/000001.jpg
L2RAR2_RGB_CONF_00_882000__C11_transport_strong_loss,2,0.09999999999999999,approach_object,approach_object,10,False,0.0,False,,e2aa11bf3d552871e035cad86566bcc5b89ef2802158265f4c0c6e05f81dd8e9,ec5a8b61a70afbcead377cab732b9847681485067f49c7ed26418317a8509dd5,online_raw/rgb/front/000002.jpg
L2RAR2_RGB_CONF_00_882000__C11_transport_strong_loss,3,0.15,approach_object,approach_object,15,False,0.0,False,,126eed0decb2db1e5caa391042bfc863c35ce3d94aafc33e4ff6e1c2caf07965,9c8f81f4bd0c964e0b592ce4c7026ef796d4d7d766cff23e1c5cf88cc4caa425,online_raw/rgb/front/000003.jpg
L2RAR2_RGB_CONF_00_882000__C11_transport_strong_loss,4,0.20000000000000004,approach_object,approach_object,20,False,0.0,False,,1ba860be6e603c125f3f069119f8f8a2ac612238585dc55c01f725440e85bdaf,7388ee7ee6dd89ea0695569de4f9206e826a05e99f376d877aa504471e9179de,online_raw/rgb/front/000004.jpg
L2RAR2_RGB_CONF_00_882000__C11_transport_strong_loss,5,0.20000000000000004,approach_object,approach_object,20,True,0.0,False,,1ba860be6e603c125f3f069119f8f8a2ac612238585dc55c01f725440e85bdaf,7388ee7ee6dd89ea0695569de4f9206e826a05e99f376d877aa504471e9179de,online_raw/rgb/front/000005.jpg
L2RAR2_RGB_CONF_00_882000__C11_transport_strong_loss,6,0.25000000000000006,close_gripper,close_gripper,25,False,0.0,False,,e6a868f47d37b9a9d90b53ae299cb0d8e80f7b55ff6078982fd7647fd2c37d07,1785682dbe146a00aa60db361641f2139d27774092811ccf9bbb85020fc85022,online_raw/rgb/front/000006.jpg
L2RAR2_RGB_CONF_00_882000__C11_transport_strong_loss,7,0.3000000000000001,close_gripper,close_gripper,30,False,0.0,False,,fd59e0435d4c8f2bc85dfa23246bfe26ec5eca1a1b65d2e0bf70f69917561895,3ec3755c50871e426fb331204a618939d445691b2ada56b7631b3e0544e04143,online_raw/rgb/front/000007.jpg
