key,method,clusters,seed,selection_split,silhouette,transition_entropy,support_balance,next_event_accuracy,selection_score,test_used_for_selection
history_embedding_kmeans_k5_s633,history_embedding_kmeans,5,633,val,0.4786991675714614,0.3804414624325344,0.28891820580474936,0.871244635193133,0.42528385906157606,False
history_embedding_kmeans_k7_s631,history_embedding_kmeans,7,631,val,0.5970677728831463,0.3455067330973088,0.21553090332805072,0.871244635193133,0.46636108654004094,False
history_embedding_kmeans_k7_s632,history_embedding_kmeans,7,632,val,0.5970677728831463,0.3447302217375917,0.2138364779874214,0.871244635193133,0.46634694627792145,False
history_embedding_kmeans_k7_s633,history_embedding_kmeans,7,633,val,0.5969725204927999,0.4019784627850773,0.21473354231974923,0.871244635193133,0.454953666165036,False
history_embedding_kmeans_k9_s631,history_embedding_kmeans,9,631,val,0.6308328640526826,0.4071195488687367,0.2825112107623318,0.871244635193133,0.47255433603852126,False
history_embedding_kmeans_k9_s632,history_embedding_kmeans,9,632,val,0.6332985932514223,0.3695380703706712,0.30493273542600896,0.871244635193133,0.4831757894240609,False
history_embedding_kmeans_k9_s633,history_embedding_kmeans,9,633,val,0.6332985932514223,0.3695380703706712,0.30493273542600896,0.871244635193133,0.4831757894240609,False
history_embedding_kmeans_k11_s631,history_embedding_kmeans,11,631,val,0.6680606293611617,0.2869038758034475,0.18834080717488788,0.8626609442060086,0.49720585630530884,False
history_embedding_kmeans_k11_s632,history_embedding_kmeans,11,632,val,0.6561246411178864,0.3222568232526356,0.2048780487804878,0.8626609442060086,0.4876113950908848,False
history_embedding_kmeans_k11_s633,history_embedding_kmeans,11,633,val,0.6680606293611617,0.2869181332327361,0.18834080717488788,0.8626609442060086,0.4972030048194511,False
history_plus_event_posterior_kmeans_k5_s631,history_plus_event_posterior_kmeans,5,631,val,0.478236098264055,0.3804414624325344,0.28891820580474936,0.871244635193133,0.4251217848039838,False
history_plus_event_posterior_kmeans_k5_s632,history_plus_event_posterior_kmeans,5,632,val,0.478236098264055,0.3804414624325344,0.28891820580474936,0.871244635193133,0.4251217848039838,False
history_plus_event_posterior_kmeans_k5_s633,history_plus_event_posterior_kmeans,5,633,val,0.478236098264055,0.3804414624325344,0.28891820580474936,0.871244635193133,0.4251217848039838,False
history_plus_event_posterior_kmeans_k7_s631,history_plus_event_posterior_kmeans,7,631,val,0.5966321141611555,0.40315183694848195,0.21316614420062696,0.871244635193133,0.45444310930436727,False
history_plus_event_posterior_kmeans_k7_s632,history_plus_event_posterior_kmeans,7,632,val,0.5965751966904259,0.3457253737602343,0.21656050955414013,0.871244635193133,0.46624791736261273,False
history_plus_event_posterior_kmeans_k7_s633,history_plus_event_posterior_kmeans,7,633,val,0.5965751966904259,0.34471962447731613,0.21815286624203822,0.871244635193133,0.4666083028879862,False
history_plus_event_posterior_kmeans_k9_s631,history_plus_event_posterior_kmeans,9,631,val,0.6301443271803167,0.4071195488687367,0.2825112107623318,0.871244635193133,0.47231334813319314,False
history_plus_event_posterior_kmeans_k9_s632,history_plus_event_posterior_kmeans,9,632,val,0.6301443271803167,0.4174153434263338,0.3071748878923767,0.871244635193133,0.47272055693467824,False
history_plus_event_posterior_kmeans_k9_s633,history_plus_event_posterior_kmeans,9,633,val,0.6327998142710475,0.3695380703706712,0.30493273542600896,0.871244635193133,0.4830012167809298,False
history_plus_event_posterior_kmeans_k11_s631,history_plus_event_posterior_kmeans,11,631,val,0.6673247364109142,0.2869038758034475,0.18834080717488788,0.8626609442060086,0.49694829377272215,False
history_plus_event_posterior_kmeans_k11_s632,history_plus_event_posterior_kmeans,11,632,val,0.6555443052548351,0.3222568232526356,0.2048780487804878,0.8626609442060086,0.4874082775388169,False
history_plus_event_posterior_kmeans_k11_s633,history_plus_event_posterior_kmeans,11,633,val,0.6673247364109142,0.2869038758034475,0.18834080717488788,0.8626609442060086,0.49694829377272215,False
