task_id,condition,method,policy_seed,n_rollouts,success_rate,completion_mean,recovery_success_rate,failed_rate,median_steps
transport_recovery,gripper_reopen,pathgraph_reward_v1_locked,20260910,50,1.0,1.0,1.0,0.0,9.0
transport_recovery,gripper_reopen,pathgraph_reward_v1_locked,20260911,50,1.0,1.0,1.0,0.0,10.0
transport_recovery,gripper_reopen,pathgraph_reward_v1_locked,20260912,50,1.0,1.0,1.0,0.0,10.0
transport_recovery,gripper_reopen,pathgraph_reward_v1_locked,20260913,50,1.0,1.0,1.0,0.0,9.0
transport_recovery,gripper_reopen,pathgraph_reward_v1_locked,20260914,50,0.0,0.0,0.0,0.0,22.0
transport_recovery,natural,linear_sarm_equiv,20260909,50,1.0,1.0,0.0,0.0,12.0
transport_recovery,natural,linear_sarm_equiv,20260910,50,1.0,1.0,0.0,0.0,12.0
transport_recovery,natural,linear_sarm_equiv,20260911,50,1.0,1.0,0.0,0.0,12.0
transport_recovery,natural,linear_sarm_equiv,20260912,50,1.0,1.0,0.0,0.0,12.0
transport_recovery,natural,linear_sarm_equiv,20260913,50,1.0,1.0,0.0,0.0,12.0
transport_recovery,natural,linear_sarm_equiv,20260914,50,1.0,1.0,0.0,0.0,10.0
transport_recovery,natural,pathgraph_reward_v1_locked,20260909,50,1.0,1.0,0.0,0.0,14.0
transport_recovery,natural,pathgraph_reward_v1_locked,20260910,50,1.0,1.0,0.0,0.0,12.0
transport_recovery,natural,pathgraph_reward_v1_locked,20260911,50,1.0,1.0,0.0,0.0,12.0
transport_recovery,natural,pathgraph_reward_v1_locked,20260912,50,1.0,1.0,0.0,0.0,12.0
transport_recovery,natural,pathgraph_reward_v1_locked,20260913,50,1.0,1.0,0.0,0.0,12.0
transport_recovery,natural,pathgraph_reward_v1_locked,20260914,50,1.0,1.0,0.0,0.0,10.0
