config_id,lambda,eta,beta,confidence,oracle_path_normalized_gap,oracle_positive_loop_rate,oracle_loop_return_mean,oracle_loop_return_p95,oracle_stagnation_positive_rate,oracle_terminal_hold_abs_mean,failure_negative_rate,recovery_positive_rate,recovery_cycle_nonpositive_rate,forward_positive_rate,recovery_positive_weight_coverage,success_return_auroc,success_return_spearman,success_minus_failure_return_margin,reward_nonzero_rate,reward_lcb_mean,uncertainty_penalty_mean,fixed_order_score_drop
cfg_015,0.0,0.05,1.5,0.7,0.0,0.0,-2.483333333333334,-2.483333333333334,0.0,0.15000000000000002,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.9999995832444629,9.16746758231946,0.992797118847539,-1.1656907153025224,0.021070061086584376,0.0
cfg_016,0.0,0.1,0.0,0.55,0.0,0.0,-4.9333333333333345,-4.9333333333333345,0.0,0.30000000000000004,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999999684841147,8.797624313003524,0.992797118847539,-1.2816450114039573,0.0,0.0
cfg_017,0.0,0.1,0.0,0.7,0.0,0.0,-4.9333333333333345,-4.9333333333333345,0.0,0.30000000000000004,1.0,0.25,1.0,0.23076923076923078,0.25,not_estimable,0.9999999662257821,8.827855460180189,0.992797118847539,-1.256577570513397,0.0,0.0
cfg_018,0.0,0.1,0.5,0.55,0.0,0.0,-4.9333333333333345,-4.9333333333333345,0.0,0.30000000000000004,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999998967806758,8.824689193679632,0.992797118847539,-1.2832135800313527,0.006959017854325968,0.0
cfg_019,0.0,0.1,0.5,0.7,0.0,0.0,-4.9333333333333345,-4.9333333333333345,0.0,0.30000000000000004,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.9999999210004756,8.84149455453084,0.992797118847539,-1.2586379599592121,0.007023353695528135,0.0
cfg_020,0.0,0.1,1.0,0.55,0.0,0.0,-4.9333333333333345,-4.9333333333333345,0.0,0.30000000000000004,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999997804319595,8.851754074355739,0.992797118847539,-1.2847821486587456,0.013918035708651936,0.0
cfg_021,0.0,0.1,1.0,0.7,0.0,0.0,-4.9333333333333345,-4.9333333333333345,0.0,0.30000000000000004,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.9999998278061184,8.855133648881434,0.992797118847539,-1.260698349405024,0.01404670739105627,0.0
cfg_022,0.0,0.1,1.5,0.55,0.0,0.0,-4.9333333333333345,-4.9333333333333345,0.0,0.30000000000000004,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999996202573063,8.878818955031875,0.992797118847539,-1.28635071728614,0.020877053562977886,0.0
cfg_023,0.0,0.1,1.5,0.7,0.0,0.0,-4.9333333333333345,-4.9333333333333345,0.0,0.30000000000000004,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.9999996870856759,8.868772743232057,0.992797118847539,-1.262758738850838,0.021070061086584387,0.0
cfg_024,0.0,0.2,0.0,0.55,0.0,0.0,-7.7,-7.7,0.0,0.6000000000000001,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999999666741598,8.197568961812436,0.992797118847539,-1.3328422759314122,0.0,0.0
cfg_025,0.0,0.2,0.0,0.7,0.0,0.0,-7.7,-7.7,0.0,0.6000000000000001,1.0,0.25,1.0,0.23076923076923078,0.25,not_estimable,0.9999999655904155,8.2278001089891,0.992797118847539,-1.3069344989063982,0.0,0.0
cfg_026,0.0,0.2,0.5,0.55,0.0,0.0,-7.7,-7.7,0.0,0.6000000000000001,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999998920116505,8.224797251720787,0.992797118847539,-1.33433335113204,0.006959017854325968,0.0
cfg_027,0.0,0.2,0.5,0.7,0.0,0.0,-7.7,-7.7,0.0,0.6000000000000001,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.9999999162709948,8.241602612571995,0.992797118847539,-1.308917394925446,0.007023353695528135,0.0
cfg_028,0.0,0.2,1.0,0.55,0.0,0.0,-7.7,-7.7,0.0,0.6000000000000001,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999997683025535,8.252025541629195,0.992797118847539,-1.335824426332667,0.013918035708651936,0.0
cfg_029,0.0,0.2,1.0,0.7,0.0,0.0,-7.7,-7.7,0.0,0.6000000000000001,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.9999998217592307,8.25540511615489,0.992797118847539,-1.3109002909444913,0.01404670739105627,0.0
cfg_030,0.0,0.2,1.5,0.55,0.0,0.0,-7.7,-7.7,0.0,0.6000000000000001,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999995965179849,8.27925383153763,0.992797118847539,-1.3373155015332951,0.020877053562977897,0.0
cfg_031,0.0,0.2,1.5,0.7,0.0,0.0,-7.7,-7.7,0.0,0.6000000000000001,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.9999996825082038,8.269207619737813,0.992797118847539,-1.3128831869635382,0.0210700610865844,0.0
cfg_032,0.25,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.6346153846153846,0.5,not_estimable,0.9940346305876319,0.02333229004094961,0.9795918367346939,0.014469695581617415,0.0,0.0
cfg_033,0.25,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,1.0,0.7115384615384616,0.75,not_estimable,0.9999479891425035,0.17724864174508337,0.8775510204081632,0.013151566711898788,0.0,0.0
cfg_034,0.25,0.0,0.5,0.55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3125,1.0,0.5,0.3125,not_estimable,-0.9998869731790022,-0.21651763196109497,0.9795918367346939,0.005411801796048316,0.009057893785569078,0.0
cfg_035,0.25,0.0,0.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3125,1.0,0.5,0.3125,not_estimable,-0.9996022991218535,-0.10754432162271538,0.8775510204081632,0.004393515246361435,0.008758051465537337,0.0
cfg_036,0.25,0.0,1.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.5,0.25,not_estimable,-0.9999041153102426,-0.45636755396314055,0.9795918367346939,-0.003646091989520764,0.018115787571138155,0.0
