method,rollout_id,root_family_id,case_id,event_id,reference_type,expected_action,selected_action,selected_time,window_start,window_end,correct,missed,false_emergency,premature_emergency,event_window_conflict,rollout_conflict,hold_evidence_before_event,hold_memory_at_last_closed_observation,delay_seconds,reference_status,request_source
M1_requested_effect_gate,L2RAR2_SELECT_06_820006:K2_touch_request_completes_without_hold,L2RAR2_SELECT_06_820006,K2_touch_request_completes_without_hold,L2RAR2_SELECT_06_820006:K2_touch_request_completes_without_hold:primary,touch_request_normal_completion,none,none,,0.7,0.7,True,False,False,False,False,False,False,false,,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_06_820006:K7_commanded_release,L2RAR2_SELECT_06_820006,K7_commanded_release,L2RAR2_SELECT_06_820006:K7_commanded_release:primary,commanded_release,none,none,,0.7,1.2,True,False,False,False,False,False,True,true,,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_06_820006:K7_commanded_release,L2RAR2_SELECT_06_820006,K7_commanded_release,L2RAR2_SELECT_06_820006:K7_commanded_release:primary,commanded_release,none,none,,0.7,1.2,True,False,False,False,False,False,True,true,,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_06_820006:K8_acquisition_touch_then_continue,L2RAR2_SELECT_06_820006,K8_acquisition_touch_then_continue,L2RAR2_SELECT_06_820006:K8_acquisition_touch_then_continue:primary,active_acquisition_transient_contact,none,none,,0.7,1.2,True,False,False,False,False,False,False,true,,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_06_820006:K8_acquisition_touch_then_continue,L2RAR2_SELECT_06_820006,K8_acquisition_touch_then_continue,L2RAR2_SELECT_06_820006:K8_acquisition_touch_then_continue:primary,active_acquisition_transient_contact,none,none,,0.7,1.2,True,False,False,False,False,False,False,true,,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_07_820007:K1_hold_request_ends_without_hold,L2RAR2_SELECT_07_820007,K1_hold_request_ends_without_hold,L2RAR2_SELECT_07_820007:K1_hold_request_ends_without_hold:primary,hold_request_normal_end_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,True,False,False,False,False,False,False,false,0.0,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_07_820007:K1_hold_request_ends_without_hold,L2RAR2_SELECT_07_820007,K1_hold_request_ends_without_hold,L2RAR2_SELECT_07_820007:K1_hold_request_ends_without_hold:primary,hold_request_normal_end_without_hold,retry_grasp,retry_grasp,0.45,0.45,0.45,True,False,False,False,False,False,False,false,0.0,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_07_820007:K2_touch_request_completes_without_hold,L2RAR2_SELECT_07_820007,K2_touch_request_completes_without_hold,L2RAR2_SELECT_07_820007:K2_touch_request_completes_without_hold:primary,touch_request_normal_completion,none,recover_object,0.8,0.8,0.8,False,False,True,True,False,False,True,false,,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_07_820007:K2_touch_request_completes_without_hold,L2RAR2_SELECT_07_820007,K2_touch_request_completes_without_hold,L2RAR2_SELECT_07_820007:K2_touch_request_completes_without_hold:primary,touch_request_normal_completion,none,recover_object,0.8,0.8,0.8,False,False,True,True,False,False,True,false,,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_07_820007:K7_commanded_release,L2RAR2_SELECT_07_820007,K7_commanded_release,L2RAR2_SELECT_07_820007:K7_commanded_release:primary,commanded_release,none,none,,0.65,1.15,True,False,False,False,False,False,True,true,,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_07_820007:K7_commanded_release,L2RAR2_SELECT_07_820007,K7_commanded_release,L2RAR2_SELECT_07_820007:K7_commanded_release:primary,commanded_release,none,none,,0.65,1.15,True,False,False,False,False,False,True,true,,reference_labeled,controller_dispatch_pre_action
D0_generic_attempt_end,L2RAR2_SELECT_07_820007:K8_acquisition_touch_then_continue,L2RAR2_SELECT_07_820007,K8_acquisition_touch_then_continue,L2RAR2_SELECT_07_820007:K8_acquisition_touch_then_continue:primary,active_acquisition_transient_contact,none,recover_object,0.8,0.8,1.3,False,False,True,True,False,False,True,true,,reference_labeled,controller_dispatch_pre_action
M1_requested_effect_gate,L2RAR2_SELECT_07_820007:K8_acquisition_touch_then_continue,L2RAR2_SELECT_07_820007,K8_acquisition_touch_then_continue,L2RAR2_SELECT_07_820007:K8_acquisition_touch_then_continue:primary,active_acquisition_transient_contact,none,recover_object,0.8,0.8,1.3,False,False,True,True,False,False,True,true,,reference_labeled,controller_dispatch_pre_action
