method,split,event_id,event,precision,recall,f1,mae,tp,fp,fn
budget30_entropy_x_event_importance_s642,val,2,transport_on,0.0,0.0,0.0,nan,0,0,108
budget30_entropy_x_event_importance_s642,val,3,contact_off_failure,1.0,1.0,1.0,0.0,25,0,0
budget30_entropy_x_event_importance_s642,val,4,recovery_start,1.0,1.0,1.0,0.0,25,0,0
budget30_entropy_x_event_importance_s642,val,5,contact_reestablished,0.92,1.0,0.9583333333333334,0.0,23,2,0
budget30_entropy_x_event_importance_s642,val,6,detour_start,0.01015228426395939,0.03389830508474576,0.015625,2.0,2,195,57
budget30_entropy_x_event_importance_s642,val,7,goal_enter,1.0,1.0,1.0,0.0,88,0,0
budget30_entropy_x_event_importance_s642,val,8,stable_success,0.0,0.0,0.0,nan,0,0,88
budget30_entropy_x_event_importance_s642,val,9,terminal_failure,0.23684210526315788,0.9,0.375,0.0,18,58,2
budget30_entropy_x_event_importance_s642,val,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,15
budget30_entropy_x_event_importance_s642,test,1,contact_on,1.0,1.0,1.0,0.0,108,0,0
budget30_entropy_x_event_importance_s642,test,2,transport_on,0.0,0.0,0.0,nan,0,0,108
budget30_entropy_x_event_importance_s642,test,3,contact_off_failure,1.0,1.0,1.0,0.0,27,0,0
budget30_entropy_x_event_importance_s642,test,4,recovery_start,1.0,1.0,1.0,0.0,27,0,0
budget30_entropy_x_event_importance_s642,test,5,contact_reestablished,0.8888888888888888,1.0,0.9411764705882353,0.0,24,3,0
budget30_entropy_x_event_importance_s642,test,6,detour_start,0.0056179775280898875,0.041666666666666664,0.009900990099009901,0.0,1,177,23
budget30_entropy_x_event_importance_s642,test,7,goal_enter,1.0,1.0,1.0,0.0,87,0,0
budget30_entropy_x_event_importance_s642,test,8,stable_success,0.0,0.0,0.0,nan,0,0,87
budget30_entropy_x_event_importance_s642,test,9,terminal_failure,0.4090909090909091,0.8571428571428571,0.5538461538461539,0.0,18,26,3
budget30_entropy_x_event_importance_s642,test,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,18
budget30_entropy_x_event_importance_s643,val,1,contact_on,0.9557522123893806,1.0,0.9773755656108597,0.0,108,5,0
budget30_entropy_x_event_importance_s643,val,2,transport_on,0.0,0.0,0.0,nan,0,0,108
budget30_entropy_x_event_importance_s643,val,3,contact_off_failure,1.0,1.0,1.0,0.0,25,0,0
budget30_entropy_x_event_importance_s643,val,4,recovery_start,1.0,1.0,1.0,0.0,25,0,0
budget30_entropy_x_event_importance_s643,val,5,contact_reestablished,0.9473684210526315,0.782608695652174,0.8571428571428571,0.0,18,1,5
budget30_entropy_x_event_importance_s643,val,6,detour_start,0.0,0.0,0.0,nan,0,124,59
budget30_entropy_x_event_importance_s643,val,7,goal_enter,1.0,1.0,1.0,0.0,88,0,0
budget30_entropy_x_event_importance_s643,val,8,stable_success,0.0,0.0,0.0,nan,0,0,88
budget30_entropy_x_event_importance_s643,val,9,terminal_failure,0.23684210526315788,0.9,0.375,0.0,18,58,2
budget30_entropy_x_event_importance_s643,val,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,15
budget30_entropy_x_event_importance_s643,test,1,contact_on,0.8925619834710744,1.0,0.9432314410480349,0.0,108,13,0
budget30_entropy_x_event_importance_s643,test,2,transport_on,0.0,0.0,0.0,nan,0,0,108
budget30_entropy_x_event_importance_s643,test,3,contact_off_failure,1.0,1.0,1.0,0.0,27,0,0
budget30_entropy_x_event_importance_s643,test,4,recovery_start,1.0,1.0,1.0,0.0,27,0,0
budget30_entropy_x_event_importance_s643,test,5,contact_reestablished,0.7857142857142857,0.4583333333333333,0.5789473684210527,0.0,11,3,13
budget30_entropy_x_event_importance_s643,test,6,detour_start,0.0,0.0,0.0,nan,0,155,24
budget30_entropy_x_event_importance_s643,test,7,goal_enter,1.0,1.0,1.0,0.0,87,0,0
budget30_entropy_x_event_importance_s643,test,8,stable_success,0.0,0.0,0.0,nan,0,0,87
budget30_entropy_x_event_importance_s643,test,9,terminal_failure,0.4090909090909091,0.8571428571428571,0.5538461538461539,0.0,18,26,3
budget30_entropy_x_event_importance_s643,test,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,18
budget30_random_stratified_s641,val,1,contact_on,1.0,1.0,1.0,0.0,108,0,0
budget30_random_stratified_s641,val,2,transport_on,0.0,0.0,0.0,nan,0,0,108
budget30_random_stratified_s641,val,3,contact_off_failure,1.0,1.0,1.0,0.0,25,0,0
budget30_random_stratified_s641,val,4,recovery_start,1.0,1.0,1.0,0.0,25,0,0
budget30_random_stratified_s641,val,5,contact_reestablished,1.0,1.0,1.0,0.0,23,0,0
budget30_random_stratified_s641,val,6,detour_start,0.006060606060606061,0.01694915254237288,0.008928571428571428,2.0,1,164,58
budget30_random_stratified_s641,val,7,goal_enter,1.0,1.0,1.0,0.0,88,0,0
budget30_random_stratified_s641,val,8,stable_success,0.0,0.0,0.0,nan,0,0,88
budget30_random_stratified_s641,val,9,terminal_failure,0.23684210526315788,0.9,0.375,0.0,18,58,2
budget30_random_stratified_s641,val,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,15
budget30_random_stratified_s641,test,1,contact_on,1.0,1.0,1.0,0.0,108,0,0
budget30_random_stratified_s641,test,2,transport_on,0.0,0.0,0.0,nan,0,0,108
budget30_random_stratified_s641,test,3,contact_off_failure,1.0,1.0,1.0,0.0,27,0,0
budget30_random_stratified_s641,test,4,recovery_start,1.0,1.0,1.0,0.0,27,0,0
budget30_random_stratified_s641,test,5,contact_reestablished,1.0,1.0,1.0,0.0,24,0,0
budget30_random_stratified_s641,test,6,detour_start,0.006666666666666667,0.041666666666666664,0.011494252873563218,0.0,1,149,23
budget30_random_stratified_s641,test,7,goal_enter,1.0,1.0,1.0,0.0,87,0,0
budget30_random_stratified_s641,test,8,stable_success,0.0,0.0,0.0,nan,0,0,87
budget30_random_stratified_s641,test,9,terminal_failure,0.4090909090909091,0.8571428571428571,0.5538461538461539,0.0,18,26,3
budget30_random_stratified_s641,test,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,18
budget30_random_stratified_s642,val,1,contact_on,1.0,1.0,1.0,0.0,108,0,0
budget30_random_stratified_s642,val,2,transport_on,0.0,0.0,0.0,nan,0,0,108
budget30_random_stratified_s642,val,3,contact_off_failure,1.0,1.0,1.0,0.0,25,0,0
budget30_random_stratified_s642,val,4,recovery_start,1.0,1.0,1.0,0.0,25,0,0
budget30_random_stratified_s642,val,5,contact_reestablished,0.92,1.0,0.9583333333333334,0.0,23,2,0
budget30_random_stratified_s642,val,6,detour_start,0.0,0.0,0.0,nan,0,193,59
budget30_random_stratified_s642,val,7,goal_enter,1.0,1.0,1.0,0.0,88,0,0
budget30_random_stratified_s642,val,8,stable_success,0.0,0.0,0.0,nan,0,0,88
budget30_random_stratified_s642,val,9,terminal_failure,0.23684210526315788,0.9,0.375,0.0,18,58,2
budget30_random_stratified_s642,val,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,15
budget30_random_stratified_s642,test,1,contact_on,0.972972972972973,1.0,0.9863013698630138,0.0,108,3,0
budget30_random_stratified_s642,test,2,transport_on,0.0,0.0,0.0,nan,0,0,108
budget30_random_stratified_s642,test,3,contact_off_failure,1.0,1.0,1.0,0.0,27,0,0
budget30_random_stratified_s642,test,4,recovery_start,1.0,1.0,1.0,0.0,27,0,0
budget30_random_stratified_s642,test,5,contact_reestablished,0.875,0.875,0.875,0.0,21,3,3
budget30_random_stratified_s642,test,6,detour_start,0.005555555555555556,0.041666666666666664,0.00980392156862745,0.0,1,179,23
budget30_random_stratified_s642,test,7,goal_enter,1.0,1.0,1.0,0.0,87,0,0
budget30_random_stratified_s642,test,8,stable_success,0.0,0.0,0.0,nan,0,0,87
budget30_random_stratified_s642,test,9,terminal_failure,0.4090909090909091,0.8571428571428571,0.5538461538461539,0.0,18,26,3
budget30_random_stratified_s642,test,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,18
budget30_random_stratified_s643,val,1,contact_on,1.0,1.0,1.0,0.0,108,0,0
budget30_random_stratified_s643,val,2,transport_on,0.0,0.0,0.0,nan,0,0,108
budget30_random_stratified_s643,val,3,contact_off_failure,1.0,1.0,1.0,0.0,25,0,0
budget30_random_stratified_s643,val,4,recovery_start,1.0,1.0,1.0,0.0,25,0,0
budget30_random_stratified_s643,val,5,contact_reestablished,0.9583333333333334,1.0,0.9787234042553191,0.0,23,1,0
budget30_random_stratified_s643,val,6,detour_start,0.0,0.0,0.0,nan,0,113,59
budget30_random_stratified_s643,val,7,goal_enter,1.0,1.0,1.0,0.0,88,0,0
budget30_random_stratified_s643,val,8,stable_success,0.0,0.0,0.0,nan,0,0,88
budget30_random_stratified_s643,val,9,terminal_failure,0.23684210526315788,0.9,0.375,0.0,18,58,2
budget30_random_stratified_s643,val,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,15
budget30_random_stratified_s643,test,1,contact_on,0.972972972972973,1.0,0.9863013698630138,0.0,108,3,0
budget30_random_stratified_s643,test,2,transport_on,0.0,0.0,0.0,nan,0,0,108
budget30_random_stratified_s643,test,3,contact_off_failure,1.0,1.0,1.0,0.0,27,0,0
budget30_random_stratified_s643,test,4,recovery_start,1.0,1.0,1.0,0.0,27,0,0
budget30_random_stratified_s643,test,5,contact_reestablished,0.875,0.875,0.875,0.0,21,3,3
budget30_random_stratified_s643,test,6,detour_start,0.0,0.0,0.0,nan,0,142,24
budget30_random_stratified_s643,test,7,goal_enter,1.0,1.0,1.0,0.0,87,0,0
budget30_random_stratified_s643,test,8,stable_success,0.0,0.0,0.0,nan,0,0,87
budget30_random_stratified_s643,test,9,terminal_failure,0.4090909090909091,0.8571428571428571,0.5538461538461539,0.0,18,26,3
budget30_random_stratified_s643,test,10,stagnation_onset,0.0,0.0,0.0,nan,0,0,18
