family_id,case_id,method,rollout,positive,physical_loss,signal_exposed,max_z,contact_false_count,prehold_count,prehold_noise,object_scale,anchor_x,anchor_y
L2RAR2_R24_BOUNDARY_01_896001,R24C8_secondary_loss,O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_01_896001__R24C8_secondary_loss__O_C3_CLP3_CANONICAL_TIME,False,True,True,145873.57682286858,74,2,0.0001,5.96415373553018,-0.922414305612179,10.14649912400754
L2RAR2_R24_BOUNDARY_01_896001,R24C8_secondary_loss,O_C3_RAW,L2RAR2_R24_BOUNDARY_01_896001__R24C8_secondary_loss__O_C3_RAW,False,True,True,145873.57682286858,74,2,0.0001,5.96415373553018,-0.922414305612179,10.14649912400754
L2RAR2_R24_BOUNDARY_01_896001,R24C8_secondary_loss,RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_01_896001__R24C8_secondary_loss__RECOVERY_DISABLED,False,True,True,145873.57682286858,5,2,0.0001,5.96415373553018,-0.922414305612179,10.14649912400754
L2RAR2_R24_BOUNDARY_02_896002,R24C1_delayed_contact_loss,O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002__R24C1_delayed_contact_loss__O_C3_CLP3_CANONICAL_TIME,False,True,True,114855.74858106689,8,2,0.0001,6.407961869245868,-0.6724296769478428,8.7388109680373
L2RAR2_R24_BOUNDARY_02_896002,R24C1_delayed_contact_loss,O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002__R24C1_delayed_contact_loss__O_C3_RAW,False,True,True,123070.02530704092,8,2,0.0001,6.407961869245868,-0.6724296769478428,8.7388109680373
L2RAR2_R24_BOUNDARY_02_896002,R24C1_delayed_contact_loss,RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002__R24C1_delayed_contact_loss__RECOVERY_DISABLED,False,True,True,114855.74858106689,2,2,0.0001,6.407961869245868,-0.6724296769478428,8.7388109680373
L2RAR2_R24_BOUNDARY_02_896002,R24C2_loss_signal_missing,O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002__R24C2_loss_signal_missing__O_C3_CLP3_CANONICAL_TIME,True,True,False,114855.74858106689,0,2,0.0001,6.407961869245868,-0.6724296769478428,8.7388109680373
L2RAR2_R24_BOUNDARY_02_896002,R24C2_loss_signal_missing,O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002__R24C2_loss_signal_missing__O_C3_RAW,False,True,False,114855.74858106689,0,2,0.0001,6.407961869245868,-0.6724296769478428,8.7388109680373
L2RAR2_R24_BOUNDARY_02_896002,R24C2_loss_signal_missing,RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002__R24C2_loss_signal_missing__RECOVERY_DISABLED,False,True,False,114855.74858106689,0,2,0.0001,6.407961869245868,-0.6724296769478428,8.7388109680373
L2RAR2_R24_BOUNDARY_02_896002,R24C3_partial_slip,O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002__R24C3_partial_slip__O_C3_CLP3_CANONICAL_TIME,False,True,True,6398.017322880126,1,2,0.0001,6.407961869245868,-0.6724296769478428,8.7388109680373
L2RAR2_R24_BOUNDARY_02_896002,R24C3_partial_slip,O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002__R24C3_partial_slip__O_C3_RAW,False,True,True,37.68915689210507,1,3,0.016897618999976858,6.395531281654176,-0.7087018040325432,8.742365287112364
L2RAR2_R24_BOUNDARY_02_896002,R24C3_partial_slip,RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002__R24C3_partial_slip__RECOVERY_DISABLED,False,True,True,6398.017322880126,1,2,0.0001,6.407961869245868,-0.6724296769478428,8.7388109680373
L2RAR2_R24_BOUNDARY_02_896002,R24C4_multisource_missing_then_loss,O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002__R24C4_multisource_missing_then_loss__O_C3_CLP3_CANONICAL_TIME,True,True,False,114855.74858106689,21,2,0.0001,6.407961869245868,-0.6724296769478428,8.7388109680373
L2RAR2_R24_BOUNDARY_02_896002,R24C4_multisource_missing_then_loss,O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002__R24C4_multisource_missing_then_loss__O_C3_RAW,False,True,False,114855.74858106689,21,2,0.0001,6.407961869245868,-0.6724296769478428,8.7388109680373
L2RAR2_R24_BOUNDARY_02_896002,R24C4_multisource_missing_then_loss,RECOVERY_DISABLED,L2RAR2_R24_BOUNDARY_02_896002__R24C4_multisource_missing_then_loss__RECOVERY_DISABLED,False,True,False,114855.74858106689,21,2,0.0001,6.407961869245868,-0.6724296769478428,8.7388109680373
L2RAR2_R24_BOUNDARY_02_896002,R24C5_active_release_conflict,O_C3_CLP3_CANONICAL_TIME,L2RAR2_R24_BOUNDARY_02_896002__R24C5_active_release_conflict__O_C3_CLP3_CANONICAL_TIME,False,False,False,6398.017322880126,0,2,0.0001,6.407961869245868,-0.6724296769478428,8.7388109680373
L2RAR2_R24_BOUNDARY_02_896002,R24C5_active_release_conflict,O_C3_RAW,L2RAR2_R24_BOUNDARY_02_896002__R24C5_active_release_conflict__O_C3_RAW,False,False,False,6398.017322880126,0,2,0.0001,6.407961869245868,-0.6724296769478428,8.7388109680373
