episode_id,task,n,forbidden
P1V5_F05_920005__D1_A_then_B_clean_success,dual,131,
P1V5_F05_920005__D2_B_then_A_clean_success,dual,131,
P1V5_F05_920005__D3_A_done_B_loss_recovery_then_success,dual,171,
P1V5_F05_920005__D4_B_done_A_loss_recovery_then_success,dual,171,
P1V5_F05_920005__D5_completed_subgoal_invalidated_restored,dual,259,
P1V5_F05_920005__D6_repeat_completed_subgoal_then_terminal_failure,dual,139,
P1V5_F05_920005__R1_clean_transport_success,recovery,67,2
P1V5_F05_920005__R2_loss_at_40pct_recover_success,recovery,117,2
P1V5_F05_920005__R3_loss_at_80pct_recover_success,recovery,117,2
P1V5_F05_920005__R4_three_cycles_at_40pct_then_success,recovery,289,2
P1V5_F05_920005__R5_three_cycles_at_80pct_then_success,recovery,289,6
P1V5_F05_920005__R6_three_closed_cycles_then_stop,recovery,255,0
P1V5_F05_920005__R7_loss_recovery_started_not_completed_terminal,recovery,57,1
P1V5_F05_920005__R8_commanded_release,recovery,41,2
P1V5_F06_920006__D1_A_then_B_clean_success,dual,131,
P1V5_F06_920006__D2_B_then_A_clean_success,dual,131,
P1V5_F06_920006__D3_A_done_B_loss_recovery_then_success,dual,171,
P1V5_F06_920006__D4_B_done_A_loss_recovery_then_success,dual,171,
P1V5_F06_920006__D5_completed_subgoal_invalidated_restored,dual,259,
P1V5_F06_920006__D6_repeat_completed_subgoal_then_terminal_failure,dual,139,
P1V5_F06_920006__R1_clean_transport_success,recovery,67,2
P1V5_F06_920006__R2_loss_at_40pct_recover_success,recovery,117,2
P1V5_F06_920006__R3_loss_at_80pct_recover_success,recovery,117,2
P1V5_F06_920006__R4_three_cycles_at_40pct_then_success,recovery,289,2
P1V5_F06_920006__R5_three_cycles_at_80pct_then_success,recovery,289,4
P1V5_F06_920006__R6_three_closed_cycles_then_stop,recovery,255,0
P1V5_F06_920006__R7_loss_recovery_started_not_completed_terminal,recovery,57,1
P1V5_F06_920006__R8_commanded_release,recovery,41,2
P1V5_F07_920007__D1_A_then_B_clean_success,dual,131,
P1V5_F07_920007__D2_B_then_A_clean_success,dual,131,
P1V5_F07_920007__D3_A_done_B_loss_recovery_then_success,dual,171,
P1V5_F07_920007__D4_B_done_A_loss_recovery_then_success,dual,171,
P1V5_F07_920007__D5_completed_subgoal_invalidated_restored,dual,259,
P1V5_F07_920007__D6_repeat_completed_subgoal_then_terminal_failure,dual,139,
P1V5_F07_920007__R1_clean_transport_success,recovery,67,2
P1V5_F07_920007__R2_loss_at_40pct_recover_success,recovery,117,2
P1V5_F07_920007__R3_loss_at_80pct_recover_success,recovery,117,2
P1V5_F07_920007__R4_three_cycles_at_40pct_then_success,recovery,289,2
P1V5_F07_920007__R5_three_cycles_at_80pct_then_success,recovery,289,6
P1V5_F07_920007__R6_three_closed_cycles_then_stop,recovery,255,0
P1V5_F07_920007__R7_loss_recovery_started_not_completed_terminal,recovery,57,0
P1V5_F07_920007__R8_commanded_release,recovery,41,2
