episode_id,n_frames,n_events,objects,runner,losses,restorations
P1V5_F01_920001__R6_three_closed_cycles_then_stop,256,8,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,3,3
P1V5_F01_920001__R7_loss_recovery_started_not_completed_terminal,58,1,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,0
P1V5_F01_920001__R8_commanded_release,42,1,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F02_920002__D1_A_then_B_clean_success,132,2,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F02_920002__D2_B_then_A_clean_success,132,2,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F02_920002__D3_A_done_B_loss_recovery_then_success,172,4,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F02_920002__D4_B_done_A_loss_recovery_then_success,172,4,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F02_920002__D5_completed_subgoal_invalidated_restored,260,4,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F02_920002__D6_repeat_completed_subgoal_then_terminal_failure,140,2,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F02_920002__R1_clean_transport_success,68,1,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F02_920002__R2_loss_at_40pct_recover_success,118,3,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F02_920002__R3_loss_at_80pct_recover_success,118,3,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F02_920002__R4_three_cycles_at_40pct_then_success,290,9,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,3,3
P1V5_F02_920002__R5_three_cycles_at_80pct_then_success,290,9,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,3,3
P1V5_F02_920002__R6_three_closed_cycles_then_stop,256,8,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,3,3
P1V5_F02_920002__R7_loss_recovery_started_not_completed_terminal,58,1,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,0
P1V5_F02_920002__R8_commanded_release,42,1,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F03_920003__D1_A_then_B_clean_success,132,2,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F03_920003__D2_B_then_A_clean_success,132,2,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F03_920003__D3_A_done_B_loss_recovery_then_success,172,4,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F03_920003__D4_B_done_A_loss_recovery_then_success,172,4,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F03_920003__D5_completed_subgoal_invalidated_restored,260,4,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F03_920003__D6_repeat_completed_subgoal_then_terminal_failure,140,2,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F03_920003__R1_clean_transport_success,68,1,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F03_920003__R2_loss_at_40pct_recover_success,118,3,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F03_920003__R3_loss_at_80pct_recover_success,118,3,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F03_920003__R4_three_cycles_at_40pct_then_success,290,9,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,3,3
P1V5_F03_920003__R5_three_cycles_at_80pct_then_success,290,9,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,3,3
P1V5_F03_920003__R6_three_closed_cycles_then_stop,256,8,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,3,3
P1V5_F03_920003__R7_loss_recovery_started_not_completed_terminal,58,1,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,0
P1V5_F03_920003__R8_commanded_release,42,1,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F04_920004__D1_A_then_B_clean_success,132,2,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F04_920004__D2_B_then_A_clean_success,132,2,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F04_920004__D3_A_done_B_loss_recovery_then_success,172,4,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F04_920004__D4_B_done_A_loss_recovery_then_success,172,4,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F04_920004__D5_completed_subgoal_invalidated_restored,260,4,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F04_920004__D6_repeat_completed_subgoal_then_terminal_failure,140,2,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F04_920004__R1_clean_transport_success,68,1,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F04_920004__R2_loss_at_40pct_recover_success,118,3,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F04_920004__R3_loss_at_80pct_recover_success,118,3,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F04_920004__R4_three_cycles_at_40pct_then_success,290,9,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,3,3
P1V5_F04_920004__R5_three_cycles_at_80pct_then_success,290,9,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,3,3
P1V5_F04_920004__R6_three_closed_cycles_then_stop,256,8,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,3,3
P1V5_F04_920004__R7_loss_recovery_started_not_completed_terminal,58,1,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,0
P1V5_F04_920004__R8_commanded_release,42,1,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F05_920005__D1_A_then_B_clean_success,132,2,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F05_920005__D2_B_then_A_clean_success,132,2,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F05_920005__D3_A_done_B_loss_recovery_then_success,172,4,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F05_920005__D4_B_done_A_loss_recovery_then_success,172,4,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F05_920005__D5_completed_subgoal_invalidated_restored,260,4,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F05_920005__D6_repeat_completed_subgoal_then_terminal_failure,140,2,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F05_920005__R1_clean_transport_success,68,1,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F05_920005__R2_loss_at_40pct_recover_success,118,3,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F05_920005__R3_loss_at_80pct_recover_success,118,3,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F05_920005__R4_three_cycles_at_40pct_then_success,290,9,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,3,3
P1V5_F05_920005__R5_three_cycles_at_80pct_then_success,290,9,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,3,3
P1V5_F05_920005__R6_three_closed_cycles_then_stop,256,8,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,3,3
P1V5_F05_920005__R7_loss_recovery_started_not_completed_terminal,58,1,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,0
P1V5_F05_920005__R8_commanded_release,42,1,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F06_920006__D1_A_then_B_clean_success,132,2,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F06_920006__D2_B_then_A_clean_success,132,2,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F06_920006__D3_A_done_B_loss_recovery_then_success,172,4,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F06_920006__D4_B_done_A_loss_recovery_then_success,172,4,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F06_920006__D5_completed_subgoal_invalidated_restored,260,4,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F06_920006__D6_repeat_completed_subgoal_then_terminal_failure,140,2,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F06_920006__R1_clean_transport_success,68,1,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F06_920006__R2_loss_at_40pct_recover_success,118,3,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F06_920006__R3_loss_at_80pct_recover_success,118,3,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F06_920006__R4_three_cycles_at_40pct_then_success,290,9,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,3,3
P1V5_F06_920006__R5_three_cycles_at_80pct_then_success,290,9,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,3,3
P1V5_F06_920006__R6_three_closed_cycles_then_stop,256,8,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,3,3
P1V5_F06_920006__R7_loss_recovery_started_not_completed_terminal,58,1,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,0
P1V5_F06_920006__R8_commanded_release,42,1,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F07_920007__D1_A_then_B_clean_success,132,2,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F07_920007__D2_B_then_A_clean_success,132,2,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F07_920007__D3_A_done_B_loss_recovery_then_success,172,4,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F07_920007__D4_B_done_A_loss_recovery_then_success,172,4,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F07_920007__D5_completed_subgoal_invalidated_restored,260,4,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F07_920007__D6_repeat_completed_subgoal_then_terminal_failure,140,2,A|B,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F07_920007__R1_clean_transport_success,68,1,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
P1V5_F07_920007__R2_loss_at_40pct_recover_success,118,3,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F07_920007__R3_loss_at_80pct_recover_success,118,3,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,1
P1V5_F07_920007__R4_three_cycles_at_40pct_then_success,290,9,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,3,3
P1V5_F07_920007__R5_three_cycles_at_80pct_then_success,290,9,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,3,3
P1V5_F07_920007__R6_three_closed_cycles_then_stop,256,8,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,3,3
P1V5_F07_920007__R7_loss_recovery_started_not_completed_terminal,58,1,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,1,0
P1V5_F07_920007__R8_commanded_release,42,1,obj,d981cfec11cbc1ff55d827ffe8a23508db1af7f5,0,0
