boundary_error_sum,boundary_estimability,boundary_f1,boundary_fn,boundary_fp,boundary_mae,boundary_matched_count,boundary_precision,boundary_recall,boundary_tp,episodes,model,split,tolerance
22.0,estimable,0.4322766570605187,6,1373,0.0419047619047619,525,0.2766069546891465,0.9887005649717514,525,108,boundary_model:causal_weak_only_s622,test,2
14.0,estimable,0.48769771528998235,4,1162,0.025225225225225224,555,0.32323820617355853,0.9928443649373881,555,108,boundary_model:causal_weak_only_s623,val,1
14.0,estimable,0.48769771528998235,4,1162,0.025225225225225224,555,0.32323820617355853,0.9928443649373881,555,108,boundary_model:causal_weak_only_s623,val,2
2.0,estimable,0.42130947539650265,13,1410,0.003861003861003861,518,0.26867219917012447,0.975517890772128,518,108,boundary_model:causal_weak_only_s623,test,1
22.0,estimable,0.42700284668564453,6,1403,0.0419047619047619,525,0.27230290456431533,0.9887005649717514,525,108,boundary_model:causal_weak_only_s623,test,2
0.0,estimable,0.46153846153846156,13,1261,0.0,546,0.302158273381295,0.9767441860465116,546,108,boundary_model:causal_weak_plus_oracle30_s621,val,1
17.0,estimable,0.4649196956889264,9,1257,0.03090909090909091,550,0.30437188710570007,0.9838998211091234,550,108,boundary_model:causal_weak_plus_oracle30_s621,val,2
2.0,estimable,0.4095049504950495,14,1477,0.0038684719535783366,517,0.2592778335005015,0.9736346516007532,517,108,boundary_model:causal_weak_plus_oracle30_s621,test,1
14.0,estimable,0.41188118811881186,11,1474,0.026923076923076925,520,0.26078234704112335,0.9792843691148776,520,108,boundary_model:causal_weak_plus_oracle30_s621,test,2
12.0,estimable,0.4659042778483694,9,1252,0.02181818181818182,550,0.3052164261931188,0.9838998211091234,550,108,boundary_model:causal_weak_plus_oracle30_s622,val,1
32.0,estimable,0.4701397712833545,4,1247,0.05765765765765766,555,0.30799112097669257,0.9928443649373881,555,108,boundary_model:causal_weak_plus_oracle30_s622,val,2
5.0,estimable,0.4147317854283426,13,1449,0.009652509652509652,518,0.26334519572953735,0.975517890772128,518,108,boundary_model:causal_weak_plus_oracle30_s622,test,1
17.0,estimable,0.4171337069655725,10,1446,0.03262955854126679,521,0.2648703609557702,0.9811676082862524,521,108,boundary_model:causal_weak_plus_oracle30_s622,test,2
4.0,estimable,0.5062126092959044,9,1064,0.007272727272727273,550,0.34076827757125155,0.9838998211091234,550,108,boundary_model:causal_weak_plus_oracle30_s623,val,1
25.0,estimable,0.5108145421076853,4,1059,0.04504504504504504,555,0.34386617100371747,0.9928443649373881,555,108,boundary_model:causal_weak_plus_oracle30_s623,val,2
2.0,estimable,0.43972835314091674,13,1307,0.003861003861003861,518,0.28383561643835614,0.975517890772128,518,108,boundary_model:causal_weak_plus_oracle30_s623,test,1
22.0,estimable,0.4456706281833616,6,1300,0.0419047619047619,525,0.2876712328767123,0.9887005649717514,525,108,boundary_model:causal_weak_plus_oracle30_s623,test,2
15.0,estimable,0.4267589388696656,4,1487,0.02702702702702703,555,0.27179236043095006,0.9928443649373881,555,108,boundary_model:offline_teacher_s621,val,1
15.0,estimable,0.4267589388696656,4,1487,0.02702702702702703,555,0.27179236043095006,0.9928443649373881,555,108,boundary_model:offline_teacher_s621,val,2
3.0,estimable,0.3782402336619204,13,1690,0.005791505791505791,518,0.2346014492753623,0.975517890772128,518,108,boundary_model:offline_teacher_s621,test,1
23.0,estimable,0.38335158817086534,6,1683,0.04380952380952381,525,0.23777173913043478,0.9887005649717514,525,108,boundary_model:offline_teacher_s621,test,2
15.0,estimable,0.4282407407407407,4,1478,0.02702702702702703,555,0.27299557304476146,0.9928443649373881,555,108,boundary_model:offline_teacher_s622,val,1
15.0,estimable,0.4282407407407407,4,1478,0.02702702702702703,555,0.27299557304476146,0.9928443649373881,555,108,boundary_model:offline_teacher_s622,val,2
3.0,estimable,0.38074237412715917,13,1672,0.005791505791505791,518,0.2365296803652968,0.975517890772128,518,108,boundary_model:offline_teacher_s622,test,1
23.0,estimable,0.3858875413450937,6,1665,0.04380952380952381,525,0.23972602739726026,0.9887005649717514,525,108,boundary_model:offline_teacher_s622,test,2
15.0,estimable,0.4226961157654227,4,1512,0.02702702702702703,555,0.26850507982583455,0.9928443649373881,555,108,boundary_model:offline_teacher_s623,val,1
15.0,estimable,0.4226961157654227,4,1512,0.02702702702702703,555,0.26850507982583455,0.9928443649373881,555,108,boundary_model:offline_teacher_s623,val,2
2.0,estimable,0.3750905141202027,13,1713,0.003861003861003861,518,0.23218287763334827,0.975517890772128,518,108,boundary_model:offline_teacher_s623,test,1
22.0,estimable,0.3801593048515568,6,1706,0.0419047619047619,525,0.23532048408785297,0.9887005649717514,525,108,boundary_model:offline_teacher_s623,test,2
35.0,estimable,0.527831094049904,9,975,0.06363636363636363,550,0.36065573770491804,0.9838998211091234,550,108,boundary_model:offline_teacher_to_causal_s621,val,1
55.0,estimable,0.5326295585412668,4,970,0.0990990990990991,555,0.3639344262295082,0.9928443649373881,555,108,boundary_model:offline_teacher_to_causal_s621,val,2
12.0,estimable,0.4369464361029102,13,1322,0.023166023166023165,518,0.28152173913043477,0.975517890772128,518,108,boundary_model:offline_teacher_to_causal_s621,test,1
24.0,estimable,0.43947701391817795,10,1319,0.046065259117082535,521,0.2831521739130435,0.9811676082862524,521,108,boundary_model:offline_teacher_to_causal_s621,test,2
1.0,estimable,0.46245226983453547,14,1253,0.001834862385321101,545,0.3031145717463849,0.9749552772808586,545,108,boundary_model:offline_teacher_to_causal_s622,val,1
15.0,estimable,0.4658464149342385,10,1249,0.0273224043715847,549,0.3053392658509455,0.9821109123434705,549,108,boundary_model:offline_teacher_to_causal_s622,val,2
3.0,estimable,0.4074074074074075,14,1490,0.005802707930367505,517,0.25759840558046837,0.9736346516007532,517,108,boundary_model:offline_teacher_to_causal_s622,test,1
15.0,estimable,0.4097714736012608,11,1487,0.028846153846153848,520,0.25909317389138015,0.9792843691148776,520,108,boundary_model:offline_teacher_to_causal_s622,test,2
14.0,estimable,0.6355247981545559,8,624,0.025408348457350273,551,0.46893617021276596,0.9856887298747764,551,108,boundary_model:offline_teacher_to_causal_s623,val,1
30.0,estimable,0.6401384083044982,4,620,0.05405405405405406,555,0.4723404255319149,0.9928443649373881,555,108,boundary_model:offline_teacher_to_causal_s623,val,2
6.0,estimable,0.5889710062535531,13,710,0.011583011583011582,518,0.4218241042345277,0.975517890772128,518,108,boundary_model:offline_teacher_to_causal_s623,test,1
20.0,estimable,0.5935190449118818,9,706,0.038314176245210725,522,0.4250814332247557,0.9830508474576272,522,108,boundary_model:offline_teacher_to_causal_s623,test,2
15.0,estimable,0.4623073719283632,4,1287,0.02702702702702703,555,0.30130293159609123,0.9928443649373881,555,108,budget_model:budget0_s641,val,1
15.0,estimable,0.4623073719283632,4,1287,0.02702702702702703,555,0.30130293159609123,0.9928443649373881,555,108,budget_model:budget0_s641,val,2
2.0,estimable,0.4107850911974623,13,1473,0.003861003861003861,518,0.26017076845806125,0.975517890772128,518,108,budget_model:budget0_s641,test,1
24.0,estimable,0.4171292624900872,5,1465,0.045627376425855515,526,0.2641888498242089,0.9905838041431262,526,108,budget_model:budget0_s641,test,2
14.0,estimable,0.4677623261694058,4,1259,0.025225225225225224,555,0.3059536934950386,0.9928443649373881,555,108,budget_model:budget0_s642,val,1
14.0,estimable,0.4677623261694058,4,1259,0.025225225225225224,555,0.3059536934950386,0.9928443649373881,555,108,budget_model:budget0_s642,val,2
2.0,estimable,0.41291351135910725,13,1460,0.003861003861003861,518,0.26188068756319516,0.975517890772128,518,108,budget_model:budget0_s642,test,1
24.0,estimable,0.4192905540055799,5,1452,0.045627376425855515,526,0.2659251769464105,0.9905838041431262,526,108,budget_model:budget0_s642,test,2
14.0,estimable,0.4521953221173574,8,1327,0.025408348457350273,551,0.2933972310969116,0.9856887298747764,551,108,budget_model:budget0_s643,val,1
26.0,estimable,0.4546573656134591,5,1324,0.04693140794223827,554,0.29499467518636846,0.9910554561717353,554,108,budget_model:budget0_s643,val,2
2.0,estimable,0.39632746748278497,13,1565,0.003861003861003861,518,0.2486797887662026,0.975517890772128,518,108,budget_model:budget0_s643,test,1
20.0,estimable,0.40091813312930374,7,1559,0.03816793893129771,524,0.2515602496399424,0.9868173258003766,524,108,budget_model:budget0_s643,test,2
10.0,estimable,0.47459086993970717,8,1212,0.018148820326678767,551,0.31253545093590474,0.9856887298747764,551,108,budget_model:budget30_entropy_x_event_importance_s641,val,1
26.0,estimable,0.4780361757105943,4,1208,0.04684684684684685,555,0.314804310833806,0.9928443649373881,555,108,budget_model:budget30_entropy_x_event_importance_s641,val,2
5.0,estimable,0.426864441697569,13,1378,0.009652509652509652,518,0.2732067510548523,0.975517890772128,518,108,budget_model:budget30_entropy_x_event_importance_s641,test,1
21.0,estimable,0.4309847548413679,8,1373,0.040152963671128104,523,0.2758438818565401,0.9849340866290018,523,108,budget_model:budget30_entropy_x_event_importance_s641,test,2
11.0,estimable,0.4882795223352499,7,1150,0.019927536231884056,552,0.32432432432432434,0.9874776386404294,552,108,budget_model:budget30_entropy_x_event_importance_s642,val,1
26.0,estimable,0.49093321539141965,4,1147,0.04684684684684685,555,0.32608695652173914,0.9928443649373881,555,108,budget_model:budget30_entropy_x_event_importance_s642,val,2
2.0,estimable,0.4365781710914454,13,1324,0.003861003861003861,518,0.28121606948968514,0.975517890772128,518,108,budget_model:budget30_entropy_x_event_importance_s642,test,1
22.0,estimable,0.4424778761061947,6,1317,0.0419047619047619,525,0.28501628664495116,0.9887005649717514,525,108,budget_model:budget30_entropy_x_event_importance_s642,test,2
12.0,estimable,0.4497332786212556,11,1330,0.021897810218978103,548,0.29179978700745474,0.9803220035778175,548,108,budget_model:budget30_entropy_x_event_importance_s643,val,1
32.0,estimable,0.45383668444809194,6,1325,0.05786618444846293,553,0.2944621938232162,0.9892665474060823,553,108,budget_model:budget30_entropy_x_event_importance_s643,val,2
5.0,estimable,0.3952689813048455,13,1572,0.009652509652509652,518,0.24784688995215312,0.975517890772128,518,108,budget_model:budget30_entropy_x_event_importance_s643,test,1
19.0,estimable,0.39832125143075164,9,1568,0.03639846743295019,522,0.24976076555023924,0.9830508474576272,522,108,budget_model:budget30_entropy_x_event_importance_s643,test,2
17.0,estimable,0.4931019136626613,5,1134,0.030685920577617327,554,0.3281990521327014,0.9910554561717353,554,108,budget_model:budget30_random_stratified_s641,val,1
21.0,estimable,0.4939919893190921,4,1133,0.03783783783783784,555,0.3287914691943128,0.9928443649373881,555,108,budget_model:budget30_random_stratified_s641,val,2
2.0,estimable,0.43972835314091674,13,1307,0.003861003861003861,518,0.28383561643835614,0.975517890772128,518,108,budget_model:budget30_random_stratified_s641,test,1
22.0,estimable,0.4456706281833616,6,1300,0.0419047619047619,525,0.2876712328767123,0.9887005649717514,525,108,budget_model:budget30_random_stratified_s641,test,2
11.0,estimable,0.48439560439560436,8,1165,0.019963702359346643,551,0.3210955710955711,0.9856887298747764,551,108,budget_model:budget30_random_stratified_s642,val,1
30.0,estimable,0.48791208791208796,4,1161,0.05405405405405406,555,0.32342657342657344,0.9928443649373881,555,108,budget_model:budget30_random_stratified_s642,val,2
2.0,estimable,0.43329150982852366,13,1342,0.003861003861003861,518,0.278494623655914,0.975517890772128,518,108,budget_model:budget30_random_stratified_s642,test,1
22.0,estimable,0.4391468005018821,6,1335,0.0419047619047619,525,0.28225806451612906,0.9887005649717514,525,108,budget_model:budget30_random_stratified_s642,test,2
13.0,estimable,0.4523026315789474,9,1323,0.023636363636363636,550,0.2936465563267485,0.9838998211091234,550,108,budget_model:budget30_random_stratified_s643,val,1
33.0,estimable,0.4564144736842105,4,1318,0.05945945945945946,555,0.2963160704751735,0.9928443649373881,555,108,budget_model:budget30_random_stratified_s643,val,2
5.0,estimable,0.39632746748278497,13,1565,0.009652509652509652,518,0.2486797887662026,0.975517890772128,518,108,budget_model:budget30_random_stratified_s643,test,1
17.0,estimable,0.3986228003060443,10,1562,0.03262955854126679,521,0.2501200192030725,0.9811676082862524,521,108,budget_model:budget30_random_stratified_s643,test,2
