episodes,error_sum,estimability,event,event_id,f1,fn,fp,mae,matched_count,model,precision,recall,split,tolerance,tp
108,1.0,estimable,stagnation_onset,10,0.23529411764705882,13,0,0.5,2,sensor_hysteresis_01,1.0,0.13333333333333333,val,1,2
108,0.0,estimable,contact_on,1,0.11023622047244094,101,12,0.0,7,sensor_hysteresis_01,0.3684210526315789,0.06481481481481481,val,2,7
108,14.0,estimable,transport_on,2,0.049999999999999996,94,438,1.0,14,sensor_hysteresis_01,0.030973451327433628,0.12962962962962962,val,2,14
108,0.0,estimable,contact_off_failure,3,0.07692307692307693,24,0,0.0,1,sensor_hysteresis_01,1.0,0.04,val,2,1
108,0.0,estimable,recovery_start,4,0.6486486486486487,13,0,0.0,12,sensor_hysteresis_01,1.0,0.48,val,2,12
108,0.0,estimable,contact_reestablished,5,,23,0,,0,sensor_hysteresis_01,,0.0,val,2,0
108,1.0,estimable,detour_start,6,0.00947867298578199,58,151,1.0,1,sensor_hysteresis_01,0.006578947368421052,0.01694915254237288,val,2,1
108,0.0,estimable,goal_enter,7,0.5691056910569106,53,0,0.0,35,sensor_hysteresis_01,1.0,0.3977272727272727,val,2,35
108,0.0,estimable,stable_success,8,,88,0,,0,sensor_hysteresis_01,,0.0,val,2,0
108,0.0,estimable,terminal_failure,9,0.22727272727272727,15,19,0.0,5,sensor_hysteresis_01,0.20833333333333334,0.25,val,2,5
108,1.0,estimable,stagnation_onset,10,0.23529411764705882,13,0,0.5,2,sensor_hysteresis_01,1.0,0.13333333333333333,val,2,2
108,0.0,estimable,contact_on,1,0.048780487804878044,105,12,0.0,3,sensor_hysteresis_01,0.2,0.027777777777777776,test,1,3
108,2.0,estimable,transport_on,2,0.06279434850863422,88,509,0.1,20,sensor_hysteresis_01,0.03780718336483932,0.18518518518518517,test,1,20
108,0.0,estimable,contact_off_failure,3,0.3636363636363636,21,0,0.0,6,sensor_hysteresis_01,1.0,0.2222222222222222,test,1,6
108,0.0,estimable,recovery_start,4,0.5,18,0,0.0,9,sensor_hysteresis_01,1.0,0.3333333333333333,test,1,9
108,0.0,estimable,contact_reestablished,5,,24,0,,0,sensor_hysteresis_01,,0.0,test,1,0
108,0.0,estimable,detour_start,6,,24,151,,0,sensor_hysteresis_01,0.0,0.0,test,1,0
108,0.0,estimable,goal_enter,7,0.3888888888888889,66,0,0.0,21,sensor_hysteresis_01,1.0,0.2413793103448276,test,1,21
108,0.0,estimable,stable_success,8,,87,0,,0,sensor_hysteresis_01,,0.0,test,1,0
108,0.0,estimable,terminal_failure,9,0.19354838709677416,18,7,0.0,3,sensor_hysteresis_01,0.3,0.14285714285714285,test,1,3
108,1.0,estimable,stagnation_onset,10,0.1739130434782609,16,3,0.5,2,sensor_hysteresis_01,0.4,0.1111111111111111,test,1,2
108,0.0,estimable,contact_on,1,0.048780487804878044,105,12,0.0,3,sensor_hysteresis_01,0.2,0.027777777777777776,test,2,3
108,8.0,estimable,transport_on,2,0.07221350078492934,85,506,0.34782608695652173,23,sensor_hysteresis_01,0.043478260869565216,0.21296296296296297,test,2,23
108,0.0,estimable,contact_off_failure,3,0.3636363636363636,21,0,0.0,6,sensor_hysteresis_01,1.0,0.2222222222222222,test,2,6
108,0.0,estimable,recovery_start,4,0.5,18,0,0.0,9,sensor_hysteresis_01,1.0,0.3333333333333333,test,2,9
108,0.0,estimable,contact_reestablished,5,,24,0,,0,sensor_hysteresis_01,,0.0,test,2,0
108,0.0,estimable,detour_start,6,,24,151,,0,sensor_hysteresis_01,0.0,0.0,test,2,0
108,0.0,estimable,goal_enter,7,0.3888888888888889,66,0,0.0,21,sensor_hysteresis_01,1.0,0.2413793103448276,test,2,21
108,0.0,estimable,stable_success,8,,87,0,,0,sensor_hysteresis_01,,0.0,test,2,0
108,0.0,estimable,terminal_failure,9,0.19354838709677416,18,7,0.0,3,sensor_hysteresis_01,0.3,0.14285714285714285,test,2,3
108,1.0,estimable,stagnation_onset,10,0.1739130434782609,16,3,0.5,2,sensor_hysteresis_01,0.4,0.1111111111111111,test,2,2
108,0.0,estimable,contact_on,1,0.048780487804878044,105,12,0.0,3,uniform_00,0.2,0.027777777777777776,val,1,3
108,9.0,estimable,transport_on,2,0.04247787610619469,96,445,0.75,12,uniform_00,0.0262582056892779,0.1111111111111111,val,1,12
108,0.0,estimable,contact_off_failure,3,,25,0,,0,uniform_00,,0.0,val,1,0
108,0.0,estimable,recovery_start,4,0.6842105263157895,12,0,0.0,13,uniform_00,1.0,0.52,val,1,13
108,0.0,estimable,contact_reestablished,5,,23,0,,0,uniform_00,,0.0,val,1,0
108,0.0,estimable,detour_start,6,,59,139,,0,uniform_00,0.0,0.0,val,1,0
108,0.0,estimable,goal_enter,7,0.5333333333333333,56,0,0.0,32,uniform_00,1.0,0.36363636363636365,val,1,32
108,0.0,estimable,stable_success,8,,88,0,,0,uniform_00,,0.0,val,1,0
108,0.0,estimable,terminal_failure,9,0.2127659574468085,15,22,0.0,5,uniform_00,0.18518518518518517,0.25,val,1,5
108,0.0,estimable,stagnation_onset,10,0.125,14,0,0.0,1,uniform_00,1.0,0.06666666666666667,val,1,1
108,0.0,estimable,contact_on,1,0.048780487804878044,105,12,0.0,3,uniform_00,0.2,0.027777777777777776,val,2,3
108,13.0,estimable,transport_on,2,0.049557522123893805,94,443,0.9285714285714286,14,uniform_00,0.030634573304157548,0.12962962962962962,val,2,14
108,0.0,estimable,contact_off_failure,3,,25,0,,0,uniform_00,,0.0,val,2,0
108,0.0,estimable,recovery_start,4,0.6842105263157895,12,0,0.0,13,uniform_00,1.0,0.52,val,2,13
108,0.0,estimable,contact_reestablished,5,,23,0,,0,uniform_00,,0.0,val,2,0
108,0.0,estimable,detour_start,6,,59,139,,0,uniform_00,0.0,0.0,val,2,0
108,0.0,estimable,goal_enter,7,0.5333333333333333,56,0,0.0,32,uniform_00,1.0,0.36363636363636365,val,2,32
108,0.0,estimable,stable_success,8,,88,0,,0,uniform_00,,0.0,val,2,0
108,0.0,estimable,terminal_failure,9,0.2127659574468085,15,22,0.0,5,uniform_00,0.18518518518518517,0.25,val,2,5
108,0.0,estimable,stagnation_onset,10,0.125,14,0,0.0,1,uniform_00,1.0,0.06666666666666667,val,2,1
108,0.0,estimable,contact_on,1,0.13953488372093023,99,12,0.0,9,uniform_00,0.42857142857142855,0.08333333333333333,test,1,9
108,3.0,estimable,transport_on,2,0.056338028169014086,90,513,0.16666666666666666,18,uniform_00,0.03389830508474576,0.16666666666666666,test,1,18
108,0.0,estimable,contact_off_failure,3,0.3636363636363636,21,0,0.0,6,uniform_00,1.0,0.2222222222222222,test,1,6
108,0.0,estimable,recovery_start,4,0.5,18,0,0.0,9,uniform_00,1.0,0.3333333333333333,test,1,9
108,0.0,estimable,contact_reestablished,5,,24,0,,0,uniform_00,,0.0,test,1,0
108,0.0,estimable,detour_start,6,,24,144,,0,uniform_00,0.0,0.0,test,1,0
108,0.0,estimable,goal_enter,7,0.4324324324324324,63,0,0.0,24,uniform_00,1.0,0.27586206896551724,test,1,24
108,0.0,estimable,stable_success,8,,87,0,,0,uniform_00,,0.0,test,1,0
108,0.0,estimable,terminal_failure,9,0.13793103448275862,19,6,0.0,2,uniform_00,0.25,0.09523809523809523,test,1,2
108,0.0,estimable,stagnation_onset,10,0.09999999999999999,17,1,0.0,1,uniform_00,0.5,0.05555555555555555,test,1,1
108,0.0,estimable,contact_on,1,0.13953488372093023,99,12,0.0,9,uniform_00,0.42857142857142855,0.08333333333333333,test,2,9
108,21.0,estimable,transport_on,2,0.08450704225352114,81,504,0.7777777777777778,27,uniform_00,0.05084745762711865,0.25,test,2,27
108,0.0,estimable,contact_off_failure,3,0.3636363636363636,21,0,0.0,6,uniform_00,1.0,0.2222222222222222,test,2,6
108,0.0,estimable,recovery_start,4,0.5,18,0,0.0,9,uniform_00,1.0,0.3333333333333333,test,2,9
108,0.0,estimable,contact_reestablished,5,,24,0,,0,uniform_00,,0.0,test,2,0
108,0.0,estimable,detour_start,6,,24,144,,0,uniform_00,0.0,0.0,test,2,0
