pair_id,side,action,name
1310000_slot08,left,35,REGRASP_5
1310000_slot08,left,36,RELEASE_5
1310000_slot09,left,1,ACQUIRE_0
1310000_slot09,left,2,ADVANCE_0
1310000_slot09,left,3,PLACE_0
1310000_slot09,left,4,START_RECOVERY_0
1310000_slot09,left,5,REGRASP_0
1310000_slot09,left,6,RELEASE_0
1310000_slot09,left,7,ACQUIRE_1
1310000_slot09,left,9,PLACE_1
1310000_slot09,left,10,START_RECOVERY_1
1310000_slot09,left,11,REGRASP_1
1310000_slot09,left,13,ACQUIRE_2
1310000_slot09,left,14,ADVANCE_2
1310000_slot09,left,15,PLACE_2
1310000_slot09,left,16,START_RECOVERY_2
1310000_slot09,left,17,REGRASP_2
1310000_slot09,left,18,RELEASE_2
1310000_slot09,left,19,ACQUIRE_3
1310000_slot09,left,20,ADVANCE_3
1310000_slot09,left,21,PLACE_3
1310000_slot09,left,22,START_RECOVERY_3
1310000_slot09,left,23,REGRASP_3
1310000_slot09,left,24,RELEASE_3
1310000_slot09,left,25,ACQUIRE_4
1310000_slot09,left,26,ADVANCE_4
1310000_slot09,left,27,PLACE_4
1310000_slot09,left,28,START_RECOVERY_4
1310000_slot09,left,29,REGRASP_4
1310000_slot09,left,30,RELEASE_4
1310000_slot09,left,31,ACQUIRE_5
1310000_slot09,left,32,ADVANCE_5
1310000_slot09,left,33,PLACE_5
1310000_slot09,left,34,START_RECOVERY_5
1310000_slot09,left,35,REGRASP_5
1310000_slot09,left,36,RELEASE_5
1310000_slot10,left,1,ACQUIRE_0
1310000_slot10,left,2,ADVANCE_0
1310000_slot10,left,3,PLACE_0
1310000_slot10,left,4,START_RECOVERY_0
1310000_slot10,left,5,REGRASP_0
1310000_slot10,left,6,RELEASE_0
1310000_slot10,left,7,ACQUIRE_1
1310000_slot10,left,9,PLACE_1
1310000_slot10,left,10,START_RECOVERY_1
1310000_slot10,left,11,REGRASP_1
1310000_slot10,left,13,ACQUIRE_2
1310000_slot10,left,14,ADVANCE_2
1310000_slot10,left,15,PLACE_2
1310000_slot10,left,16,START_RECOVERY_2
1310000_slot10,left,17,REGRASP_2
1310000_slot10,left,18,RELEASE_2
1310000_slot10,left,19,ACQUIRE_3
1310000_slot10,left,20,ADVANCE_3
1310000_slot10,left,21,PLACE_3
1310000_slot10,left,22,START_RECOVERY_3
1310000_slot10,left,23,REGRASP_3
1310000_slot10,left,24,RELEASE_3
1310000_slot10,left,25,ACQUIRE_4
1310000_slot10,left,26,ADVANCE_4
1310000_slot10,left,27,PLACE_4
1310000_slot10,left,28,START_RECOVERY_4
1310000_slot10,left,29,REGRASP_4
1310000_slot10,left,30,RELEASE_4
1310000_slot10,left,31,ACQUIRE_5
1310000_slot10,left,32,ADVANCE_5
1310000_slot10,left,33,PLACE_5
1310000_slot10,left,34,START_RECOVERY_5
1310000_slot10,left,35,REGRASP_5
1310000_slot10,left,36,RELEASE_5
1310000_slot11,left,2,ADVANCE_0
1310000_slot11,left,3,PLACE_0
1310000_slot11,left,4,START_RECOVERY_0
1310000_slot11,left,5,REGRASP_0
1310000_slot11,left,6,RELEASE_0
1310000_slot11,left,8,ADVANCE_1
1310000_slot11,left,9,PLACE_1
1310000_slot11,left,10,START_RECOVERY_1
1310000_slot11,left,11,REGRASP_1
1310000_slot11,left,12,RELEASE_1
1310000_slot11,left,13,ACQUIRE_2
1310000_slot11,left,14,ADVANCE_2
1310000_slot11,left,15,PLACE_2
1310000_slot11,left,16,START_RECOVERY_2
1310000_slot11,left,17,REGRASP_2
1310000_slot11,left,18,RELEASE_2
1310000_slot11,left,19,ACQUIRE_3
1310000_slot11,left,20,ADVANCE_3
1310000_slot11,left,21,PLACE_3
1310000_slot11,left,22,START_RECOVERY_3
1310000_slot11,left,23,REGRASP_3
1310000_slot11,left,24,RELEASE_3
1310000_slot11,left,25,ACQUIRE_4
1310000_slot11,left,26,ADVANCE_4
1310000_slot11,left,27,PLACE_4
1310000_slot11,left,28,START_RECOVERY_4
1310000_slot11,left,29,REGRASP_4
1310000_slot11,left,30,RELEASE_4
1310000_slot11,left,31,ACQUIRE_5
1310000_slot11,left,32,ADVANCE_5
1310000_slot11,left,33,PLACE_5
1310000_slot11,left,34,START_RECOVERY_5
1310000_slot11,left,35,REGRASP_5
1310000_slot11,left,36,RELEASE_5
1310000_slot12,left,2,ADVANCE_0
1310000_slot12,left,3,PLACE_0
1310000_slot12,left,4,START_RECOVERY_0
1310000_slot12,left,5,REGRASP_0
1310000_slot12,left,6,RELEASE_0
1310000_slot12,left,8,ADVANCE_1
1310000_slot12,left,9,PLACE_1
1310000_slot12,left,10,START_RECOVERY_1
1310000_slot12,left,11,REGRASP_1
1310000_slot12,left,12,RELEASE_1
1310000_slot12,left,13,ACQUIRE_2
1310000_slot12,left,14,ADVANCE_2
1310000_slot12,left,15,PLACE_2
1310000_slot12,left,16,START_RECOVERY_2
1310000_slot12,left,17,REGRASP_2
1310000_slot12,left,18,RELEASE_2
1310000_slot12,left,19,ACQUIRE_3
1310000_slot12,left,20,ADVANCE_3
1310000_slot12,left,21,PLACE_3
1310000_slot12,left,22,START_RECOVERY_3
1310000_slot12,left,23,REGRASP_3
1310000_slot12,left,24,RELEASE_3
1310000_slot12,left,25,ACQUIRE_4
1310000_slot12,left,26,ADVANCE_4
1310000_slot12,left,27,PLACE_4
1310000_slot12,left,28,START_RECOVERY_4
1310000_slot12,left,29,REGRASP_4
1310000_slot12,left,30,RELEASE_4
1310000_slot12,left,31,ACQUIRE_5
1310000_slot12,left,32,ADVANCE_5
1310000_slot12,left,33,PLACE_5
1310000_slot12,left,34,START_RECOVERY_5
1310000_slot12,left,35,REGRASP_5
1310000_slot12,left,36,RELEASE_5
1310000_slot13,left,2,ADVANCE_0
1310000_slot13,left,3,PLACE_0
1310000_slot13,left,4,START_RECOVERY_0
1310000_slot13,left,5,REGRASP_0
1310000_slot13,left,6,RELEASE_0
1310000_slot13,left,8,ADVANCE_1
1310000_slot13,left,9,PLACE_1
1310000_slot13,left,10,START_RECOVERY_1
1310000_slot13,left,11,REGRASP_1
1310000_slot13,left,12,RELEASE_1
1310000_slot13,left,13,ACQUIRE_2
1310000_slot13,left,14,ADVANCE_2
1310000_slot13,left,15,PLACE_2
1310000_slot13,left,16,START_RECOVERY_2
1310000_slot13,left,17,REGRASP_2
1310000_slot13,left,18,RELEASE_2
1310000_slot13,left,19,ACQUIRE_3
1310000_slot13,left,20,ADVANCE_3
1310000_slot13,left,21,PLACE_3
1310000_slot13,left,22,START_RECOVERY_3
1310000_slot13,left,23,REGRASP_3
1310000_slot13,left,24,RELEASE_3
