episode_id,method,evidence_tier,root_group_id,cost_contract_id,transitions,signed_return,positive_weight_sum,debt_after,mirror_max_error,clip_count,recovery_cap_count,closed_in_supplied_z_cost_phi,positive_closed_return,closure_label,symbolic_task_position_closed,physical_feasibility,phi_entry_policy_verified_in_runtime
normalized_main__reset__p0.8__k3,SPARSE_TERMINAL,SYNTHETIC_PROTOCOL_FIXTURE,p1_v3_symbolic_probe,P1_V3_NORMALIZED_MAIN,15,0.0,0.0,0.0,0.0,0,0,True,False,CONSTRUCTED_TASK_PROJECTION_ONLY_NOT_FULL_REWARD_STATE,True,NOT_TESTED,False
normalized_main__reset__p0.8__k3,LINEAR_FIXED_ORDER,SYNTHETIC_PROTOCOL_FIXTURE,p1_v3_symbolic_probe,P1_V3_NORMALIZED_MAIN,15,0.0,1.5,0.0,0.0,0,0,True,False,CONSTRUCTED_TASK_PROJECTION_ONLY_NOT_FULL_REWARD_STATE,True,NOT_TESTED,False
normalized_main__reset__p0.8__k3,UNORDERED_COMPLETION_PROGRESS,SYNTHETIC_PROTOCOL_FIXTURE,p1_v3_symbolic_probe,P1_V3_NORMALIZED_MAIN,15,0.0,1.5,0.0,0.0,0,0,True,False,CONSTRUCTED_TASK_PROJECTION_ONLY_NOT_FULL_REWARD_STATE,True,NOT_TESTED,False
normalized_main__reset__p0.8__k3,GRAPH_COST_ONLY,SYNTHETIC_PROTOCOL_FIXTURE,p1_v3_symbolic_probe,P1_V3_NORMALIZED_MAIN,15,1.6653345369377348e-16,1.5000000000000002,0.0,0.0,0,0,True,False,CONSTRUCTED_TASK_PROJECTION_ONLY_NOT_FULL_REWARD_STATE,True,NOT_TESTED,False
normalized_main__reset__p0.8__k3,GRAPH_COST_PHI,SYNTHETIC_PROTOCOL_FIXTURE,p1_v3_symbolic_probe,P1_V3_NORMALIZED_MAIN,15,1.2000000000000004,2.7,0.0,0.0,0,0,True,True,CONSTRUCTED_TASK_PROJECTION_ONLY_NOT_FULL_REWARD_STATE,True,NOT_TESTED,False
normalized_main__reset__p0.8__k3,GRAPH_COST_DEBT,SYNTHETIC_PROTOCOL_FIXTURE,p1_v3_symbolic_probe,P1_V3_NORMALIZED_MAIN,15,1.6653345369377348e-16,1.5000000000000002,0.4999999999999999,0.0,0,0,True,False,CONSTRUCTED_TASK_PROJECTION_ONLY_NOT_FULL_REWARD_STATE,True,NOT_TESTED,False
normalized_main__reset__p0.8__k3,FULL_FROZEN,SYNTHETIC_PROTOCOL_FIXTURE,p1_v3_symbolic_probe,P1_V3_NORMALIZED_MAIN,15,1.2000000000000004,2.7,0.4999999999999999,0.0,0,0,True,True,CONSTRUCTED_TASK_PROJECTION_ONLY_NOT_FULL_REWARD_STATE,True,NOT_TESTED,False
normalized_main__reset__p0.8__k3,NO_RECOVERY_CREDIT,SYNTHETIC_PROTOCOL_FIXTURE,p1_v3_symbolic_probe,P1_V3_NORMALIZED_MAIN,15,0.20000000000000012,1.7,1.5,0.0,0,0,True,True,CONSTRUCTED_TASK_PROJECTION_ONLY_NOT_FULL_REWARD_STATE,True,NOT_TESTED,False
normalized_main__reset__p0.8__k8,SPARSE_TERMINAL,SYNTHETIC_PROTOCOL_FIXTURE,p1_v3_symbolic_probe,P1_V3_NORMALIZED_MAIN,40,0.0,0.0,0.0,0.0,0,0,True,False,CONSTRUCTED_TASK_PROJECTION_ONLY_NOT_FULL_REWARD_STATE,True,NOT_TESTED,False
normalized_main__reset__p0.8__k8,LINEAR_FIXED_ORDER,SYNTHETIC_PROTOCOL_FIXTURE,p1_v3_symbolic_probe,P1_V3_NORMALIZED_MAIN,40,0.0,4.0,0.0,0.0,0,0,True,False,CONSTRUCTED_TASK_PROJECTION_ONLY_NOT_FULL_REWARD_STATE,True,NOT_TESTED,False
