repeat,method,stop_budget,stopped_early,bottom_jaccard,bottom_overlap,bottom_mistakes,bootstrap_q10_jaccard,ambiguous_count
28,naive_consecutive,100,False,1.0,38,0,0.46153846153846156,47
28,bootstrap_permissive,100,False,1.0,38,0,0.46153846153846156,47
28,bootstrap_balanced,100,False,1.0,38,0,0.46153846153846156,47
28,bootstrap_conservative,100,False,1.0,38,0,0.46153846153846156,47
29,naive_consecutive,80,True,0.6521739130434783,30,8,0.4339622641509434,52
29,bootstrap_permissive,100,False,1.0,38,0,0.46153846153846156,48
29,bootstrap_balanced,100,False,1.0,38,0,0.46153846153846156,48
29,bootstrap_conservative,100,False,1.0,38,0,0.46153846153846156,48
30,naive_consecutive,85,True,0.7272727272727273,32,6,0.4339622641509434,48
30,bootstrap_permissive,100,False,1.0,38,0,0.46153846153846156,47
30,bootstrap_balanced,100,False,1.0,38,0,0.46153846153846156,47
30,bootstrap_conservative,100,False,1.0,38,0,0.46153846153846156,47
31,naive_consecutive,80,True,0.7674418604651163,33,5,0.4339622641509434,49
31,bootstrap_permissive,100,False,1.0,38,0,0.49019607843137253,42
31,bootstrap_balanced,100,False,1.0,38,0,0.49019607843137253,42
31,bootstrap_conservative,100,False,1.0,38,0,0.49019607843137253,42
32,naive_consecutive,100,False,1.0,38,0,0.46153846153846156,46
32,bootstrap_permissive,100,False,1.0,38,0,0.46153846153846156,46
32,bootstrap_balanced,100,False,1.0,38,0,0.46153846153846156,46
32,bootstrap_conservative,100,False,1.0,38,0,0.46153846153846156,46
33,naive_consecutive,90,True,0.9487179487179487,37,1,0.48733031674208144,40
33,bootstrap_permissive,100,False,1.0,38,0,0.48733031674208144,41
33,bootstrap_balanced,100,False,1.0,38,0,0.48733031674208144,41
33,bootstrap_conservative,100,False,1.0,38,0,0.48733031674208144,41
34,naive_consecutive,40,True,0.46153846153846156,24,14,0.38181818181818183,50
34,bootstrap_permissive,100,False,1.0,38,0,0.49019607843137253,42
34,bootstrap_balanced,100,False,1.0,38,0,0.49019607843137253,42
34,bootstrap_conservative,100,False,1.0,38,0,0.49019607843137253,42
35,naive_consecutive,40,True,0.5510204081632653,27,11,0.40484848484848485,57
35,bootstrap_permissive,100,False,1.0,38,0,0.46153846153846156,48
35,bootstrap_balanced,100,False,1.0,38,0,0.46153846153846156,48
35,bootstrap_conservative,100,False,1.0,38,0,0.46153846153846156,48
36,naive_consecutive,90,True,0.9,36,2,0.46153846153846156,46
36,bootstrap_permissive,100,False,1.0,38,0,0.49019607843137253,46
36,bootstrap_balanced,100,False,1.0,38,0,0.49019607843137253,46
36,bootstrap_conservative,100,False,1.0,38,0,0.49019607843137253,46
37,naive_consecutive,95,True,0.9,36,2,0.49019607843137253,44
37,bootstrap_permissive,100,False,1.0,38,0,0.46153846153846156,44
37,bootstrap_balanced,100,False,1.0,38,0,0.46153846153846156,44
37,bootstrap_conservative,100,False,1.0,38,0,0.46153846153846156,44
38,naive_consecutive,100,False,1.0,38,0,0.46153846153846156,46
38,bootstrap_permissive,100,False,1.0,38,0,0.46153846153846156,46
38,bootstrap_balanced,100,False,1.0,38,0,0.46153846153846156,46
38,bootstrap_conservative,100,False,1.0,38,0,0.46153846153846156,46
39,naive_consecutive,100,False,1.0,38,0,0.46153846153846156,43
39,bootstrap_permissive,100,False,1.0,38,0,0.46153846153846156,43
39,bootstrap_balanced,100,False,1.0,38,0,0.46153846153846156,43
39,bootstrap_conservative,100,False,1.0,38,0,0.46153846153846156,43
40,naive_consecutive,45,True,0.6521739130434783,30,8,0.4339622641509434,48
40,bootstrap_permissive,100,False,1.0,38,0,0.46153846153846156,44
40,bootstrap_balanced,100,False,1.0,38,0,0.46153846153846156,44
40,bootstrap_conservative,100,False,1.0,38,0,0.46153846153846156,44
41,naive_consecutive,55,True,0.6888888888888889,31,7,0.4313067784765898,48
41,bootstrap_permissive,100,False,1.0,38,0,0.46153846153846156,42
41,bootstrap_balanced,100,False,1.0,38,0,0.46153846153846156,42
41,bootstrap_conservative,100,False,1.0,38,0,0.46153846153846156,42
42,naive_consecutive,95,True,0.9,36,2,0.46153846153846156,48
42,bootstrap_permissive,100,False,1.0,38,0,0.46153846153846156,45
42,bootstrap_balanced,100,False,1.0,38,0,0.46153846153846156,45
42,bootstrap_conservative,100,False,1.0,38,0,0.46153846153846156,45
43,naive_consecutive,65,True,0.6888888888888889,31,7,0.49019607843137253,42
43,bootstrap_permissive,100,False,1.0,38,0,0.49019607843137253,46
43,bootstrap_balanced,100,False,1.0,38,0,0.49019607843137253,46
43,bootstrap_conservative,100,False,1.0,38,0,0.49019607843137253,46
44,naive_consecutive,75,True,0.6888888888888889,31,7,0.4074074074074074,53
44,bootstrap_permissive,100,False,1.0,38,0,0.48733031674208144,42
44,bootstrap_balanced,100,False,1.0,38,0,0.48733031674208144,42
44,bootstrap_conservative,100,False,1.0,38,0,0.48733031674208144,42
45,naive_consecutive,70,True,0.6521739130434783,30,8,0.4074074074074074,55
45,bootstrap_permissive,100,False,1.0,38,0,0.49019607843137253,42
45,bootstrap_balanced,100,False,1.0,38,0,0.49019607843137253,42
45,bootstrap_conservative,100,False,1.0,38,0,0.49019607843137253,42
46,naive_consecutive,65,True,0.7272727272727273,32,6,0.46153846153846156,47
46,bootstrap_permissive,100,False,1.0,38,0,0.49019607843137253,43
46,bootstrap_balanced,100,False,1.0,38,0,0.49019607843137253,43
46,bootstrap_conservative,100,False,1.0,38,0,0.49019607843137253,43
47,naive_consecutive,80,True,0.6521739130434783,30,8,0.4339622641509434,45
47,bootstrap_permissive,100,False,1.0,38,0,0.49019607843137253,48
47,bootstrap_balanced,100,False,1.0,38,0,0.49019607843137253,48
47,bootstrap_conservative,100,False,1.0,38,0,0.49019607843137253,48
48,naive_consecutive,100,False,1.0,38,0,0.46153846153846156,48
48,bootstrap_permissive,100,False,1.0,38,0,0.46153846153846156,48
48,bootstrap_balanced,100,False,1.0,38,0,0.46153846153846156,48
48,bootstrap_conservative,100,False,1.0,38,0,0.46153846153846156,48
49,naive_consecutive,70,True,0.6170212765957447,29,9,0.4339622641509434,54
49,bootstrap_permissive,100,False,1.0,38,0,0.46153846153846156,43
49,bootstrap_balanced,100,False,1.0,38,0,0.46153846153846156,43
49,bootstrap_conservative,100,False,1.0,38,0,0.46153846153846156,43
50,naive_consecutive,80,True,0.6170212765957447,29,9,0.40484848484848485,49
50,bootstrap_permissive,100,False,1.0,38,0,0.46153846153846156,42
50,bootstrap_balanced,100,False,1.0,38,0,0.46153846153846156,42
50,bootstrap_conservative,100,False,1.0,38,0,0.46153846153846156,42
51,naive_consecutive,100,False,1.0,38,0,0.49019607843137253,45
51,bootstrap_permissive,100,False,1.0,38,0,0.49019607843137253,45
51,bootstrap_balanced,100,False,1.0,38,0,0.49019607843137253,45
51,bootstrap_conservative,100,False,1.0,38,0,0.49019607843137253,45
